time,Actual Movement,Predictions,Predicted
2021-01-27,1,0.20687124,-1
2021-01-28,-1,0.24578603,-1
2021-01-29,-1,0.07510137,-1
2021-02-01,1,0.2710764,-1
2021-02-02,-1,0.075943045,-1
2021-02-03,-1,0.12095477,-1
2021-02-04,1,0.8088929,1
2021-02-05,1,0.89067274,1
2021-02-08,1,0.8778374,1
2021-02-09,1,0.8806356,1
2021-02-10,1,0.8830314,1
2021-02-11,1,0.86903363,1
2021-02-12,1,0.8459816,1
2021-02-15,1,0.80400616,1
2021-02-16,-1,0.6088136,1
2021-02-17,1,0.7850223,1
2021-02-18,-1,0.20940432,-1
2021-02-19,1,0.57731694,1
2021-02-22,1,0.7050867,1
2021-02-23,-1,0.13544255,-1
2021-02-24,-1,0.03594524,-1
2021-02-25,-1,0.0574079,-1
2021-02-26,-1,0.069839135,-1
2021-03-01,1,0.8107755,1
2021-03-02,1,0.8728721,1
2021-03-03,1,0.8516386,1
2021-03-04,1,0.8492941,1
2021-03-05,-1,0.5546624,1
2021-03-08,1,0.7491471,1
2021-03-09,1,0.8726206,1
2021-03-10,-1,0.68480456,1
2021-03-11,1,0.8525902,1
2021-03-12,1,0.89365745,1
2021-03-15,-1,0.22122926,-1
2021-03-16,1,0.30401552,-1
2021-03-17,1,0.30127236,-1
2021-03-18,1,0.8582475,1
2021-03-19,-1,0.31399193,-1
2021-03-22,1,0.46395555,-1
2021-03-23,1,0.89946544,1
2021-03-24,-1,0.8215747,1
2021-03-25,1,0.88611895,1
2021-03-26,1,0.8838206,1
2021-03-29,-1,0.7830013,1
2021-03-30,-1,0.20948908,-1
2021-03-31,1,0.37089586,-1
2021-04-01,-1,0.09290285,-1
2021-04-02,-1,0.09215141,-1
2021-04-05,1,0.32355806,-1
2021-04-06,1,0.79795104,1
2021-04-07,-1,0.6549888,1
2021-04-08,-1,0.44739595,-1
2021-04-09,-1,0.3665795,-1
2021-04-12,1,0.8251709,1
2021-04-13,-1,0.7689458,1
2021-04-14,-1,0.5647753,1
2021-04-15,-1,0.5026988,-1
2021-04-16,1,0.8485298,1
2021-04-19,-1,0.5189841,-1
2021-04-20,-1,0.19466771,-1
2021-04-21,-1,0.17059572,-1
2021-04-22,1,0.2993331,-1
2021-04-23,1,0.59405965,1
2021-04-26,1,0.82599837,1
2021-04-27,-1,0.6932352,1
2021-04-28,-1,0.115323484,-1
2021-04-29,-1,0.16622743,-1
2021-04-30,1,0.9044926,1
2021-05-03,1,0.8820601,1
2021-05-04,1,0.8653104,1
2021-05-05,-1,0.16023803,-1
2021-05-06,1,0.72997123,1
2021-05-07,1,0.8071498,1
2021-05-10,1,0.824414,1
2021-05-11,1,0.779318,1
2021-05-12,1,0.77147394,1
2021-05-13,-1,0.10173746,-1
2021-05-14,-1,0.096190624,-1
2021-05-17,1,0.8242285,1
