,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-09-05,1,0.9381751,1,72.881,
1,2019-09-06,1,0.9047343,1,73.217,72.881
2,2019-09-09,1,0.9482962,1,73.601,73.217
3,2019-09-10,1,0.9233985,1,73.777,73.601
4,2019-09-11,1,0.95371777,1,74.008,73.777
5,2019-09-12,1,0.95752865,1,74.199,74.008
6,2019-09-13,1,0.96728134,1,74.396,74.199
7,2019-09-16,-1,0.75265,1,74.239,74.396
8,2019-09-17,-1,0.8494536,1,74.215,74.239
9,2019-09-18,-1,0.1285602,-1,74.042,74.215
10,2019-09-19,-1,0.002493801,-1,73.384,74.042
11,2019-09-20,-1,0.0023669447,-1,72.723,73.384
12,2019-09-23,1,0.042962596,-1,72.803,72.723
13,2019-09-24,-1,0.03466419,-1,72.798,72.803
14,2019-09-25,-1,0.05101112,-1,72.725,72.798
15,2019-09-26,1,0.21475895,-1,72.759,72.725
16,2019-09-27,1,0.96011573,1,73.027,72.759
17,2019-09-30,-1,0.7055526,1,72.942,73.027
18,2019-10-01,-1,0.01610789,-1,72.226,72.942
19,2019-10-02,-1,0.05366674,-1,71.86,72.226
20,2019-10-03,1,0.7895831,1,72.055,71.86
21,2019-10-04,1,0.9399816,1,72.328,72.055
22,2019-10-07,-1,0.46927541,1,72.195,72.328
23,2019-10-08,-1,0.2981989,-1,72.026,72.195
24,2019-10-09,1,0.95742977,1,72.281,72.026
25,2019-10-10,1,0.9927791,1,72.968,72.281
26,2019-10-11,1,0.9880415,1,73.633,72.968
27,2019-10-14,-1,0.5103464,1,73.455,73.633
28,2019-10-15,1,0.92091405,1,73.559,73.455
29,2019-10-16,-1,0.8368155,1,73.516,73.559
30,2019-10-17,1,0.9809622,1,74.144,73.516
31,2019-10-18,1,0.93982077,1,74.325,74.144
32,2019-10-21,1,0.9609098,1,74.578,74.325
33,2019-10-22,-1,0.3915745,-1,74.378,74.578
34,2019-10-23,1,0.9082493,1,74.491,74.378
35,2019-10-24,-1,0.023967518,-1,74.055,74.491
36,2019-10-25,1,0.24023725,-1,74.116,74.055
37,2019-10-28,1,0.8973595,1,74.507,74.116
38,2019-10-29,1,0.8198707,1,74.71,74.507
39,2019-10-30,1,0.93138784,1,75.106,74.71
40,2019-10-31,-1,0.008154348,-1,74.437,75.106
41,2019-11-01,1,0.82984304,1,74.77,74.437
42,2019-11-04,-1,0.31990588,-1,74.756,74.77
43,2019-11-05,1,0.9283789,1,75.226,74.756
44,2019-11-06,-1,0.10459353,-1,75.022,75.226
45,2019-11-07,1,0.909363,1,75.361,75.022
46,2019-11-08,-1,0.036888283,-1,74.905,75.361
47,2019-11-11,-1,0.1086576,-1,74.698,74.905
48,2019-11-12,-1,0.15490045,-1,74.567,74.698
49,2019-11-13,-1,0.09855484,-1,74.378,74.567
50,2019-11-14,-1,0.00956051,-1,73.562,74.378
51,2019-11-15,1,0.9734075,1,74.194,73.562
52,2019-11-18,-1,0.15753794,-1,73.989,74.194
53,2019-11-19,1,0.76236665,1,74.089,73.989
54,2019-11-20,-1,0.16154419,-1,73.851,74.089
55,2019-11-21,-1,0.25035897,-1,73.703,73.851
56,2019-11-22,-1,0.446087,-1,73.684,73.703
57,2019-11-25,1,0.8935441,1,73.814,73.684
58,2019-11-26,1,0.9687761,1,74.024,73.814
59,2019-11-27,1,0.98047465,1,74.216,74.024
60,2019-11-28,-1,0.892681,1,74.135,74.216
61,2019-11-29,-1,0.350957,-1,73.965,74.135
62,2019-12-02,1,0.9604838,1,74.294,73.965
63,2019-12-03,1,0.9194818,1,74.379,74.294
64,2019-12-04,1,0.94480276,1,74.557,74.379
65,2019-12-05,-1,0.10645857,-1,74.292,74.557
66,2019-12-06,-1,0.37142625,-1,74.269,74.292
67,2019-12-09,-1,0.079097055,-1,74.092,74.269
68,2019-12-10,-1,0.15108345,-1,74.071,74.092
69,2019-12-11,1,0.9840465,1,74.648,74.071
70,2019-12-12,1,0.991088,1,75.479,74.648
71,2019-12-13,-1,0.18211229,-1,75.17,75.479
72,2019-12-16,1,0.95516235,1,75.42,75.17
73,2019-12-17,-1,0.15330844,-1,75.02,75.42
74,2019-12-18,1,0.8582986,1,75.087,75.02
75,2019-12-19,1,0.9272016,1,75.289,75.087
76,2019-12-20,1,0.940978,1,75.519,75.289
77,2019-12-23,1,0.9345029,1,75.7,75.519
78,2019-12-24,-1,0.72061455,1,75.64,75.7
79,2019-12-26,1,0.9691566,1,76.158,75.64
80,2019-12-27,1,0.9487796,1,76.449,76.158
81,2019-12-30,-1,0.09218684,-1,76.149,76.449
82,2019-12-31,1,0.76887125,1,76.24,76.149
83,2020-01-02,-1,0.028521575,-1,75.872,76.24
84,2020-01-03,-1,0.0063659046,-1,75.086,75.872
85,2020-01-06,1,0.62931395,1,75.231,75.086
