time,Actual Movement,Predictions,Predicted
2019-09-05,1,0.9381751,1
2019-09-06,1,0.9047343,1
2019-09-09,1,0.9482962,1
2019-09-10,1,0.9233985,1
2019-09-11,1,0.95371777,1
2019-09-12,1,0.95752865,1
2019-09-13,1,0.96728134,1
2019-09-16,-1,0.75265,1
2019-09-17,-1,0.8494536,1
2019-09-18,-1,0.1285602,-1
2019-09-19,-1,0.002493801,-1
2019-09-20,-1,0.0023669447,-1
2019-09-23,1,0.042962596,-1
2019-09-24,-1,0.03466419,-1
2019-09-25,-1,0.05101112,-1
2019-09-26,1,0.21475895,-1
2019-09-27,1,0.96011573,1
2019-09-30,-1,0.7055526,1
2019-10-01,-1,0.01610789,-1
2019-10-02,-1,0.05366674,-1
2019-10-03,1,0.7895831,1
2019-10-04,1,0.9399816,1
2019-10-07,-1,0.46927541,1
2019-10-08,-1,0.2981989,-1
2019-10-09,1,0.95742977,1
2019-10-10,1,0.9927791,1
2019-10-11,1,0.9880415,1
2019-10-14,-1,0.5103464,1
2019-10-15,1,0.92091405,1
2019-10-16,-1,0.8368155,1
2019-10-17,1,0.9809622,1
2019-10-18,1,0.93982077,1
2019-10-21,1,0.9609098,1
2019-10-22,-1,0.3915745,-1
2019-10-23,1,0.9082493,1
2019-10-24,-1,0.023967518,-1
2019-10-25,1,0.24023725,-1
2019-10-28,1,0.8973595,1
2019-10-29,1,0.8198707,1
2019-10-30,1,0.93138784,1
2019-10-31,-1,0.008154348,-1
2019-11-01,1,0.82984304,1
2019-11-04,-1,0.31990588,-1
2019-11-05,1,0.9283789,1
2019-11-06,-1,0.10459353,-1
2019-11-07,1,0.909363,1
2019-11-08,-1,0.036888283,-1
2019-11-11,-1,0.1086576,-1
2019-11-12,-1,0.15490045,-1
2019-11-13,-1,0.09855484,-1
2019-11-14,-1,0.00956051,-1
2019-11-15,1,0.9734075,1
2019-11-18,-1,0.15753794,-1
2019-11-19,1,0.76236665,1
2019-11-20,-1,0.16154419,-1
2019-11-21,-1,0.25035897,-1
2019-11-22,-1,0.446087,-1
2019-11-25,1,0.8935441,1
2019-11-26,1,0.9687761,1
2019-11-27,1,0.98047465,1
2019-11-28,-1,0.892681,1
2019-11-29,-1,0.350957,-1
2019-12-02,1,0.9604838,1
2019-12-03,1,0.9194818,1
2019-12-04,1,0.94480276,1
2019-12-05,-1,0.10645857,-1
2019-12-06,-1,0.37142625,-1
2019-12-09,-1,0.079097055,-1
2019-12-10,-1,0.15108345,-1
2019-12-11,1,0.9840465,1
2019-12-12,1,0.991088,1
2019-12-13,-1,0.18211229,-1
2019-12-16,1,0.95516235,1
2019-12-17,-1,0.15330844,-1
2019-12-18,1,0.8582986,1
2019-12-19,1,0.9272016,1
2019-12-20,1,0.940978,1
2019-12-23,1,0.9345029,1
2019-12-24,-1,0.72061455,1
2019-12-26,1,0.9691566,1
2019-12-27,1,0.9487796,1
2019-12-30,-1,0.09218684,-1
2019-12-31,1,0.76887125,1
2020-01-02,-1,0.028521575,-1
2020-01-03,-1,0.0063659046,-1
2020-01-06,1,0.62931395,1
2020-01-07,-1,0.020859879,-1
2020-01-08,1,0.9242372,1
2020-01-09,1,0.61264217,1
2020-01-10,1,0.91711503,1
2020-01-13,1,0.91380805,1
2020-01-14,1,0.7512282,1
2020-01-15,-1,0.64891857,1
2020-01-16,1,0.824869,1
2020-01-17,-1,0.052145768,-1
2020-01-20,1,0.24087146,-1
2020-01-21,-1,0.0049039535,-1
2020-01-22,-1,0.028152145,-1
2020-01-23,-1,0.009062109,-1
2020-01-24,-1,0.0053763483,-1
2020-01-27,-1,0.002787925,-1
2020-01-28,1,0.41845372,-1
2020-01-29,-1,0.040240597,-1
2020-01-30,-1,0.024392165,-1
2020-01-31,-1,0.012682456,-1
2020-02-03,1,0.8207325,1
2020-02-04,1,0.99356306,1
2020-02-05,1,0.9489586,1
2020-02-06,-1,0.86064416,1
2020-02-07,-1,0.05905417,-1
2020-02-10,1,0.8575363,1
2020-02-11,1,0.94143176,1
2020-02-12,1,0.9683092,1
2020-02-13,-1,0.08713438,-1
2020-02-14,-1,0.16508387,-1
2020-02-17,1,0.20751809,-1
2020-02-18,-1,0.041319035,-1
2020-02-19,1,0.96826506,1
2020-02-20,-1,0.07471616,-1
2020-02-21,-1,0.06265548,-1
2020-02-24,-1,0.011975861,-1
2020-02-25,-1,0.10520764,-1
2020-02-26,-1,0.11462582,-1
2020-02-27,-1,0.17806388,-1
2020-02-28,-1,0.002334935,-1
2020-03-02,1,0.95425504,1
2020-03-03,-1,0.027045548,-1
2020-03-04,1,0.949529,1
2020-03-05,-1,0.014774423,-1
2020-03-06,-1,0.48166785,1
2020-03-09,-1,0.00075995916,-1
2020-03-10,1,0.99115443,1
2020-03-11,-1,0.0072453204,-1
2020-03-12,-1,0.0016451855,-1
2020-03-13,1,0.99662447,1
2020-03-16,-1,0.0025414072,-1
2020-03-17,-1,0.89364195,1
2020-03-18,-1,0.0046928744,-1
2020-03-19,1,0.9945838,1
2020-03-20,1,0.91715884,1
2020-03-23,1,0.862554,1
2020-03-24,1,0.9941507,1
2020-03-25,1,0.43913242,-1
2020-03-26,1,0.90109587,1
2020-03-27,1,0.8955019,1
2020-03-30,-1,0.63488835,1
2020-03-31,-1,0.04222452,-1
2020-04-01,-1,0.0054411096,-1
2020-04-02,1,0.38673532,-1
2020-04-03,-1,0.012416024,-1
2020-04-06,1,0.9880327,1
2020-04-07,1,0.79508847,1
2020-04-08,1,0.92693186,1
2020-04-09,1,0.96168303,1
2020-04-10,1,0.5738432,1
2020-04-13,-1,0.84861255,1
2020-04-14,1,0.94199103,1
2020-04-15,-1,0.0021263803,-1
2020-04-16,1,0.5865413,1
2020-04-17,1,0.35731438,-1
2020-04-20,-1,0.043375958,-1
2020-04-21,-1,0.012026842,-1
2020-04-22,1,0.6458802,1
2020-04-23,1,0.78611714,1
2020-04-24,1,0.6540981,1
2020-04-27,1,0.9387271,1
2020-04-28,1,0.7354734,1
2020-04-29,1,0.9475363,1
2020-04-30,-1,0.4928447,1
2020-05-01,-1,0.0028052721,-1
2020-05-04,-1,0.26365814,-1
2020-05-05,-1,0.16948089,-1
2020-05-06,-1,0.013455767,-1
2020-05-07,1,0.99256456,1
2020-05-08,1,0.9592239,1
2020-05-11,1,0.7742985,1
2020-05-12,-1,0.030983293,-1
2020-05-13,-1,0.11512586,-1
2020-05-14,1,0.69149214,1
2020-05-15,-1,0.024030466,-1
2020-05-18,1,0.9883916,1
2020-05-19,1,0.78113943,1
2020-05-20,1,0.9160061,1
2020-05-21,-1,0.06455086,-1
2020-05-22,-1,0.054317784,-1
2020-05-25,1,0.54790545,1
2020-05-26,1,0.96992815,1
2020-05-27,-1,0.06686467,-1
2020-05-28,1,0.73231095,1
2020-05-29,1,0.9156755,1
2020-06-01,1,0.9829266,1
2020-06-02,1,0.9860693,1
2020-06-03,1,0.6974513,1
2020-06-04,1,0.9447529,1
2020-06-05,1,0.9597751,1
2020-06-08,-1,0.41419375,-1
2020-06-09,-1,0.0053788046,-1
2020-06-10,-1,0.1798126,-1
2020-06-11,-1,0.0004197129,-1
2020-06-12,1,0.8225505,1
2020-06-15,1,0.49491107,1
2020-06-16,-1,0.028125636,-1
2020-06-17,-1,0.07572196,-1
2020-06-18,-1,0.050077908,-1
2020-06-19,-1,0.09138634,-1
2020-06-22,1,0.9812292,1
2020-06-23,-1,0.761871,1
2020-06-24,-1,0.44663882,-1
2020-06-25,1,0.95820385,1
2020-06-26,-1,0.4154809,-1
2020-06-29,1,0.9625791,1
2020-06-30,1,0.9805613,1
2020-07-01,-1,0.22378577,-1
2020-07-02,1,0.83961755,1
2020-07-03,1,0.8447589,1
2020-07-06,1,0.92296517,1
2020-07-07,-1,0.15025538,-1
2020-07-08,1,0.84373826,1
2020-07-09,-1,0.05733678,-1
2020-07-10,-1,0.016845388,-1
2020-07-13,1,0.4055294,-1
2020-07-14,1,0.8783833,1
2020-07-15,1,0.74736977,1
2020-07-16,-1,0.13815083,-1
2020-07-17,1,0.6162217,1
2020-07-20,1,0.93508893,1
2020-07-21,1,0.98015267,1
2020-07-22,1,0.95994884,1
2020-07-23,-1,0.03294186,-1
2020-07-24,-1,0.10101128,-1
2020-07-27,-1,0.4023842,-1
2020-07-28,-1,0.17812946,-1
2020-07-29,1,0.8412909,1
2020-07-30,-1,0.423268,-1
2020-07-31,1,0.942838,1
2020-08-03,-1,0.51179475,1
2020-08-04,1,0.9611801,1
2020-08-05,1,0.9694307,1
2020-08-06,1,0.98588204,1
2020-08-07,-1,0.05982997,-1
2020-08-10,-1,0.5147602,1
2020-08-11,1,0.93535274,1
2020-08-12,1,0.9555662,1
2020-08-13,-1,0.3040826,-1
2020-08-14,-1,0.48046905,1
2020-08-17,1,0.62877345,1
2020-08-18,-1,0.11581955,-1
2020-08-19,-1,0.067207165,-1
2020-08-20,-1,0.032528717,-1
2020-08-21,-1,0.010295339,-1
2020-08-24,1,0.46983805,1
2020-08-25,1,0.9820108,1
2020-08-26,1,0.8849395,1
2020-08-27,1,0.9671252,1
2020-08-28,1,0.93393624,1
2020-08-31,1,0.9791566,1
2020-09-01,1,0.9542726,1
2020-09-02,-1,0.7688253,1
2020-09-03,-1,0.014582913,-1
2020-09-04,1,0.5762621,1
2020-09-07,-1,0.14463103,-1
2020-09-08,-1,0.0048006065,-1
2020-09-09,1,0.9627892,1
2020-09-10,-1,0.0622816,-1
2020-09-11,1,0.82789385,1
2020-09-14,-1,0.15028189,-1
2020-09-15,-1,0.42139733,-1
2020-09-16,-1,0.093992636,-1
2020-09-17,-1,0.2030722,-1
2020-09-18,-1,0.05926582,-1
2020-09-21,-1,0.023694517,-1
2020-09-22,-1,0.04235573,-1
2020-09-23,-1,0.015609747,-1
2020-09-24,-1,0.050334975,-1
2020-09-25,-1,0.03620512,-1
2020-09-28,1,0.8615252,1
2020-09-29,1,0.98456,1
2020-09-30,1,0.94230664,1
2020-10-01,1,0.9699894,1
2020-10-02,-1,0.29713106,-1
2020-10-05,1,0.9720783,1
2020-10-06,-1,0.02075443,-1
2020-10-07,1,0.9614832,1
2020-10-08,1,0.8122686,1
2020-10-09,1,0.8642503,1
2020-10-12,-1,0.021944288,-1
2020-10-13,-1,0.0337763,-1
2020-10-14,-1,0.07346728,-1
2020-10-15,-1,0.027755981,-1
2020-10-16,-1,0.11683301,-1
2020-10-19,-1,0.22422338,-1
2020-10-20,-1,0.13778108,-1
2020-10-21,1,0.58788955,1
2020-10-22,1,0.9370223,1
2020-10-23,1,0.92637366,1
2020-10-26,-1,0.79879636,1
2020-10-27,-1,0.24592298,-1
2020-10-28,-1,0.012453864,-1
2020-10-29,1,0.32855964,-1
