,time,action,position,entry_price,close_price,profit,balance
0,2019-09-05,open,long,72.881,,,9999.9998
1,2019-09-18,close,neutral,,74.042,116.10000000000014,10116.0996
2,2019-09-18,open,short,74.042,,,10116.0994
3,2019-09-27,close,neutral,,73.027,101.50000000000006,10217.599199999999
4,2019-09-27,open,long,73.027,,,10217.598999999998
5,2019-10-01,close,neutral,,72.226,-80.1000000000002,10137.498799999998
6,2019-10-01,open,short,72.226,,,10137.498599999997
7,2019-10-03,close,neutral,,72.055,17.099999999999227,10154.598399999997
8,2019-10-03,open,long,72.055,,,10154.598199999997
9,2019-10-08,close,neutral,,72.026,-2.9000000000010573,10151.697999999995
10,2019-10-08,open,short,72.026,,,10151.697799999994
11,2019-10-09,close,neutral,,72.281,-25.500000000000966,10126.197599999994
12,2019-10-09,open,long,72.281,,,10126.197399999994
13,2019-10-22,close,neutral,,74.378,209.69999999999942,10335.897199999992
14,2019-10-22,open,short,74.378,,,10335.896999999992
15,2019-10-23,close,neutral,,74.491,-11.299999999999955,10324.596799999992
16,2019-10-23,open,long,74.491,,,10324.596599999992
17,2019-10-24,close,neutral,,74.055,-43.599999999999284,10280.996399999993
18,2019-10-24,open,short,74.055,,,10280.996199999992
19,2019-10-28,close,neutral,,74.507,-45.19999999999982,10235.795999999993
20,2019-10-28,open,long,74.507,,,10235.795799999993
21,2019-10-31,close,neutral,,74.437,-7.000000000000739,10228.795599999992
22,2019-10-31,open,short,74.437,,,10228.795399999992
23,2019-11-01,close,neutral,,74.77,-33.29999999999984,10195.495199999992
24,2019-11-01,open,long,74.77,,,10195.494999999992
25,2019-11-04,close,neutral,,74.756,-1.3999999999995794,10194.094799999992
26,2019-11-04,open,short,74.756,,,10194.094599999991
27,2019-11-05,close,neutral,,75.226,-46.999999999999886,10147.09439999999
28,2019-11-05,open,long,75.226,,,10147.09419999999
29,2019-11-06,close,neutral,,75.022,-20.399999999999352,10126.69399999999
30,2019-11-06,open,short,75.022,,,10126.69379999999
31,2019-11-07,close,neutral,,75.361,-33.899999999999864,10092.79359999999
32,2019-11-07,open,long,75.361,,,10092.79339999999
33,2019-11-08,close,neutral,,74.905,-45.60000000000031,10047.193199999989
34,2019-11-08,open,short,74.905,,,10047.192999999988
35,2019-11-15,close,neutral,,74.194,71.09999999999985,10118.292799999988
