,time,action,position,entry_price,close_price,profit,balance
0,2019-08-21,open,short,0.64029,,,9999.9998
1,2019-08-23,close,neutral,,0.63929,10.000000000000009,10009.9996
2,2019-08-23,open,long,0.63929,,,10009.999399999999
3,2019-08-26,close,neutral,,0.63861,-6.800000000000139,10003.1992
4,2019-08-26,open,short,0.63861,,,10003.198999999999
5,2019-09-03,close,neutral,,0.6337,49.099999999999696,10052.298799999999
6,2019-09-03,open,long,0.6337,,,10052.298599999998
7,2019-09-11,close,neutral,,0.64137,76.69999999999955,10128.998399999999
8,2019-09-11,open,short,0.64137,,,10128.998199999998
9,2019-09-23,close,neutral,,0.62907,122.99999999999977,10251.997999999998
10,2019-09-23,open,long,0.62907,,,10251.997799999997
11,2019-09-25,close,neutral,,0.62681,-22.6000000000004,10229.397599999997
12,2019-09-25,open,short,0.62681,,,10229.397399999996
13,2019-09-26,close,neutral,,0.62922,-24.100000000000232,10205.297199999995
14,2019-09-26,open,long,0.62922,,,10205.296999999995
15,2019-09-30,close,neutral,,0.62635,-28.700000000000394,10176.596799999994
16,2019-09-30,open,short,0.62635,,,10176.596599999993
17,2019-10-02,close,neutral,,0.62689,-5.399999999999849,10171.196399999993
18,2019-10-02,open,long,0.62689,,,10171.196199999993
19,2019-10-07,close,neutral,,0.62883,19.400000000000528,10190.595999999994
20,2019-10-07,open,short,0.62883,,,10190.595799999994
21,2019-10-08,close,neutral,,0.62961,-7.800000000000029,10182.795599999994
22,2019-10-08,open,long,0.62961,,,10182.795399999994
23,2019-10-09,close,neutral,,0.62894,-6.699999999999484,10176.095199999994
24,2019-10-09,open,short,0.62894,,,10176.094999999994
25,2019-10-10,close,neutral,,0.63185,-29.09999999999968,10146.994799999995
26,2019-10-10,open,long,0.63185,,,10146.994599999995
27,2019-10-14,close,neutral,,0.62983,-20.200000000000216,10126.794399999995
28,2019-10-14,open,short,0.62983,,,10126.794199999995
29,2019-10-17,close,neutral,,0.63475,-49.20000000000036,10077.593999999994
30,2019-10-17,open,long,0.63475,,,10077.593799999993
31,2019-10-24,close,neutral,,0.638,32.49999999999975,10110.093599999993
32,2019-10-24,open,short,0.638,,,10110.093399999992
33,2019-10-30,close,neutral,,0.63935,-13.499999999999623,10096.593199999992
34,2019-10-30,open,long,0.63935,,,10096.592999999992
35,2019-11-04,close,neutral,,0.64003,6.800000000000139,10103.392799999992
36,2019-11-04,open,short,0.64003,,,10103.392599999992
37,2019-11-07,close,neutral,,0.63679,32.400000000000205,10135.792399999993
38,2019-11-07,open,long,0.63679,,,10135.792199999993
39,2019-11-08,close,neutral,,0.63265,-41.39999999999922,10094.391999999993
40,2019-11-08,open,short,0.63265,,,10094.391799999992
41,2019-11-11,close,neutral,,0.63613,-34.79999999999927,10059.591599999992
42,2019-11-11,open,long,0.63613,,,10059.591399999992
43,2019-11-12,close,neutral,,0.63282,-33.09999999999924,10026.491199999993
44,2019-11-12,open,short,0.63282,,,10026.490999999993
45,2019-11-13,close,neutral,,0.64092,-80.99999999999996,9945.490799999992
46,2019-11-13,open,long,0.64092,,,9945.490599999992
47,2019-11-14,close,neutral,,0.63795,-29.70000000000028,9915.79039999999
48,2019-11-14,open,short,0.63795,,,9915.79019999999
49,2019-11-15,close,neutral,,0.64017,-22.199999999999996,9893.589999999991
50,2019-11-15,open,long,0.64017,,,9893.58979999999
51,2019-11-20,close,neutral,,0.64158,14.100000000000223,9907.68959999999
52,2019-11-20,open,short,0.64158,,,9907.68939999999
53,2019-11-22,close,neutral,,0.64018,14.000000000000679,9921.689199999992
54,2019-11-22,open,long,0.64018,,,9921.688999999991
55,2019-11-27,close,neutral,,0.64198,18.000000000000238,9939.68879999999
56,2019-11-27,open,short,0.64198,,,9939.68859999999
57,2019-12-02,close,neutral,,0.65013,-81.4999999999999,9858.18839999999
58,2019-12-02,open,long,0.65013,,,9858.18819999999
59,2019-12-09,close,neutral,,0.65481,46.800000000000175,9904.98799999999
60,2019-12-09,open,short,0.65481,,,9904.98779999999
61,2019-12-10,close,neutral,,0.65452,2.9000000000001247,9907.88759999999
62,2019-12-10,open,long,0.65452,,,9907.887399999989
63,2019-12-17,close,neutral,,0.65726,27.399999999999647,9935.287199999988
64,2019-12-17,open,short,0.65726,,,9935.286999999988
65,2019-12-18,close,neutral,,0.65879,-15.300000000000313,9919.986799999988
66,2019-12-18,open,long,0.65879,,,9919.986599999987
67,2020-01-02,close,neutral,,0.66988,110.90000000000045,10030.886399999988
68,2020-01-02,open,short,0.66988,,,10030.886199999988
69,2020-01-06,close,neutral,,0.66698,29.000000000000135,10059.885999999988
70,2020-01-06,open,long,0.66698,,,10059.885799999987
71,2020-01-07,close,neutral,,0.66392,-30.600000000000627,10029.285599999987
72,2020-01-07,open,short,0.66392,,,10029.285399999986
73,2020-01-08,close,neutral,,0.66501,-10.900000000000354,10018.385199999986
74,2020-01-08,open,long,0.66501,,,10018.384999999986
75,2020-01-09,close,neutral,,0.66131,-37.00000000000037,9981.384799999985
76,2020-01-09,open,short,0.66131,,,9981.384599999985
77,2020-01-10,close,neutral,,0.66346,-21.500000000000963,9959.884399999984
78,2020-01-10,open,long,0.66346,,,9959.884199999984
79,2020-01-14,close,neutral,,0.66137,-20.90000000000036,9938.983999999984
80,2020-01-14,open,short,0.66137,,,9938.983799999984
81,2020-01-15,close,neutral,,0.66181,-4.3999999999999595,9934.583599999984
82,2020-01-15,open,long,0.66181,,,9934.583399999983
83,2020-01-17,close,neutral,,0.66099,-8.20000000000043,9926.383199999982
84,2020-01-17,open,short,0.66099,,,9926.382999999982
85,2020-01-20,close,neutral,,0.66099,0.0,9926.382799999981
86,2020-01-20,open,long,0.66099,,,9926.38259999998
87,2020-01-21,close,neutral,,0.65951,-14.799999999999258,9911.582399999981
88,2020-01-21,open,short,0.65951,,,9911.58219999998
89,2020-01-22,close,neutral,,0.65948,0.30000000000085514,9911.881999999981
90,2020-01-22,open,long,0.65948,,,9911.881799999981
91,2020-01-27,close,neutral,,0.6545,-49.79999999999984,9862.081599999981
92,2020-01-27,open,short,0.6545,,,9862.081399999981
93,2020-01-28,close,neutral,,0.65465,-1.4999999999998348,9860.58119999998
94,2020-01-28,open,long,0.65465,,,9860.58099999998
95,2020-01-29,close,neutral,,0.6527,-19.50000000000007,9841.08079999998
96,2020-01-29,open,short,0.6527,,,9841.08059999998
97,2020-02-04,close,neutral,,0.64954,31.599999999999405,9872.68039999998
98,2020-02-04,open,long,0.64954,,,9872.680199999979
99,2020-02-05,close,neutral,,0.64748,-20.599999999999508,9852.07999999998
100,2020-02-05,open,short,0.64748,,,9852.07979999998
101,2020-02-11,close,neutral,,0.64036,71.20000000000016,9923.27959999998
102,2020-02-11,open,long,0.64036,,,9923.27939999998
103,2020-02-13,close,neutral,,0.64375,33.90000000000004,9957.179199999979
104,2020-02-13,open,short,0.64375,,,9957.178999999978
105,2020-02-14,close,neutral,,0.64335,4.00000000000067,9961.17879999998
106,2020-02-14,open,long,0.64335,,,9961.17859999998
107,2020-02-18,close,neutral,,0.63862,-47.30000000000012,9913.87839999998
108,2020-02-18,open,short,0.63862,,,9913.87819999998
109,2020-02-19,close,neutral,,0.63856,0.5999999999994898,9914.47799999998
110,2020-02-19,open,long,0.63856,,,9914.477799999979
111,2020-02-20,close,neutral,,0.63324,-53.19999999999992,9861.27759999998
112,2020-02-20,open,short,0.63324,,,9861.277399999979
113,2020-02-21,close,neutral,,0.63517,-19.299999999999873,9841.97719999998
114,2020-02-21,open,long,0.63517,,,9841.976999999979
115,2020-02-24,close,neutral,,0.63395,-12.199999999999989,9829.77679999998
116,2020-02-24,open,short,0.63395,,,9829.77659999998
117,2020-02-27,close,neutral,,0.63066,32.90000000000015,9862.67639999998
118,2020-02-27,open,long,0.63066,,,9862.67619999998
119,2020-02-28,close,neutral,,0.62465,-60.099999999999596,9802.575999999981
120,2020-02-28,open,short,0.62465,,,9802.57579999998
121,2020-03-02,close,neutral,,0.62604,-13.900000000000023,9788.67559999998
122,2020-03-02,open,long,0.62604,,,9788.67539999998
123,2020-03-09,close,neutral,,0.63336,73.19999999999993,9861.87519999998
124,2020-03-09,open,short,0.63336,,,9861.87499999998
125,2020-03-20,close,neutral,,0.57029,630.7000000000007,10492.57479999998
126,2020-03-20,open,long,0.57029,,,10492.57459999998
127,2020-03-23,close,neutral,,0.56964,-6.499999999999284,10486.074399999981
128,2020-03-23,open,short,0.56964,,,10486.074199999981
129,2020-03-24,close,neutral,,0.58271,-130.69999999999914,10355.373999999982
130,2020-03-24,open,long,0.58271,,,10355.373799999981
131,2020-03-30,close,neutral,,0.60133,186.2000000000008,10541.573599999982
132,2020-03-30,open,short,0.60133,,,10541.573399999981
133,2020-04-02,close,neutral,,0.59197,93.60000000000035,10635.173199999981
134,2020-04-02,open,long,0.59197,,,10635.17299999998
135,2020-04-03,close,neutral,,0.5859,-60.7000000000002,10574.472799999981
136,2020-04-03,open,short,0.5859,,,10574.472599999981
137,2020-04-06,close,neutral,,0.59273,-68.30000000000003,10506.172399999981
138,2020-04-06,open,long,0.59273,,,10506.17219999998
139,2020-04-10,close,neutral,,0.60655,138.20000000000056,10644.371999999981
140,2020-04-10,open,short,0.60655,,,10644.37179999998
141,2020-04-13,close,neutral,,0.60899,-24.399999999999977,10619.97159999998
142,2020-04-13,open,long,0.60899,,,10619.97139999998
143,2020-04-15,close,neutral,,0.59974,-92.4999999999998,10527.47119999998
144,2020-04-15,open,short,0.59974,,,10527.47099999998
145,2020-04-17,close,neutral,,0.60322,-34.79999999999927,10492.67079999998
146,2020-04-17,open,long,0.60322,,,10492.67059999998
147,2020-04-20,close,neutral,,0.60382,6.000000000000449,10498.670399999979
148,2020-04-20,open,short,0.60382,,,10498.670199999979
149,2020-04-23,close,neutral,,0.60077,30.49999999999997,10529.169999999978
150,2020-04-23,open,long,0.60077,,,10529.169799999978
151,2020-04-30,close,neutral,,0.61266,118.89999999999957,10648.069599999977
152,2020-04-30,open,short,0.61266,,,10648.069399999977
153,2020-05-05,close,neutral,,0.60534,73.19999999999993,10721.269199999977
154,2020-05-05,open,long,0.60534,,,10721.268999999977
155,2020-05-06,close,neutral,,0.6011,-42.40000000000022,10678.868799999977
156,2020-05-06,open,short,0.6011,,,10678.868599999976
157,2020-05-07,close,neutral,,0.60869,-75.89999999999986,10602.968399999976
158,2020-05-07,open,long,0.60869,,,10602.968199999976
159,2020-05-11,close,neutral,,0.60741,-12.799999999999478,10590.167999999976
160,2020-05-11,open,short,0.60741,,,10590.167799999976
161,2020-05-12,close,neutral,,0.60751,-0.9999999999998899,10589.167599999975
162,2020-05-12,open,long,0.60751,,,10589.167399999975
163,2020-05-13,close,neutral,,0.59934,-81.7000000000001,10507.467199999975
164,2020-05-13,open,short,0.59934,,,10507.466999999975
165,2020-05-14,close,neutral,,0.59951,-1.7000000000000348,10505.766799999976
166,2020-05-14,open,long,0.59951,,,10505.766599999975
167,2020-05-15,close,neutral,,0.59337,-61.40000000000035,10444.366399999975
168,2020-05-15,open,short,0.59337,,,10444.366199999975
169,2020-05-18,close,neutral,,0.60385,-104.80000000000045,10339.565999999975
170,2020-05-18,open,long,0.60385,,,10339.565799999975
171,2020-05-21,close,neutral,,0.61234,84.89999999999998,10424.465599999974
172,2020-05-21,open,short,0.61234,,,10424.465399999974
173,2020-05-25,close,neutral,,0.61025,20.90000000000036,10445.365199999975
174,2020-05-25,open,long,0.61025,,,10445.364999999974
175,2020-05-27,close,neutral,,0.61889,86.40000000000092,10531.764799999975
176,2020-05-27,open,short,0.61889,,,10531.764599999975
177,2020-05-28,close,neutral,,0.62112,-22.299999999999542,10509.464399999975
178,2020-05-28,open,long,0.62112,,,10509.464199999975
179,2020-05-29,close,neutral,,0.62079,-3.3000000000005247,10506.163999999975
180,2020-05-29,open,short,0.62079,,,10506.163799999975
181,2020-06-01,close,neutral,,0.62963,-88.4000000000007,10417.763599999975
182,2020-06-01,open,long,0.62963,,,10417.763399999974
183,2020-06-09,close,neutral,,0.65142,217.89999999999975,10635.663199999974
184,2020-06-09,open,short,0.65142,,,10635.662999999973
185,2020-06-10,close,neutral,,0.65371,-22.90000000000014,10612.762799999973
186,2020-06-10,open,long,0.65371,,,10612.762599999973
187,2020-06-11,close,neutral,,0.643,-107.09999999999997,10505.662399999972
188,2020-06-11,open,short,0.643,,,10505.662199999972
189,2020-06-12,close,neutral,,0.64504,-20.39999999999931,10485.261999999972
190,2020-06-12,open,long,0.64504,,,10485.261799999971
191,2020-06-15,close,neutral,,0.64731,22.700000000001054,10507.961599999971
192,2020-06-15,open,short,0.64731,,,10507.961399999971
193,2020-06-22,close,neutral,,0.64822,-9.099999999999664,10498.861199999972
194,2020-06-22,open,long,0.64822,,,10498.860999999972
195,2020-06-24,close,neutral,,0.64092,-72.99999999999973,10425.860799999971
196,2020-06-24,open,short,0.64092,,,10425.86059999997
197,2020-06-25,close,neutral,,0.64306,-21.399999999999196,10404.46039999997
198,2020-06-25,open,long,0.64306,,,10404.46019999997
199,2020-07-07,close,neutral,,0.65459,115.30000000000041,10519.759999999971
200,2020-07-07,open,short,0.65459,,,10519.75979999997
201,2020-07-08,close,neutral,,0.65771,-31.200000000000117,10488.559599999971
202,2020-07-08,open,long,0.65771,,,10488.559399999971
203,2020-07-09,close,neutral,,0.65687,-8.40000000000063,10480.159199999971
204,2020-07-09,open,short,0.65687,,,10480.15899999997
205,2020-07-10,close,neutral,,0.65705,-1.80000000000069,10478.358799999969
206,2020-07-10,open,long,0.65705,,,10478.358599999969
207,2020-07-13,close,neutral,,0.65383,-32.2,10446.15839999997
208,2020-07-13,open,short,0.65383,,,10446.158199999969
209,2020-07-15,close,neutral,,0.65711,-32.7999999999995,10413.35799999997
210,2020-07-15,open,long,0.65711,,,10413.357799999969
211,2020-07-16,close,neutral,,0.65355,-35.60000000000008,10377.757599999968
212,2020-07-16,open,short,0.65355,,,10377.757399999968
213,2020-07-17,close,neutral,,0.6556,-20.499999999999964,10357.257199999967
214,2020-07-17,open,long,0.6556,,,10357.256999999967
215,2020-07-23,close,neutral,,0.66337,77.70000000000054,10434.956799999967
216,2020-07-23,open,short,0.66337,,,10434.956599999967
217,2020-07-24,close,neutral,,0.66423,-8.599999999999719,10426.356399999968
218,2020-07-24,open,long,0.66423,,,10426.356199999967
219,2020-07-28,close,neutral,,0.66584,16.1,10442.455999999967
220,2020-07-28,open,short,0.66584,,,10442.455799999967
221,2020-07-29,close,neutral,,0.66681,-9.700000000000264,10432.755599999966
222,2020-07-29,open,long,0.66681,,,10432.755399999965
