,time,action,position,entry_price,close_price,profit,balance
0,2023-11-21,open,long,0.3691,,,9999.9998
1,2023-12-11,close,neutral,,0.5515,1824.0,11823.9996
2,2023-12-11,open,short,0.5515,,,11823.999399999999
3,2023-12-13,close,neutral,,0.6475,-959.9999999999998,10863.999199999998
4,2023-12-13,open,long,0.6475,,,10863.998999999998
5,2023-12-14,close,neutral,,0.6348,-126.99999999999933,10736.9988
6,2023-12-14,open,short,0.6348,,,10736.998599999999
7,2023-12-21,close,neutral,,0.6244,104.00000000000075,10840.9984
8,2023-12-21,open,long,0.6244,,,10840.9982
9,2023-12-22,close,neutral,,0.6219,-24.999999999999467,10815.998000000001
10,2023-12-22,open,short,0.6219,,,10815.997800000001
11,2023-12-25,close,neutral,,0.6206,12.999999999999678,10828.9976
12,2023-12-25,open,long,0.6206,,,10828.9974
13,2023-12-26,close,neutral,,0.6018,-188.0000000000004,10640.9972
14,2023-12-26,open,short,0.6018,,,10640.997
15,2023-12-27,close,neutral,,0.6375,-356.99999999999955,10283.996799999999
16,2023-12-27,open,long,0.6375,,,10283.996599999999
17,2023-12-28,close,neutral,,0.6153,-221.99999999999997,10061.996399999998
18,2023-12-28,open,short,0.6153,,,10061.996199999998
19,2023-12-31,close,neutral,,0.6026,126.99999999999933,10188.995999999997
20,2023-12-31,open,long,0.6026,,,10188.995799999997
21,2024-01-02,close,neutral,,0.6038,11.999999999999789,10200.995599999997
22,2024-01-02,open,short,0.6038,,,10200.995399999996
23,2024-01-10,close,neutral,,0.5505,533.0000000000001,10733.995199999996
24,2024-01-10,open,long,0.5505,,,10733.994999999995
25,2024-01-11,close,neutral,,0.5795,290.0000000000003,11023.994799999995
26,2024-01-11,open,short,0.5795,,,11023.994599999995
27,2024-01-16,close,neutral,,0.5432,363.0,11386.994399999994
28,2024-01-16,open,long,0.5432,,,11386.994199999994
29,2024-01-17,close,neutral,,0.5284,-148.00000000000034,11238.993999999993
30,2024-01-17,open,short,0.5284,,,11238.993799999993
31,2024-01-20,close,neutral,,0.5136,148.00000000000034,11386.993599999993
32,2024-01-20,open,long,0.5136,,,11386.993399999992
33,2024-01-22,close,neutral,,0.4838,-297.9999999999994,11088.993199999994
34,2024-01-22,open,short,0.4838,,,11088.992999999993
35,2024-01-24,close,neutral,,0.4703,135.0000000000001,11223.992799999993
36,2024-01-24,open,long,0.4703,,,11223.992599999992
37,2024-01-31,close,neutral,,0.4962,258.9999999999998,11482.992399999992
38,2024-01-31,open,short,0.4962,,,11482.992199999991
39,2024-02-01,close,neutral,,0.5026,-64.00000000000072,11418.991999999991
40,2024-02-01,open,long,0.5026,,,11418.99179999999
41,2024-02-05,close,neutral,,0.4902,-124.00000000000023,11294.99159999999
42,2024-02-05,open,short,0.4902,,,11294.99139999999
43,2024-02-06,close,neutral,,0.4997,-94.99999999999953,11199.99119999999
44,2024-02-06,open,long,0.4997,,,11199.990999999989
45,2024-02-13,close,neutral,,0.5446,448.99999999999994,11648.990799999989
46,2024-02-13,open,short,0.5446,,,11648.990599999988
47,2024-02-14,close,neutral,,0.577,-323.99999999999983,11324.990399999988
48,2024-02-14,open,long,0.577,,,11324.990199999987
49,2024-02-20,close,neutral,,0.6288,518.0000000000007,11842.989999999989
50,2024-02-20,open,short,0.6288,,,11842.989799999988
51,2024-02-24,close,neutral,,0.5979,309.0000000000004,12151.989599999988
52,2024-02-24,open,long,0.5979,,,12151.989399999988
53,2024-02-25,close,neutral,,0.5881,-98.00000000000031,12053.989199999987
54,2024-02-25,open,short,0.5881,,,12053.988999999987
55,2024-02-26,close,neutral,,0.6185,-304.0000000000009,11749.988799999986
56,2024-02-26,open,long,0.6185,,,11749.988599999986
57,2024-02-28,close,neutral,,0.6266,80.99999999999996,11830.988399999986
58,2024-02-28,open,short,0.6266,,,11830.988199999985
59,2024-03-01,close,neutral,,0.6936,-669.9999999999994,11160.987999999987
60,2024-03-01,open,long,0.6936,,,11160.987799999986
61,2024-03-03,close,neutral,,0.7267,331.00000000000017,11491.987599999986
62,2024-03-03,open,short,0.7267,,,11491.987399999985
63,2024-03-09,close,neutral,,0.7423,-155.99999999999946,11335.987199999987
64,2024-03-09,open,long,0.7423,,,11335.986999999986
65,2024-03-10,close,neutral,,0.7197,-225.99999999999955,11109.986799999986
66,2024-03-10,open,short,0.7197,,,11109.986599999986
67,2024-03-23,close,neutral,,0.6303,894.0000000000003,12003.986399999985
68,2024-03-23,open,long,0.6303,,,12003.986199999985
69,2024-03-26,close,neutral,,0.6604,301.00000000000017,12304.985999999984
70,2024-03-26,open,short,0.6604,,,12304.985799999984
71,2024-03-28,close,neutral,,0.6501,102.99999999999976,12407.985599999984
72,2024-03-28,open,long,0.6501,,,12407.985399999983
73,2024-03-29,close,neutral,,0.6473,-28.00000000000025,12379.985199999983
74,2024-03-29,open,short,0.6473,,,12379.984999999982
75,2024-03-30,close,neutral,,0.6496,-22.999999999999687,12356.984799999982
76,2024-03-30,open,long,0.6496,,,12356.984599999982
77,2024-04-01,close,neutral,,0.6193,-302.99999999999994,12053.984399999981
78,2024-04-01,open,short,0.6193,,,12053.98419999998
79,2024-04-06,close,neutral,,0.5823,369.9999999999992,12423.98399999998
80,2024-04-06,open,long,0.5823,,,12423.98379999998
81,2024-04-09,close,neutral,,0.6005,181.99999999999994,12605.98359999998
82,2024-04-09,open,short,0.6005,,,12605.98339999998
83,2024-04-11,close,neutral,,0.5877,128.00000000000034,12733.983199999979
84,2024-04-11,open,long,0.5877,,,12733.982999999978
85,2024-04-12,close,neutral,,0.4926,-951.0000000000002,11782.982799999978
86,2024-04-12,open,short,0.4926,,,11782.982599999978
87,2024-04-18,close,neutral,,0.455,375.99999999999966,12158.982399999977
88,2024-04-18,open,long,0.455,,,12158.982199999977
89,2024-04-19,close,neutral,,0.4675,125.00000000000011,12283.981999999976
