,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2023-08-09,-1,0.12794806,-1,3.7009,
1,2023-08-10,1,0.80647385,1,3.7214,3.7009
2,2023-08-11,1,0.42137972,1,3.731,3.7214
3,2023-08-14,1,0.7210684,1,3.7547,3.731
4,2023-08-15,-1,0.21296638,-1,3.7461,3.7547
5,2023-08-16,1,0.83450097,1,3.7675,3.7461
6,2023-08-17,1,0.69673455,1,3.7842,3.7675
7,2023-08-18,1,0.77845633,1,3.7953,3.7842
8,2023-08-21,-1,0.2240189,1,3.7784,3.7953
9,2023-08-22,1,0.60557675,1,3.7845,3.7784
10,2023-08-23,-1,0.03623373,-1,3.754,3.7845
11,2023-08-24,1,0.87794536,1,3.7886,3.754
12,2023-08-25,1,0.37561426,1,3.7968,3.7886
13,2023-08-28,1,0.5062473,1,3.7978,3.7968
14,2023-08-29,-1,0.15289055,-1,3.7842,3.7978
15,2023-08-30,1,0.4619771,1,3.7901,3.7842
16,2023-08-31,1,0.58390814,1,3.8031,3.7901
17,2023-09-01,-1,0.2024846,-1,3.7963,3.8031
18,2023-09-04,-1,0.12356866,-1,3.782,3.7963
19,2023-09-05,1,0.62445486,1,3.7979,3.782
20,2023-09-06,1,0.889449,1,3.8347,3.7979
21,2023-09-07,1,0.66166216,1,3.8496,3.8347
22,2023-09-08,1,0.64024395,1,3.8499,3.8496
23,2023-09-11,-1,0.013156742,-1,3.7911,3.8499
24,2023-09-12,-1,0.04158012,-1,3.7583,3.7911
25,2023-09-13,1,0.94983506,1,3.8222,3.7583
26,2023-09-14,-1,0.06484268,-1,3.8196,3.8222
27,2023-09-15,-1,0.05593015,-1,3.814,3.8196
28,2023-09-18,1,0.28001118,1,3.8177,3.814
29,2023-09-19,-1,0.1848398,-1,3.8065,3.8177
30,2023-09-20,1,0.23072538,1,3.8108,3.8065
31,2023-09-21,1,0.3516861,1,3.8121,3.8108
32,2023-09-22,-1,0.31945658,1,3.809,3.8121
33,2023-09-25,-1,0.05051067,-1,3.8039,3.809
34,2023-09-26,1,0.23508306,1,3.8324,3.8039
35,2023-09-27,1,0.702566,1,3.8501,3.8324
36,2023-09-28,-1,0.119484074,-1,3.8313,3.8501
37,2023-09-29,-1,0.19781616,-1,3.8143,3.8313
38,2023-10-02,1,0.8577227,1,3.8423,3.8143
39,2023-10-03,1,0.1888394,-1,3.8489,3.8423
40,2023-10-04,-1,0.030636245,-1,3.8467,3.8489
41,2023-10-05,1,0.2907112,1,3.8595,3.8467
42,2023-10-06,-1,0.13557725,-1,3.8439,3.8595
43,2023-10-09,1,0.99315166,1,3.9415,3.8439
44,2023-10-10,1,0.47657764,1,3.9449,3.9415
45,2023-10-11,1,0.95556575,1,3.9581,3.9449
46,2023-10-12,1,0.93288684,1,3.9672,3.9581
47,2023-10-13,-1,0.5288753,1,3.9474,3.9672
48,2023-10-16,1,0.99064076,1,4.0176,3.9474
49,2023-10-17,-1,0.57011145,1,4.0159,4.0176
50,2023-10-18,1,0.93750644,1,4.0273,4.0159
51,2023-10-19,1,0.94080174,1,4.0439,4.0273
52,2023-10-20,1,0.9325318,1,4.0563,4.0439
53,2023-10-23,-1,0.44415402,1,4.0361,4.0563
54,2023-10-24,1,0.94146377,1,4.0576,4.0361
55,2023-10-25,1,0.8408607,1,4.0645,4.0576
56,2023-10-26,1,0.9174563,1,4.0788,4.0645
57,2023-10-27,-1,0.65376,1,4.071,4.0788
58,2023-10-30,-1,0.020429865,-1,4.0132,4.071
59,2023-10-31,1,0.8769315,1,4.0393,4.0132
60,2023-11-01,-1,0.014829885,-1,3.994,4.0393
61,2023-11-02,-1,0.38410115,1,3.9861,3.994
62,2023-11-03,-1,0.023909464,-1,3.9139,3.9861
63,2023-11-06,-1,0.20255779,-1,3.8727,3.9139
64,2023-11-07,-1,0.5207925,1,3.871,3.8727
65,2023-11-08,-1,0.12731892,-1,3.8239,3.871
66,2023-11-09,1,0.95326954,1,3.8504,3.8239
67,2023-11-10,-1,0.67092466,1,3.8467,3.8504
68,2023-11-13,1,0.88425165,1,3.8524,3.8467
69,2023-11-14,-1,0.065706104,-1,3.7554,3.8524
70,2023-11-15,1,0.97920954,1,3.774,3.7554
71,2023-11-16,-1,0.36645666,1,3.7295,3.774
72,2023-11-17,-1,0.87818617,1,3.7121,3.7295
73,2023-11-20,-1,0.84310937,1,3.7038,3.7121
74,2023-11-21,1,0.9628079,1,3.7234,3.7038
75,2023-11-22,1,0.9440679,1,3.7323,3.7234
76,2023-11-23,1,0.9533643,1,3.7373,3.7323
77,2023-11-24,1,0.93252605,1,3.7374,3.7373
78,2023-11-27,-1,0.5830665,1,3.7001,3.7374
79,2023-11-28,-1,0.7680237,1,3.6754,3.7001
80,2023-11-29,1,0.90383625,1,3.6809,3.6754
81,2023-11-30,1,0.9867992,1,3.729,3.6809
82,2023-12-01,-1,0.7525317,1,3.7048,3.729
83,2023-12-04,1,0.9829642,1,3.728,3.7048
84,2023-12-05,-1,0.8877067,1,3.7195,3.728
85,2023-12-06,-1,0.8793856,1,3.7095,3.7195
86,2023-12-07,-1,0.79463464,1,3.7,3.7095
87,2023-12-08,-1,0.77610934,1,3.6976,3.7
88,2023-12-11,1,0.93124187,1,3.715,3.6976
89,2023-12-12,-1,0.7482608,1,3.7103,3.715
90,2023-12-13,-1,0.13686138,-1,3.6643,3.7103
91,2023-12-14,1,0.8278105,1,3.6722,3.6643
92,2023-12-15,1,0.6044498,1,3.6733,3.6722
93,2023-12-18,-1,0.46998578,1,3.6624,3.6733
94,2023-12-19,-1,0.38063923,1,3.6467,3.6624
95,2023-12-20,-1,0.4003151,1,3.6389,3.6467
96,2023-12-21,-1,0.201126,-1,3.6137,3.6389
97,2023-12-22,-1,0.33106992,1,3.6006,3.6137
98,2023-12-26,1,0.86165315,1,3.6194,3.6006
99,2023-12-27,-1,0.42027718,1,3.6109,3.6194
100,2023-12-28,1,0.8038456,1,3.6183,3.6109
101,2023-12-29,-1,0.3891171,1,3.603,3.6183
102,2024-01-02,1,0.98182595,1,3.6578,3.603
103,2024-01-03,-1,0.5468892,1,3.655,3.6578
104,2024-01-04,-1,0.7122503,1,3.6514,3.655
105,2024-01-05,1,0.9204784,1,3.6758,3.6514
106,2024-01-08,1,0.8383295,1,3.696,3.6758
107,2024-01-09,1,0.92808044,1,3.7307,3.696
108,2024-01-10,1,0.71821564,1,3.7385,3.7307
109,2024-01-11,-1,0.5807275,1,3.7337,3.7385
110,2024-01-12,-1,0.36849692,1,3.7174,3.7337
111,2024-01-15,1,0.93990934,1,3.7567,3.7174
112,2024-01-16,1,0.6272969,1,3.7761,3.7567
113,2024-01-17,1,0.666965,1,3.784,3.7761
114,2024-01-18,-1,0.06361542,-1,3.758,3.784
115,2024-01-19,-1,0.06241961,-1,3.7344,3.758
116,2024-01-22,1,0.29110444,1,3.7455,3.7344
117,2024-01-23,1,0.23860241,1,3.7552,3.7455
118,2024-01-24,-1,0.011089753,-1,3.6952,3.7552
119,2024-01-25,1,0.41365322,1,3.7052,3.6952
120,2024-01-26,-1,0.04709313,-1,3.6931,3.7052
121,2024-01-29,-1,0.026468802,-1,3.6485,3.6931
122,2024-01-30,1,0.34627503,1,3.6553,3.6485
123,2024-01-31,-1,0.1125541,-1,3.6484,3.6553
124,2024-02-01,-1,0.14394411,-1,3.6437,3.6484
125,2024-02-02,1,0.532805,1,3.6602,3.6437
126,2024-02-05,1,0.34503448,1,3.6648,3.6602
127,2024-02-06,-1,0.14700034,-1,3.6477,3.6648
128,2024-02-07,1,0.43991944,1,3.6527,3.6477
129,2024-02-08,1,0.9051102,1,3.6837,3.6527
130,2024-02-09,-1,0.38097936,1,3.6757,3.6837
131,2024-02-12,-1,0.15903206,-1,3.65,3.6757
132,2024-02-13,1,0.85951364,1,3.6761,3.65
133,2024-02-14,-1,0.04843964,-1,3.6416,3.6761
134,2024-02-15,-1,0.1234936,-1,3.6187,3.6416
135,2024-02-16,-1,0.12270446,-1,3.6035,3.6187
136,2024-02-19,1,0.7663792,1,3.6321,3.6035
137,2024-02-20,1,0.90579426,1,3.6851,3.6321
138,2024-02-21,-1,0.12287662,-1,3.6685,3.6851
139,2024-02-22,-1,0.045699902,-1,3.6233,3.6685
140,2024-02-23,-1,0.26442236,1,3.623,3.6233
141,2024-02-26,1,0.20239908,-1,3.6272,3.623
142,2024-02-27,-1,0.07611586,-1,3.6024000000000003,3.6272
143,2024-02-28,-1,0.19132277,-1,3.5947,3.6024000000000003
144,2024-02-29,-1,0.059493862,-1,3.5668,3.5947
145,2024-03-01,-1,0.08769441,-1,3.544,3.5668
146,2024-03-04,1,0.79988784,1,3.5749,3.544
147,2024-03-05,1,0.37066287,1,3.5839,3.5749
