time,Actual Movement,Predictions,Predicted
2023-08-09,-1,0.12794806,-1
2023-08-10,1,0.80647385,1
2023-08-11,1,0.42137972,1
2023-08-14,1,0.7210684,1
2023-08-15,-1,0.21296638,-1
2023-08-16,1,0.83450097,1
2023-08-17,1,0.69673455,1
2023-08-18,1,0.77845633,1
2023-08-21,-1,0.2240189,1
2023-08-22,1,0.60557675,1
2023-08-23,-1,0.03623373,-1
2023-08-24,1,0.87794536,1
2023-08-25,1,0.37561426,1
2023-08-28,1,0.5062473,1
2023-08-29,-1,0.15289055,-1
2023-08-30,1,0.4619771,1
2023-08-31,1,0.58390814,1
2023-09-01,-1,0.2024846,-1
2023-09-04,-1,0.12356866,-1
2023-09-05,1,0.62445486,1
2023-09-06,1,0.889449,1
2023-09-07,1,0.66166216,1
2023-09-08,1,0.64024395,1
2023-09-11,-1,0.013156742,-1
2023-09-12,-1,0.04158012,-1
2023-09-13,1,0.94983506,1
2023-09-14,-1,0.06484268,-1
2023-09-15,-1,0.05593015,-1
2023-09-18,1,0.28001118,1
2023-09-19,-1,0.1848398,-1
2023-09-20,1,0.23072538,1
2023-09-21,1,0.3516861,1
2023-09-22,-1,0.31945658,1
2023-09-25,-1,0.05051067,-1
2023-09-26,1,0.23508306,1
2023-09-27,1,0.702566,1
2023-09-28,-1,0.119484074,-1
2023-09-29,-1,0.19781616,-1
2023-10-02,1,0.8577227,1
2023-10-03,1,0.1888394,-1
2023-10-04,-1,0.030636245,-1
2023-10-05,1,0.2907112,1
2023-10-06,-1,0.13557725,-1
2023-10-09,1,0.99315166,1
2023-10-10,1,0.47657764,1
2023-10-11,1,0.95556575,1
2023-10-12,1,0.93288684,1
2023-10-13,-1,0.5288753,1
2023-10-16,1,0.99064076,1
2023-10-17,-1,0.57011145,1
2023-10-18,1,0.93750644,1
2023-10-19,1,0.94080174,1
2023-10-20,1,0.9325318,1
2023-10-23,-1,0.44415402,1
2023-10-24,1,0.94146377,1
2023-10-25,1,0.8408607,1
2023-10-26,1,0.9174563,1
2023-10-27,-1,0.65376,1
2023-10-30,-1,0.020429865,-1
2023-10-31,1,0.8769315,1
2023-11-01,-1,0.014829885,-1
2023-11-02,-1,0.38410115,1
2023-11-03,-1,0.023909464,-1
2023-11-06,-1,0.20255779,-1
2023-11-07,-1,0.5207925,1
2023-11-08,-1,0.12731892,-1
2023-11-09,1,0.95326954,1
2023-11-10,-1,0.67092466,1
2023-11-13,1,0.88425165,1
2023-11-14,-1,0.065706104,-1
2023-11-15,1,0.97920954,1
2023-11-16,-1,0.36645666,1
2023-11-17,-1,0.87818617,1
2023-11-20,-1,0.84310937,1
2023-11-21,1,0.9628079,1
2023-11-22,1,0.9440679,1
2023-11-23,1,0.9533643,1
2023-11-24,1,0.93252605,1
2023-11-27,-1,0.5830665,1
2023-11-28,-1,0.7680237,1
2023-11-29,1,0.90383625,1
2023-11-30,1,0.9867992,1
2023-12-01,-1,0.7525317,1
2023-12-04,1,0.9829642,1
2023-12-05,-1,0.8877067,1
2023-12-06,-1,0.8793856,1
2023-12-07,-1,0.79463464,1
2023-12-08,-1,0.77610934,1
2023-12-11,1,0.93124187,1
2023-12-12,-1,0.7482608,1
2023-12-13,-1,0.13686138,-1
2023-12-14,1,0.8278105,1
2023-12-15,1,0.6044498,1
2023-12-18,-1,0.46998578,1
2023-12-19,-1,0.38063923,1
2023-12-20,-1,0.4003151,1
2023-12-21,-1,0.201126,-1
2023-12-22,-1,0.33106992,1
2023-12-26,1,0.86165315,1
2023-12-27,-1,0.42027718,1
2023-12-28,1,0.8038456,1
2023-12-29,-1,0.3891171,1
2024-01-02,1,0.98182595,1
2024-01-03,-1,0.5468892,1
2024-01-04,-1,0.7122503,1
2024-01-05,1,0.9204784,1
2024-01-08,1,0.8383295,1
2024-01-09,1,0.92808044,1
2024-01-10,1,0.71821564,1
2024-01-11,-1,0.5807275,1
2024-01-12,-1,0.36849692,1
2024-01-15,1,0.93990934,1
2024-01-16,1,0.6272969,1
2024-01-17,1,0.666965,1
2024-01-18,-1,0.06361542,-1
2024-01-19,-1,0.06241961,-1
2024-01-22,1,0.29110444,1
2024-01-23,1,0.23860241,1
2024-01-24,-1,0.011089753,-1
2024-01-25,1,0.41365322,1
2024-01-26,-1,0.04709313,-1
