time,Actual Movement,Predictions,Predicted
2023-11-21,-1,0.47088358,1
2023-11-22,1,0.64007837,1
2023-11-23,-1,0.5707755,1
2023-11-24,1,0.67674375,1
2023-11-25,1,0.6963379,1
2023-11-26,-1,0.67896575,1
2023-11-27,-1,0.54558533,1
2023-11-28,1,0.6860913,1
2023-11-29,-1,0.5936329,1
2023-11-30,1,0.76232654,1
2023-12-01,-1,0.69551873,1
2023-12-02,1,0.7529455,1
2023-12-03,-1,0.67158395,1
2023-12-04,1,0.6800058,1
2023-12-05,1,0.7574913,1
2023-12-06,1,0.6867668,1
2023-12-07,1,0.70587933,1
2023-12-08,1,0.7751237,1
2023-12-09,1,0.75769734,1
2023-12-10,1,0.736684,1
2023-12-11,-1,0.37136224,-1
2023-12-12,1,0.5680552,1
2023-12-13,1,0.65065104,1
2023-12-14,1,0.5858566,1
2023-12-15,-1,0.36214638,-1
2023-12-16,-1,0.43140447,1
2023-12-17,-1,0.33128044,-1
2023-12-18,-1,0.35202572,-1
2023-12-19,-1,0.3202773,-1
2023-12-20,1,0.42448267,1
2023-12-21,1,0.7955638,1
2023-12-22,-1,0.41018206,1
2023-12-23,1,0.5988223,1
2023-12-24,1,0.59586406,1
2023-12-25,1,0.5860074,1
2023-12-26,-1,0.3577765,-1
2023-12-27,1,0.47744352,1
2023-12-28,-1,0.2834209,-1
2023-12-29,-1,0.3006802,-1
2023-12-30,1,0.38659182,-1
2023-12-31,-1,0.35016626,-1
2024-01-01,1,0.45731068,1
2024-01-02,-1,0.33763075,-1
2024-01-03,-1,0.22749706,-1
2024-01-04,1,0.29067266,-1
2024-01-05,-1,0.22720599,-1
2024-01-06,-1,0.2506304,-1
2024-01-07,-1,0.25987315,-1
2024-01-08,1,0.37885106,-1
2024-01-09,-1,0.26961085,-1
2024-01-10,1,0.5848281,1
2024-01-11,1,0.5081809,1
2024-01-12,-1,0.31850994,-1
2024-01-13,-1,0.38190642,-1
2024-01-14,-1,0.33886498,-1
2024-01-15,1,0.36689198,-1
2024-01-16,1,0.37857133,-1
2024-01-17,-1,0.3081612,-1
2024-01-18,-1,0.2624347,-1
2024-01-19,-1,0.28069434,-1
2024-01-20,1,0.3260565,-1
2024-01-21,-1,0.32645673,-1
2024-01-22,-1,0.2641649,-1
2024-01-23,-1,0.27591863,-1
2024-01-24,1,0.34786946,-1
2024-01-25,1,0.3873349,-1
2024-01-26,1,0.5371158,1
2024-01-27,1,0.51197016,1
2024-01-28,1,0.5516518,1
2024-01-29,1,0.7058227,1
2024-01-30,-1,0.5095495,1
2024-01-31,-1,0.32140645,-1
2024-02-01,1,0.46716172,1
2024-02-02,1,0.49024782,1
2024-02-03,-1,0.48480198,1
2024-02-04,-1,0.3800821,-1
2024-02-05,-1,0.35554332,-1
2024-02-06,1,0.44702566,1
2024-02-07,1,0.5691405,1
2024-02-08,1,0.63146913,1
2024-02-09,1,0.65586585,1
2024-02-10,1,0.6501917,1
2024-02-11,-1,0.44081935,1
2024-02-12,1,0.57451916,1
2024-02-13,1,0.5577753,1
2024-02-14,1,0.69665015,1
2024-02-15,1,0.63753444,1
2024-02-16,-1,0.5628436,1
2024-02-17,1,0.6204596,1
2024-02-18,1,0.6757217,1
2024-02-19,1,0.6775773,1
2024-02-20,-1,0.3713237,-1
2024-02-21,-1,0.2745381,-1
2024-02-22,1,0.4161537,1
2024-02-23,1,0.42932057,1
2024-02-24,1,0.61851966,1
2024-02-25,-1,0.48539636,1
2024-02-26,1,0.60876006,1
2024-02-27,1,0.6287931,1
2024-02-28,-1,0.46117494,1
2024-02-29,1,0.5198758,1
2024-03-01,1,0.6145081,1
2024-03-02,1,0.7496918,1
2024-03-03,1,0.68203455,1
2024-03-04,1,0.6143951,1
2024-03-05,-1,0.25630587,-1
2024-03-06,1,0.57941,1
2024-03-07,-1,0.39995885,-1
2024-03-08,-1,0.44259688,1
2024-03-09,1,0.46436587,1
2024-03-10,-1,0.37544754,-1
2024-03-11,1,0.5427165,1
2024-03-12,-1,0.26380786,-1
2024-03-13,1,0.39444563,-1
2024-03-14,1,0.3694971,-1
2024-03-15,-1,0.20532422,-1
2024-03-16,-1,0.2076081,-1
2024-03-17,1,0.2622553,-1
2024-03-18,-1,0.22430724,-1
2024-03-19,-1,0.19365725,-1
2024-03-20,1,0.30896765,-1
2024-03-21,-1,0.26413202,-1
2024-03-22,-1,0.25391325,-1
2024-03-23,1,0.37097925,-1
2024-03-24,1,0.40488955,1
2024-03-25,1,0.5293276,1
2024-03-26,-1,0.39401624,-1
2024-03-27,-1,0.36598134,-1
2024-03-28,1,0.4139016,1
2024-03-29,-1,0.3857271,-1
2024-03-30,-1,0.39898106,-1
2024-03-31,1,0.4412848,1
2024-04-01,-1,0.25692114,-1
2024-04-02,-1,0.23122938,-1
2024-04-03,-1,0.2494009,-1
2024-04-04,1,0.290284,-1
2024-04-05,-1,0.28339493,-1
2024-04-06,1,0.31980547,-1
2024-04-07,1,0.40094677,-1
2024-04-08,1,0.5971297,1
2024-04-09,-1,0.38880026,-1
2024-04-10,-1,0.29641512,-1
2024-04-11,-1,0.32634804,-1
2024-04-12,-1,0.22548556,-1
2024-04-13,-1,0.23160309,-1
2024-04-14,1,0.4139551,1
2024-04-15,1,0.32948682,-1
2024-04-16,-1,0.33632445,-1
2024-04-17,-1,0.3331087,-1
2024-04-18,1,0.42927647,1
2024-04-19,-1,0.3665582,-1
