,time,action,position,entry_price,close_price,profit,balance
0,2023-11-21,open,long,4.996,,,9999.9998
1,2023-12-11,close,neutral,,6.712,17159.999999999993,27159.999599999996
2,2023-12-11,open,short,6.712,,,27159.999399999997
3,2023-12-12,close,neutral,,6.943,-2309.9999999999986,24849.9992
4,2023-12-12,open,long,6.943,,,24849.999
5,2023-12-15,close,neutral,,7.054,1110.0000000000066,25959.998800000005
6,2023-12-15,open,short,7.054,,,25959.998600000006
7,2023-12-16,close,neutral,,7.047,70.00000000000561,26029.99840000001
8,2023-12-16,open,long,7.047,,,26029.998200000013
9,2023-12-17,close,neutral,,6.854,-1929.9999999999961,24099.998000000018
10,2023-12-17,open,short,6.854,,,24099.99780000002
11,2023-12-20,close,neutral,,6.869,-149.99999999999682,23949.99760000002
12,2023-12-20,open,long,6.869,,,23949.997400000022
13,2023-12-26,close,neutral,,8.736,18670.000000000007,42619.99720000003
14,2023-12-26,open,short,8.736,,,42619.997000000025
15,2023-12-27,close,neutral,,8.801,-649.999999999995,41969.99680000003
16,2023-12-27,open,long,8.801,,,41969.99660000003
17,2023-12-28,close,neutral,,8.349,-4520.0,37449.996400000025
18,2023-12-28,open,short,8.349,,,37449.99620000002
19,2024-01-01,close,neutral,,8.535,-1859.9999999999995,35589.99600000002
20,2024-01-01,open,long,8.535,,,35589.99580000002
21,2024-01-02,close,neutral,,8.398,-1370.0000000000045,34219.99560000002
22,2024-01-02,open,short,8.398,,,34219.995400000014
23,2024-01-10,close,neutral,,7.774,6239.999999999996,40459.99520000001
24,2024-01-10,open,long,7.774,,,40459.99500000001
25,2024-01-12,close,neutral,,7.656,-1180.0000000000032,39279.99480000001
26,2024-01-12,open,short,7.656,,,39279.994600000005
27,2024-01-26,close,neutral,,6.645,10110.000000000002,49389.99440000001
28,2024-01-26,open,long,6.645,,,49389.99420000001
29,2024-01-31,close,neutral,,6.617,-279.9999999999958,49109.99400000001
30,2024-01-31,open,short,6.617,,,49109.99380000001
31,2024-02-01,close,neutral,,6.767,-1500.0000000000036,47609.99360000001
32,2024-02-01,open,long,6.767,,,47609.99340000001
33,2024-02-04,close,neutral,,6.744,-230.00000000000574,47379.993200000004
34,2024-02-04,open,short,6.744,,,47379.993
35,2024-02-06,close,neutral,,6.779,-350.0000000000014,47029.9928
36,2024-02-06,open,long,6.779,,,47029.9926
37,2024-02-20,close,neutral,,7.696,9169.999999999998,56199.992399999996
38,2024-02-20,open,short,7.696,,,56199.99219999999
39,2024-02-22,close,neutral,,7.568,1280.0000000000011,57479.99199999999
40,2024-02-22,open,long,7.568,,,57479.99179999999
41,2024-03-05,close,neutral,,9.172,16040.00000000001,73519.9916
42,2024-03-05,open,short,9.172,,,73519.9914
43,2024-03-06,close,neutral,,10.459,-12869.99999999999,60649.991200000004
44,2024-03-06,open,long,10.459,,,60649.991
45,2024-03-07,close,neutral,,10.419,-399.9999999999915,60249.99080000001
46,2024-03-07,open,short,10.419,,,60249.990600000005
47,2024-03-08,close,neutral,,10.411,80.00000000000895,60329.99040000002
48,2024-03-08,open,long,10.411,,,60329.990200000015
49,2024-03-10,close,neutral,,10.261,-1500.0000000000036,58829.99000000001
50,2024-03-10,open,short,10.261,,,58829.98980000001
51,2024-03-11,close,neutral,,11.165,-9040.0,49789.98960000001
52,2024-03-11,open,long,11.165,,,49789.989400000006
53,2024-03-12,close,neutral,,10.603,-5619.999999999994,44169.98920000001
54,2024-03-12,open,short,10.603,,,44169.98900000001
55,2024-03-24,close,neutral,,9.314,12889.999999999996,57059.98880000001
56,2024-03-24,open,long,9.314,,,57059.988600000004
57,2024-03-26,close,neutral,,9.605,2910.0000000000036,59969.98840000001
58,2024-03-26,open,short,9.605,,,59969.98820000001
59,2024-03-28,close,neutral,,9.521,839.9999999999964,60809.988000000005
60,2024-03-28,open,long,9.521,,,60809.9878
61,2024-03-29,close,neutral,,9.494,-270.00000000001023,60539.98759999999
62,2024-03-29,open,short,9.494,,,60539.98739999999
63,2024-03-31,close,neutral,,9.572,-779.9999999999941,59759.987199999996
64,2024-03-31,open,long,9.572,,,59759.986999999994
65,2024-04-01,close,neutral,,9.147,-4249.999999999989,55509.986800000006
66,2024-04-01,open,short,9.147,,,55509.986600000004
67,2024-04-08,close,neutral,,8.992,1549.9999999999936,57059.986399999994
68,2024-04-08,open,long,8.992,,,57059.98619999999
69,2024-04-09,close,neutral,,8.78,-2120.000000000015,54939.985999999975
70,2024-04-09,open,short,8.78,,,54939.98579999997
71,2024-04-14,close,neutral,,6.505,22749.999999999996,77689.98559999997
72,2024-04-14,open,long,6.505,,,77689.98539999998
73,2024-04-15,close,neutral,,6.631,1260.0000000000034,78949.98519999998
74,2024-04-15,open,short,6.631,,,78949.98499999999
75,2024-04-18,close,neutral,,6.759,-1280.0000000000011,77669.98479999999
76,2024-04-18,open,long,6.759,,,77669.9846
77,2024-04-19,close,neutral,,6.703,-560.0000000000005,77109.9844
78,2024-04-19,open,short,6.703,,,77109.9842
79,2024-04-19,close,neutral,,6.703,0.0,77109.98400000001
