time,Actual Movement,Predictions,Predicted
2019-08-23,-1,0.42028046,-1
2019-08-26,1,0.44002423,-1
2019-08-27,1,0.7693889,1
2019-08-28,-1,0.5554029,-1
2019-08-29,1,0.87530375,1
2019-08-30,-1,0.3789935,-1
2019-09-02,-1,0.19402789,-1
2019-09-03,-1,0.08755036,-1
2019-09-04,-1,0.15545674,-1
2019-09-05,1,0.88512236,1
2019-09-06,1,0.86476314,1
2019-09-09,1,0.913273,1
2019-09-10,-1,0.8206389,1
2019-09-11,-1,0.35017294,-1
2019-09-12,1,0.61593765,-1
2019-09-13,1,0.6874745,1
2019-09-16,-1,0.08241046,-1
2019-09-17,1,0.6385219,1
2019-09-18,1,0.652767,1
2019-09-19,-1,0.11020592,-1
2019-09-20,-1,0.055670884,-1
2019-09-23,-1,0.04722114,-1
2019-09-24,-1,0.075764455,-1
2019-09-25,-1,0.10118451,-1
2019-09-26,-1,0.16025183,-1
2019-09-27,-1,0.19268484,-1
2019-09-30,1,0.8323614,1
2019-10-01,-1,0.6701084,1
2019-10-02,1,0.93286586,1
2019-10-03,1,0.935328,1
2019-10-04,-1,0.7729095,1
2019-10-07,-1,0.61315995,-1
2019-10-08,-1,0.21910086,-1
2019-10-09,1,0.8073273,1
2019-10-10,1,0.8786202,1
2019-10-11,1,0.8646081,1
2019-10-14,-1,0.7975012,1
2019-10-15,1,0.83690006,1
2019-10-16,-1,0.79240674,1
2019-10-17,-1,0.21960217,-1
2019-10-18,1,0.35314482,-1
2019-10-21,-1,0.4454367,-1
2019-10-22,1,0.7800017,1
2019-10-23,1,0.8588618,1
2019-10-24,-1,0.68838704,1
2019-10-25,-1,0.6273603,-1
2019-10-28,1,0.8244594,1
2019-10-29,1,0.81786466,1
2019-10-30,-1,0.47592488,-1
2019-10-31,-1,0.06183375,-1
2019-11-01,1,0.19815436,-1
2019-11-04,-1,0.2285258,-1
2019-11-05,-1,0.3444662,-1
2019-11-06,-1,0.3985399,-1
2019-11-07,1,0.7381385,1
2019-11-08,-1,0.710279,1
2019-11-11,-1,0.17262943,-1
2019-11-12,-1,0.11058776,-1
2019-11-13,-1,0.08306353,-1
2019-11-14,-1,0.07811938,-1
2019-11-15,1,0.776343,1
2019-11-18,1,0.8252622,1
2019-11-19,1,0.84005445,1
2019-11-20,1,0.8008929,1
2019-11-21,1,0.80831873,1
2019-11-22,1,0.8125067,1
2019-11-25,-1,0.37264463,-1
2019-11-26,1,0.6966496,1
2019-11-27,1,0.632196,-1
2019-11-28,-1,0.42571843,-1
2019-11-29,1,0.78154325,1
2019-12-02,-1,0.09014226,-1
2019-12-03,-1,0.03071714,-1
2019-12-04,1,0.10863099,-1
2019-12-05,1,0.2846967,-1
2019-12-06,-1,0.2406147,-1
2019-12-09,-1,0.18736996,-1
2019-12-10,-1,0.21945074,-1
2019-12-11,1,0.7696325,1
2019-12-12,1,0.8937924,1
2019-12-13,-1,0.69812036,1
2019-12-16,1,0.7499665,1
2019-12-17,-1,0.46199176,-1
2019-12-18,-1,0.20546092,-1
2019-12-19,-1,0.20949869,-1
2019-12-20,1,0.33331376,-1
2019-12-23,1,0.4764947,-1
2019-12-24,-1,0.21003698,-1
2019-12-26,1,0.7934869,1
2019-12-27,1,0.82464075,1
2019-12-30,-1,0.38342953,-1
2019-12-31,-1,0.42190072,-1
2020-01-02,-1,0.3597507,-1
2020-01-03,-1,0.33008325,-1
2020-01-06,-1,0.20572817,-1
2020-01-07,-1,0.13331088,-1
2020-01-08,-1,0.10942509,-1
2020-01-09,-1,0.09262698,-1
2020-01-10,1,0.2837897,-1
2020-01-13,-1,0.1753263,-1
2020-01-14,-1,0.06442702,-1
2020-01-15,-1,0.06982657,-1
2020-01-16,-1,0.08369468,-1
2020-01-17,-1,0.079973415,-1
2020-01-20,1,0.2521867,-1
2020-01-21,-1,0.20172802,-1
2020-01-22,1,0.30550346,-1
2020-01-23,-1,0.14898084,-1
2020-01-24,-1,0.1233884,-1
2020-01-27,-1,0.08799145,-1
2020-01-28,1,0.8223417,1
2020-01-29,-1,0.71497136,1
2020-01-30,-1,0.28819862,-1
2020-01-31,-1,0.23573004,-1
2020-02-03,-1,0.25468302,-1
2020-02-04,1,0.77800524,1
2020-02-05,1,0.7803889,1
2020-02-06,-1,0.63895893,1
2020-02-07,-1,0.46919563,-1
2020-02-10,-1,0.121982336,-1
2020-02-11,-1,0.12640221,-1
2020-02-12,-1,0.12490483,-1
2020-02-13,-1,0.10249506,-1
2020-02-14,1,0.58348566,-1
2020-02-17,-1,0.36372814,-1
2020-02-18,-1,0.18632533,-1
2020-02-19,1,0.757077,1
2020-02-20,-1,0.58741534,-1
2020-02-21,-1,0.5526692,-1
2020-02-24,1,0.81187093,1
2020-02-25,-1,0.73752147,1
2020-02-26,1,0.79464364,1
2020-02-27,1,0.91190535,1
2020-02-28,-1,0.8673559,1
2020-03-02,1,0.9297964,1
2020-03-03,1,0.9000551,1
2020-03-04,-1,0.3225752,-1
2020-03-05,-1,0.08835817,-1
2020-03-06,-1,0.056526385,-1
2020-03-09,-1,0.08873784,-1
2020-03-10,1,0.5970822,-1
2020-03-11,-1,0.18279214,-1
2020-03-12,-1,0.13199705,-1
2020-03-13,1,0.30247086,-1
2020-03-16,1,0.77895755,1
2020-03-17,-1,0.66452134,1
2020-03-18,-1,0.4922896,-1
2020-03-19,-1,0.16525337,-1
2020-03-20,1,0.37868437,-1
2020-03-23,1,0.8123941,1
2020-03-24,1,0.9231048,1
2020-03-25,1,0.947617,1
2020-03-26,-1,0.89584905,1
2020-03-27,-1,0.22826646,-1
2020-03-30,-1,0.25075027,-1
2020-03-31,1,0.73790467,1
2020-04-01,-1,0.2940094,-1
2020-04-02,-1,0.16934465,-1
2020-04-03,-1,0.15340443,-1
2020-04-06,1,0.25465697,-1
2020-04-07,1,0.42552477,-1
2020-04-08,-1,0.30498293,-1
2020-04-09,1,0.64628875,1
2020-04-10,-1,0.5589433,-1
2020-04-13,1,0.68590415,1
2020-04-14,-1,0.5174473,-1
2020-04-15,-1,0.18779807,-1
2020-04-16,-1,0.1666073,-1
2020-04-17,1,0.1908176,-1
2020-04-20,-1,0.17784962,-1
2020-04-21,1,0.7891557,1
2020-04-22,-1,0.5428034,-1
2020-04-23,1,0.65944964,1
2020-04-24,1,0.87756145,1
2020-04-27,1,0.95134294,1
2020-04-28,-1,0.837727,1
2020-04-29,1,0.92521644,1
2020-04-30,-1,0.7864074,1
2020-05-01,-1,0.33915505,-1
2020-05-04,-1,0.18079185,-1
2020-05-05,1,0.6673627,1
2020-05-06,-1,0.61139274,-1
2020-05-07,1,0.80176723,1
2020-05-08,-1,0.6943321,1
2020-05-11,-1,0.629429,-1
2020-05-12,1,0.7383308,1
2020-05-13,1,0.76343125,1
2020-05-14,-1,0.7232161,1
2020-05-15,1,0.7522658,1
2020-05-18,1,0.9769164,1
2020-05-19,1,0.96855193,1
2020-05-20,-1,0.8747223,1
2020-05-21,1,0.9097289,1
2020-05-22,-1,0.564078,-1
2020-05-25,-1,0.5857479,-1
2020-05-26,1,0.79091775,1
2020-05-27,1,0.9085222,1
2020-05-28,1,0.9079906,1
2020-05-29,-1,0.86770433,1
2020-06-01,1,0.8867383,1
2020-06-02,1,0.919171,1
2020-06-03,1,0.9278054,1
2020-06-04,1,0.9318431,1
2020-06-05,1,0.9374193,1
2020-06-08,-1,0.7194372,1
2020-06-09,-1,0.39280954,-1
2020-06-10,-1,0.16201472,-1
2020-06-11,-1,0.0924661,-1
2020-06-12,1,0.58212626,-1
2020-06-15,1,0.7666878,1
2020-06-16,-1,0.5527877,-1
2020-06-17,-1,0.3377001,-1
2020-06-18,-1,0.53585064,-1
2020-06-19,-1,0.54858416,-1
2020-06-22,1,0.817789,1
2020-06-23,1,0.85335475,1
2020-06-24,-1,0.7630331,1
2020-06-25,-1,0.61773676,-1
2020-06-26,-1,0.6442782,1
