,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2023-10-19,1,0.85616386,1,21.759,
1,2023-10-20,1,0.9796845,1,22.045,21.759
2,2023-10-23,-1,0.0033569022,-1,21.533,22.045
3,2023-10-24,1,0.83920234,1,21.633,21.533
4,2023-10-25,-1,0.4274114,1,21.621,21.633
5,2023-10-26,-1,0.34484342,1,21.579,21.621
6,2023-10-27,1,0.98009896,1,21.849,21.579
7,2023-10-30,1,0.9455454,1,21.955,21.849
8,2023-10-31,-1,0.014738768,-1,21.599,21.955
9,2023-11-01,1,0.80188286,1,21.649,21.599
10,2023-11-02,-1,0.049545735,-1,21.419,21.649
11,2023-11-03,1,0.9716965,1,21.619,21.419
12,2023-11-06,-1,0.51051766,1,21.479,21.619
13,2023-11-07,-1,0.046938203,-1,21.135,21.479
14,2023-11-08,-1,0.66134644,1,21.039,21.135
15,2023-11-09,1,0.97071505,1,21.213,21.039
16,2023-11-10,-1,0.033544954,-1,20.799,21.213
17,2023-11-13,1,0.9252,1,20.842,20.799
18,2023-11-14,1,0.9934503,1,21.219,20.842
19,2023-11-15,1,0.99424535,1,21.601,21.219
20,2023-11-16,1,0.98656565,1,21.859,21.601
21,2023-11-17,-1,0.36239854,1,21.71,21.859
22,2023-11-20,-1,0.031974282,-1,21.409,21.71
23,2023-11-21,1,0.9845196,1,21.759,21.409
24,2023-11-22,-1,0.31398708,1,21.699,21.759
25,2023-11-23,1,0.96666914,1,21.859,21.699
26,2023-11-24,1,0.9898476,1,22.215,21.859
27,2023-11-27,1,0.9727064,1,22.489,22.215
28,2023-11-28,1,0.9774759,1,22.757,22.489
29,2023-11-29,1,0.84274197,1,22.805,22.757
30,2023-11-30,1,0.99165666,1,23.202,22.805
31,2023-12-01,1,0.9538903,1,23.38,23.202
32,2023-12-04,-1,0.00020335561,-1,22.619,23.38
33,2023-12-05,-1,0.028005838,-1,22.353,22.619
34,2023-12-06,-1,0.0094729485,-1,22.19,22.353
35,2023-12-07,-1,0.012781184,-1,22.049,22.19
36,2023-12-08,-1,0.0023905719,-1,21.353,22.049
37,2023-12-11,-1,0.03766503,-1,21.187,21.353
38,2023-12-12,-1,0.041862335,-1,21.089,21.187
39,2023-12-13,1,0.9991217,1,21.849,21.089
40,2023-12-14,1,0.353828,1,21.965,21.849
41,2023-12-15,-1,0.07103291,-1,21.872,21.965
42,2023-12-18,-1,0.023267457,-1,21.783,21.872
43,2023-12-19,1,0.7031505,1,21.896,21.783
44,2023-12-20,1,0.47430953,1,22.041,21.896
45,2023-12-21,1,0.40570652,1,22.151,22.041
46,2023-12-22,-1,0.010607332,-1,21.942,22.151
47,2023-12-26,-1,0.03766873,-1,21.929,21.942
48,2023-12-27,-1,0.014155242,-1,21.849,21.929
49,2023-12-28,-1,0.0009658916,-1,21.649,21.849
50,2023-12-29,-1,0.004742046,-1,21.539,21.649
51,2024-01-02,1,0.02360008,-1,21.61,21.539
52,2024-01-03,-1,0.00018392253,-1,21.04,21.61
53,2024-01-04,-1,0.018447723,-1,21.012,21.04
54,2024-01-05,1,0.18701439,1,21.18,21.012
55,2024-01-08,-1,0.0141953025,-1,21.092,21.18
56,2024-01-09,-1,0.015300764,-1,21.009,21.092
57,2024-01-10,-1,0.007736164,-1,20.845,21.009
58,2024-01-11,-1,0.0056994804,-1,20.729,20.845
59,2024-01-12,1,0.9882676,1,21.142,20.729
60,2024-01-15,1,0.22802268,1,21.189,21.142
61,2024-01-16,-1,0.019575182,-1,21.059,21.189
62,2024-01-17,-1,0.0024014693,-1,20.71,21.059
63,2024-01-18,1,0.48437327,1,20.905,20.71
64,2024-01-19,-1,0.0129249375,-1,20.732,20.905
65,2024-01-22,-1,0.0018693197,-1,20.28,20.732
66,2024-01-23,1,0.9888438,1,20.664,20.28
67,2024-01-24,1,0.94448775,1,20.811,20.664
68,2024-01-25,1,0.78524894,1,21.119,20.811
69,2024-01-26,-1,0.020005101,-1,20.999,21.119
70,2024-01-29,1,0.9797941,1,21.409,20.999
71,2024-01-30,-1,0.33852822,1,21.35,21.409
72,2024-01-31,-1,0.0037818647,-1,21.184,21.35
73,2024-02-01,1,0.11297877,1,21.309,21.184
74,2024-02-02,-1,0.009648664,-1,21.011,21.309
75,2024-02-05,-1,0.0034321523,-1,20.806,21.011
76,2024-02-06,1,0.04121904,-1,20.843,20.806
77,2024-02-07,-1,0.004130536,-1,20.609,20.843
78,2024-02-08,1,0.9692128,1,20.939,20.609
79,2024-02-09,1,0.04392541,-1,20.959,20.939
80,2024-02-12,1,0.29374436,1,21.06,20.959
81,2024-02-13,-1,0.001995512,-1,20.629,21.06
82,2024-02-14,1,0.95566845,1,20.849,20.629
83,2024-02-15,1,0.9926472,1,21.271,20.849
84,2024-02-16,1,0.9919465,1,21.719,21.271
85,2024-02-19,-1,0.0046351114,-1,21.314,21.719
86,2024-02-20,-1,0.10309464,-1,21.263,21.314
87,2024-02-21,-1,0.009872367,-1,21.139,21.263
88,2024-02-22,-1,0.0045284745,-1,21.02,21.139
89,2024-02-23,1,0.8920621,1,21.195,21.02
90,2024-02-26,-1,0.0033992603,-1,20.744,21.195
91,2024-02-27,-1,0.019425118,-1,20.697,20.744
92,2024-02-28,1,0.00085563684,-1,20.72,20.697
93,2024-02-29,1,0.028700033,-1,20.971,20.72
94,2024-03-01,1,0.2192862,1,21.352,20.971
95,2024-03-04,1,0.99834883,1,22.008,21.352
96,2024-03-05,-1,0.00068619364,-1,21.81,22.008
97,2024-03-06,1,0.03903443,-1,22.166,21.81
98,2024-03-07,1,0.00064043415,-1,22.207,22.166
99,2024-03-08,1,0.0006895021,-1,22.228,22.207
100,2024-03-11,1,0.0064313225,-1,22.406,22.228
101,2024-03-12,-1,0.029942937,-1,22.085,22.406
102,2024-03-13,1,0.6916978,1,22.845,22.085
103,2024-03-14,-1,0.00015913132,-1,22.787,22.845
104,2024-03-15,1,0.012460927,-1,23.111,22.787
105,2024-03-18,-1,0.00026355925,-1,23.021,23.111
106,2024-03-19,-1,0.00024932474,-1,22.921,23.021
107,2024-03-20,1,0.01947816,-1,23.388,22.921
108,2024-03-21,-1,1.4589127e-06,-1,22.776,23.388
109,2024-03-22,1,0.00018533687,-1,22.821,22.776
110,2024-03-25,-1,8.570159e-05,-1,22.756,22.821
111,2024-03-26,-1,3.7649297e-05,-1,22.541,22.756
112,2024-03-27,1,0.0016107522,-1,22.749,22.541
113,2024-03-28,1,0.013861262,-1,23.133,22.749
114,2024-04-01,1,0.00139275,-1,23.318,23.133
115,2024-04-02,1,0.9975413,1,24.269,23.318
116,2024-04-03,1,0.9967469,1,25.01,24.269
117,2024-04-04,-1,2.4383718e-05,-1,24.786,25.01
118,2024-04-05,1,0.03292409,-1,25.34,24.786
119,2024-04-08,1,0.00010880805,-1,25.632,25.34
120,2024-04-09,1,0.0005106,-1,25.928,25.632
121,2024-04-10,1,0.014718736,-1,25.941,25.928
122,2024-04-11,1,0.4986003,1,26.556,25.941
123,2024-04-12,-1,6.032567e-05,-1,26.264,26.556
124,2024-04-15,1,0.7894537,1,27.155,26.264
125,2024-04-16,-1,7.753527e-06,-1,26.498,27.155
126,2024-04-17,-1,0.0012668191,-1,26.481,26.498
127,2024-04-18,1,0.001674326,-1,26.514,26.481
