,time,action,position,entry_price,close_price,profit,balance
0,2023-10-19,open,long,21.759,,,9999.9998
1,2023-10-23,close,neutral,,21.533,-2259.999999999991,7739.999600000008
2,2023-10-23,open,short,21.533,,,7739.999400000008
3,2023-10-24,close,neutral,,21.633,-999.9999999999786,6739.999200000029
4,2023-10-24,open,long,21.633,,,6739.999000000029
5,2023-10-31,close,neutral,,21.599,-339.9999999999892,6399.998800000039
6,2023-10-31,open,short,21.599,,,6399.998600000039
7,2023-11-01,close,neutral,,21.649,-500.0000000000071,5899.998400000032
8,2023-11-01,open,long,21.649,,,5899.998200000032
9,2023-11-02,close,neutral,,21.419,-2300.000000000004,3599.998000000028
10,2023-11-02,open,short,21.419,,,3599.997800000028
11,2023-11-03,close,neutral,,21.619,-1999.999999999993,1599.997600000035
12,2023-11-03,open,long,21.619,,,1599.997400000035
13,2023-11-07,close,neutral,,21.135,-4839.999999999982,-3240.0027999999475
14,2023-11-07,open,short,21.135,,,-3240.0029999999474
15,2023-11-08,close,neutral,,21.039,960.0000000000009,-2280.0031999999464
16,2023-11-08,open,long,21.039,,,-2280.0033999999464
17,2023-11-10,close,neutral,,20.799,-2400.00000000002,-4680.003599999966
18,2023-11-10,open,short,20.799,,,-4680.003799999967
19,2023-11-13,close,neutral,,20.842,-429.9999999999926,-5110.003999999959
20,2023-11-13,open,long,20.842,,,-5110.004199999959
21,2023-11-20,close,neutral,,21.409,5670.000000000002,559.995600000042
22,2023-11-20,open,short,21.409,,,559.9954000000421
23,2023-11-21,close,neutral,,21.759,-3500.000000000014,-2940.004799999972
24,2023-11-21,open,long,21.759,,,-2940.004999999972
25,2023-12-04,close,neutral,,22.619,8599.999999999995,5659.994800000022
26,2023-12-04,open,short,22.619,,,5659.994600000022
27,2023-12-13,close,neutral,,21.849,7699.999999999995,13359.994400000018
28,2023-12-13,open,long,21.849,,,13359.994200000017
29,2023-12-15,close,neutral,,21.872,229.99999999999687,13589.994000000013
30,2023-12-15,open,short,21.872,,,13589.993800000013
31,2023-12-19,close,neutral,,21.896,-240.0000000000091,13349.993600000003
32,2023-12-19,open,long,21.896,,,13349.993400000003
33,2023-12-22,close,neutral,,21.942,459.99999999999375,13809.993199999997
34,2023-12-22,open,short,21.942,,,13809.992999999997
35,2024-01-05,close,neutral,,21.18,7620.000000000005,21429.9928
36,2024-01-05,open,long,21.18,,,21429.9926
37,2024-01-08,close,neutral,,21.092,-880.0000000000097,20549.992399999992
38,2024-01-08,open,short,21.092,,,20549.992199999993
39,2024-01-12,close,neutral,,21.142,-500.0000000000071,20049.991999999987
40,2024-01-12,open,long,21.142,,,20049.99179999999
41,2024-01-16,close,neutral,,21.059,-829.9999999999841,19219.991600000005
42,2024-01-16,open,short,21.059,,,19219.991400000006
43,2024-01-18,close,neutral,,20.905,1539.999999999999,20759.991200000004
44,2024-01-18,open,long,20.905,,,20759.991000000005
45,2024-01-19,close,neutral,,20.732,-1730.0000000000182,19029.99079999999
46,2024-01-19,open,short,20.732,,,19029.99059999999
47,2024-01-23,close,neutral,,20.664,679.9999999999784,19709.99039999997
48,2024-01-23,open,long,20.664,,,19709.99019999997
49,2024-01-26,close,neutral,,20.999,3349.999999999973,23059.989999999943
50,2024-01-26,open,short,20.999,,,23059.989799999945
51,2024-01-29,close,neutral,,21.409,-4100.000000000002,18959.989599999943
52,2024-01-29,open,long,21.409,,,18959.989399999944
53,2024-01-31,close,neutral,,21.184,-2249.9999999999786,16709.989199999967
54,2024-01-31,open,short,21.184,,,16709.98899999997
55,2024-02-01,close,neutral,,21.309,-1250.0,15459.988799999968
56,2024-02-01,open,long,21.309,,,15459.988599999968
57,2024-02-02,close,neutral,,21.011,-2980.000000000018,12479.98839999995
58,2024-02-02,open,short,21.011,,,12479.988199999949
59,2024-02-08,close,neutral,,20.939,719.9999999999918,13199.987999999941
60,2024-02-08,open,long,20.939,,,13199.98779999994
61,2024-02-09,close,neutral,,20.959,199.99999999999574,13399.987599999937
62,2024-02-09,open,short,20.959,,,13399.987399999936
63,2024-02-12,close,neutral,,21.06,-1009.9999999999909,12389.987199999945
64,2024-02-12,open,long,21.06,,,12389.986999999945
65,2024-02-13,close,neutral,,20.629,-4309.999999999974,8079.986799999971
66,2024-02-13,open,short,20.629,,,8079.98659999997
67,2024-02-14,close,neutral,,20.849,-2199.9999999999886,5879.986399999982
68,2024-02-14,open,long,20.849,,,5879.986199999981
69,2024-02-19,close,neutral,,21.314,4649.999999999998,10529.985999999979
70,2024-02-19,open,short,21.314,,,10529.985799999979
71,2024-02-23,close,neutral,,21.195,1189.9999999999977,11719.985599999976
72,2024-02-23,open,long,21.195,,,11719.985399999976
73,2024-02-26,close,neutral,,20.744,-4510.0000000000055,7209.98519999997
74,2024-02-26,open,short,20.744,,,7209.98499999997
75,2024-03-01,close,neutral,,21.352,-6080.0000000000055,1129.9847999999638
76,2024-03-01,open,long,21.352,,,1129.9845999999638
77,2024-03-05,close,neutral,,21.81,4579.999999999984,5709.984399999947
78,2024-03-05,open,short,21.81,,,5709.984199999946
79,2024-03-13,close,neutral,,22.845,-10350.000000000002,-4640.016000000056
80,2024-03-13,open,long,22.845,,,-4640.016200000056
81,2024-03-14,close,neutral,,22.787,-579.9999999999983,-5220.016400000055
82,2024-03-14,open,short,22.787,,,-5220.016600000055
83,2024-04-02,close,neutral,,24.269,-14819.999999999993,-20040.01680000005
84,2024-04-02,open,long,24.269,,,-20040.017000000047
85,2024-04-04,close,neutral,,24.786,5170.00000000003,-14870.017200000017
86,2024-04-04,open,short,24.786,,,-14870.017400000017
87,2024-04-11,close,neutral,,26.556,-17699.999999999996,-32570.017600000014
88,2024-04-11,open,long,26.556,,,-32570.017800000012
89,2024-04-12,close,neutral,,26.264,-2920.000000000016,-35490.018000000025
90,2024-04-12,open,short,26.264,,,-35490.01820000003
91,2024-04-15,close,neutral,,27.155,-8910.000000000018,-44400.018400000044
92,2024-04-15,open,long,27.155,,,-44400.01860000005
93,2024-04-16,close,neutral,,26.498,-6570.0,-50970.01880000005
94,2024-04-16,open,short,26.498,,,-50970.01900000005
95,2024-04-18,close,neutral,,26.514,-159.99999999998238,-51130.01920000003
