,time,action,position,entry_price,close_price,profit,balance
0,2023-05-11,open,short,151.83,,,9999.9998
1,2023-05-13,close,neutral,,152.28,-4499.999999999886,5499.999600000113
2,2023-05-13,open,long,152.28,,,5499.9994000001125
3,2023-05-16,close,neutral,,149.77,-25099.99999999991,-19600.000799999794
4,2023-05-16,open,short,149.77,,,-19600.000999999793
5,2023-05-17,close,neutral,,150.54,-7699.999999999818,-27300.001199999613
6,2023-05-17,open,long,150.54,,,-27300.00139999961
7,2023-05-24,close,neutral,,149.11,-14299.999999999784,-41600.00159999939
8,2023-05-24,open,short,149.11,,,-41600.001799999394
9,2023-05-25,close,neutral,,150.37,-12599.999999999909,-54200.0019999993
10,2023-05-25,open,long,150.37,,,-54200.002199999304
11,2023-05-30,close,neutral,,152.51,21399.99999999986,-32800.002399999445
12,2023-05-30,open,short,152.51,,,-32800.00259999945
13,2023-06-03,close,neutral,,146.38,61299.999999999956,28499.997200000507
14,2023-06-03,open,long,146.38,,,28499.99700000051
15,2023-06-05,close,neutral,,141.41,-49699.999999999985,-21200.00319999948
16,2023-06-05,open,short,141.41,,,-21200.003399999478
17,2023-06-06,close,neutral,,145.65,-42400.00000000009,-63600.00359999957
18,2023-06-06,open,long,145.65,,,-63600.00379999957
19,2023-06-07,close,neutral,,143.2,-24500.00000000017,-88100.00399999974
20,2023-06-07,open,short,143.2,,,-88100.00419999973
21,2023-06-17,close,neutral,,135.68,75199.99999999983,-12900.004399999903
22,2023-06-17,open,long,135.68,,,-12900.004599999904
23,2023-07-07,close,neutral,,163.81,281299.99999999994,268399.9952
24,2023-07-07,open,short,163.81,,,268399.995
25,2023-07-10,close,neutral,,164.91,-10999.999999999944,257399.99480000004
26,2023-07-10,open,long,164.91,,,257399.99460000003
27,2023-07-12,close,neutral,,162.34,-25699.99999999993,231699.9944000001
28,2023-07-12,open,short,162.34,,,231699.9942000001
29,2023-07-13,close,neutral,,164.15,-18100.000000000022,213599.9940000001
30,2023-07-13,open,long,164.15,,,213599.99380000008
31,2023-07-14,close,neutral,,158.07,-60800.000000000124,152799.99359999996
32,2023-07-14,open,short,158.07,,,152799.99339999995
33,2023-07-15,close,neutral,,165.0,-69300.00000000007,83499.99319999988
34,2023-07-15,open,long,165.0,,,83499.99299999989
35,2023-07-20,close,neutral,,163.64,-13600.000000000136,69899.99279999975
36,2023-07-20,open,short,163.64,,,69899.99259999975
37,2023-07-23,close,neutral,,163.39,2500.0,72399.99239999976
38,2023-07-23,open,long,163.39,,,72399.99219999976
39,2023-07-24,close,neutral,,160.14,-32500.0,39899.991999999766
40,2023-07-24,open,short,160.14,,,39899.99179999976
41,2023-07-26,close,neutral,,162.08,-19400.000000000262,20499.991599999503
42,2023-07-26,open,long,162.08,,,20499.991399999504
43,2023-07-27,close,neutral,,160.9,-11800.00000000007,8699.991199999435
44,2023-07-27,open,short,160.9,,,8699.990999999434
45,2023-07-28,close,neutral,,161.87,-9699.999999999989,-1000.0092000005552
46,2023-07-28,open,long,161.87,,,-1000.0094000005552
47,2023-07-30,close,neutral,,158.51,-33600.00000000014,-34600.009600000696
48,2023-07-30,open,short,158.51,,,-34600.0098000007
49,2023-07-31,close,neutral,,158.84,-3300.000000000125,-37900.010000000824
50,2023-07-31,open,long,158.84,,,-37900.01020000083
51,2023-08-04,close,neutral,,156.57,-22700.000000000102,-60600.01040000093
52,2023-08-04,open,short,156.57,,,-60600.01060000093
53,2023-08-05,close,neutral,,157.37,-8000.000000000114,-68600.01080000105
54,2023-08-05,open,long,157.37,,,-68600.01100000105
55,2023-08-10,close,neutral,,154.28,-30900.000000000033,-99500.01120000108
56,2023-08-10,open,short,154.28,,,-99500.01140000108
57,2023-08-11,close,neutral,,156.02,-17400.00000000009,-116900.01160000116
58,2023-08-11,open,long,156.02,,,-116900.01180000116
59,2023-08-15,close,neutral,,154.27,-17500.0,-134400.01200000115
60,2023-08-15,open,short,154.27,,,-134400.01220000116
61,2023-08-20,close,neutral,,146.36,79099.99999999997,-55300.012400001186
62,2023-08-20,open,long,146.36,,,-55300.01260000119
63,2023-08-22,close,neutral,,144.19,-21700.00000000016,-77000.01280000135
64,2023-08-22,open,short,144.19,,,-77000.01300000135
65,2023-08-26,close,neutral,,142.18,20099.99999999991,-56900.013200001435
66,2023-08-26,open,long,142.18,,,-56900.01340000144
67,2023-08-30,close,neutral,,140.54,-16400.00000000015,-73300.01360000158
68,2023-08-30,open,short,140.54,,,-73300.01380000157
69,2023-09-03,close,neutral,,139.79,7500.0,-65800.01400000157
70,2023-09-03,open,long,139.79,,,-65800.01420000156
71,2023-09-05,close,neutral,,137.29,-25000.0,-90800.01440000156
72,2023-09-05,open,short,137.29,,,-90800.01460000155
73,2023-09-06,close,neutral,,141.03,-37400.00000000009,-128200.01480000163
74,2023-09-06,open,long,141.03,,,-128200.01500000163
75,2023-09-11,close,neutral,,137.22,-38100.00000000002,-166300.01520000165
76,2023-09-11,open,short,137.22,,,-166300.01540000166
77,2023-09-12,close,neutral,,140.1,-28799.999999999956,-195100.0156000016
78,2023-09-12,open,long,140.1,,,-195100.01580000162
79,2023-09-16,close,neutral,,144.51,44099.99999999996,-151000.01600000166
80,2023-09-16,open,short,144.51,,,-151000.01620000167
81,2023-09-17,close,neutral,,144.36,1499.9999999997726,-149500.01640000188
82,2023-09-17,open,long,144.36,,,-149500.0166000019
83,2023-09-21,close,neutral,,145.34,9799.999999999898,-139700.016800002
84,2023-09-21,open,short,145.34,,,-139700.017000002
85,2023-09-25,close,neutral,,143.63,17100.00000000008,-122600.01720000192
86,2023-09-25,open,long,143.63,,,-122600.01740000192
87,2023-10-02,close,neutral,,145.76,21299.999999999956,-101300.01760000196
88,2023-10-02,open,short,145.76,,,-101300.01780000195
89,2023-10-03,close,neutral,,145.78,-200.00000000010232,-101500.01800000205
90,2023-10-03,open,long,145.78,,,-101500.01820000204
91,2023-10-09,close,neutral,,152.26,64799.9999999999,-36700.01840000215
92,2023-10-09,open,short,152.26,,,-36700.01860000215
93,2023-10-13,close,neutral,,152.44,-1800.0000000000682,-38500.01880000222
94,2023-10-13,open,long,152.44,,,-38500.01900000222
95,2023-10-14,close,neutral,,150.95,-14900.000000000091,-53400.01920000231
96,2023-10-14,open,short,150.95,,,-53400.01940000231
97,2023-10-15,close,neutral,,151.74,-7900.000000000205,-61300.01960000252
98,2023-10-15,open,long,151.74,,,-61300.01980000252
99,2023-10-16,close,neutral,,150.52,-12199.999999999989,-73500.0200000025
100,2023-10-16,open,short,150.52,,,-73500.0202000025
101,2023-10-19,close,neutral,,150.44,800.000000000125,-72700.02040000238
102,2023-10-19,open,long,150.44,,,-72700.02060000238
103,2023-11-04,close,neutral,,166.38,159399.99999999997,86699.97919999759
104,2023-11-04,open,short,166.38,,,86699.97899999759
105,2023-11-09,close,neutral,,167.67,-12899.99999999992,73799.97879999767
106,2023-11-09,open,long,167.67,,,73799.97859999767
107,2023-11-13,close,neutral,,163.01,-46599.99999999996,27199.978399997708
108,2023-11-13,open,short,163.01,,,27199.97819999771
109,2023-11-19,close,neutral,,162.11,8999.999999999773,36199.977999997485
110,2023-11-19,open,long,162.11,,,36199.97779999748
111,2023-11-27,close,neutral,,165.45,33399.99999999975,69599.97759999723
112,2023-11-27,open,short,165.45,,,69599.97739999724
113,2023-11-30,close,neutral,,168.43,-29800.000000000182,39799.977199997054
114,2023-11-30,open,long,168.43,,,39799.97699999705
115,2023-12-03,close,neutral,,170.69,22599.99999999991,62399.97679999696
116,2023-12-03,open,short,170.69,,,62399.97659999696
117,2023-12-05,close,neutral,,170.79,-999.9999999999432,61399.97639999702
118,2023-12-05,open,long,170.79,,,61399.976199997014
119,2023-12-10,close,neutral,,174.93,41400.000000000146,102799.97599999716
120,2023-12-10,open,short,174.93,,,102799.97579999716
121,2023-12-15,close,neutral,,169.86,50699.999999999935,153499.9755999971
122,2023-12-15,open,long,169.86,,,153499.97539999709
123,2023-12-16,close,neutral,,167.56,-23000.000000000113,130499.97519999697
124,2023-12-16,open,short,167.56,,,130499.97499999698
125,2023-12-18,close,neutral,,172.13,-45699.999999999935,84799.97479999704
126,2023-12-18,open,long,172.13,,,84799.97459999705
127,2023-12-24,close,neutral,,172.62,4900.000000000091,89699.97439999714
128,2023-12-24,open,short,172.62,,,89699.97419999714
129,2023-12-26,close,neutral,,173.31,-6899.999999999977,82799.97399999716
130,2023-12-26,open,long,173.31,,,82799.97379999717
131,2023-12-27,close,neutral,,172.52,-7899.99999999992,74899.97359999725
132,2023-12-27,open,short,172.52,,,74899.97339999725
133,2023-12-28,close,neutral,,174.68,-21599.999999999967,53299.97319999729
134,2023-12-28,open,long,174.68,,,53299.972999997284
135,2023-12-29,close,neutral,,164.93,-97500.0,-44200.02720000271
136,2023-12-29,open,short,164.93,,,-44200.02740000271
137,2024-01-01,close,neutral,,167.71,-27800.00000000001,-72000.02760000272
138,2024-01-01,open,long,167.71,,,-72000.02780000272
139,2024-01-03,close,neutral,,155.87,-118400.00000000003,-190400.02800000273
140,2024-01-03,open,short,155.87,,,-190400.02820000274
141,2024-01-04,close,neutral,,163.0,-71299.99999999996,-261700.0284000027
142,2024-01-04,open,long,163.0,,,-261700.0286000027
143,2024-01-05,close,neutral,,155.64,-73600.00000000013,-335300.0288000028
144,2024-01-05,open,short,155.64,,,-335300.02900000283
145,2024-01-10,close,neutral,,148.64,70000.0,-265300.02920000284
146,2024-01-10,open,long,148.64,,,-265300.02940000285
147,2024-01-18,close,neutral,,152.28,36400.000000000146,-228900.02960000272
148,2024-01-18,open,short,152.28,,,-228900.02980000273
149,2024-01-19,close,neutral,,154.78,-25000.0,-253900.03000000273
150,2024-01-19,open,long,154.78,,,-253900.03020000274
151,2024-01-21,close,neutral,,154.32,-4600.00000000008,-258500.0304000028
152,2024-01-21,open,short,154.32,,,-258500.03060000282
153,2024-01-25,close,neutral,,154.86,-5400.000000000205,-263900.03080000303
154,2024-01-25,open,long,154.86,,,-263900.03100000304
155,2024-01-30,close,neutral,,160.06,51999.99999999988,-211900.03120000317
156,2024-01-30,open,short,160.06,,,-211900.03140000318
157,2024-01-31,close,neutral,,162.37,-23100.000000000022,-235000.0316000032
158,2024-01-31,open,long,162.37,,,-235000.0318000032
159,2024-02-03,close,neutral,,164.03,16599.999999999967,-218400.03200000324
160,2024-02-03,open,short,164.03,,,-218400.03220000325
161,2024-02-04,close,neutral,,165.61,-15800.000000000126,-234200.03240000337
162,2024-02-04,open,long,165.61,,,-234200.03260000338
163,2024-02-05,close,neutral,,163.83,-17800.00000000001,-252000.0328000034
164,2024-02-05,open,short,163.83,,,-252000.0330000034
165,2024-02-12,close,neutral,,121.55,422800.0000000002,170799.96679999676
166,2024-02-12,open,long,121.55,,,170799.96659999675
167,2024-02-16,close,neutral,,121.42,-1299.9999999999545,169499.9663999968
168,2024-02-16,open,short,121.42,,,169499.9661999968
169,2024-02-18,close,neutral,,121.92,-5000.0,164499.96599999678
170,2024-02-18,open,long,121.92,,,164499.96579999677
171,2024-02-19,close,neutral,,112.4,-95199.99999999996,69299.96559999682
172,2024-02-19,open,short,112.4,,,69299.96539999683
173,2024-02-20,close,neutral,,122.65,-102500.0,-33200.034800003166
174,2024-02-20,open,long,122.65,,,-33200.03500000317
175,2024-02-24,close,neutral,,122.3,-3500.0000000000855,-36700.03520000325
176,2024-02-24,open,short,122.3,,,-36700.03540000325
177,2024-02-25,close,neutral,,124.5,-22000.00000000003,-58700.03560000328
178,2024-02-25,open,long,124.5,,,-58700.03580000328
179,2024-03-05,close,neutral,,140.45,159499.99999999988,100799.9639999966
180,2024-03-05,open,short,140.45,,,100799.9637999966
181,2024-03-06,close,neutral,,142.6,-21500.00000000006,79299.96359999655
182,2024-03-06,open,long,142.6,,,79299.96339999656
183,2024-03-09,close,neutral,,143.5,9000.000000000056,88299.96319999662
184,2024-03-09,open,short,143.5,,,88299.96299999663
185,2024-03-10,close,neutral,,145.47,-19699.99999999999,68599.96279999663
186,2024-03-10,open,long,145.47,,,68599.96259999664
187,2024-03-11,close,neutral,,144.11,-13599.999999999853,54999.96239999679
188,2024-03-11,open,short,144.11,,,54999.962199996786
