,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-09-03,-1,0.060198277,-1,1.19217,
1,2019-09-04,1,0.60551506,1,1.20153,1.19217
2,2019-09-05,1,0.91710216,1,1.21601,1.20153
3,2019-09-06,-1,0.5934422,1,1.21324,1.21601
4,2019-09-09,1,0.89244074,1,1.22434,1.21324
5,2019-09-10,1,0.85172266,1,1.22526,1.22434
6,2019-09-11,-1,0.72241163,1,1.22385,1.22526
7,2019-09-12,-1,0.36106148,-1,1.22097,1.22385
8,2019-09-13,1,0.92267555,1,1.23795,1.22097
9,2019-09-16,-1,0.51086,1,1.23341,1.23795
10,2019-09-17,1,0.83829874,1,1.24096,1.23341
11,2019-09-18,1,0.8462594,1,1.24347,1.24096
12,2019-09-19,1,0.84038216,1,1.24356,1.24347
13,2019-09-20,-1,0.11495421,-1,1.23543,1.24356
14,2019-09-23,-1,0.076228805,-1,1.23081,1.23543
15,2019-09-24,1,0.1267887,-1,1.23136,1.23081
16,2019-09-25,-1,0.06840659,-1,1.2256,1.23136
17,2019-09-26,-1,0.10707559,-1,1.22434,1.2256
18,2019-09-27,-1,0.094562486,-1,1.21779,1.22434
19,2019-09-30,1,0.8999237,1,1.22707,1.21779
20,2019-10-01,-1,0.65636146,1,1.22157,1.22707
21,2019-10-02,1,0.8975594,1,1.22576,1.22157
22,2019-10-03,1,0.94874954,1,1.23152,1.22576
23,2019-10-04,-1,0.7602138,1,1.22702,1.23152
24,2019-10-07,-1,0.4579112,1,1.22251,1.22702
25,2019-10-08,-1,0.17045896,-1,1.21346,1.22251
26,2019-10-09,1,0.5272041,1,1.21528,1.21346
27,2019-10-10,1,0.977979,1,1.23982,1.21528
28,2019-10-11,1,0.9765894,1,1.26022,1.23982
29,2019-10-14,-1,0.8303433,1,1.25543,1.26022
30,2019-10-15,1,0.94168764,1,1.27665,1.25543
31,2019-10-16,-1,0.87332743,1,1.27591,1.27665
32,2019-10-17,-1,0.80519295,1,1.27313,1.27591
33,2019-10-18,1,0.87473553,1,1.27386,1.27313
34,2019-10-21,1,0.91202164,1,1.27753,1.27386
35,2019-10-22,-1,0.6835771,1,1.27378,1.27753
36,2019-10-23,1,0.88015956,1,1.27966,1.27378
37,2019-10-24,-1,0.35083994,-1,1.27492,1.27966
38,2019-10-25,1,0.4983159,1,1.27575,1.27492
39,2019-10-28,1,0.7001045,1,1.27847,1.27575
40,2019-10-29,1,0.65201813,1,1.27854,1.27847
41,2019-10-30,-1,0.22263134,-1,1.27577,1.27854
42,2019-10-31,-1,0.20973086,-1,1.27483,1.27577
43,2019-11-01,-1,0.33923998,-1,1.27461,1.27483
44,2019-11-04,-1,0.18694317,-1,1.27209,1.27461
45,2019-11-05,1,0.91790974,1,1.27839,1.27209
46,2019-11-06,-1,0.7831313,1,1.27615,1.27839
47,2019-11-07,-1,0.55826664,1,1.2745,1.27615
48,2019-11-08,0,0.741201,1,1.2745,1.2745
49,2019-11-11,1,0.9076971,1,1.27657,1.2745
50,2019-11-12,-1,0.8019077,1,1.27548,1.27657
51,2019-11-13,-1,0.24960658,-1,1.27223,1.27548
52,2019-11-14,1,0.61537623,1,1.27309,1.27223
53,2019-11-15,1,0.9306028,1,1.27661,1.27309
54,2019-11-18,1,0.962353,1,1.28117,1.27661
55,2019-11-19,-1,0.89307576,1,1.28014,1.28117
56,2019-11-20,1,0.8824237,1,1.28073,1.28014
57,2019-11-21,1,0.89725745,1,1.28162,1.28073
