,time,action,position,entry_price,close_price,profit,balance
0,2023-10-19,open,long,36.383,,,9999.9998
1,2023-10-23,close,neutral,,36.262,-1210.0000000000223,8789.999599999977
2,2023-10-23,open,short,36.262,,,8789.999399999977
3,2023-10-25,close,neutral,,36.209,529.9999999999727,9319.99919999995
4,2023-10-25,open,long,36.209,,,9319.998999999949
5,2023-10-26,close,neutral,,36.059,-1500.0000000000568,7819.998799999892
6,2023-10-26,open,short,36.059,,,7819.998599999892
7,2023-10-27,close,neutral,,36.455,-3960.000000000008,3859.9983999998835
8,2023-10-27,open,long,36.455,,,3859.9981999998836
9,2023-10-31,close,neutral,,36.049,-4059.999999999988,-200.00200000010454
10,2023-10-31,open,short,36.049,,,-200.00220000010455
11,2023-11-03,close,neutral,,35.619,4299.999999999997,4099.997599999892
12,2023-11-03,open,long,35.619,,,4099.997399999892
13,2023-11-06,close,neutral,,35.489,-1300.0000000000255,2799.9971999998666
14,2023-11-06,open,short,35.489,,,2799.9969999998666
15,2023-11-08,close,neutral,,35.189,2999.999999999972,5799.996799999839
16,2023-11-08,open,long,35.189,,,5799.9965999998385
17,2023-11-10,close,neutral,,34.935,-2539.9999999999777,3259.996399999861
18,2023-11-10,open,short,34.935,,,3259.996199999861
19,2023-11-13,close,neutral,,34.979,-439.9999999999693,2819.9959999998914
20,2023-11-13,open,long,34.979,,,2819.9957999998915
21,2023-11-17,close,neutral,,36.361,13819.999999999978,16639.99559999987
22,2023-11-17,open,short,36.361,,,16639.995399999872
23,2023-11-21,close,neutral,,36.216,1449.9999999999602,18089.995199999834
24,2023-11-21,open,long,36.216,,,18089.994999999835
25,2023-11-22,close,neutral,,36.101,-1150.00000000002,16939.994799999815
26,2023-11-22,open,short,36.101,,,16939.994599999816
27,2023-11-23,close,neutral,,36.339,-2379.9999999999955,14559.994399999821
28,2023-11-23,open,long,36.339,,,14559.994199999821
29,2023-12-01,close,neutral,,38.123,17839.99999999999,32399.99399999981
