,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2023-03-15,-1,0.1323528,-1,0.3619,
1,2023-03-16,0,0.3287289,-1,0.3619,0.3619
2,2023-03-17,1,0.9501646,1,0.3741,0.3619
3,2023-03-18,1,0.9476988,1,0.3796,0.3741
4,2023-03-19,1,0.9540747,1,0.3874,0.3796
5,2023-03-20,-1,0.33528322,-1,0.3778,0.3874
6,2023-03-21,1,0.99681085,1,0.4893,0.3778
7,2023-03-22,-1,0.04433862,-1,0.4243,0.4893
8,2023-03-23,1,0.8333645,1,0.4408,0.4243
9,2023-03-24,-1,0.21583565,-1,0.4224,0.4408
10,2023-03-25,1,0.8946123,1,0.451,0.4224
11,2023-03-26,-1,0.3772868,-1,0.4428,0.451
12,2023-03-27,1,0.8773369,1,0.4706,0.4428
13,2023-03-28,1,0.9363558,1,0.5226,0.4706
14,2023-03-29,1,0.85038316,1,0.5512,0.5226
15,2023-03-30,-1,0.33451113,-1,0.534,0.5512
16,2023-03-31,1,0.8137786,1,0.5468,0.534
17,2023-04-01,-1,0.09144831,-1,0.5085,0.5468
18,2023-04-02,1,0.422194,-1,0.5161,0.5085
19,2023-04-03,-1,0.088618785,-1,0.4918,0.5161
20,2023-04-04,1,0.48073134,1,0.50575,0.4918
21,2023-04-05,-1,0.30469227,-1,0.5048,0.50575
22,2023-04-06,-1,0.33071554,-1,0.5022,0.5048
23,2023-04-07,1,0.6926029,1,0.5108,0.5022
24,2023-04-08,-1,0.39308262,-1,0.5053,0.5108
25,2023-04-09,-1,0.5044923,1,0.5045,0.5053
26,2023-04-10,1,0.8485361,1,0.5111,0.5045
27,2023-04-11,1,0.9148644,1,0.5148,0.5111
28,2023-04-12,-1,0.46993348,-1,0.5024,0.5148
29,2023-04-13,1,0.92433286,1,0.5118,0.5024
30,2023-04-14,1,0.95739853,1,0.5263,0.5118
31,2023-04-15,-1,0.57857543,1,0.5177,0.5263
32,2023-04-16,1,0.719733,1,0.521,0.5177
33,2023-04-17,-1,0.15217729,-1,0.5095,0.521
34,2023-04-18,1,0.81156164,1,0.522,0.5095
35,2023-04-19,-1,0.066979945,-1,0.493,0.522
36,2023-04-20,-1,0.062870435,-1,0.4696,0.493
37,2023-04-21,-1,0.058178395,-1,0.4419,0.4696
38,2023-04-22,1,0.8992903,1,0.4699,0.4419
39,2023-04-23,-1,0.34284183,-1,0.4599,0.4699
40,2023-04-24,-1,0.5094539,1,0.4598,0.4599
41,2023-04-25,1,0.8275855,1,0.4686,0.4598
42,2023-04-26,-1,0.20452301,-1,0.4512,0.4686
43,2023-04-27,1,0.90641296,1,0.4664,0.4512
44,2023-04-28,1,0.91973543,1,0.4767,0.4664
45,2023-04-29,1,0.84647775,1,0.4768,0.4767
46,2023-04-30,-1,0.6077426,1,0.4719,0.4768
47,2023-05-01,-1,0.17797555,-1,0.4592,0.4719
48,2023-05-02,1,0.6116375,1,0.4636,0.4592
49,2023-05-03,-1,0.20467865,-1,0.4557,0.4636
50,2023-05-04,1,0.39471793,-1,0.4586,0.4557
51,2023-05-05,1,0.66126364,1,0.4661,0.4586
52,2023-05-06,-1,0.10563262,-1,0.4568,0.4661
53,2023-05-07,-1,0.12615973,-1,0.4562,0.4568
54,2023-05-08,-1,0.03507785,-1,0.4222,0.4562
55,2023-05-09,1,0.08060003,-1,0.4236,0.4222
56,2023-05-10,1,0.3013668,-1,0.4312,0.4236
57,2023-05-11,-1,0.08657421,-1,0.4179,0.4312
58,2023-05-12,1,0.614094,1,0.4259,0.4179
59,2023-05-13,-1,0.3755178,-1,0.4234,0.4259
60,2023-05-14,1,0.47911972,1,0.4244,0.4234
61,2023-05-15,1,0.6143175,1,0.4264,0.4244
62,2023-05-16,-1,0.35397527,-1,0.4237,0.4264
63,2023-05-17,1,0.9784178,1,0.446,0.4237
64,2023-05-18,1,0.97170097,1,0.4602,0.446
65,2023-05-19,1,0.9348204,1,0.464,0.4602
66,2023-05-20,1,0.89874655,1,0.4661,0.464
67,2023-05-21,-1,0.38263506,-1,0.4599,0.4661
68,2023-05-22,1,0.49088728,1,0.4601,0.4599
69,2023-05-23,1,0.6959762,1,0.4638,0.4601
70,2023-05-24,-1,0.08481833,-1,0.4531,0.4638
71,2023-05-25,-1,0.099644706,-1,0.4515,0.4531
72,2023-05-26,1,0.81037664,1,0.4674,0.4515
73,2023-05-27,1,0.697848,1,0.4707,0.4674
74,2023-05-28,1,0.7812952,1,0.4769,0.4707
75,2023-05-29,1,0.88531375,1,0.4873,0.4769
76,2023-05-30,1,0.96188986,1,0.5229,0.4873
77,2023-05-31,-1,0.57797635,1,0.5143,0.5229
78,2023-06-01,-1,0.44277248,-1,0.5072,0.5143
79,2023-06-02,1,0.866883,1,0.5239,0.5072
80,2023-06-03,-1,0.5441946,1,0.5206,0.5239
81,2023-06-04,1,0.89614755,1,0.5428,0.5206
82,2023-06-05,-1,0.05310428,-1,0.506,0.5428
83,2023-06-06,1,0.373643,-1,0.5234,0.506
84,2023-06-07,-1,0.18917863,-1,0.5225,0.5234
85,2023-06-08,1,0.28831434,-1,0.526,0.5225
86,2023-06-09,1,0.5389377,1,0.5363,0.526
87,2023-06-10,-1,0.04910286,-1,0.5041,0.5363
88,2023-06-11,1,0.37877476,-1,0.5226,0.5041
89,2023-06-12,1,0.25721028,-1,0.5246,0.5226
90,2023-06-13,-1,0.19083047,-1,0.5217,0.5246
91,2023-06-14,-1,0.034384232,-1,0.4679,0.5217
92,2023-06-15,1,0.27942267,-1,0.4768,0.4679
93,2023-06-16,-1,0.19158453,-1,0.472,0.4768
94,2023-06-17,1,0.64257425,1,0.4794,0.472
95,2023-06-18,1,0.869715,1,0.4895,0.4794
96,2023-06-19,1,0.814107,1,0.4918,0.4895
97,2023-06-20,-1,0.7282234,1,0.491,0.4918
98,2023-06-21,1,0.84315246,1,0.4943,0.491
99,2023-06-22,1,0.8896617,1,0.4974,0.4943
100,2023-06-23,1,0.91751266,1,0.5002,0.4974
101,2023-06-24,-1,0.14891717,-1,0.4849,0.5002
102,2023-06-25,1,0.5391796,1,0.4879,0.4849
103,2023-06-26,-1,0.11508832,-1,0.4763,0.4879
104,2023-06-27,1,0.53225523,1,0.4814,0.4763
105,2023-06-28,-1,0.07238165,-1,0.4618,0.4814
106,2023-06-29,1,0.6565961,1,0.47308,0.4618
107,2023-06-30,1,0.5904418,1,0.47524,0.47308
108,2023-07-01,-1,0.40019017,-1,0.47315,0.47524
109,2023-07-02,1,0.8882133,1,0.48226,0.47315
110,2023-07-03,1,0.90136313,1,0.48675,0.48226
111,2023-07-04,1,0.8815209,1,0.48801,0.48675
112,2023-07-05,-1,0.1429432,-1,0.47586,0.48801
113,2023-07-06,-1,0.09046478,-1,0.46697,0.47586
114,2023-07-07,-1,0.102438524,-1,0.46587,0.46697
115,2023-07-08,1,0.14777961,-1,0.46765,0.46587
116,2023-07-09,1,0.18152802,-1,0.46865,0.46765
117,2023-07-10,1,0.8066112,1,0.4769,0.46865
118,2023-07-11,-1,0.26907784,-1,0.4731,0.4769
119,2023-07-12,-1,0.09980537,-1,0.4675,0.4731
120,2023-07-13,1,0.99991834,1,0.81912,0.4675
121,2023-07-14,-1,0.036574632,-1,0.70958,0.81912
122,2023-07-15,1,0.922444,1,0.71639,0.70958
123,2023-07-16,1,0.9238405,1,0.7407,0.71639
124,2023-07-17,-1,0.84234226,1,0.73266,0.7407
125,2023-07-18,1,0.9355049,1,0.76432,0.73266
126,2023-07-19,1,0.9535791,1,0.8282,0.76432
127,2023-07-20,-1,0.23398632,-1,0.77551,0.8282
128,2023-07-21,1,0.73062855,1,0.78136,0.77551
129,2023-07-22,-1,0.18821369,-1,0.75152,0.78136
130,2023-07-23,-1,0.23532173,-1,0.73785,0.75152
131,2023-07-24,-1,0.09611823,-1,0.70117,0.73785
132,2023-07-25,-1,0.16527444,-1,0.7011,0.70117
133,2023-07-26,1,0.5702561,1,0.72625,0.7011
134,2023-07-27,-1,0.1999016,-1,0.70929,0.72625
135,2023-07-28,1,0.55108714,1,0.711,0.70929
136,2023-07-30,-1,0.5067215,1,0.70183,0.711
137,2023-07-31,-1,0.5909186,1,0.69763,0.70183
138,2023-08-01,1,0.70614254,1,0.69831,0.69763
139,2023-08-02,-1,0.35921943,-1,0.68532,0.69831
140,2023-08-03,-1,0.20413846,-1,0.67117,0.68532
141,2023-08-04,-1,0.071242064,-1,0.6346,0.67117
142,2023-08-05,-1,0.08860835,-1,0.62468,0.6346
143,2023-08-06,1,0.11826187,-1,0.62778,0.62468
144,2023-08-07,-1,0.07224623,-1,0.61634,0.62778
145,2023-08-08,1,0.7809741,1,0.63775,0.61634
146,2023-08-09,1,0.9143803,1,0.65732,0.63775
147,2023-08-10,-1,0.17836006,-1,0.63175,0.65732
148,2023-08-11,-1,0.35887992,-1,0.63066,0.63175
149,2023-08-12,-1,0.25209072,-1,0.62515,0.63066
150,2023-08-13,1,0.610408,1,0.63097,0.62515
151,2023-08-14,-1,0.44202924,-1,0.62874,0.63097
152,2023-08-15,-1,0.07327271,-1,0.60321,0.62874
153,2023-08-16,-1,0.07311709,-1,0.5883,0.60321
154,2023-08-17,-1,0.058546435,-1,0.5672,0.5883
155,2023-08-18,-1,0.031073235,-1,0.50109,0.5672
156,2023-08-19,1,0.12876083,-1,0.5149,0.50109
157,2023-08-20,1,0.27868816,-1,0.54123,0.5149
158,2023-08-21,-1,0.060827807,-1,0.52058,0.54123
159,2023-08-22,-1,0.078811675,-1,0.51527,0.52058
160,2023-08-23,1,0.24814872,-1,0.52964,0.51527
161,2023-08-24,-1,0.07008603,-1,0.51225,0.52964
162,2023-08-25,1,0.3095037,-1,0.52425,0.51225
163,2023-08-26,1,0.17342956,-1,0.52498,0.52425
164,2023-08-27,-1,0.14071505,-1,0.52314,0.52498
165,2023-08-28,-1,0.11566152,-1,0.52035,0.52314
166,2023-08-29,1,0.772267,1,0.53739,0.52035
