time,Actual Movement,Predictions,Predicted
2023-03-15,-1,0.1323528,-1
2023-03-16,0,0.3287289,-1
2023-03-17,1,0.9501646,1
2023-03-18,1,0.9476988,1
2023-03-19,1,0.9540747,1
2023-03-20,-1,0.33528322,-1
2023-03-21,1,0.99681085,1
2023-03-22,-1,0.04433862,-1
2023-03-23,1,0.8333645,1
2023-03-24,-1,0.21583565,-1
2023-03-25,1,0.8946123,1
2023-03-26,-1,0.3772868,-1
2023-03-27,1,0.8773369,1
2023-03-28,1,0.9363558,1
2023-03-29,1,0.85038316,1
2023-03-30,-1,0.33451113,-1
2023-03-31,1,0.8137786,1
2023-04-01,-1,0.09144831,-1
2023-04-02,1,0.422194,-1
2023-04-03,-1,0.088618785,-1
2023-04-04,1,0.48073134,1
2023-04-05,-1,0.30469227,-1
2023-04-06,-1,0.33071554,-1
2023-04-07,1,0.6926029,1
2023-04-08,-1,0.39308262,-1
2023-04-09,-1,0.5044923,1
2023-04-10,1,0.8485361,1
2023-04-11,1,0.9148644,1
2023-04-12,-1,0.46993348,-1
2023-04-13,1,0.92433286,1
2023-04-14,1,0.95739853,1
2023-04-15,-1,0.57857543,1
2023-04-16,1,0.719733,1
2023-04-17,-1,0.15217729,-1
2023-04-18,1,0.81156164,1
2023-04-19,-1,0.066979945,-1
2023-04-20,-1,0.062870435,-1
2023-04-21,-1,0.058178395,-1
2023-04-22,1,0.8992903,1
2023-04-23,-1,0.34284183,-1
2023-04-24,-1,0.5094539,1
2023-04-25,1,0.8275855,1
2023-04-26,-1,0.20452301,-1
2023-04-27,1,0.90641296,1
2023-04-28,1,0.91973543,1
2023-04-29,1,0.84647775,1
2023-04-30,-1,0.6077426,1
2023-05-01,-1,0.17797555,-1
2023-05-02,1,0.6116375,1
2023-05-03,-1,0.20467865,-1
2023-05-04,1,0.39471793,-1
2023-05-05,1,0.66126364,1
2023-05-06,-1,0.10563262,-1
2023-05-07,-1,0.12615973,-1
2023-05-08,-1,0.03507785,-1
2023-05-09,1,0.08060003,-1
2023-05-10,1,0.3013668,-1
2023-05-11,-1,0.08657421,-1
2023-05-12,1,0.614094,1
2023-05-13,-1,0.3755178,-1
2023-05-14,1,0.47911972,1
2023-05-15,1,0.6143175,1
2023-05-16,-1,0.35397527,-1
2023-05-17,1,0.9784178,1
2023-05-18,1,0.97170097,1
2023-05-19,1,0.9348204,1
2023-05-20,1,0.89874655,1
2023-05-21,-1,0.38263506,-1
2023-05-22,1,0.49088728,1
2023-05-23,1,0.6959762,1
2023-05-24,-1,0.08481833,-1
2023-05-25,-1,0.099644706,-1
2023-05-26,1,0.81037664,1
2023-05-27,1,0.697848,1
2023-05-28,1,0.7812952,1
2023-05-29,1,0.88531375,1
2023-05-30,1,0.96188986,1
2023-05-31,-1,0.57797635,1
2023-06-01,-1,0.44277248,-1
2023-06-02,1,0.866883,1
2023-06-03,-1,0.5441946,1
2023-06-04,1,0.89614755,1
2023-06-05,-1,0.05310428,-1
2023-06-06,1,0.373643,-1
2023-06-07,-1,0.18917863,-1
2023-06-08,1,0.28831434,-1
2023-06-09,1,0.5389377,1
2023-06-10,-1,0.04910286,-1
2023-06-11,1,0.37877476,-1
2023-06-12,1,0.25721028,-1
2023-06-13,-1,0.19083047,-1
2023-06-14,-1,0.034384232,-1
2023-06-15,1,0.27942267,-1
2023-06-16,-1,0.19158453,-1
2023-06-17,1,0.64257425,1
2023-06-18,1,0.869715,1
2023-06-19,1,0.814107,1
2023-06-20,-1,0.7282234,1
2023-06-21,1,0.84315246,1
2023-06-22,1,0.8896617,1
2023-06-23,1,0.91751266,1
2023-06-24,-1,0.14891717,-1
2023-06-25,1,0.5391796,1
2023-06-26,-1,0.11508832,-1
2023-06-27,1,0.53225523,1
2023-06-28,-1,0.07238165,-1
2023-06-29,1,0.6565961,1
2023-06-30,1,0.5904418,1
2023-07-01,-1,0.40019017,-1
2023-07-02,1,0.8882133,1
2023-07-03,1,0.90136313,1
2023-07-04,1,0.8815209,1
2023-07-05,-1,0.1429432,-1
2023-07-06,-1,0.09046478,-1
2023-07-07,-1,0.102438524,-1
2023-07-08,1,0.14777961,-1
2023-07-09,1,0.18152802,-1
2023-07-10,1,0.8066112,1
2023-07-11,-1,0.26907784,-1
2023-07-12,-1,0.09980537,-1
2023-07-13,1,0.99991834,1
2023-07-14,-1,0.036574632,-1
2023-07-15,1,0.922444,1
2023-07-16,1,0.9238405,1
2023-07-17,-1,0.84234226,1
2023-07-18,1,0.9355049,1
2023-07-19,1,0.9535791,1
2023-07-20,-1,0.23398632,-1
2023-07-21,1,0.73062855,1
2023-07-22,-1,0.18821369,-1
2023-07-23,-1,0.23532173,-1
2023-07-24,-1,0.09611823,-1
2023-07-25,-1,0.16527444,-1
2023-07-26,1,0.5702561,1
2023-07-27,-1,0.1999016,-1
2023-07-28,1,0.55108714,1
2023-07-30,-1,0.5067215,1
2023-07-31,-1,0.5909186,1
2023-08-01,1,0.70614254,1
2023-08-02,-1,0.35921943,-1
2023-08-03,-1,0.20413846,-1
2023-08-04,-1,0.071242064,-1
2023-08-05,-1,0.08860835,-1
2023-08-06,1,0.11826187,-1
2023-08-07,-1,0.07224623,-1
2023-08-08,1,0.7809741,1
2023-08-09,1,0.9143803,1
2023-08-10,-1,0.17836006,-1
2023-08-11,-1,0.35887992,-1
2023-08-12,-1,0.25209072,-1
2023-08-13,1,0.610408,1
2023-08-14,-1,0.44202924,-1
2023-08-15,-1,0.07327271,-1
2023-08-16,-1,0.07311709,-1
2023-08-17,-1,0.058546435,-1
2023-08-18,-1,0.031073235,-1
2023-08-19,1,0.12876083,-1
2023-08-20,1,0.27868816,-1
2023-08-21,-1,0.060827807,-1
2023-08-22,-1,0.078811675,-1
2023-08-23,1,0.24814872,-1
2023-08-24,-1,0.07008603,-1
2023-08-25,1,0.3095037,-1
2023-08-26,1,0.17342956,-1
2023-08-27,-1,0.14071505,-1
2023-08-28,-1,0.11566152,-1
2023-08-29,1,0.772267,1
2023-08-30,-1,0.1232911,-1
2023-08-31,-1,0.060372025,-1
2023-09-01,-1,0.06086459,-1
2023-09-02,-1,0.08986878,-1
2023-09-03,1,0.75246793,1
2023-09-04,1,0.6856515,1
2023-09-05,-1,0.40831205,-1
2023-09-06,-1,0.34317887,-1
2023-09-07,1,0.48107702,1
2023-09-08,1,0.7360455,1
2023-09-09,-1,0.63420963,1
2023-09-10,-1,0.3187101,-1
2023-09-11,-1,0.046458602,-1
2023-09-12,1,0.5903868,1
2023-09-13,1,0.3476121,-1
2023-09-14,1,0.6917875,1
2023-09-15,1,0.84106946,1
2023-09-16,-1,0.4145218,-1
2023-09-17,-1,0.096747376,-1
2023-09-18,1,0.5890516,1
2023-09-19,1,0.6542794,1
2023-09-20,1,0.64237064,1
2023-09-21,-1,0.118199736,-1
2023-09-22,1,0.32767522,-1
2023-09-23,-1,0.15666302,-1
2023-09-24,-1,0.12253287,-1
2023-09-25,-1,0.09456375,-1
2023-09-26,-1,0.102452226,-1
2023-09-27,1,0.1630112,-1
2023-09-28,1,0.6920791,1
2023-09-29,1,0.9847035,1
2023-09-30,-1,0.35018066,-1
2023-10-01,-1,0.6197326,1
2023-10-02,-1,0.68057203,1
2023-10-03,-1,0.61955094,1
2023-10-04,1,0.9607741,1
2023-10-05,-1,0.59947497,1
2023-10-06,1,0.8192212,1
2023-10-07,-1,0.43196988,-1
2023-10-08,-1,0.32105666,-1
2023-10-09,-1,0.068265304,-1
2023-10-10,-1,0.08729855,-1
2023-10-11,-1,0.06985279,-1
2023-10-12,-1,0.083579384,-1
2023-10-13,1,0.3911859,-1
2023-10-14,-1,0.2506093,-1
2023-10-15,1,0.6652568,1
2023-10-16,1,0.92316985,1
2023-10-17,-1,0.72088814,1
2023-10-18,-1,0.46036303,-1
2023-10-19,1,0.95847166,1
2023-10-20,1,0.98208666,1
2023-10-21,-1,0.93753874,1
2023-10-22,-1,0.7775453,1
2023-10-23,1,0.9312396,1
2023-10-24,1,0.95872116,1
2023-10-25,-1,0.9011776,1
2023-10-26,-1,0.9251032,1
2023-10-27,-1,0.74219656,1
2023-10-28,1,0.867917,1
2023-10-29,1,0.9553246,1
2023-10-30,1,0.9709871,1
2023-10-31,1,0.9693878,1
2023-11-01,1,0.9588152,1
2023-11-02,-1,0.9009101,1
2023-11-03,1,0.9339049,1
2023-11-04,-1,0.92283356,1
2023-11-05,1,0.97183394,1
2023-11-06,1,0.9773196,1
2023-11-07,-1,0.22606865,-1
2023-11-08,1,0.75214136,1
2023-11-09,-1,0.122888975,-1
2023-11-10,1,0.45085314,-1
2023-11-11,1,0.42933244,-1
2023-11-12,1,0.47814837,1
2023-11-13,-1,0.14758107,-1
2023-11-14,-1,0.06919284,-1
2023-11-15,1,0.4901655,1
2023-11-16,-1,0.07361636,-1
2023-11-17,-1,0.11873219,-1
2023-11-18,-1,0.11664152,-1
2023-11-19,1,0.63291144,1
2023-11-20,-1,0.180513,-1
2023-11-21,-1,0.09692094,-1
2023-11-22,1,0.7507411,1
2023-11-23,1,0.8362104,1
2023-11-24,1,0.88404894,1
2023-11-25,-1,0.8807339,1
2023-11-26,-1,0.818227,1
2023-11-27,-1,0.12811562,-1
2023-11-28,1,0.7987499,1
2023-11-29,-1,0.39468703,-1
2023-11-30,-1,0.27350703,-1
