,time,action,position,entry_price,close_price,profit,balance
0,2023-03-15,open,short,0.3619,,,9999.9998
1,2023-03-17,close,neutral,,0.3741,-121.99999999999989,9877.9996
2,2023-03-17,open,long,0.3741,,,9877.999399999999
3,2023-03-20,close,neutral,,0.3778,37.00000000000037,9914.999199999998
4,2023-03-20,open,short,0.3778,,,9914.998999999998
5,2023-03-21,close,neutral,,0.4893,-1114.9999999999998,8799.998799999998
6,2023-03-21,open,long,0.4893,,,8799.998599999997
7,2023-03-22,close,neutral,,0.4243,-650.0,8149.998399999997
8,2023-03-22,open,short,0.4243,,,8149.998199999996
9,2023-03-23,close,neutral,,0.4408,-165.00000000000014,7984.997999999996
10,2023-03-23,open,long,0.4408,,,7984.997799999996
11,2023-03-24,close,neutral,,0.4224,-184.00000000000028,7800.997599999995
12,2023-03-24,open,short,0.4224,,,7800.997399999995
13,2023-03-25,close,neutral,,0.451,-286.00000000000017,7514.997199999994
14,2023-03-25,open,long,0.451,,,7514.996999999994
15,2023-03-26,close,neutral,,0.4428,-81.99999999999986,7432.996799999994
16,2023-03-26,open,short,0.4428,,,7432.996599999994
17,2023-03-27,close,neutral,,0.4706,-277.9999999999999,7154.9963999999945
18,2023-03-27,open,long,0.4706,,,7154.996199999994
19,2023-03-30,close,neutral,,0.534,634.0000000000001,7788.995999999995
20,2023-03-30,open,short,0.534,,,7788.995799999994
21,2023-03-31,close,neutral,,0.5468,-127.99999999999923,7660.995599999995
22,2023-03-31,open,long,0.5468,,,7660.995399999994
23,2023-04-01,close,neutral,,0.5085,-383.0,7277.995199999994
24,2023-04-01,open,short,0.5085,,,7277.9949999999935
25,2023-04-04,close,neutral,,0.50575,27.49999999999919,7305.494799999993
26,2023-04-04,open,long,0.50575,,,7305.494599999993
27,2023-04-05,close,neutral,,0.5048,-9.500000000000064,7295.994399999992
28,2023-04-05,open,short,0.5048,,,7295.994199999992
29,2023-04-07,close,neutral,,0.5108,-60.00000000000006,7235.9939999999915
30,2023-04-07,open,long,0.5108,,,7235.993799999991
31,2023-04-08,close,neutral,,0.5053,-55.000000000000604,7180.993599999991
32,2023-04-08,open,short,0.5053,,,7180.99339999999
33,2023-04-09,close,neutral,,0.5045,8.00000000000023,7188.993199999991
34,2023-04-09,open,long,0.5045,,,7188.99299999999
35,2023-04-12,close,neutral,,0.5024,-20.999999999999908,7167.992799999991
36,2023-04-12,open,short,0.5024,,,7167.9925999999905
37,2023-04-13,close,neutral,,0.5118,-94.00000000000075,7073.99239999999
38,2023-04-13,open,long,0.5118,,,7073.99219999999
39,2023-04-17,close,neutral,,0.5095,-23.000000000000796,7050.991999999989
40,2023-04-17,open,short,0.5095,,,7050.991799999989
41,2023-04-18,close,neutral,,0.522,-125.00000000000067,6925.9915999999885
42,2023-04-18,open,long,0.522,,,6925.991399999988
43,2023-04-19,close,neutral,,0.493,-290.0000000000003,6635.991199999988
44,2023-04-19,open,short,0.493,,,6635.990999999987
45,2023-04-22,close,neutral,,0.4699,231.00000000000009,6866.990799999988
46,2023-04-22,open,long,0.4699,,,6866.990599999987
47,2023-04-23,close,neutral,,0.4599,-100.00000000000009,6766.990399999987
48,2023-04-23,open,short,0.4599,,,6766.9901999999865
49,2023-04-24,close,neutral,,0.4598,0.9999999999998899,6767.989999999986
50,2023-04-24,open,long,0.4598,,,6767.989799999986
51,2023-04-26,close,neutral,,0.4512,-85.99999999999997,6681.989599999985
52,2023-04-26,open,short,0.4512,,,6681.989399999985
53,2023-04-27,close,neutral,,0.4664,-151.99999999999991,6529.989199999985
54,2023-04-27,open,long,0.4664,,,6529.988999999985
55,2023-05-01,close,neutral,,0.4592,-71.99999999999984,6457.9887999999855
56,2023-05-01,open,short,0.4592,,,6457.988599999985
57,2023-05-02,close,neutral,,0.4636,-44.00000000000015,6413.988399999985
58,2023-05-02,open,long,0.4636,,,6413.988199999984
59,2023-05-03,close,neutral,,0.4557,-79.00000000000018,6334.987999999984
60,2023-05-03,open,short,0.4557,,,6334.9877999999835
61,2023-05-05,close,neutral,,0.4661,-104.0000000000002,6230.987599999983
62,2023-05-05,open,long,0.4661,,,6230.987399999983
63,2023-05-06,close,neutral,,0.4568,-93.0000000000003,6137.987199999982
64,2023-05-06,open,short,0.4568,,,6137.986999999982
65,2023-05-12,close,neutral,,0.4259,308.99999999999983,6446.9867999999815
66,2023-05-12,open,long,0.4259,,,6446.986599999981
67,2023-05-13,close,neutral,,0.4234,-25.00000000000002,6421.986399999981
68,2023-05-13,open,short,0.4234,,,6421.98619999998
69,2023-05-14,close,neutral,,0.4244,-10.000000000000009,6411.98599999998
70,2023-05-14,open,long,0.4244,,,6411.9857999999795
71,2023-05-16,close,neutral,,0.4237,-6.999999999999784,6404.98559999998
72,2023-05-16,open,short,0.4237,,,6404.98539999998
73,2023-05-17,close,neutral,,0.446,-222.99999999999986,6181.98519999998
74,2023-05-17,open,long,0.446,,,6181.98499999998
75,2023-05-21,close,neutral,,0.4599,138.9999999999997,6320.984799999979
76,2023-05-21,open,short,0.4599,,,6320.984599999979
77,2023-05-22,close,neutral,,0.4601,-2.000000000000335,6318.984399999978
78,2023-05-22,open,long,0.4601,,,6318.984199999978
79,2023-05-24,close,neutral,,0.4531,-70.00000000000006,6248.983999999978
80,2023-05-24,open,short,0.4531,,,6248.983799999977
81,2023-05-26,close,neutral,,0.4674,-142.9999999999998,6105.983599999978
82,2023-05-26,open,long,0.4674,,,6105.983399999977
83,2023-06-01,close,neutral,,0.5072,398.0,6503.983199999977
84,2023-06-01,open,short,0.5072,,,6503.9829999999765
85,2023-06-02,close,neutral,,0.5239,-167.00000000000048,6336.982799999976
86,2023-06-02,open,long,0.5239,,,6336.982599999976
87,2023-06-05,close,neutral,,0.506,-179.00000000000028,6157.982399999975
88,2023-06-05,open,short,0.506,,,6157.982199999975
89,2023-06-09,close,neutral,,0.5363,-302.99999999999994,5854.9819999999745
90,2023-06-09,open,long,0.5363,,,5854.981799999974
91,2023-06-10,close,neutral,,0.5041,-322.00000000000006,5532.981599999974
92,2023-06-10,open,short,0.5041,,,5532.981399999973
93,2023-06-17,close,neutral,,0.4794,247.0,5779.981199999973
94,2023-06-17,open,long,0.4794,,,5779.9809999999725
95,2023-06-24,close,neutral,,0.4849,55.00000000000005,5834.980799999972
96,2023-06-24,open,short,0.4849,,,5834.980599999972
97,2023-06-25,close,neutral,,0.4879,-30.00000000000003,5804.980399999971
98,2023-06-25,open,long,0.4879,,,5804.980199999971
99,2023-06-26,close,neutral,,0.4763,-115.99999999999999,5688.9799999999705
100,2023-06-26,open,short,0.4763,,,5688.97979999997
101,2023-06-27,close,neutral,,0.4814,-50.999999999999936,5637.979599999971
102,2023-06-27,open,long,0.4814,,,5637.97939999997
103,2023-06-28,close,neutral,,0.4618,-196.00000000000006,5441.97919999997
104,2023-06-28,open,short,0.4618,,,5441.978999999969
