time,Actual Movement,Predictions,Predicted
2023-10-19,1,0.9683442,1
2023-10-20,1,0.82993853,1
2023-10-23,-1,0.11399186,-1
2023-10-24,-1,0.3408576,1
2023-10-25,1,0.9636847,1
2023-10-26,1,0.46197274,1
2023-10-27,1,0.95325273,1
2023-10-30,-1,0.022728303,-1
2023-10-31,-1,0.40312317,1
2023-11-01,-1,0.0202243,-1
2023-11-02,-1,0.081927516,-1
2023-11-03,-1,0.03232507,-1
2023-11-06,-1,0.122103214,-1
2023-11-07,1,0.68801767,1
2023-11-08,-1,0.18141991,-1
2023-11-09,1,0.9827787,1
2023-11-10,-1,0.12334774,-1
2023-11-13,1,0.9108785,1
2023-11-14,-1,0.07260627,-1
2023-11-15,-1,0.61665225,1
2023-11-16,1,0.9961558,1
2023-11-17,-1,0.24336891,1
2023-11-20,-1,0.44270602,1
2023-11-21,1,0.9891356,1
2023-11-22,-1,0.56105834,1
2023-11-23,-1,0.6599532,1
2023-11-24,-1,0.6601818,1
2023-11-27,1,0.92471147,1
2023-11-28,1,0.9724855,1
2023-11-29,1,0.9661212,1
2023-11-30,-1,0.46719068,1
2023-12-01,1,0.9607341,1
2023-12-04,-1,0.022521941,-1
2023-12-05,1,0.9110729,1
2023-12-06,1,0.8262167,1
2023-12-07,-1,0.06842042,-1
2023-12-08,-1,0.031100983,-1
2023-12-11,-1,0.024519311,-1
2023-12-12,1,0.22870754,1
2023-12-13,1,0.94908905,1
2023-12-14,-1,0.52068436,1
2023-12-15,-1,0.034896236,-1
2023-12-18,1,0.8905744,1
2023-12-19,-1,0.24986272,1
2023-12-20,-1,0.40576842,1
2023-12-21,-1,0.16495803,-1
2023-12-22,1,0.9050429,1
2023-12-26,1,0.92907304,1
2023-12-27,1,0.94755554,1
2023-12-28,-1,0.36304653,1
2023-12-29,1,0.80168736,1
2024-01-02,1,0.9727015,1
2024-01-03,-1,0.068924814,-1
2024-01-04,1,0.8653308,1
2024-01-05,-1,0.33541173,1
2024-01-08,-1,0.007259138,-1
2024-01-09,1,0.74495244,1
2024-01-10,-1,0.027800307,-1
2024-01-11,1,0.72874904,1
2024-01-12,1,0.9828141,1
2024-01-15,1,0.9568487,1
2024-01-16,-1,0.43188402,1
2024-01-17,-1,0.04199028,-1
2024-01-18,1,0.9125724,1
2024-01-19,-1,0.35541344,1
2024-01-22,1,0.53011155,1
2024-01-23,1,0.7795116,1
2024-01-24,-1,0.012951476,-1
2024-01-25,1,0.30401105,1
2024-01-26,1,0.18340115,1
2024-01-29,1,0.481989,1
2024-01-30,1,0.86998963,1
2024-01-31,1,0.9747897,1
2024-02-01,1,0.98204595,1
2024-02-02,1,0.93230355,1
2024-02-05,-1,0.6809517,1
2024-02-06,-1,0.7541804,1
2024-02-07,-1,0.6633519,1
2024-02-08,1,0.9531664,1
2024-02-09,-1,0.0066619413,-1
2024-02-12,-1,0.027843442,-1
2024-02-13,-1,0.025491705,-1
2024-02-14,-1,0.010243578,-1
2024-02-15,1,0.081412785,-1
2024-02-16,1,0.547851,1
2024-02-19,1,0.6045265,1
2024-02-20,1,0.79321223,1
2024-02-21,1,0.58934575,1
2024-02-22,-1,0.09402573,-1
2024-02-23,1,0.9296864,1
2024-02-26,1,0.87827533,1
2024-02-27,-1,0.11072571,-1
2024-02-28,1,0.9805218,1
2024-02-29,1,0.7508038,1
2024-03-01,1,0.990626,1
2024-03-04,1,0.9941864,1
2024-03-05,1,0.66028976,1
2024-03-06,1,0.57960784,1
2024-03-07,-1,0.13053127,-1
2024-03-08,1,0.9010232,1
2024-03-11,1,0.55113506,1
2024-03-12,-1,0.0031042031,-1
2024-03-13,1,0.19592273,1
2024-03-14,1,0.0446545,-1
2024-03-15,1,0.087920666,-1
2024-03-18,1,0.23353502,1
2024-03-19,1,0.35464925,1
2024-03-20,1,0.47078252,1
2024-03-21,1,0.25521994,1
2024-03-22,1,0.6660243,1
2024-03-25,-1,0.37218323,1
2024-03-26,1,0.8859488,1
2024-03-27,1,0.98214,1
2024-03-28,1,0.9958269,1
2024-04-01,1,0.9474542,1
2024-04-02,1,0.87385374,1
2024-04-03,1,0.41404417,1
2024-04-04,-1,0.0114056105,-1
2024-04-05,1,0.97308344,1
2024-04-08,1,0.032583628,-1
2024-04-09,1,0.21676597,1
2024-04-10,1,0.9379444,1
2024-04-11,1,0.9283419,1
2024-04-12,-1,0.018672267,-1
2024-04-15,1,0.9856148,1
2024-04-16,1,0.25875273,1
2024-04-17,-1,0.0028131572,-1
2024-04-18,1,0.19616148,1
