,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-08-23,-1,0.4411948,-1,1.08638,
1,2019-08-26,1,0.6871557,1,1.08662,1.08638
2,2019-08-27,1,0.8812575,1,1.08798,1.08662
3,2019-08-28,-1,0.7620436,1,1.08703,1.08798
4,2019-08-29,1,0.93859655,1,1.09083,1.08703
5,2019-08-30,-1,0.3345296,-1,1.08775,1.09083
6,2019-09-02,-1,0.19120912,-1,1.08657,1.08775
7,2019-09-03,-1,0.102745965,-1,1.08273,1.08657
8,2019-09-04,-1,0.24226484,-1,1.08238,1.08273
9,2019-09-05,1,0.9659222,1,1.08805,1.08238
10,2019-09-06,1,0.8994447,1,1.08881,1.08805
11,2019-09-09,1,0.93616986,1,1.09589,1.08881
12,2019-09-10,-1,0.7826185,1,1.09517,1.09589
13,2019-09-11,-1,0.3099451,-1,1.09306,1.09517
14,2019-09-12,1,0.739632,1,1.09561,1.09306
15,2019-09-13,1,0.7375041,1,1.09659,1.09561
16,2019-09-16,-1,0.05527581,-1,1.09227,1.09659
17,2019-09-17,1,0.7187977,1,1.09939,1.09227
18,2019-09-18,1,0.7024701,1,1.10011,1.09939
19,2019-09-19,-1,0.09232227,-1,1.09633,1.10011
20,2019-09-20,-1,0.030559143,-1,1.09189,1.09633
21,2019-09-23,-1,0.029028215,-1,1.08839,1.09189
22,2019-09-24,-1,0.050772104,-1,1.08611,1.08839
23,2019-09-25,-1,0.13769463,-1,1.08579,1.08611
24,2019-09-26,-1,0.19750848,-1,1.08515,1.08579
25,2019-09-27,-1,0.22611842,-1,1.08437,1.08515
26,2019-09-30,1,0.9121713,1,1.08787,1.08437
27,2019-10-01,-1,0.71388674,1,1.08552,1.08787
28,2019-10-02,1,0.9872241,1,1.09236,1.08552
29,2019-10-03,1,0.97852725,1,1.09524,1.09236
30,2019-10-04,-1,0.7643911,1,1.09229,1.09524
31,2019-10-07,-1,0.7214716,1,1.0913,1.09229
32,2019-10-08,-1,0.38531443,-1,1.08812,1.0913
33,2019-10-09,1,0.8931382,1,1.09257,1.08812
34,2019-10-10,1,0.9242179,1,1.09691,1.09257
35,2019-10-11,1,0.8758181,1,1.09986,1.09691
36,2019-10-14,-1,0.7922936,1,1.09973,1.09986
37,2019-10-15,1,0.9136684,1,1.10183,1.09973
38,2019-10-16,-1,0.8360043,1,1.10159,1.10183
39,2019-10-17,-1,0.21661633,-1,1.09886,1.10159
40,2019-10-18,1,0.44461453,-1,1.09914,1.09886
41,2019-10-21,-1,0.5612414,-1,1.09902,1.09914
42,2019-10-22,1,0.8229867,1,1.1008,1.09902
43,2019-10-23,1,0.90430945,1,1.10274,1.1008
44,2019-10-24,-1,0.67076826,1,1.10183,1.10274
45,2019-10-25,-1,0.6114672,1,1.10173,1.10183
46,2019-10-28,1,0.8543846,1,1.10403,1.10173
47,2019-10-29,1,0.83796287,1,1.10427,1.10403
48,2019-10-30,-1,0.54710895,-1,1.10337,1.10427
49,2019-10-31,-1,0.029877434,-1,1.09969,1.10337
50,2019-11-01,1,0.28635487,-1,1.10042,1.09969
51,2019-11-04,-1,0.30141395,-1,1.09918,1.10042
52,2019-11-05,-1,0.46086663,-1,1.09914,1.09918
53,2019-11-06,-1,0.41781953,-1,1.09856,1.09914
54,2019-11-07,1,0.77755135,1,1.0993,1.09856
55,2019-11-08,-1,0.6844711,1,1.09909,1.0993
56,2019-11-11,-1,0.13658336,-1,1.09596,1.09909
57,2019-11-12,-1,0.06792873,-1,1.09311,1.09596
58,2019-11-13,-1,0.041824874,-1,1.08963,1.09311
59,2019-11-14,-1,0.035991486,-1,1.08914,1.08963
60,2019-11-15,1,0.7693783,1,1.09361,1.08914
61,2019-11-18,1,0.82476103,1,1.09534,1.09361
62,2019-11-19,1,0.83979255,1,1.09708,1.09534
63,2019-11-20,1,0.7906177,1,1.09732,1.09708
64,2019-11-21,1,0.8294571,1,1.09824,1.09732
65,2019-11-22,1,0.84057736,1,1.09888,1.09824
66,2019-11-25,-1,0.3412585,-1,1.09751,1.09888
67,2019-11-26,1,0.66987544,1,1.09934,1.09751
68,2019-11-27,1,0.5896072,1,1.09936,1.09934
69,2019-11-28,-1,0.38642043,-1,1.09912,1.09936
70,2019-11-29,1,0.8038667,1,1.10147,1.09912
71,2019-12-02,-1,0.043717228,-1,1.09818,1.10147
72,2019-12-03,-1,0.008040137,-1,1.09388,1.09818
73,2019-12-04,1,0.08099235,-1,1.09534,1.09388
74,2019-12-05,1,0.34969428,-1,1.09604,1.09534
75,2019-12-06,-1,0.2596968,-1,1.09489,1.09604
76,2019-12-09,-1,0.18958439,-1,1.09283,1.09489
77,2019-12-10,-1,0.24133374,-1,1.09197,1.09283
78,2019-12-11,1,0.83009607,1,1.09392,1.09197
79,2019-12-12,1,0.94635713,1,1.09634,1.09392
80,2019-12-13,-1,0.6626838,1,1.09408,1.09634
81,2019-12-16,1,0.7505849,1,1.0948,1.09408
82,2019-12-17,-1,0.5155246,-1,1.09257,1.0948
83,2019-12-18,-1,0.21842825,-1,1.08948,1.09257
84,2019-12-19,-1,0.219506,-1,1.08795,1.08948
85,2019-12-20,1,0.35146725,-1,1.08824,1.08795
86,2019-12-23,1,0.44445604,-1,1.08865,1.08824
87,2019-12-24,-1,0.1899128,-1,1.08626,1.08865
88,2019-12-26,1,0.8400399,1,1.08892,1.08626
89,2019-12-27,1,0.88693154,1,1.08931,1.08892
90,2019-12-30,-1,0.37082526,-1,1.08561,1.08931
91,2019-12-31,-1,0.45584038,-1,1.08556,1.08561
92,2020-01-02,-1,0.35387394,-1,1.08491,1.08556
93,2020-01-03,-1,0.31416914,-1,1.08481,1.08491
94,2020-01-06,-1,0.1812797,-1,1.08366,1.08481
95,2020-01-07,-1,0.08999259,-1,1.08191,1.08366
96,2020-01-08,-1,0.063006714,-1,1.08142,1.08191
97,2020-01-09,-1,0.04462684,-1,1.08081,1.08142
98,2020-01-10,1,0.2701275,-1,1.08184,1.08081
99,2020-01-13,-1,0.14045808,-1,1.08112,1.08184
100,2020-01-14,-1,0.024086697,-1,1.07647,1.08112
101,2020-01-15,-1,0.030738184,-1,1.07484,1.07647
102,2020-01-16,-1,0.04278521,-1,1.07468,1.07484
103,2020-01-17,-1,0.037017472,-1,1.07315,1.07468
104,2020-01-20,1,0.24349949,-1,1.0742,1.07315
105,2020-01-21,-1,0.18591174,-1,1.07349,1.0742
106,2020-01-22,1,0.2954624,-1,1.07382,1.07349
107,2020-01-23,-1,0.108529374,-1,1.07164,1.07382
108,2020-01-24,-1,0.08044307,-1,1.07066,1.07164
109,2020-01-27,-1,0.042969786,-1,1.06837,1.07066
110,2020-01-28,1,0.8694986,1,1.07255,1.06837
111,2020-01-29,-1,0.6167338,1,1.07173,1.07255
112,2020-01-30,-1,0.2587387,-1,1.0696,1.07173
113,2020-01-31,-1,0.23771857,-1,1.06884,1.0696
114,2020-02-03,-1,0.26364112,-1,1.06867,1.06884
115,2020-02-04,1,0.8036037,1,1.07061,1.06867
116,2020-02-05,1,0.77386725,1,1.07088,1.07061
117,2020-02-06,-1,0.5661748,1,1.07028,1.07088
118,2020-02-07,-1,0.4482917,-1,1.06979,1.07028
