,time,action,position,entry_price,close_price,profit,balance
0,2019-08-23,open,short,1.08638,,,9999.9998
1,2019-08-26,close,neutral,,1.08662,-2.4000000000001798,9997.5996
2,2019-08-26,open,long,1.08662,,,9997.5994
3,2019-08-30,close,neutral,,1.08775,11.300000000000754,10008.8992
4,2019-08-30,open,short,1.08775,,,10008.899
5,2019-09-05,close,neutral,,1.08805,-2.9999999999996696,10005.898799999999
6,2019-09-05,open,long,1.08805,,,10005.898599999999
7,2019-09-11,close,neutral,,1.09306,50.09999999999959,10055.998399999999
8,2019-09-11,open,short,1.09306,,,10055.998199999998
9,2019-09-12,close,neutral,,1.09561,-25.500000000000522,10030.497999999998
10,2019-09-12,open,long,1.09561,,,10030.497799999997
11,2019-09-16,close,neutral,,1.09227,-33.39999999999898,9997.0976
12,2019-09-16,open,short,1.09227,,,9997.097399999999
13,2019-09-17,close,neutral,,1.09939,-71.20000000000016,9925.8972
14,2019-09-17,open,long,1.09939,,,9925.896999999999
15,2019-09-19,close,neutral,,1.09633,-30.600000000000627,9895.296799999998
16,2019-09-19,open,short,1.09633,,,9895.296599999998
17,2019-09-30,close,neutral,,1.08787,84.60000000000134,9979.8964
18,2019-09-30,open,long,1.08787,,,9979.8962
19,2019-10-08,close,neutral,,1.08812,2.500000000000835,9982.396
20,2019-10-08,open,short,1.08812,,,9982.3958
21,2019-10-09,close,neutral,,1.09257,-44.500000000000654,9937.8956
22,2019-10-09,open,long,1.09257,,,9937.8954
23,2019-10-17,close,neutral,,1.09886,62.89999999999907,10000.795199999999
24,2019-10-17,open,short,1.09886,,,10000.794999999998
25,2019-10-22,close,neutral,,1.1008,-19.400000000000528,9981.394799999998
26,2019-10-22,open,long,1.1008,,,9981.394599999998
27,2019-10-30,close,neutral,,1.10337,25.699999999999612,10007.094399999998
28,2019-10-30,open,short,1.10337,,,10007.094199999998
29,2019-11-07,close,neutral,,1.0993,40.70000000000018,10047.793999999998
30,2019-11-07,open,long,1.0993,,,10047.793799999998
31,2019-11-11,close,neutral,,1.09596,-33.39999999999898,10014.3936
32,2019-11-11,open,short,1.09596,,,10014.393399999999
33,2019-11-15,close,neutral,,1.09361,23.500000000000743,10037.8932
34,2019-11-15,open,long,1.09361,,,10037.893
35,2019-11-25,close,neutral,,1.09751,39.00000000000014,10076.8928
36,2019-11-25,open,short,1.09751,,,10076.8926
37,2019-11-26,close,neutral,,1.09934,-18.299999999999983,10058.5924
38,2019-11-26,open,long,1.09934,,,10058.5922
39,2019-11-28,close,neutral,,1.09912,-2.1999999999988695,10056.392
40,2019-11-28,open,short,1.09912,,,10056.3918
41,2019-11-29,close,neutral,,1.10147,-23.499999999998522,10032.8916
42,2019-11-29,open,long,1.10147,,,10032.8914
43,2019-12-02,close,neutral,,1.09818,-32.90000000000015,9999.9912
44,2019-12-02,open,short,1.09818,,,9999.991
45,2019-12-11,close,neutral,,1.09392,42.599999999999305,10042.5908
46,2019-12-11,open,long,1.09392,,,10042.5906
47,2019-12-17,close,neutral,,1.09257,-13.499999999999623,10029.0904
48,2019-12-17,open,short,1.09257,,,10029.090199999999
49,2019-12-26,close,neutral,,1.08892,36.49999999999931,10065.589999999998
50,2019-12-26,open,long,1.08892,,,10065.589799999998
51,2019-12-30,close,neutral,,1.08561,-33.10000000000146,10032.489599999997
52,2019-12-30,open,short,1.08561,,,10032.489399999997
53,2020-01-28,close,neutral,,1.07255,130.6000000000007,10163.089199999997
54,2020-01-28,open,long,1.07255,,,10163.088999999996
55,2020-01-30,close,neutral,,1.0696,-29.49999999999786,10133.588799999998
56,2020-01-30,open,short,1.0696,,,10133.588599999997
57,2020-02-04,close,neutral,,1.07061,-10.099999999999554,10123.488399999998
58,2020-02-04,open,long,1.07061,,,10123.488199999998
59,2020-02-07,close,neutral,,1.06979,-8.20000000000043,10115.287999999997
60,2020-02-07,open,short,1.06979,,,10115.287799999996
61,2020-02-19,close,neutral,,1.06321,65.8000000000003,10181.087599999997
