time,Actual Movement,Predictions,Predicted
2021-02-17,1,0.78900695,1
2021-02-18,1,0.8175705,1
2021-02-19,1,0.98355955,1
2021-02-22,1,0.9705898,1
2021-02-23,1,0.98538536,1
2021-02-24,1,0.9870864,1
2021-02-25,-1,0.13076843,-1
2021-02-26,-1,0.054586887,-1
2021-03-01,1,0.80072254,1
2021-03-02,1,0.6953474,1
2021-03-03,-1,0.5155735,1
2021-03-04,1,0.621308,1
2021-03-05,-1,0.47146708,1
2021-03-08,1,0.5320557,1
2021-03-09,-1,0.2080811,-1
2021-03-10,1,0.8298439,1
2021-03-11,-1,0.4883803,1
2021-03-12,-1,0.25063244,-1
2021-03-15,1,0.70035094,1
2021-03-16,-1,0.109702766,-1
2021-03-17,1,0.722529,1
2021-03-18,-1,0.102372274,-1
2021-03-19,1,0.3034153,-1
2021-03-22,-1,0.07069416,-1
2021-03-23,-1,0.039492402,-1
2021-03-24,-1,0.08195117,-1
2021-03-25,1,0.355944,-1
2021-03-26,1,0.8785102,1
2021-03-29,1,0.6826789,1
2021-03-30,1,0.7154873,1
2021-03-31,1,0.866406,1
2021-04-01,1,0.95085025,1
2021-04-02,1,0.9213855,1
2021-04-05,-1,0.75860906,1
2021-04-06,-1,0.066211924,-1
2021-04-07,-1,0.037576485,-1
2021-04-08,1,0.12809864,-1
2021-04-09,-1,0.08921878,-1
2021-04-12,-1,0.075946204,-1
2021-04-13,1,0.256861,-1
2021-04-14,1,0.9920243,1
2021-04-15,1,0.9683207,1
2021-04-16,-1,0.2263946,-1
2021-04-19,1,0.33926868,-1
2021-04-20,-1,0.24824627,-1
2021-04-21,1,0.8905211,1
2021-04-22,-1,0.11816715,-1
2021-04-23,1,0.2192802,-1
2021-04-26,1,0.7671771,1
2021-04-27,-1,0.10545256,-1
2021-04-28,1,0.2158393,-1
2021-04-29,-1,0.072805,-1
2021-04-30,-1,0.025493676,-1
2021-05-03,1,0.18596305,-1
2021-05-04,-1,0.081113085,-1
2021-05-05,1,0.8721697,1
2021-05-06,-1,0.2664696,-1
2021-05-07,-1,0.18437003,-1
2021-05-10,-1,0.14891075,-1
2021-05-11,1,0.65522236,1
2021-05-12,-1,0.076516174,-1
2021-05-13,1,0.2041165,-1
2021-05-14,1,0.8739997,1
2021-05-17,-1,0.2561707,-1
2021-05-18,-1,0.17806576,-1
2021-05-19,-1,0.12814021,-1
2021-05-20,-1,0.13178036,-1
2021-05-21,-1,0.08643684,-1
2021-05-24,1,0.9112508,1
2021-05-25,-1,0.7042598,1
2021-05-26,1,0.980631,1
2021-05-27,1,0.91568005,1
2021-05-28,-1,0.30705187,-1
2021-05-31,1,0.53946894,1
2021-06-01,-1,0.09112284,-1
2021-06-02,-1,0.081588656,-1
2021-06-03,-1,0.033169407,-1
2021-06-04,1,0.37276044,-1
2021-06-07,1,0.45237038,1
2021-06-08,-1,0.08487813,-1
2021-06-09,-1,0.08304575,-1
2021-06-10,1,0.1898429,-1
2021-06-11,-1,0.08395338,-1
2021-06-14,1,0.73520565,1
2021-06-15,-1,0.21456473,-1
2021-06-16,1,0.50703275,1
2021-06-17,1,0.94316316,1
2021-06-18,-1,0.38349277,-1
2021-06-21,1,0.8905708,1
2021-06-22,1,0.9755283,1
2021-06-23,1,0.9547993,1
2021-06-24,1,0.9213064,1
2021-06-25,-1,0.78530693,1
2021-06-28,-1,0.4719822,1
2021-06-29,-1,0.0376806,-1
2021-06-30,1,0.29147214,-1
2021-07-01,-1,0.106694676,-1
2021-07-02,1,0.535277,1
2021-07-05,-1,0.2889858,-1
