,time,action,position,entry_price,close_price,profit,balance
0,2021-01-27,open,short,0.68086,,,9999.9998
1,2021-01-28,close,neutral,,0.68219,-13.299999999999423,9986.6996
2,2021-01-28,open,long,0.68219,,,9986.6994
3,2021-01-29,close,neutral,,0.68075,-14.399999999999968,9972.2992
4,2021-01-29,open,short,0.68075,,,9972.298999999999
5,2021-02-01,close,neutral,,0.68386,-31.10000000000057,9941.198799999998
6,2021-02-01,open,long,0.68386,,,9941.198599999998
7,2021-02-09,close,neutral,,0.69038,65.1999999999997,10006.398399999998
8,2021-02-09,open,short,0.69038,,,10006.398199999998
9,2021-02-11,close,neutral,,0.69001,3.6999999999998145,10010.097999999998
10,2021-02-11,open,long,0.69001,,,10010.097799999998
11,2021-02-16,close,neutral,,0.69229,22.799999999999486,10032.897599999997
12,2021-02-16,open,short,0.69229,,,10032.897399999996
13,2021-02-17,close,neutral,,0.69667,-43.80000000000051,9989.097199999997
14,2021-02-17,open,long,0.69667,,,9989.096999999996
15,2021-02-25,close,neutral,,0.71229,156.19999999999968,10145.296799999996
16,2021-02-25,open,short,0.71229,,,10145.296599999996
17,2021-03-01,close,neutral,,0.71108,12.099999999999334,10157.396399999996
18,2021-03-01,open,long,0.71108,,,10157.396199999996
19,2021-03-16,close,neutral,,0.71611,50.29999999999979,10207.695999999996
20,2021-03-16,open,short,0.71611,,,10207.695799999996
21,2021-03-17,close,neutral,,0.71925,-31.399999999999206,10176.295599999996
22,2021-03-17,open,long,0.71925,,,10176.295399999995
23,2021-03-22,close,neutral,,0.71487,-43.79999999999939,10132.495199999996
24,2021-03-22,open,short,0.71487,,,10132.494999999995
25,2021-03-25,close,neutral,,0.71274,21.299999999999653,10153.794799999994
26,2021-03-25,open,long,0.71274,,,10153.794599999994
27,2021-04-06,close,neutral,,0.71328,5.399999999999849,10159.194399999993
28,2021-04-06,open,short,0.71328,,,10159.194199999993
29,2021-04-14,close,neutral,,0.71272,5.600000000000049,10164.793999999993
30,2021-04-14,open,long,0.71272,,,10164.793799999992
31,2021-04-19,close,neutral,,0.71003,-26.8999999999997,10137.893599999992
32,2021-04-19,open,short,0.71003,,,10137.893399999992
33,2021-04-21,close,neutral,,0.7107,-6.699999999999484,10131.193199999992
34,2021-04-21,open,long,0.7107,,,10131.192999999992
35,2021-04-22,close,neutral,,0.70663,-40.70000000000018,10090.492799999993
36,2021-04-22,open,short,0.70663,,,10090.492599999992
37,2021-04-23,close,neutral,,0.70795,-13.199999999999878,10077.292399999993
38,2021-04-23,open,long,0.70795,,,10077.292199999993
39,2021-04-27,close,neutral,,0.70991,19.600000000000726,10096.891999999993
40,2021-04-27,open,short,0.70991,,,10096.891799999992
41,2021-05-03,close,neutral,,0.70738,25.300000000000324,10122.191599999993
42,2021-05-03,open,long,0.70738,,,10122.191399999992
43,2021-05-12,close,neutral,,0.70222,-51.600000000000534,10070.591199999992
44,2021-05-12,open,short,0.70222,,,10070.590999999991
