,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2023-03-01,1,0.94344974,1,1656.38,
1,2023-03-02,-1,0.43341765,-1,1642.37,1656.38
2,2023-03-03,-1,0.023795968,-1,1559.75,1642.37
3,2023-03-04,-1,0.39809144,-1,1554.76,1559.75
4,2023-03-05,1,0.70984024,1,1568.63,1554.76
5,2023-03-06,-1,0.50195056,-1,1564.37,1568.63
6,2023-03-07,-1,0.37086233,-1,1550.01,1564.37
7,2023-03-08,1,0.55592936,-1,1550.55,1550.01
8,2023-03-09,-1,0.006445479,-1,1432.45,1550.55
9,2023-03-10,-1,0.08383435,-1,1415.63,1432.45
10,2023-03-11,1,0.9396512,1,1475.94,1415.63
11,2023-03-12,1,0.96793514,1,1549.8,1475.94
12,2023-03-13,1,0.9863325,1,1669.89,1549.8
13,2023-03-14,1,0.9260087,1,1710.13,1669.89
14,2023-03-15,-1,0.108721286,-1,1654.05,1710.13
15,2023-03-16,1,0.7263925,1,1659.15,1654.05
16,2023-03-17,1,0.9575807,1,1738.26,1659.15
17,2023-03-18,1,0.9337898,1,1798.29,1738.26
18,2023-03-19,-1,0.75674754,1,1798.07,1798.29
19,2023-03-20,-1,0.21253352,-1,1763.1,1798.07
20,2023-03-21,1,0.88289094,1,1803.22,1763.1
21,2023-03-22,-1,0.022887543,-1,1736.95,1803.22
22,2023-03-23,1,0.9273931,1,1814.28,1736.95
23,2023-03-24,-1,0.01760755,-1,1752.14,1814.28
24,2023-03-25,-1,0.073880866,-1,1731.89,1752.14
25,2023-03-26,1,0.4033698,-1,1758.84,1731.89
26,2023-03-27,-1,0.020790482,-1,1705.61,1758.84
27,2023-03-28,1,0.92744005,1,1774.16,1705.61
28,2023-03-29,1,0.75766987,1,1803.13,1774.16
29,2023-03-30,-1,0.49173248,-1,1795.58,1803.13
30,2023-03-31,1,0.88683885,1,1822.06,1795.58
31,2023-04-01,-1,0.5535112,-1,1817.1,1822.06
32,2023-04-02,-1,0.07422426,-1,1783.78,1817.1
33,2023-04-03,1,0.25804138,-1,1784.4,1783.78
34,2023-04-04,1,0.9751984,1,1880.17,1784.4
35,2023-04-05,1,0.90461063,1,1906.7,1880.17
36,2023-04-06,-1,0.12452868,-1,1866.7,1906.7
37,2023-04-07,-1,0.25471562,-1,1852.05,1866.7
38,2023-04-08,1,0.48470572,-1,1856.2,1852.05
39,2023-04-09,-1,0.45526898,-1,1856.0,1856.2
40,2023-04-10,1,0.91306216,1,1886.46,1856.0
41,2023-04-11,1,0.8369322,1,1894.93,1886.46
42,2023-04-12,1,0.9175273,1,1908.85,1894.93
43,2023-04-13,1,0.98391485,1,2008.09,1908.85
44,2023-04-14,1,0.9748731,1,2107.89,2008.09
45,2023-04-15,-1,0.79912245,1,2090.58,2107.89
46,2023-04-16,1,0.9571595,1,2125.32,2090.58
47,2023-04-17,-1,0.14689438,-1,2076.14,2125.32
48,2023-04-18,1,0.76785475,1,2093.46,2076.14
49,2023-04-19,-1,0.0075690486,-1,1979.62,2093.46
50,2023-04-20,-1,0.026772792,-1,1935.66,1979.62
51,2023-04-21,-1,0.009187355,-1,1840.86,1935.66
52,2023-04-22,1,0.6719386,1,1872.79,1840.86
53,2023-04-23,-1,0.12740049,-1,1847.13,1872.79
54,2023-04-24,-1,0.29385257,-1,1835.15,1847.13
55,2023-04-25,1,0.81028146,1,1859.16,1835.15
56,2023-04-26,-1,0.38723606,-1,1848.53,1859.16
57,2023-04-27,1,0.9753513,1,1918.76,1848.53
58,2023-04-28,-1,0.62387836,-1,1896.43,1918.76
59,2023-04-29,1,0.9066007,1,1902.57,1896.43
