,time,action,position,entry_price,close_price,profit,balance
0,2023-03-01,open,long,1656.38,,,9999.9998
1,2023-03-02,close,neutral,,1642.37,-140100.00000000218,-130100.00040000219
2,2023-03-02,open,short,1642.37,,,-130100.00060000218
3,2023-03-05,close,neutral,,1568.63,737399.9999999978,607299.9991999955
4,2023-03-05,open,long,1568.63,,,607299.9989999955
5,2023-03-06,close,neutral,,1564.37,-42600.00000000218,564699.9987999933
6,2023-03-06,open,short,1564.37,,,564699.9985999933
7,2023-03-11,close,neutral,,1475.94,884299.9999999984,1448999.9983999915
8,2023-03-11,open,long,1475.94,,,1448999.9981999916
9,2023-03-15,close,neutral,,1654.05,1781099.999999999,3230099.997999991
10,2023-03-15,open,short,1654.05,,,3230099.9977999907
11,2023-03-16,close,neutral,,1659.15,-51000.00000000137,3179099.997599989
12,2023-03-16,open,long,1659.15,,,3179099.997399989
13,2023-03-20,close,neutral,,1763.1,1039499.9999999981,4218599.997199987
14,2023-03-20,open,short,1763.1,,,4218599.996999987
15,2023-03-21,close,neutral,,1803.22,-401200.00000000116,3817399.9967999863
16,2023-03-21,open,long,1803.22,,,3817399.996599986
17,2023-03-22,close,neutral,,1736.95,-662699.9999999998,3154699.9963999866
18,2023-03-22,open,short,1736.95,,,3154699.9961999864
19,2023-03-23,close,neutral,,1814.28,-773299.9999999993,2381399.9959999872
20,2023-03-23,open,long,1814.28,,,2381399.995799987
21,2023-03-24,close,neutral,,1752.14,-621399.9999999987,1759999.9955999884
22,2023-03-24,open,short,1752.14,,,1759999.9953999885
23,2023-03-28,close,neutral,,1774.16,-220199.99999999983,1539799.9951999886
24,2023-03-28,open,long,1774.16,,,1539799.9949999887
25,2023-03-30,close,neutral,,1795.58,214199.99999999846,1753999.9947999872
26,2023-03-30,open,short,1795.58,,,1753999.9945999873
27,2023-03-31,close,neutral,,1822.06,-264800.0000000002,1489199.9943999872
28,2023-03-31,open,long,1822.06,,,1489199.9941999873
29,2023-04-01,close,neutral,,1817.1,-49600.000000000364,1439599.993999987
30,2023-04-01,open,short,1817.1,,,1439599.993799987
31,2023-04-04,close,neutral,,1880.17,-630700.0000000016,808899.9935999854
32,2023-04-04,open,long,1880.17,,,808899.9933999854
33,2023-04-06,close,neutral,,1866.7,-134700.00000000026,674199.9931999851
34,2023-04-06,open,short,1866.7,,,674199.9929999851
35,2023-04-10,close,neutral,,1886.46,-197599.9999999999,476599.9927999852
36,2023-04-10,open,long,1886.46,,,476599.9925999852
37,2023-04-17,close,neutral,,2076.14,1896799.9999999984,2373399.9923999836
38,2023-04-17,open,short,2076.14,,,2373399.9921999834
39,2023-04-18,close,neutral,,2093.46,-173200.00000000163,2200199.991999982
40,2023-04-18,open,long,2093.46,,,2200199.991799982
41,2023-04-19,close,neutral,,1979.62,-1138400.0000000014,1061799.9915999805
42,2023-04-19,open,short,1979.62,,,1061799.9913999806
43,2023-04-22,close,neutral,,1872.79,1068299.9999999993,2130099.99119998
44,2023-04-22,open,long,1872.79,,,2130099.99099998
45,2023-04-23,close,neutral,,1847.13,-256599.99999999854,1873499.9907999814
46,2023-04-23,open,short,1847.13,,,1873499.9905999815
47,2023-04-25,close,neutral,,1859.16,-120299.99999999972,1753199.9903999818
48,2023-04-25,open,long,1859.16,,,1753199.990199982
49,2023-04-26,close,neutral,,1848.53,-106300.00000000109,1646899.989999981
50,2023-04-26,open,short,1848.53,,,1646899.989799981
51,2023-04-27,close,neutral,,1918.76,-702300.0000000002,944599.9895999808
52,2023-04-27,open,long,1918.76,,,944599.9893999808
53,2023-04-28,close,neutral,,1896.43,-223299.99999999927,721299.9891999814
54,2023-04-28,open,short,1896.43,,,721299.9889999814
55,2023-04-29,close,neutral,,1902.57,-61399.99999999873,659899.9887999827
56,2023-04-29,open,long,1902.57,,,659899.9885999827
57,2023-05-01,close,neutral,,1813.32,-892500.0,-232600.01160001731
58,2023-05-01,open,short,1813.32,,,-232600.01180001732
59,2023-05-02,close,neutral,,1869.0,-556800.0000000006,-789400.0120000179
60,2023-05-02,open,long,1869.0,,,-789400.0122000179
