time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_9,RSI_5 Scalping,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,Actual Movement
2017-09-07,335.94,337.51,321.05,333.94,41104,0,0,282.5544,167.7276,298.4107438416628,167.7276,336.7781165845874,329.0411103070389,335.68,391.686475697011,279.673524302989,308.4545958209859,349.08500000000004,389.7154041790142,13.52621246208929,19.783957758103302,50.27,47.84,46.71742941622838,42.009672132594446,335.95,-0.5983033189462694,7.876822297861397,-1
2017-09-08,335.21,335.94,290.95,295.59,40746,0,0,284.1362,169.1431,298.30012643610735,168.99986268656718,328.54049326766994,326.00010027912623,335.83050000000003,391.3872668155724,280.27373318442767,299.07758526912755,345.3566666666666,391.6357480642057,9.242515122675002,17.675669231017643,38.42,30.23,42.57529371745557,42.89532829734787,333.94,-11.484098939929332,-0.5983033189462694,-1
2017-09-09,305.81,309.35,291.93,299.34,37487,0,0,285.981,170.57835,298.3409057915541,170.29677947575559,322.700394614136,323.57645479920564,335.97950000000003,391.1265106080093,280.83248939199075,291.3490169448763,341.37416666666667,391.399316388457,6.080159484983767,15.356567281810868,39.97,33.23,32.99578721511368,40.762836782932546,295.59,1.2686491423931745,-11.484098939929332,1
2017-09-10,303.14,304.71,276.07,299.72,36893,0,0,287.5294,172.01565,298.39498791737554,171.58457271480282,318.1043156913088,321.40768618109604,334.7815,391.94920671454196,277.61379328545803,284.8418849988569,335.0841666666667,385.3264483344765,3.5635542476474598,12.997964674978187,40.15,33.6,24.041656854279513,33.2042459289496,299.34,0.12694594775173318,1.2686491423931745,1
2017-09-11,302.34,307.86,287.5,294.93,36500,0,0,289.0618,173.4266,298.25910603826276,172.81189039923265,313.46945255304706,319.0006238009964,333.895,392.9268508942409,274.8631491057591,279.9799165142205,327.7883333333333,375.5967501524461,1.1691364207014203,10.632199024122835,38.57,30.95,23.86895884030668,26.968800969899963,299.72,-1.598158281062334,0.12694594775173318,-1
2017-09-12,297.0,316.18,283.15,296.04,39002,0,0,290.6426,174.8434,298.1720822720564,174.0380407435189,309.98356204243765,316.9132943645422,332.938,393.7462723319771,272.1297276680229,279.1855900194891,320.185,361.1844099805109,-0.6316084456603335,8.379437530166202,39.2,32.49,23.005468770442494,23.638694821676236,294.93,0.37636049232021573,-1.598158281062334,1
2017-09-13,295.82,295.93,256.33,271.97,36822,0,0,292.0814,176.1366,297.14454963393655,175.0124880993048,302.3808496339501,312.827540331402,330.42150000000004,396.7019714150398,264.1410285849603,278.8743524566453,310.3675,341.86064754335473,-3.955364583742494,5.912477107384463,31.44,20.25,18.35828276963878,21.744236793462658,296.04,-8.130658019186598,0.37636049232021573,-1
2017-09-14,280.45,280.95,222.84,230.6,42756,0,0,292.74060000000003,177.21935000000002,294.53495945221357,175.565597670456,288.0246797071601,305.3523093921836,325.431,404.71748608684777,246.14451391315217,257.7267291954396,302.445,347.1632708045604,-9.81454258840813,2.767073168225944,22.75,11.19,12.707051252081888,18.02360093072106,271.97,-15.211236533441197,-8.130658019186598,-1
2017-09-15,228.62,265.9,198.5,264.34,42897,0,0,293.946,178.46555,293.350843395264,176.44892505681963,283.28774376572807,301.6239176292578,322.0775,405.62769685793637,238.5273031420636,253.4734443181933,295.4116666666667,337.3498890151401,-11.601710055443505,-0.10668347650794585,38.38,39.01,16.682569641921635,15.915967887880774,230.6,14.631396357328708,-15.211236533441197,1
2017-09-16,260.21,269.89,242.1,254.27,39301,0,0,295.1846,179.65939999999998,291.81826130133214,177.22326411098064,277.48419501258246,297.319016026598,317.77450000000005,405.86259692007167,229.68640307992843,246.183447415207,290.67583333333334,335.1682192514597,-13.673004110181182,-2.8199476032425936,35.94,34.93,23.89393764247465,17.761186178826062,264.34,-3.809487780888232,14.631396357328708,-1
