time,Actual Movement,Predictions,Predicted
2021-01-27,-1,0.15997346,-1
2021-01-28,1,0.52907616,1
2021-01-29,-1,0.33498186,-1
2021-02-01,1,0.81268615,1
2021-02-02,-1,0.53900754,1
2021-02-03,1,0.7973842,1
2021-02-04,1,0.8694424,1
2021-02-05,1,0.896726,1
2021-02-08,1,0.8831311,1
2021-02-09,-1,0.25766987,-1
2021-02-10,-1,0.07897471,-1
2021-02-11,1,0.34070426,-1
2021-02-12,1,0.62189746,1
2021-02-15,1,0.49663147,1
2021-02-16,-1,0.30436844,-1
2021-02-17,1,0.83434266,1
2021-02-18,-1,0.61896706,1
2021-02-19,1,0.94364506,1
2021-02-22,1,0.94201684,1
2021-02-23,1,0.9584642,1
2021-02-24,1,0.9614391,1
2021-02-25,-1,0.14803651,-1
2021-02-26,-1,0.05444545,-1
2021-03-01,1,0.80698055,1
2021-03-02,1,0.8092152,1
2021-03-03,1,0.7093478,1
2021-03-04,1,0.7592942,1
2021-03-05,-1,0.4421049,1
2021-03-08,1,0.6106668,1
2021-03-09,1,0.62637997,1
2021-03-10,1,0.84591985,1
2021-03-11,1,0.8311865,1
2021-03-12,1,0.8579729,1
2021-03-15,-1,0.5250294,1
2021-03-16,-1,0.10891756,-1
2021-03-17,1,0.48995775,1
2021-03-18,1,0.46475616,1
2021-03-19,-1,0.38494295,1
2021-03-22,-1,0.057514988,-1
2021-03-23,-1,0.06683553,-1
2021-03-24,-1,0.09825707,-1
2021-03-25,1,0.8277701,1
2021-03-26,1,0.9544547,1
2021-03-29,-1,0.89263237,1
2021-03-30,-1,0.6634894,1
2021-03-31,1,0.8389621,1
2021-04-01,1,0.83981836,1
2021-04-02,-1,0.6053824,1
2021-04-05,-1,0.6326597,1
2021-04-06,-1,0.12890139,-1
2021-04-07,-1,0.053098816,-1
2021-04-08,-1,0.116420485,-1
2021-04-09,-1,0.08670141,-1
2021-04-12,-1,0.09034667,-1
2021-04-13,1,0.18586998,-1
2021-04-14,1,0.97744936,1
2021-04-15,1,0.9606998,1
2021-04-16,-1,0.5465986,1
2021-04-19,-1,0.31961226,-1
2021-04-20,-1,0.17393132,-1
2021-04-21,1,0.8090928,1
2021-04-22,-1,0.25991523,-1
2021-04-23,1,0.6399184,1
2021-04-26,1,0.92544997,1
2021-04-27,-1,0.40171832,1
2021-04-28,-1,0.24262226,-1
2021-04-29,-1,0.16276428,-1
2021-04-30,-1,0.19611758,-1
2021-05-03,1,0.8664043,1
2021-05-04,-1,0.48801756,1
