,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2023-10-21,1,0.90961385,1,6.84,
1,2023-10-22,1,0.8809515,1,6.9,6.84
2,2023-10-23,1,0.9403506,1,7.36,6.9
3,2023-10-24,1,0.8973427,1,7.49,7.36
4,2023-10-25,1,0.896081,1,7.5,7.49
5,2023-10-26,1,0.9460238,1,7.93,7.5
6,2023-10-27,1,0.94156533,1,8.57,7.93
7,2023-10-28,1,0.95481116,1,9.17,8.57
8,2023-10-29,-1,0.83892626,1,8.95,9.17
9,2023-10-30,1,0.9055672,1,9.03,8.95
10,2023-10-31,-1,0.83132696,1,8.96,9.03
11,2023-11-01,1,0.9501387,1,9.96,8.96
12,2023-11-02,-1,0.29774973,1,9.39,9.96
13,2023-11-03,1,0.8792897,1,9.96,9.39
14,2023-11-04,1,0.90524614,1,11.03,9.96
15,2023-11-05,1,0.9100448,1,12.91,11.03
16,2023-11-06,1,0.77281094,1,13.05,12.91
17,2023-11-07,-1,0.7055762,1,12.45,13.05
18,2023-11-08,1,0.91638964,1,12.87,12.45
19,2023-11-09,-1,0.31890106,1,12.28,12.87
20,2023-11-10,1,0.87561744,1,13.56,12.28
21,2023-11-11,-1,0.22744149,-1,12.7,13.56
22,2023-11-12,-1,0.50234824,1,12.47,12.7
23,2023-11-13,-1,0.11864839,-1,11.47,12.47
24,2023-11-14,-1,0.2829237,1,11.28,11.47
25,2023-11-15,1,0.6291823,1,11.71,11.28
26,2023-11-16,-1,0.23531741,-1,11.27,11.71
27,2023-11-17,-1,0.2367868,-1,10.78,11.27
28,2023-11-18,1,0.5465961,1,10.83,10.78
29,2023-11-19,1,0.7545755,1,11.06,10.83
30,2023-11-20,-1,0.5804552,1,10.83,11.06
31,2023-11-21,-1,0.41638455,1,10.44,10.83
32,2023-11-22,1,0.7206974,1,10.56,10.44
33,2023-11-23,1,0.7911793,1,10.72,10.56
34,2023-11-24,1,0.84487396,1,10.88,10.72
35,2023-11-25,1,0.8813512,1,11.07,10.88
36,2023-11-26,-1,0.6173701,1,10.77,11.07
37,2023-11-27,-1,0.41644666,1,10.49,10.77
38,2023-11-28,1,0.772115,1,10.74,10.49
39,2023-11-29,-1,0.50844276,1,10.59,10.74
40,2023-11-30,1,0.8489487,1,10.95,10.59
41,2023-12-01,1,0.7823128,1,11.04,10.95
42,2023-12-02,1,0.9231497,1,11.83,11.04
43,2023-12-03,1,0.7854711,1,12.03,11.83
44,2023-12-04,-1,0.58937997,1,11.84,12.03
45,2023-12-05,1,0.7745324,1,11.98,11.84
46,2023-12-06,-1,0.13605207,-1,11.71,11.98
47,2023-12-07,1,0.5051835,1,11.95,11.71
48,2023-12-08,1,0.78259623,1,12.42,11.95
49,2023-12-09,1,0.7756934,1,12.79,12.42
50,2023-12-10,1,0.6682416,1,12.8,12.79
51,2023-12-11,-1,0.0357735,-1,11.6,12.8
52,2023-12-12,1,0.1107633,-1,11.69,11.6
53,2023-12-13,1,0.63531107,1,12.7,11.69
54,2023-12-14,1,0.50253725,1,12.96,12.7
55,2023-12-15,1,0.69520724,1,13.4,12.96
56,2023-12-16,-1,0.09217554,-1,12.85,13.4
57,2023-12-17,1,0.27906498,1,13.03,12.85
58,2023-12-18,-1,0.055095408,-1,12.37,13.03
59,2023-12-19,1,0.14086929,-1,12.51,12.37
60,2023-12-20,1,0.5033982,1,13.19,12.51
61,2023-12-21,1,0.6449417,1,14.08,13.19
62,2023-12-22,-1,0.19074373,-1,13.77,14.08
63,2023-12-23,1,0.47515512,1,13.95,13.77
64,2023-12-24,-1,0.11147346,-1,13.58,13.95
65,2023-12-25,1,0.63906586,1,14.54,13.58
66,2023-12-26,-1,0.04992695,-1,13.54,14.54
67,2023-12-27,1,0.27998674,1,14.02,13.54
68,2023-12-28,-1,0.062577255,-1,13.41,14.02
69,2023-12-29,1,0.120558545,-1,13.49,13.41
70,2023-12-30,-1,0.10662372,-1,13.4,13.49
71,2023-12-31,1,0.47384623,1,14.07,13.4
72,2024-01-01,-1,0.1328567,-1,13.88,14.07
73,2024-01-02,-1,0.106424615,-1,13.64,13.88
74,2024-01-03,-1,0.032640114,-1,12.23,13.64
75,2024-01-04,1,0.18268661,-1,12.73,12.23
76,2024-01-05,-1,0.058459707,-1,11.95,12.73
77,2024-01-06,-1,0.11040707,-1,11.88,11.95
78,2024-01-07,-1,0.080457866,-1,11.37,11.88
79,2024-01-08,1,0.24613385,1,11.77,11.37
80,2024-01-09,-1,0.09267016,-1,11.17,11.77
81,2024-01-10,1,0.6720055,1,12.0,11.17
82,2024-01-11,1,0.60506576,1,12.56,12.0
83,2024-01-12,-1,0.20021959,-1,12.2,12.56
84,2024-01-13,1,0.44529083,1,12.23,12.2
85,2024-01-14,-1,0.21043102,-1,12.0,12.23
86,2024-01-15,-1,0.1711116,-1,11.81,12.0
87,2024-01-16,1,0.48237115,1,12.06,11.81
88,2024-01-17,-1,0.12222086,-1,11.7,12.06
89,2024-01-18,-1,0.09564359,-1,11.33,11.7
90,2024-01-19,-1,0.10398179,-1,11.23,11.33
91,2024-01-20,1,0.2676238,1,11.4,11.23
92,2024-01-21,1,0.45197046,1,11.59,11.4
93,2024-01-22,-1,0.06715013,-1,10.63,11.59
94,2024-01-23,-1,0.08363324,-1,10.02,10.63
95,2024-01-24,1,0.28482553,1,10.27,10.02
96,2024-01-25,1,0.30400512,1,10.42,10.27
97,2024-01-26,1,0.68156916,1,10.73,10.42
98,2024-01-27,1,0.6147238,1,10.82,10.73
99,2024-01-28,-1,0.37789798,1,10.73,10.82
100,2024-01-29,1,0.7221391,1,10.97,10.73
101,2024-01-30,1,0.78798085,1,11.17,10.97
102,2024-01-31,-1,0.10268314,-1,10.57,11.17
103,2024-02-01,1,0.57580316,1,10.87,10.57
104,2024-02-02,-1,0.33726802,1,10.82,10.87
105,2024-02-03,1,0.62607723,1,10.98,10.82
106,2024-02-04,-1,0.22034769,-1,10.79,10.98
107,2024-02-05,-1,0.21126832,-1,10.73,10.79
108,2024-02-06,1,0.72431034,1,11.04,10.73
109,2024-02-07,1,0.8259455,1,11.3,11.04
110,2024-02-08,1,0.84407246,1,11.43,11.3
111,2024-02-09,1,0.8856929,1,11.67,11.43
112,2024-02-10,1,0.83160216,1,11.7,11.67
113,2024-02-11,-1,0.33864015,1,11.5,11.7
114,2024-02-12,1,0.81265086,1,11.93,11.5
115,2024-02-13,-1,0.31463066,1,11.78,11.93
116,2024-02-14,1,0.6651828,1,12.03,11.78
117,2024-02-15,1,0.87152016,1,12.74,12.03
118,2024-02-16,1,0.8120374,1,12.85,12.74
119,2024-02-17,-1,0.4820631,1,12.53,12.85
120,2024-02-18,1,0.8171067,1,12.8,12.53
121,2024-02-19,0,0.7179357,1,12.8,12.8
122,2024-02-20,-1,0.1692925,-1,12.48,12.8
123,2024-02-21,-1,0.08036078,-1,12.04,12.48
124,2024-02-22,1,0.51937246,1,12.41,12.04
125,2024-02-23,1,0.40245223,1,12.42,12.41
126,2024-02-24,1,0.7420403,1,12.59,12.42
127,2024-02-25,1,0.6829215,1,12.61,12.59
128,2024-02-26,1,0.87871844,1,12.98,12.61
129,2024-02-27,1,0.79439443,1,13.08,12.98
130,2024-02-28,1,0.6456714,1,13.09,13.08
131,2024-02-29,1,0.8961906,1,14.03,13.09
132,2024-03-01,1,0.9379787,1,15.26,14.03
133,2024-03-02,1,0.9299522,1,16.24,15.26
134,2024-03-03,-1,0.80473745,1,16.16,16.24
135,2024-03-04,1,0.8790653,1,18.18,16.16
136,2024-03-05,-1,0.02805699,-1,15.79,18.18
137,2024-03-06,1,0.53721786,1,16.97,15.79
138,2024-03-07,1,0.26501188,1,17.43,16.97
139,2024-03-08,-1,0.12157493,-1,16.99,17.43
140,2024-03-09,1,0.3714176,1,17.25,16.99
141,2024-03-10,-1,0.1076338,-1,16.84,17.25
142,2024-03-11,1,0.4319182,1,17.93,16.84
143,2024-03-12,-1,0.05557932,-1,17.07,17.93
144,2024-03-13,1,0.26040342,1,17.68,17.07
145,2024-03-14,-1,0.051129352,-1,16.9,17.68
146,2024-03-15,-1,0.031480744,-1,15.47,16.9
147,2024-03-16,-1,0.0528793,-1,14.74,15.47
148,2024-03-17,1,0.13870654,-1,15.16,14.74
149,2024-03-18,-1,0.08347683,-1,14.56,15.16
150,2024-03-19,-1,0.07046058,-1,13.6,14.56
151,2024-03-20,1,0.339979,1,14.37,13.6
152,2024-03-21,1,0.25334987,1,14.61,14.37
153,2024-03-22,-1,0.12148563,-1,14.1,14.61
154,2024-03-23,1,0.61032176,1,14.6,14.1
155,2024-03-24,1,0.54194355,1,14.88,14.6
156,2024-03-25,1,0.866446,1,15.76,14.88
157,2024-03-26,1,0.7164213,1,16.0,15.76
158,2024-03-27,-1,0.28549388,1,15.6,16.0
159,2024-03-28,1,0.58311146,1,15.81,15.6
160,2024-03-29,1,0.5379057,1,16.08,15.81
161,2024-03-30,-1,0.36755893,1,16.02,16.08
162,2024-03-31,1,0.36973184,1,16.04,16.02
163,2024-04-01,-1,0.06121014,-1,15.46,16.04
164,2024-04-02,-1,0.035491843,-1,14.41,15.46
165,2024-04-03,-1,0.05655657,-1,13.96,14.41
166,2024-04-04,1,0.37990445,1,14.64,13.96
167,2024-04-05,1,0.7403671,1,15.5,14.64
168,2024-04-06,-1,0.40237656,1,15.17,15.5
169,2024-04-07,-1,0.48677012,1,15.13,15.17
170,2024-04-08,1,0.96774596,1,20.57,15.13
171,2024-04-09,-1,0.0488505,-1,19.22,20.57
172,2024-04-10,1,0.2924602,1,19.24,19.22
173,2024-04-11,1,0.44993222,1,21.91,19.24
174,2024-04-12,-1,0.036494814,-1,19.78,21.91
175,2024-04-13,-1,0.021270068,-1,15.27,19.78
176,2024-04-14,1,0.29693642,1,17.28,15.27
177,2024-04-15,1,0.111733146,-1,19.0,17.28
178,2024-04-16,-1,0.1080132,-1,18.98,19.0
179,2024-04-17,-1,0.07795923,-1,17.41,18.98
180,2024-04-18,1,0.2391067,-1,18.08,17.41
181,2024-04-19,-1,0.10537693,-1,17.95,18.08
