,time,action,position,entry_price,close_price,profit,balance
0,2023-10-21,open,long,6.84,,,9999.9998
1,2023-11-11,close,neutral,,12.7,58599.99999999999,68599.9996
2,2023-11-11,open,short,12.7,,,68599.9994
3,2023-11-12,close,neutral,,12.47,2299.9999999999864,70899.99919999999
4,2023-11-12,open,long,12.47,,,70899.999
5,2023-11-13,close,neutral,,11.47,-10000.0,60899.998799999994
6,2023-11-13,open,short,11.47,,,60899.99859999999
7,2023-11-14,close,neutral,,11.28,1900.0000000000127,62799.998400000004
8,2023-11-14,open,long,11.28,,,62799.9982
9,2023-11-16,close,neutral,,11.27,-99.99999999999787,62699.99800000001
10,2023-11-16,open,short,11.27,,,62699.997800000005
11,2023-11-18,close,neutral,,10.83,4399.999999999995,67099.9976
12,2023-11-18,open,long,10.83,,,67099.99740000001
13,2023-12-06,close,neutral,,11.71,8800.000000000007,75899.99720000001
14,2023-12-06,open,short,11.71,,,75899.99700000002
15,2023-12-07,close,neutral,,11.95,-2399.9999999999845,73499.99680000004
16,2023-12-07,open,long,11.95,,,73499.99660000004
17,2023-12-11,close,neutral,,11.6,-3499.9999999999964,69999.99640000005
18,2023-12-11,open,short,11.6,,,69999.99620000005
19,2023-12-13,close,neutral,,12.7,-10999.999999999996,58999.99600000006
20,2023-12-13,open,long,12.7,,,58999.995800000055
21,2023-12-16,close,neutral,,12.85,1500.0000000000036,60499.99560000006
22,2023-12-16,open,short,12.85,,,60499.99540000006
23,2023-12-17,close,neutral,,13.03,-1799.9999999999973,58699.99520000006
24,2023-12-17,open,long,13.03,,,58699.99500000006
25,2023-12-18,close,neutral,,12.37,-6600.000000000002,52099.99480000006
26,2023-12-18,open,short,12.37,,,52099.99460000006
27,2023-12-20,close,neutral,,13.19,-8200.000000000004,43899.994400000054
28,2023-12-20,open,long,13.19,,,43899.99420000005
29,2023-12-22,close,neutral,,13.77,5800.000000000001,49699.99400000005
30,2023-12-22,open,short,13.77,,,49699.99380000005
31,2023-12-23,close,neutral,,13.95,-1799.9999999999973,47899.99360000005
32,2023-12-23,open,long,13.95,,,47899.99340000005
33,2023-12-24,close,neutral,,13.58,-3699.9999999999923,44199.993200000055
34,2023-12-24,open,short,13.58,,,44199.99300000005
35,2023-12-25,close,neutral,,14.54,-9599.99999999999,34599.992800000065
36,2023-12-25,open,long,14.54,,,34599.99260000006
37,2023-12-26,close,neutral,,13.54,-10000.0,24599.99240000006
38,2023-12-26,open,short,13.54,,,24599.992200000062
39,2023-12-27,close,neutral,,14.02,-4800.000000000005,19799.992000000057
