,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-03-22,1,0.8295157,1,7.76596,
1,2021-03-23,1,0.7924382,1,7.76676,7.76596
2,2021-03-24,1,0.83171487,1,7.76773,7.76676
3,2021-03-25,1,0.8284419,1,7.76846,7.76773
4,2021-03-26,1,0.79545444,1,7.76875,7.76846
5,2021-03-29,1,0.9382544,1,7.77258,7.76875
6,2021-03-30,1,0.90747046,1,7.77437,7.77258
7,2021-03-31,-1,0.728073,1,7.77367,7.77437
8,2021-04-01,1,0.8932245,1,7.77504,7.77367
9,2021-04-02,1,0.8720315,1,7.77528,7.77504
10,2021-04-05,1,0.89104164,1,7.77556,7.77528
11,2021-04-06,1,0.89789975,1,7.77593,7.77556
12,2021-04-07,1,0.971539,1,7.78453,7.77593
13,2021-04-08,-1,0.011721709,-1,7.77618,7.78453
14,2021-04-09,1,0.36834246,-1,7.77705,7.77618
15,2021-04-12,-1,0.0439855,-1,7.77266,7.77705
16,2021-04-13,1,0.2596583,-1,7.7727,7.77266
17,2021-04-14,-1,0.033682875,-1,7.76511,7.7727
18,2021-04-15,1,0.8237234,1,7.76759,7.76511
19,2021-04-16,1,0.90139276,1,7.77134,7.76759
20,2021-04-19,-1,0.126772,-1,7.76607,7.77134
21,2021-04-20,-1,0.19751438,-1,7.7612,7.76607
22,2021-04-21,1,0.90235436,1,7.76449,7.7612
23,2021-04-22,-1,0.17019844,-1,7.75997,7.76449
24,2021-04-23,-1,0.6154728,1,7.7591,7.75997
25,2021-04-26,1,0.8402768,1,7.76059,7.7591
26,2021-04-27,1,0.8353392,1,7.76143,7.76059
27,2021-04-28,1,0.8732,1,7.76246,7.76143
28,2021-04-29,1,0.89976114,1,7.7637,7.76246
29,2021-04-30,1,0.95163864,1,7.76718,7.7637
30,2021-05-03,-1,0.829791,1,7.76649,7.76718
31,2021-05-04,1,0.9063717,1,7.76843,7.76649
32,2021-05-05,1,0.88844347,1,7.76991,7.76843
33,2021-05-06,-1,0.18311962,-1,7.76769,7.76991
34,2021-05-07,-1,0.09708799,-1,7.76571,7.76769
35,2021-05-10,-1,0.11859841,-1,7.76526,7.76571
36,2021-05-11,1,0.78330535,1,7.76891,7.76526
37,2021-05-12,-1,0.044417486,-1,7.7653,7.76891
38,2021-05-13,1,0.50375634,1,7.76806,7.7653
39,2021-05-14,-1,0.13449976,-1,7.76774,7.76806
40,2021-05-17,-1,0.069561504,-1,7.76593,7.76774
41,2021-05-18,-1,0.10321298,-1,7.76523,7.76593
42,2021-05-19,-1,0.13182265,-1,7.7647,7.76523
43,2021-05-20,-1,0.077844895,-1,7.76215,7.7647
44,2021-05-21,1,0.6224319,1,7.76322,7.76215
45,2021-05-24,1,0.67695206,1,7.76371,7.76322
46,2021-05-25,-1,0.24504405,-1,7.76217,7.76371
47,2021-05-26,1,0.7927376,1,7.76308,7.76217
48,2021-05-27,-1,0.17082472,-1,7.76101,7.76308
