time,Actual Movement,Predictions,Predicted
2021-03-22,1,0.8295157,1
2021-03-23,1,0.7924382,1
2021-03-24,1,0.83171487,1
2021-03-25,1,0.8284419,1
2021-03-26,1,0.79545444,1
2021-03-29,1,0.9382544,1
2021-03-30,1,0.90747046,1
2021-03-31,-1,0.728073,1
2021-04-01,1,0.8932245,1
2021-04-02,1,0.8720315,1
2021-04-05,1,0.89104164,1
2021-04-06,1,0.89789975,1
2021-04-07,1,0.971539,1
2021-04-08,-1,0.011721709,-1
2021-04-09,1,0.36834246,-1
2021-04-12,-1,0.0439855,-1
2021-04-13,1,0.2596583,-1
2021-04-14,-1,0.033682875,-1
2021-04-15,1,0.8237234,1
2021-04-16,1,0.90139276,1
2021-04-19,-1,0.126772,-1
2021-04-20,-1,0.19751438,-1
2021-04-21,1,0.90235436,1
2021-04-22,-1,0.17019844,-1
2021-04-23,-1,0.6154728,1
2021-04-26,1,0.8402768,1
2021-04-27,1,0.8353392,1
2021-04-28,1,0.8732,1
2021-04-29,1,0.89976114,1
2021-04-30,1,0.95163864,1
2021-05-03,-1,0.829791,1
2021-05-04,1,0.9063717,1
2021-05-05,1,0.88844347,1
2021-05-06,-1,0.18311962,-1
2021-05-07,-1,0.09708799,-1
2021-05-10,-1,0.11859841,-1
2021-05-11,1,0.78330535,1
2021-05-12,-1,0.044417486,-1
2021-05-13,1,0.50375634,1
2021-05-14,-1,0.13449976,-1
2021-05-17,-1,0.069561504,-1
2021-05-18,-1,0.10321298,-1
2021-05-19,-1,0.13182265,-1
2021-05-20,-1,0.077844895,-1
2021-05-21,1,0.6224319,1
2021-05-24,1,0.67695206,1
2021-05-25,-1,0.24504405,-1
2021-05-26,1,0.7927376,1
2021-05-27,-1,0.17082472,-1
2021-05-28,1,0.47679234,1
2021-05-31,-1,0.17365609,-1
2021-06-01,-1,0.084123,-1
2021-06-02,-1,0.1383227,-1
2021-06-03,-1,0.12310175,-1
2021-06-04,-1,0.085534476,-1
2021-06-07,1,0.9147607,1
2021-06-08,1,0.8534186,1
2021-06-09,-1,0.78215736,1
2021-06-10,1,0.862059,1
2021-06-11,-1,0.74739224,1
2021-06-14,1,0.884755,1
2021-06-15,1,0.8536331,1
2021-06-16,1,0.8542616,1
2021-06-17,1,0.87368476,1
2021-06-18,-1,0.08286309,-1
2021-06-21,1,0.80425215,1
2021-06-22,1,0.8240466,1
2021-06-23,-1,0.07477844,-1
2021-06-24,-1,0.0529964,-1
2021-06-25,-1,0.04242348,-1
2021-06-28,1,0.2242503,-1
2021-06-29,1,0.5123545,1
2021-06-30,1,0.74857306,1
2021-07-01,1,0.84469444,1
2021-07-02,-1,0.30630413,-1
2021-07-05,1,0.8536432,1
2021-07-06,1,0.8357264,1
2021-07-07,1,0.792886,1
2021-07-08,-1,0.21987858,-1
2021-07-09,-1,0.2781598,-1
2021-07-12,-1,0.08174708,-1
2021-07-13,-1,0.094298944,-1
2021-07-14,1,0.17909959,-1
