,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2023-02-27,-1,0.15345033,-1,23356.65,
1,2023-02-28,-1,0.21050808,-1,23131.65,23356.65
2,2023-03-01,1,0.92957735,1,23535.15,23131.65
3,2023-03-02,-1,0.57366675,-1,23433.75,23535.15
4,2023-03-03,-1,0.028677821,-1,22251.75,23433.75
5,2023-03-04,-1,0.55640626,-1,22200.75,22251.75
6,2023-03-05,1,0.77885455,1,22439.5,22200.75
7,2023-03-06,-1,0.49320987,-1,22397.25,22439.5
8,2023-03-07,-1,0.16920298,-1,22061.0,22397.25
9,2023-03-08,-1,0.32359222,-1,21978.0,22061.0
10,2023-03-09,-1,0.007487679,-1,20238.75,21978.0
11,2023-03-10,-1,0.13961916,-1,20011.0,20238.75
12,2023-03-11,1,0.7155651,1,20492.25,20011.0
13,2023-03-12,1,0.9621039,1,21379.5,20492.25
14,2023-03-13,1,0.9981893,1,24222.75,21379.5
15,2023-03-14,1,0.81346995,1,24783.72,24222.75
16,2023-03-15,-1,0.57974565,-1,24429.0,24783.72
17,2023-03-16,1,0.947685,1,24758.47,24429.0
18,2023-03-17,1,0.99195415,1,26782.25,24758.47
19,2023-03-18,1,0.8952137,1,27425.3,26782.25
20,2023-03-19,1,0.9374717,1,27950.79,27425.3
21,2023-03-20,1,0.886962,1,28097.23,27950.79
22,2023-03-21,1,0.90876114,1,28172.5,28097.23
23,2023-03-22,-1,0.111713395,-1,27379.17,28172.5
24,2023-03-23,1,0.9556348,1,28246.92,27379.17
25,2023-03-24,-1,0.060810212,-1,27653.96,28246.92
26,2023-03-25,-1,0.25880483,-1,27384.5,27653.96
27,2023-03-26,1,0.73646754,1,27782.5,27384.5
28,2023-03-27,-1,0.034580246,-1,27010.0,27782.5
29,2023-03-28,1,0.6778141,1,27294.57,27010.0
30,2023-03-29,1,0.9564001,1,28397.75,27294.57
31,2023-03-30,-1,0.20325437,-1,28132.5,28397.75
32,2023-03-31,1,0.8699559,1,28439.25,28132.5
33,2023-04-01,1,0.7577242,1,28468.5,28439.25
34,2023-04-02,-1,0.21411732,-1,28065.5,28468.5
35,2023-04-03,-1,0.14107978,-1,27664.12,28065.5
36,2023-04-04,1,0.9407911,1,28283.0,27664.12
37,2023-04-05,-1,0.51742864,-1,28188.0,28283.0
38,2023-04-06,-1,0.38284442,-1,27997.75,28188.0
39,2023-04-07,-1,0.3588826,-1,27870.0,27997.75
40,2023-04-08,1,0.6342966,-1,27941.25,27870.0
41,2023-04-09,1,0.83390564,1,28126.0,27941.25
42,2023-04-10,1,0.9805502,1,29153.18,28126.0
43,2023-04-11,1,0.97477245,1,30181.5,29153.18
44,2023-04-12,-1,0.68748605,1,29959.0,30181.5
45,2023-04-13,1,0.9450034,1,30300.5,29959.0
46,2023-04-14,1,0.9157413,1,30460.5,30300.5
47,2023-04-15,-1,0.82842183,1,30322.0,30460.5
48,2023-04-16,1,0.91113514,1,30367.0,30322.0
49,2023-04-17,-1,0.033786725,-1,29435.25,30367.0
50,2023-04-18,1,0.9575821,1,30437.25,29435.25
51,2023-04-19,-1,0.019782608,-1,29240.75,30437.25
52,2023-04-20,-1,0.0345625,-1,28162.0,29240.75
53,2023-04-21,-1,0.05811233,-1,27305.5,28162.0
54,2023-04-22,1,0.8198872,1,27667.75,27305.5
55,2023-04-23,-1,0.2810715,-1,27488.75,27667.75
56,2023-04-24,-1,0.41880512,-1,27404.5,27488.75
57,2023-04-25,1,0.94710666,1,27996.75,27404.5
58,2023-04-26,1,0.79633546,1,28110.91,27996.75
59,2023-04-27,1,0.9928336,1,29617.75,28110.91
60,2023-04-28,-1,0.6821422,1,29366.75,29617.75
61,2023-04-29,-1,0.8540829,1,29226.25,29366.75
62,2023-04-30,1,0.8842639,1,29341.5,29226.25
