time,Actual Movement,Predictions,Predicted
2023-02-27,-1,0.15345033,-1
2023-02-28,-1,0.21050808,-1
2023-03-01,1,0.92957735,1
2023-03-02,-1,0.57366675,-1
2023-03-03,-1,0.028677821,-1
2023-03-04,-1,0.55640626,-1
2023-03-05,1,0.77885455,1
2023-03-06,-1,0.49320987,-1
2023-03-07,-1,0.16920298,-1
2023-03-08,-1,0.32359222,-1
2023-03-09,-1,0.007487679,-1
2023-03-10,-1,0.13961916,-1
2023-03-11,1,0.7155651,1
2023-03-12,1,0.9621039,1
2023-03-13,1,0.9981893,1
2023-03-14,1,0.81346995,1
2023-03-15,-1,0.57974565,-1
2023-03-16,1,0.947685,1
2023-03-17,1,0.99195415,1
2023-03-18,1,0.8952137,1
2023-03-19,1,0.9374717,1
2023-03-20,1,0.886962,1
2023-03-21,1,0.90876114,1
2023-03-22,-1,0.111713395,-1
2023-03-23,1,0.9556348,1
2023-03-24,-1,0.060810212,-1
2023-03-25,-1,0.25880483,-1
2023-03-26,1,0.73646754,1
2023-03-27,-1,0.034580246,-1
2023-03-28,1,0.6778141,1
2023-03-29,1,0.9564001,1
2023-03-30,-1,0.20325437,-1
2023-03-31,1,0.8699559,1
2023-04-01,1,0.7577242,1
2023-04-02,-1,0.21411732,-1
2023-04-03,-1,0.14107978,-1
2023-04-04,1,0.9407911,1
2023-04-05,-1,0.51742864,-1
2023-04-06,-1,0.38284442,-1
2023-04-07,-1,0.3588826,-1
2023-04-08,1,0.6342966,-1
2023-04-09,1,0.83390564,1
2023-04-10,1,0.9805502,1
2023-04-11,1,0.97477245,1
2023-04-12,-1,0.68748605,1
2023-04-13,1,0.9450034,1
2023-04-14,1,0.9157413,1
2023-04-15,-1,0.82842183,1
2023-04-16,1,0.91113514,1
2023-04-17,-1,0.033786725,-1
2023-04-18,1,0.9575821,1
2023-04-19,-1,0.019782608,-1
2023-04-20,-1,0.0345625,-1
2023-04-21,-1,0.05811233,-1
2023-04-22,1,0.8198872,1
2023-04-23,-1,0.2810715,-1
2023-04-24,-1,0.41880512,-1
2023-04-25,1,0.94710666,1
2023-04-26,1,0.79633546,1
2023-04-27,1,0.9928336,1
2023-04-28,-1,0.6821422,1
2023-04-29,-1,0.8540829,1
2023-04-30,1,0.8842639,1
2023-05-01,-1,0.017161453,-1
2023-05-02,1,0.96255445,1
2023-05-03,-1,0.24505483,-1
2023-05-04,1,0.86592466,1
2023-05-05,1,0.92645776,1
2023-05-06,-1,0.07462948,-1
2023-05-07,1,0.5011881,-1
2023-05-08,-1,0.018739413,-1
2023-05-09,1,0.50797457,-1
2023-05-10,1,0.6770035,1
2023-05-11,-1,0.05603239,-1
2023-05-12,-1,0.10436716,-1
2023-05-13,1,0.85832995,1
2023-05-14,1,0.42020088,-1
2023-05-15,1,0.90444607,1
2023-05-16,-1,0.22737023,-1
2023-05-17,1,0.9237844,1
2023-05-18,-1,0.13097629,-1
2023-05-19,1,0.76974714,1
2023-05-20,1,0.8415711,1
2023-05-21,-1,0.47103158,-1
2023-05-22,1,0.717514,1
2023-05-23,1,0.91825664,1
2023-05-24,-1,0.0452229,-1
2023-05-25,1,0.4077486,-1
2023-05-26,1,0.7831718,1
2023-05-27,-1,0.52602136,-1
2023-05-28,1,0.9699839,1
2023-05-29,1,0.8579913,1
2023-05-30,1,0.8869179,1
2023-05-31,-1,0.062803075,-1
2023-06-01,-1,0.16393103,-1
2023-06-02,1,0.8512558,1
2023-06-03,-1,0.45655677,-1
2023-06-04,1,0.86027336,1
2023-06-05,-1,0.011279312,-1
2023-06-06,1,0.9862365,1
2023-06-07,-1,0.086018205,-1
2023-06-08,1,0.8854461,1
2023-06-09,-1,0.45997328,-1
2023-06-10,-1,0.10879509,-1
2023-06-11,1,0.89819485,1
2023-06-12,-1,0.35085693,-1
2023-06-13,-1,0.64200914,-1
2023-06-14,-1,0.043718584,-1
2023-06-15,1,0.8650981,1
2023-06-16,1,0.97783,1
2023-06-17,1,0.81928426,1
2023-06-18,-1,0.6596579,-1
2023-06-19,1,0.8230393,1
2023-06-20,1,0.98037314,1
2023-06-21,1,0.97871745,1
2023-06-22,1,0.7853513,1
2023-06-23,1,0.96817076,1
2023-06-24,-1,0.58387345,-1
2023-06-25,-1,0.5809542,-1
2023-06-26,-1,0.527418,-1
2023-06-27,1,0.877509,1
2023-06-28,-1,0.06645818,-1
2023-06-29,1,0.68115103,1
2023-06-30,-1,0.3212213,-1
2023-07-01,1,0.8345277,1
2023-07-02,1,0.768471,1
2023-07-03,1,0.9450539,1
2023-07-04,-1,0.23382457,-1
2023-07-05,-1,0.20128965,-1
2023-07-06,-1,0.2489471,-1
2023-07-07,-1,0.45723367,-1
2023-07-08,-1,0.44969863,-1
2023-07-09,1,0.67218286,1
2023-07-10,1,0.9740491,1
2023-07-11,-1,0.7397846,1
2023-07-12,-1,0.44539875,-1
2023-07-13,1,0.9847025,1
2023-07-14,-1,0.036469277,-1
2023-07-15,1,0.8334153,1
2023-07-16,-1,0.7099356,1
2023-07-17,-1,0.358686,-1
2023-07-18,-1,0.5387487,-1
2023-07-19,1,0.876489,1
2023-07-20,-1,0.41089097,-1
2023-07-21,1,0.8953961,1
2023-07-22,-1,0.7844502,1
2023-07-23,1,0.9553493,1
2023-07-24,-1,0.06807786,-1
2023-07-25,1,0.71979314,1
2023-07-26,1,0.9400829,1
2023-07-27,-1,0.2637585,-1
2023-07-28,1,0.8972288,1
2023-07-30,-1,0.59442556,-1
2023-07-31,1,0.70468366,1
2023-08-01,1,0.7552821,1
2023-08-02,-1,0.4639155,-1
2023-08-03,1,0.80197453,1
2023-08-04,-1,0.1393524,-1
2023-08-05,1,0.7413526,1
2023-08-06,1,0.83004546,1
2023-08-07,1,0.81687325,1
2023-08-08,1,0.98530143,1
2023-08-09,-1,0.26940912,-1
2023-08-10,-1,0.6040369,-1
2023-08-11,-1,0.5866751,-1
2023-08-12,1,0.6888012,1
2023-08-13,-1,0.7180128,1
2023-08-14,-1,0.6423951,-1
2023-08-15,-1,0.15925974,-1
2023-08-16,-1,0.082358465,-1
2023-08-17,-1,0.010900014,-1
2023-08-18,-1,0.012757416,-1
2023-08-19,-1,0.05331337,-1
2023-08-20,1,0.049472157,-1
2023-08-21,-1,0.03085597,-1
2023-08-22,-1,0.02642243,-1
2023-08-23,1,0.91051644,1
2023-08-24,-1,0.052721996,-1
2023-08-25,1,0.49410707,-1
2023-08-26,-1,0.28265613,-1
2023-08-27,1,0.46124756,-1
2023-08-28,-1,0.24425581,-1
2023-08-29,1,0.994548,1
2023-08-30,-1,0.6419696,-1
2023-08-31,-1,0.05920854,-1
2023-09-01,-1,0.30690318,-1
2023-09-02,1,0.5949663,-1
2023-09-03,1,0.8537046,1
2023-09-04,-1,0.46521282,-1
2023-09-05,-1,0.57496685,-1
2023-09-06,1,0.6528787,-1
2023-09-07,1,0.93510854,1
2023-09-08,-1,0.7651477,1
2023-09-09,-1,0.8312432,1
2023-09-10,-1,0.7520792,1
2023-09-11,-1,0.04611069,-1
2023-09-12,1,0.9870728,1
2023-09-13,1,0.9168514,1
2023-09-14,1,0.9489746,1
2023-09-15,-1,0.6732279,1
2023-09-16,1,0.7665695,1
2023-09-17,-1,0.4660809,-1
2023-09-18,1,0.87864476,1
2023-09-19,1,0.93099445,1
2023-09-20,-1,0.66527826,-1
2023-09-21,-1,0.0821503,-1
2023-09-22,-1,0.23741868,-1
2023-09-23,1,0.37573692,-1
2023-09-24,-1,0.20044337,-1
2023-09-25,-1,0.08185474,-1
2023-09-26,-1,0.08914598,-1
2023-09-27,1,0.3888027,-1
2023-09-28,1,0.9862679,1
2023-09-29,-1,0.8309892,1
2023-09-30,1,0.93662673,1
2023-10-01,1,0.900036,1
2023-10-02,1,0.97740597,1
2023-10-03,-1,0.30040658,-1
2023-10-04,1,0.9402723,1
2023-10-05,-1,0.63972986,-1
2023-10-06,1,0.95896655,1
2023-10-07,-1,0.8470436,1
2023-10-08,-1,0.8597822,1
2023-10-09,-1,0.16668184,-1
2023-10-10,-1,0.19488537,-1
2023-10-11,-1,0.030567521,-1
2023-10-12,1,0.2319397,-1
2023-10-13,1,0.7648339,1
2023-10-14,-1,0.5097107,-1
2023-10-15,1,0.9550513,1
2023-10-16,1,0.9947082,1
2023-10-17,1,0.9664351,1
2023-10-18,-1,0.94385433,1
2023-10-19,1,0.9848393,1
2023-10-20,1,0.9869103,1
2023-10-21,1,0.9743497,1
2023-10-22,-1,0.92609197,1
2023-10-23,1,0.99147004,1
2023-10-24,1,0.98659176,1
2023-10-25,1,0.96388817,1
2023-10-26,-1,0.8016743,1
2023-10-27,-1,0.8644098,1
2023-10-28,1,0.95125544,1
2023-10-29,1,0.95134217,1
2023-10-30,-1,0.8468252,1
2023-10-31,1,0.9315499,1
2023-11-01,1,0.9523631,1
2023-11-02,-1,0.7369317,1
2023-11-03,-1,0.47873822,-1
2023-11-04,1,0.83085805,1
2023-11-05,-1,0.5514962,-1
2023-11-06,1,0.9176502,1
2023-11-07,1,0.9423902,1
2023-11-08,1,0.91214764,1
2023-11-09,1,0.9805479,1
2023-11-10,1,0.9786552,1
2023-11-11,-1,0.8801349,1
2023-11-12,1,0.9616668,1
2023-11-13,-1,0.25661916,-1
2023-11-14,-1,0.06397227,-1
2023-11-15,1,0.98656684,1
2023-11-16,-1,0.023014326,-1
2023-11-17,1,0.78201264,1
2023-11-18,1,0.6452111,-1
2023-11-19,1,0.86184853,1
2023-11-20,1,0.84805954,1
2023-11-21,-1,0.11936936,-1
2023-11-22,1,0.90750873,1
2023-11-23,-1,0.18374176,-1
2023-11-24,1,0.82274115,1
2023-11-25,-1,0.47747105,-1
2023-11-26,-1,0.35494468,-1
2023-11-27,-1,0.049558178,-1
2023-11-28,1,0.90799236,1
2023-11-29,-1,0.17688504,-1
2023-11-30,1,0.49486068,-1
2023-12-01,1,0.95096296,1
2023-12-02,1,0.9354037,1
2023-12-03,1,0.84806436,1
2023-12-04,1,0.98632115,1
2023-12-05,1,0.97407305,1
2023-12-06,-1,0.72840047,1
2023-12-07,-1,0.8203148,1
2023-12-08,1,0.96559316,1
2023-12-09,-1,0.66310894,-1
2023-12-10,-1,0.7861513,1
2023-12-11,-1,0.008791853,-1
2023-12-12,-1,0.220764,-1
2023-12-13,1,0.9640386,1
2023-12-14,-1,0.18314219,-1
2023-12-15,-1,0.14289759,-1
2023-12-16,1,0.52660114,-1
2023-12-17,-1,0.19817701,-1
2023-12-18,1,0.8635832,1
2023-12-19,-1,0.53685737,-1
2023-12-20,1,0.95830566,1
2023-12-21,1,0.92717975,1
2023-12-22,-1,0.6000539,-1
2023-12-23,1,0.7538216,1
2023-12-24,-1,0.29791316,-1
2023-12-25,-1,0.4005474,-1
2023-12-26,-1,0.023968415,-1
2023-12-27,1,0.8793967,1
2023-12-28,-1,0.049162198,-1
2023-12-29,-1,0.08740109,-1
2023-12-30,1,0.5446181,-1
2023-12-31,1,0.62059194,-1
2024-01-01,1,0.95340824,1
2024-01-02,1,0.96931756,1
2024-01-03,-1,0.027307104,-1
2024-01-04,1,0.9586677,1
2024-01-05,-1,0.13591966,-1
2024-01-06,1,0.5675743,-1
2024-01-07,1,0.74013877,1
2024-01-08,1,0.98801744,1
2024-01-09,-1,0.05121649,-1
2024-01-10,1,0.6781238,1
2024-01-11,1,0.81400186,1
2024-01-12,-1,0.015024292,-1
2024-01-13,-1,0.24618188,-1
2024-01-14,-1,0.15050946,-1
2024-01-15,1,0.5295363,-1
2024-01-16,1,0.8369233,1
2024-01-17,-1,0.17510802,-1
2024-01-18,-1,0.065963276,-1
2024-01-19,1,0.8309699,1
2024-01-20,1,0.5899561,-1
2024-01-21,-1,0.5875913,-1
2024-01-22,-1,0.03660572,-1
2024-01-23,-1,0.10725336,-1
2024-01-24,1,0.7521087,1
2024-01-25,1,0.49248677,-1
2024-01-26,1,0.9876202,1
2024-01-27,1,0.8062295,1
2024-01-28,-1,0.7143506,1
2024-01-29,1,0.9554911,1
2024-01-30,1,0.83304125,1
2024-01-31,-1,0.069196604,-1
2024-02-01,1,0.7883345,1
2024-02-02,-1,0.27371725,-1
2024-02-03,1,0.4398201,-1
2024-02-04,-1,0.17880733,-1
2024-02-05,-1,0.09305978,-1
2024-02-06,1,0.8091044,1
2024-02-07,1,0.9053917,1
2024-02-08,1,0.9420877,1
2024-02-09,1,0.97784525,1
2024-02-10,1,0.90709865,1
2024-02-11,1,0.94660854,1
2024-02-12,1,0.9824798,1
2024-02-13,-1,0.79627067,1
2024-02-14,1,0.9860771,1
2024-02-15,-1,0.80375135,1
2024-02-16,1,0.95827633,1
2024-02-17,-1,0.8986729,1
2024-02-18,1,0.94058853,1
2024-02-19,-1,0.9197293,1
2024-02-20,1,0.9405433,1
2024-02-21,-1,0.23121199,-1
2024-02-22,1,0.7546981,1
2024-02-23,-1,0.12943327,-1
2024-02-24,1,0.81476104,1
2024-02-25,1,0.7420617,1
2024-02-26,1,0.9904293,1
2024-02-27,1,0.97328,1
2024-02-28,1,0.99208623,1
2024-02-29,1,0.9456779,1
2024-03-01,1,0.9849119,1
2024-03-02,-1,0.8936056,1
2024-03-03,1,0.97558916,1
2024-03-04,1,0.99351186,1
2024-03-05,-1,0.009354056,-1
2024-03-06,1,0.98305315,1
2024-03-07,1,0.5667052,-1
2024-03-08,1,0.8785813,1
2024-03-09,1,0.8428645,1
2024-03-10,1,0.9257642,1
2024-03-11,1,0.9746912,1
2024-03-12,-1,0.20927793,-1
2024-03-13,1,0.9690712,1
2024-03-14,-1,0.038145963,-1
2024-03-15,-1,0.015732974,-1
2024-03-16,-1,0.09710603,-1
2024-03-17,1,0.51511997,-1
2024-03-18,-1,0.045834586,-1
2024-03-19,-1,0.010970276,-1
2024-03-20,1,0.9760719,1
2024-03-21,-1,0.03725726,-1
2024-03-22,-1,0.09086088,-1
2024-03-23,1,0.9160662,1
2024-03-24,1,0.8415811,1
2024-03-25,1,0.9903439,1
2024-03-26,-1,0.14697097,-1
2024-03-27,-1,0.37198806,-1
2024-03-28,1,0.91801107,1
2024-03-29,-1,0.09063353,-1
2024-03-30,1,0.4934222,-1
2024-03-31,1,0.7265229,1
2024-04-01,-1,0.044222865,-1
2024-04-02,-1,0.007688906,-1
2024-04-03,-1,0.15881298,-1
2024-04-04,1,0.8588123,1
2024-04-05,-1,0.20950459,-1
2024-04-06,1,0.7711415,1
2024-04-07,1,0.848162,1
2024-04-08,1,0.964783,1
2024-04-09,-1,0.035084844,-1
2024-04-10,1,0.7592155,1
2024-04-11,1,0.6559431,-1
2024-04-12,-1,0.017533068,-1
2024-04-13,-1,0.009822095,-1
2024-04-14,1,0.95730007,1
2024-04-15,-1,0.098917894,-1
2024-04-16,-1,0.3348044,-1
