,time,action,position,entry_price,close_price,profit,balance
0,2023-02-27,open,short,23356.65,,,9999.9998
1,2023-03-01,close,neutral,,23535.15,-1785000.0,-1775000.0003999998
2,2023-03-01,open,long,23535.15,,,-1775000.0005999997
3,2023-03-02,close,neutral,,23433.75,-1014000.0000000146,-2789000.0008000145
4,2023-03-02,open,short,23433.75,,,-2789000.0010000146
5,2023-03-05,close,neutral,,22439.5,9942500.0,7153499.998799985
6,2023-03-05,open,long,22439.5,,,7153499.998599986
7,2023-03-06,close,neutral,,22397.25,-422500.0,6730999.998399986
8,2023-03-06,open,short,22397.25,,,6730999.998199986
9,2023-03-11,close,neutral,,20492.25,19050000.0,25780999.99799999
10,2023-03-11,open,long,20492.25,,,25780999.99779999
11,2023-03-15,close,neutral,,24429.0,39367500.0,65148499.99759999
12,2023-03-15,open,short,24429.0,,,65148499.997399986
13,2023-03-16,close,neutral,,24758.47,-3294700.0000000116,61853799.997199975
14,2023-03-16,open,long,24758.47,,,61853799.99699997
15,2023-03-22,close,neutral,,27379.17,26206999.99999997,88060799.99679995
16,2023-03-22,open,short,27379.17,,,88060799.99659994
17,2023-03-23,close,neutral,,28246.92,-8677500.0,79383299.99639994
18,2023-03-23,open,long,28246.92,,,79383299.99619994
19,2023-03-24,close,neutral,,27653.96,-5929599.999999992,73453699.99599995
20,2023-03-24,open,short,27653.96,,,73453699.99579994
21,2023-03-26,close,neutral,,27782.5,-1285400.0000000088,72168299.99559994
22,2023-03-26,open,long,27782.5,,,72168299.99539994
23,2023-03-27,close,neutral,,27010.0,-7725000.0,64443299.99519993
24,2023-03-27,open,short,27010.0,,,64443299.99499993
25,2023-03-28,close,neutral,,27294.57,-2845699.999999997,61597599.994799934
26,2023-03-28,open,long,27294.57,,,61597599.99459993
27,2023-03-30,close,neutral,,28132.5,8379300.000000003,69976899.99439994
28,2023-03-30,open,short,28132.5,,,69976899.99419993
29,2023-03-31,close,neutral,,28439.25,-3067500.0,66909399.99399993
30,2023-03-31,open,long,28439.25,,,66909399.993799925
31,2023-04-02,close,neutral,,28065.5,-3737500.0,63171899.99359992
32,2023-04-02,open,short,28065.5,,,63171899.99339992
33,2023-04-04,close,neutral,,28283.0,-2175000.0,60996899.993199915
34,2023-04-04,open,long,28283.0,,,60996899.99299991
35,2023-04-05,close,neutral,,28188.0,-950000.0,60046899.99279991
36,2023-04-05,open,short,28188.0,,,60046899.992599905
37,2023-04-09,close,neutral,,28126.0,620000.0,60666899.9923999
38,2023-04-09,open,long,28126.0,,,60666899.9921999
39,2023-04-17,close,neutral,,29435.25,13092500.0,73759399.9919999
40,2023-04-17,open,short,29435.25,,,73759399.99179989
41,2023-04-18,close,neutral,,30437.25,-10020000.0,63739399.99159989
42,2023-04-18,open,long,30437.25,,,63739399.991399884
43,2023-04-19,close,neutral,,29240.75,-11965000.0,51774399.99119988
44,2023-04-19,open,short,29240.75,,,51774399.99099988
45,2023-04-22,close,neutral,,27667.75,15730000.0,67504399.99079987
46,2023-04-22,open,long,27667.75,,,67504399.99059987
47,2023-04-23,close,neutral,,27488.75,-1790000.0,65714399.99039987
48,2023-04-23,open,short,27488.75,,,65714399.990199864
49,2023-04-25,close,neutral,,27996.75,-5080000.0,60634399.98999986
50,2023-04-25,open,long,27996.75,,,60634399.98979986
51,2023-05-01,close,neutral,,27766.0,-2307500.0,58326899.989599854
52,2023-05-01,open,short,27766.0,,,58326899.98939985
53,2023-05-02,close,neutral,,28698.06,-9320600.000000013,49006299.98919984
54,2023-05-02,open,long,28698.06,,,49006299.988999836
55,2023-05-03,close,neutral,,28488.25,-2098100.000000013,46908199.988799825
56,2023-05-03,open,short,28488.25,,,46908199.98859982
57,2023-05-04,close,neutral,,28883.75,-3955000.0,42953199.98839982
58,2023-05-04,open,long,28883.75,,,42953199.988199815
59,2023-05-06,close,neutral,,28847.75,-360000.0,42593199.98799981
60,2023-05-06,open,short,28847.75,,,42593199.98779981
61,2023-05-10,close,neutral,,27884.25,9635000.0,52228199.987599805
62,2023-05-10,open,long,27884.25,,,52228199.9873998
63,2023-05-11,close,neutral,,27026.75,-8575000.0,43653199.9871998
64,2023-05-11,open,short,27026.75,,,43653199.986999795
65,2023-05-13,close,neutral,,26908.25,1185000.0,44838199.98679979
66,2023-05-13,open,long,26908.25,,,44838199.98659979
67,2023-05-14,close,neutral,,26936.25,280000.0,45118199.986399785
68,2023-05-14,open,short,26936.25,,,45118199.98619978
69,2023-05-15,close,neutral,,27350.5,-4142500.0,40975699.98599978
70,2023-05-15,open,long,27350.5,,,40975699.985799775
71,2023-05-16,close,neutral,,26963.5,-3870000.0,37105699.98559977
72,2023-05-16,open,short,26963.5,,,37105699.98539977
73,2023-05-17,close,neutral,,27332.0,-3685000.0,33420699.985199768
74,2023-05-17,open,long,27332.0,,,33420699.98499977
75,2023-05-18,close,neutral,,26727.0,-6050000.0,27370699.98479977
76,2023-05-18,open,short,26727.0,,,27370699.98459977
77,2023-05-19,close,neutral,,26846.29,-1192900.0000000088,26177799.984399762
78,2023-05-19,open,long,26846.29,,,26177799.984199762
79,2023-05-21,close,neutral,,26845.0,-12900.000000008731,26164899.983999755
80,2023-05-21,open,short,26845.0,,,26164899.983799756
81,2023-05-22,close,neutral,,26919.5,-745000.0,25419899.983599756
82,2023-05-22,open,long,26919.5,,,25419899.983399756
83,2023-05-24,close,neutral,,26427.5,-4920000.0,20499899.983199757
84,2023-05-24,open,short,26427.5,,,20499899.982999757
85,2023-05-26,close,neutral,,26764.0,-3365000.0,17134899.982799757
86,2023-05-26,open,long,26764.0,,,17134899.982599758
87,2023-05-27,close,neutral,,26739.75,-242500.0,16892399.982399758
88,2023-05-27,open,short,26739.75,,,16892399.98219976
89,2023-05-28,close,neutral,,27582.03,-8422799.999999989,8469599.98199977
90,2023-05-28,open,long,27582.03,,,8469599.98179977
91,2023-05-31,close,neutral,,27110.0,-4720299.999999989,3749299.9815997817
92,2023-05-31,open,short,27110.0,,,3749299.9813997815
93,2023-06-02,close,neutral,,27200.25,-902500.0,2846799.9811997814
94,2023-06-02,open,long,27200.25,,,2846799.9809997813
95,2023-06-03,close,neutral,,27072.25,-1280000.0,1566799.9807997814
96,2023-06-03,open,short,27072.25,,,1566799.9805997815
97,2023-06-04,close,neutral,,27256.0,-1837500.0,-270700.0196002184
98,2023-06-04,open,long,27256.0,,,-270700.0198002184
99,2023-06-05,close,neutral,,25611.0,-16450000.0,-16720700.020000217
100,2023-06-05,open,short,25611.0,,,-16720700.020200217
101,2023-06-06,close,neutral,,26975.25,-13642500.0,-30363200.02040022
102,2023-06-06,open,long,26975.25,,,-30363200.02060022
103,2023-06-07,close,neutral,,26351.5,-6237500.0,-36600700.02080022
104,2023-06-07,open,short,26351.5,,,-36600700.02100022
105,2023-06-08,close,neutral,,26624.0,-2725000.0,-39325700.021200225
106,2023-06-08,open,long,26624.0,,,-39325700.02140023
107,2023-06-09,close,neutral,,26447.75,-1762500.0,-41088200.02160023
108,2023-06-09,open,short,26447.75,,,-41088200.021800235
109,2023-06-11,close,neutral,,26125.75,3220000.0,-37868200.02200024
110,2023-06-11,open,long,26125.75,,,-37868200.02220024
111,2023-06-12,close,neutral,,25871.5,-2542500.0,-40410700.022400245
