time,open,high,low,close,tick_volume,spread,real_volume,SMA_50,SMA_200,EMA_50,EMA_200,EMA_9,EMA_21,SMA_20,Upper Band,Lower Band,Lower Band Scalping,Middle Band Scalping,Upper Band Scalping,MACD,Signal_Line,RSI_9,RSI_5 Scalping,Stoch_%K,Stoch_%D,close_price_previous,close_price_percentage_change,close_price_previous_percentage_change,Actual Movement
2017-08-15,4252.4,4394.99,3803.16,4054.98,37155,1000,370299999999962731,2690.6376,1736.32115,2771.390759472729,1736.32115,3539.369168885038,3132.9638505456473,2995.6800000000003,4046.7401536924563,1944.619846307544,2532.785825980764,3276.419166666667,4020.05250735257,360.28240934454107,224.1370665230006,76.24,77.13,92.87115724853463,94.27446432010804,4254.13,-4.681333198562343,19.498033707865183,-1
2017-08-16,4058.3,4354.9,3922.92,4330.13,45316,1000,452609999999953471,2726.1686,1753.8347999999999,2832.5177885130142,1762.130193283582,3697.521335108031,3241.7971368596795,3099.7205000000004,4242.5986451664085,1956.8423548335923,2562.5959497963745,3397.806666666667,4233.017383536959,407.77958371862314,260.86556996212516,79.78,82.26,91.80156696779416,93.68933346592416,4054.98,6.785483528895342,-4.681333198562343,1
2017-08-17,4337.88,4471.03,4163.76,4325.45,41076,0,396929999999959278,2764.2378,1770.9860500000002,2891.064149747798,1787.6358630021534,3823.107068086425,3340.3110335087995,3180.5685,4425.5163538842535,1935.6206461157462,2670.34329453003,3529.8575,4389.37170546997,439.9720755077915,296.68687107125845,79.55,81.87,90.38451869898323,91.68574763843732,4330.13,-0.1080798959846585,6.785483528895342,-1
2017-08-18,4310.57,4360.73,3992.89,4038.23,45007,999,449439999999953955,2793.6796000000004,1786.8201999999999,2936.05104583612,1810.0298345145698,3866.1316544691404,3403.7582122807266,3250.5775000000003,4522.796625667826,1978.3583743321738,2851.5233708980804,3642.445,4433.36662910192,437.2680496957969,324.80310679616616,66.49,60.0,88.4467511428312,90.21094560320284,4325.45,-6.64023396409622,-0.1080798959846585,-1
2017-08-21,4071.81,4106.97,3945.02,3990.94,44760,1000,447549999999953359,2818.2780000000002,1802.2488999999998,2977.4192401170567,1831.7304331761163,3891.0933235753128,3457.1383748006606,3312.5254999999997,4602.137347719696,2022.9136522803037,3048.684975207284,3743.9458333333337,4439.206691459383,426.3939776243392,345.1212809618008,64.53,56.88,80.80672281329055,86.54599755170166,4038.23,-1.1710576168271758,-6.64023396409622,-1
2017-08-22,3988.79,4133.21,3595.5,4059.62,45221,1000,451619999999953888,2845.7660000000005,1818.0765,3019.8584856026623,1853.8984885673988,3924.7986588602503,3511.909431636964,3393.057,4657.8292143706385,2128.284785629361,3280.5091032283517,3846.6908333333336,4412.872563438315,418.4939612991311,359.79581702926686,66.16,60.6,75.84425010178505,81.69924135263558,3990.94,1.7208978335930825,-1.1710576168271758,1
2017-08-23,4054.05,4242.73,4007.1,4082.35,42135,0,420059999999957015,2873.697,1833.9282500000002,3061.524819500597,1876.0721354473253,3956.3089270882,3563.767665124513,3472.4275000000002,4700.4959785446645,2244.3590214553356,3383.003975464696,3908.0033333333336,4433.002691201971,409.3485472403595,369.7063630714854,66.73,61.96,76.02125794730638,77.55741028746066,4059.62,0.5599046216148373,1.7208978335930825,1
2017-08-24,4109.43,4240.62,4056.63,4218.17,44886,0,437439999999956256,2903.7118,1850.5451,3106.8834540299854,1899.3765918110337,4008.6811416705605,3623.25878647683,3555.2529999999997,4749.421673866471,2361.0843261335285,3480.206428170847,3972.9791666666665,4465.751905162486,408.35303996080484,377.4356984493493,70.12,69.76,78.31875165681804,76.72808656863647,4082.35,3.3270052788222593,0.5599046216148373,1
2017-08-25,4211.36,4443.92,4193.61,4317.98,43901,1200,438739999999954619,2938.7318,1867.6819999999998,3154.3774362248882,1923.4422973651529,4070.5409133364487,3686.4152604334818,3633.995,4811.145203559429,2456.8447964405705,3631.072306744959,4053.435833333333,4475.799359921707,410.881539500062,384.1248666594919,72.43,74.55,81.91867908004981,78.75289622805806,4218.17,2.366191974244747,3.3270052788222593,1
2017-08-28,4338.54,4347.67,4163.5,4328.0,28281,0,273669999999969433,2974.9002,1884.7684999999997,3200.401850490579,1947.368244655052,4122.03273066916,3744.74114584862,3706.721,4866.539215237201,2546.9027847627995,3811.362562811205,4129.998333333333,4448.634103855461,408.9794631903628,389.0957859656661,72.67,75.05,85.78353271282462,82.00698781656415,4317.98,0.23205295068529086,2.366191974244747,1
