,time,action,position,entry_price,close_price,profit,balance
0,2022-08-22,open,long,24.6612,,,9999.9998
1,2022-08-24,close,neutral,,24.6515,-97.00000000002262,9902.999599999977
2,2022-08-24,open,short,24.6515,,,9902.999399999977
3,2022-08-25,close,neutral,,24.6563,-48.00000000003024,9854.999199999947
4,2022-08-25,open,long,24.6563,,,9854.998999999947
5,2022-08-26,close,neutral,,24.6011,-552.000000000028,9302.99879999992
6,2022-08-26,open,short,24.6011,,,9302.998599999919
7,2022-09-05,close,neutral,,24.5837,173.99999999998528,9476.998399999904
8,2022-09-05,open,long,24.5837,,,9476.998199999904
9,2022-09-07,close,neutral,,24.5687,-150.00000000000568,9326.997999999898
10,2022-09-07,open,short,24.5687,,,9326.997799999897
11,2022-09-09,close,neutral,,24.5456,230.99999999999454,9557.997599999891
12,2022-09-09,open,long,24.5456,,,9557.997399999891
13,2022-09-12,close,neutral,,24.5189,-267.0000000000172,9290.997199999874
14,2022-09-12,open,short,24.5189,,,9290.996999999874
15,2022-09-13,close,neutral,,24.5308,-119.00000000000688,9171.996799999866
16,2022-09-13,open,long,24.5308,,,9171.996599999866
17,2022-09-14,close,neutral,,24.4778,-530.0000000000082,8641.996399999858
18,2022-09-14,open,short,24.4778,,,8641.996199999858
19,2022-09-15,close,neutral,,24.4912,-134.00000000000745,8507.99599999985
20,2022-09-15,open,long,24.4912,,,8507.99579999985
21,2022-09-23,close,neutral,,24.6031,1119.0000000000211,9626.995599999871
22,2022-09-23,open,short,24.6031,,,9626.99539999987
23,2022-09-27,close,neutral,,24.6829,-797.9999999999876,8828.995199999883
24,2022-09-27,open,long,24.6829,,,8828.994999999883
25,2022-09-28,close,neutral,,24.6248,-580.9999999999959,8247.994799999888
26,2022-09-28,open,short,24.6248,,,8247.994599999887
27,2022-10-06,close,neutral,,24.5004,1244.000000000014,9491.994399999901
28,2022-10-06,open,long,24.5004,,,9491.994199999901
29,2022-10-07,close,neutral,,24.4543,-460.9999999999914,9030.99399999991
30,2022-10-07,open,short,24.4543,,,9030.99379999991
31,2022-10-10,close,neutral,,24.5168,-625.0,8405.993599999909
32,2022-10-10,open,long,24.5168,,,8405.993399999908
33,2022-10-18,close,neutral,,24.5486,318.00000000000495,8723.993199999913
34,2022-10-18,open,short,24.5486,,,8723.992999999913
35,2022-10-25,close,neutral,,24.4917,568.9999999999884,9292.992799999902
36,2022-10-25,open,long,24.4917,,,9292.992599999901
37,2022-10-27,close,neutral,,24.4629,-288.0000000000038,9004.992399999897
38,2022-10-27,open,short,24.4629,,,9004.992199999897
39,2022-10-28,close,neutral,,24.5178,-548.9999999999995,8455.991999999897
40,2022-10-28,open,long,24.5178,,,8455.991799999896
41,2022-10-31,close,neutral,,24.4747,-431.0000000000258,8024.99159999987
42,2022-10-31,open,short,24.4747,,,8024.99139999987
43,2022-11-02,close,neutral,,24.5177,-430.00000000002814,7594.991199999842
44,2022-11-02,open,long,24.5177,,,7594.990999999842
45,2022-11-03,close,neutral,,24.4449,-728.0000000000086,6866.990799999833
46,2022-11-03,open,short,24.4449,,,6866.990599999833
47,2022-11-08,close,neutral,,24.3147,1302.000000000021,8168.990399999853
48,2022-11-08,open,long,24.3147,,,8168.990199999853
49,2022-11-09,close,neutral,,24.3044,-102.99999999997311,8065.98999999988
50,2022-11-09,open,short,24.3044,,,8065.989799999879
51,2022-11-14,close,neutral,,24.303,14.000000000002899,8079.989599999883
52,2022-11-14,open,long,24.303,,,8079.989399999882
53,2022-11-18,close,neutral,,24.3329,298.9999999999782,8378.98919999986
54,2022-11-18,open,short,24.3329,,,8378.98899999986
55,2022-11-22,close,neutral,,24.3492,-163.0000000000109,8215.988799999848
56,2022-11-22,open,long,24.3492,,,8215.988599999848
57,2022-11-25,close,neutral,,24.3333,-158.9999999999847,8056.988399999863
58,2022-11-25,open,short,24.3333,,,8056.988199999862
59,2022-12-01,close,neutral,,24.3809,-475.999999999992,7580.98799999987
60,2022-12-01,open,long,24.3809,,,7580.98779999987
61,2022-12-02,close,neutral,,24.3597,-212.0000000000033,7368.987599999867
62,2022-12-02,open,short,24.3597,,,7368.987399999866
63,2022-12-08,close,neutral,,24.2897,700.0000000000028,8068.9871999998695
64,2022-12-08,open,long,24.2897,,,8068.986999999869
65,2022-12-14,close,neutral,,24.2597,-300.00000000001137,7768.986799999858
66,2022-12-14,open,short,24.2597,,,7768.986599999857
67,2022-12-19,close,neutral,,24.2539,57.99999999997141,7826.986399999829
68,2022-12-19,open,long,24.2539,,,7826.986199999828
69,2022-12-20,close,neutral,,24.1817,-722.0000000000226,7104.985999999806
70,2022-12-20,open,short,24.1817,,,7104.985799999806
71,2022-12-22,close,neutral,,24.202,-203.00000000002427,6901.985599999782
72,2022-12-22,open,long,24.202,,,6901.985399999781
73,2022-12-23,close,neutral,,24.1767,-253.00000000001432,6648.985199999767
74,2022-12-23,open,short,24.1767,,,6648.984999999767
75,2022-12-27,close,neutral,,24.2474,-706.9999999999866,5941.98479999978
76,2022-12-27,open,long,24.2474,,,5941.98459999978
77,2022-12-29,close,neutral,,24.1857,-616.9999999999832,5324.984399999797
78,2022-12-29,open,short,24.1857,,,5324.984199999796
79,2023-01-05,close,neutral,,24.055,1307.0000000000093,6631.983999999806
80,2023-01-05,open,long,24.055,,,6631.983799999805
81,2023-01-06,close,neutral,,23.9589,-960.9999999999985,5670.983599999807
82,2023-01-06,open,short,23.9589,,,5670.983399999806
83,2023-01-09,close,neutral,,23.9939,-350.0000000000014,5320.983199999805
84,2023-01-09,open,long,23.9939,,,5320.982999999805
85,2023-01-10,close,neutral,,23.9727,-212.0000000000033,5108.9827999998015
86,2023-01-10,open,short,23.9727,,,5108.982599999801
87,2023-01-11,close,neutral,,24.0317,-590.0000000000105,4518.982399999791
88,2023-01-11,open,long,24.0317,,,4518.98219999979
89,2023-01-17,close,neutral,,23.9247,-1069.9999999999932,3448.981999999797
90,2023-01-17,open,short,23.9247,,,3448.981799999797
91,2023-01-18,close,neutral,,23.9624,-376.999999999974,3071.981599999823
92,2023-01-18,open,long,23.9624,,,3071.981399999823
93,2023-01-19,close,neutral,,23.9161,-462.99999999998676,2608.9811999998365
94,2023-01-19,open,short,23.9161,,,2608.9809999998365
95,2023-01-26,close,neutral,,23.8102,1059.0000000000189,3667.9807999998557
96,2023-01-26,open,long,23.8102,,,3667.9805999998557
97,2023-01-27,close,neutral,,23.8055,-46.999999999997044,3620.9803999998585
98,2023-01-27,open,short,23.8055,,,3620.9801999998585
99,2023-01-30,close,neutral,,23.8353,-298.00000000001603,3322.9799999998427
100,2023-01-30,open,long,23.8353,,,3322.9797999998427
101,2023-01-31,close,neutral,,23.7641,-712.0000000000105,2610.9795999998323
102,2023-01-31,open,short,23.7641,,,2610.9793999998324
103,2023-02-03,close,neutral,,23.7671,-30.000000000001137,2580.979199999831
104,2023-02-03,open,long,23.7671,,,2580.978999999831
105,2023-02-07,close,neutral,,23.7689,17.999999999993577,2598.978799999825
106,2023-02-07,open,short,23.7689,,,2598.978599999825
107,2023-02-08,close,neutral,,23.7563,125.99999999999056,2724.9783999998153
108,2023-02-08,open,long,23.7563,,,2724.9781999998154
109,2023-02-09,close,neutral,,23.6853,-709.9999999999795,2014.977999999836
110,2023-02-09,open,short,23.6853,,,2014.977799999836
111,2023-02-10,close,neutral,,23.7217,-363.9999999999688,1650.9775999998672
112,2023-02-10,open,long,23.7217,,,1650.9773999998672
113,2023-02-14,close,neutral,,23.7146,-70.99999999997664,1579.9771999998907
114,2023-02-14,open,short,23.7146,,,1579.9769999998907
115,2023-02-17,close,neutral,,23.6847,299.0000000000137,1878.9767999999044
116,2023-02-17,open,long,23.6847,,,1878.9765999999045
117,2023-02-22,close,neutral,,23.685,2.9999999999930083,1881.9763999998975
118,2023-02-22,open,short,23.685,,,1881.9761999998975
119,2023-03-02,close,neutral,,23.4418,2431.999999999981,4313.975999999879
120,2023-03-02,open,long,23.4418,,,4313.975799999878
121,2023-03-10,close,neutral,,23.6234,1815.9999999999955,6129.975599999874
122,2023-03-10,open,short,23.6234,,,6129.975399999874
123,2023-03-13,close,neutral,,23.7364,-1129.9999999999955,4999.975199999879
124,2023-03-13,open,long,23.7364,,,4999.9749999998785
125,2023-03-16,close,neutral,,23.9611,2246.9999999999854,7246.9747999998635
126,2023-03-16,open,short,23.9611,,,7246.974599999863
127,2023-03-17,close,neutral,,23.959,20.999999999986585,7267.97439999985
128,2023-03-17,open,long,23.959,,,7267.97419999985
129,2023-03-21,close,neutral,,23.7749,-1841.0000000000082,5426.973999999842
130,2023-03-21,open,short,23.7749,,,5426.9737999998415
