,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-02-18,-1,0.4774346,1,0.70673,
1,2021-02-19,1,0.9910217,1,0.71058,0.70673
2,2021-02-22,-1,0.9815485,1,0.71038,0.71058
3,2021-02-23,1,0.99944144,1,0.71908,0.71038
4,2021-02-24,1,0.99879396,1,0.7244,0.71908
5,2021-02-25,-1,0.022381827,-1,0.71741,0.7244
6,2021-02-26,-1,0.1715053,-1,0.71358,0.71741
7,2021-03-01,1,0.9968489,1,0.72363,0.71358
8,2021-03-02,-1,0.72790074,1,0.72347,0.72363
9,2021-03-03,1,0.9562726,1,0.72688,0.72347
10,2021-03-04,1,0.9904593,1,0.73325,0.72688
11,2021-03-05,1,0.98268455,1,0.7361,0.73325
12,2021-03-08,1,0.9909292,1,0.73968,0.7361
13,2021-03-09,-1,0.027666543,-1,0.73404,0.73968
14,2021-03-10,1,0.92878586,1,0.73683,0.73404
15,2021-03-11,1,0.8169023,1,0.73745,0.73683
16,2021-03-12,1,0.98626417,1,0.74442,0.73745
17,2021-03-15,-1,0.7735968,1,0.74354,0.74442
18,2021-03-16,-1,0.86713415,1,0.74293,0.74354
19,2021-03-17,1,0.94696873,1,0.74366,0.74293
20,2021-03-18,-1,0.60017294,1,0.74265,0.74366
21,2021-03-19,1,0.84541464,1,0.74296,0.74265
22,2021-03-22,-1,0.0022964606,-1,0.73716,0.74296
23,2021-03-23,1,0.87121356,1,0.74189,0.73716
24,2021-03-24,1,0.7300649,1,0.74353,0.74189
25,2021-03-25,1,0.8699188,1,0.74548,0.74353
26,2021-03-26,1,0.90086144,1,0.74676,0.74548
27,2021-03-29,-1,0.462954,-1,0.74579,0.74676
28,2021-03-30,1,0.7749098,1,0.74601,0.74579
29,2021-03-31,1,0.9922463,1,0.75162,0.74601
30,2021-04-01,-1,0.7356167,1,0.75037,0.75162
31,2021-04-02,-1,0.23549868,-1,0.74888,0.75037
32,2021-04-05,-1,0.13554586,-1,0.74768,0.74888
33,2021-04-06,-1,0.0022041437,-1,0.74048,0.74768
34,2021-04-07,-1,0.010910532,-1,0.73716,0.74048
35,2021-04-08,-1,0.03999413,-1,0.73558,0.73716
36,2021-04-09,1,0.6935254,1,0.73768,0.73558
37,2021-04-12,-1,0.027732681,-1,0.73393,0.73768
38,2021-04-13,1,0.32066447,-1,0.73455,0.73393
39,2021-04-14,1,0.97275406,1,0.73708,0.73455
40,2021-04-15,-1,0.25429466,-1,0.73498,0.73708
41,2021-04-16,1,0.81397617,1,0.73552,0.73498
42,2021-04-19,-1,0.027660662,-1,0.73043,0.73552
43,2021-04-20,-1,0.02552736,-1,0.72578,0.73043
44,2021-04-21,1,0.9980849,1,0.7337,0.72578
45,2021-04-22,-1,0.91595787,1,0.73334,0.7337
46,2021-04-23,-1,0.68074095,1,0.73221,0.73334
47,2021-04-26,1,0.99235076,1,0.73757,0.73221
48,2021-04-27,-1,0.39512694,-1,0.73683,0.73757
49,2021-04-28,1,0.5329797,1,0.73833,0.73683
50,2021-04-29,1,0.8088805,1,0.74013,0.73833
51,2021-04-30,1,0.9419957,1,0.74258,0.74013
52,2021-05-03,-1,0.7812727,1,0.74205,0.74258
53,2021-05-04,1,0.88987625,1,0.74219,0.74205
54,2021-05-05,1,0.9714425,1,0.74449,0.74219
55,2021-05-06,1,0.98481953,1,0.74708,0.74449
56,2021-05-07,-1,0.011877887,-1,0.74248,0.74708
57,2021-05-10,1,0.66414255,1,0.74467,0.74248
58,2021-05-11,1,0.85181487,1,0.74678,0.74467
59,2021-05-12,1,0.9369912,1,0.74908,0.74678
60,2021-05-13,-1,0.019198617,-1,0.74487,0.74908
61,2021-05-14,-1,0.40029925,-1,0.74473,0.74487
62,2021-05-17,1,0.9554653,1,0.74835,0.74473
63,2021-05-18,-1,0.037153102,-1,0.74416,0.74835
64,2021-05-19,1,0.57798725,1,0.74463,0.74416
65,2021-05-20,-1,0.66894436,1,0.74435,0.74463
66,2021-05-21,-1,0.645921,1,0.74403,0.74435
67,2021-05-24,1,0.8703217,1,0.7445,0.74403
68,2021-05-25,-1,0.09295967,-1,0.74213,0.7445
69,2021-05-26,-1,0.07103134,-1,0.74031,0.74213
70,2021-05-27,1,0.9926772,1,0.74323,0.74031
71,2021-05-28,1,0.9957064,1,0.74523,0.74323
72,2021-05-31,-1,0.95432824,1,0.74493,0.74523
73,2021-06-01,-1,0.32552466,-1,0.74328,0.74493
74,2021-06-02,1,0.9842944,1,0.74623,0.74328
75,2021-06-03,-1,0.8884881,1,0.7462,0.74623
76,2021-06-04,-1,0.10897802,-1,0.74471,0.7462
77,2021-06-07,-1,0.03348658,-1,0.74278,0.74471
78,2021-06-08,-1,0.023868501,-1,0.74023,0.74278
79,2021-06-09,-1,0.123812616,-1,0.73954,0.74023
80,2021-06-10,-1,0.22156858,-1,0.73943,0.73954
81,2021-06-11,-1,0.045702368,-1,0.73818,0.73943
82,2021-06-14,1,0.98760366,1,0.74059,0.73818
83,2021-06-15,-1,0.061585765,-1,0.73728,0.74059
84,2021-06-16,1,0.9752779,1,0.73973,0.73728
85,2021-06-17,1,0.99565876,1,0.74278,0.73973
86,2021-06-18,-1,0.38036275,-1,0.74049,0.74278
87,2021-06-21,1,0.9557,1,0.74248,0.74049
88,2021-06-22,1,0.9902788,1,0.74632,0.74248
89,2021-06-23,-1,0.8458532,1,0.74614,0.74632
90,2021-06-24,-1,0.20562723,-1,0.74496,0.74614
91,2021-06-25,1,0.7123648,1,0.74537,0.74496
92,2021-06-28,-1,0.7239204,1,0.74534,0.74537
93,2021-06-29,-1,0.011453745,-1,0.74268,0.74534
94,2021-06-30,1,0.90597075,1,0.74628,0.74268
95,2021-07-01,-1,0.04340654,-1,0.74408,0.74628
96,2021-07-02,1,0.74200314,1,0.74674,0.74408
97,2021-07-05,1,0.41328314,-1,0.74694,0.74674
98,2021-07-06,-1,0.0039127585,-1,0.74188,0.74694
99,2021-07-07,-1,0.0521123,-1,0.74143,0.74188
100,2021-07-08,-1,0.0022603977,-1,0.73008,0.74143
101,2021-07-09,1,0.82395834,1,0.7338,0.73008
102,2021-07-12,1,0.27220425,-1,0.7349,0.7338
103,2021-07-13,-1,0.06316291,-1,0.73403,0.7349
104,2021-07-14,-1,0.023660187,-1,0.73074,0.73403
105,2021-07-15,-1,0.0524974,-1,0.72869,0.73074
106,2021-07-16,-1,0.15519038,-1,0.72862,0.72869
107,2021-07-19,-1,0.006102269,-1,0.72015,0.72862
108,2021-07-20,1,0.98524207,1,0.72664,0.72015
109,2021-07-21,1,0.9517589,1,0.73049,0.72664
110,2021-07-22,1,0.8885268,1,0.73169,0.73049
111,2021-07-23,1,0.85868245,1,0.73188,0.73169
112,2021-07-26,-1,0.22833683,-1,0.72979,0.73188
113,2021-07-27,-1,0.025528682,-1,0.72567,0.72979
114,2021-07-28,1,0.2526283,-1,0.72677,0.72567
115,2021-07-29,1,0.35581478,-1,0.72794,0.72677
116,2021-07-30,-1,0.028841475,-1,0.72614,0.72794
117,2021-08-02,-1,0.015164396,-1,0.72386,0.72614
118,2021-08-03,-1,0.0103095025,-1,0.72127,0.72386
119,2021-08-04,1,0.22360457,-1,0.72264,0.72127
120,2021-08-05,1,0.89403063,1,0.72534,0.72264
121,2021-08-06,1,0.9750948,1,0.72864,0.72534
122,2021-08-09,1,0.9768613,1,0.73179,0.72864
123,2021-08-10,1,0.98728186,1,0.73699,0.73179
124,2021-08-11,0,0.929982,1,0.73699,0.73699
125,2021-08-12,1,0.9596317,1,0.73724,0.73699
126,2021-08-13,-1,0.004473032,-1,0.73129,0.73724
