time,Actual Movement,Predictions,Predicted
2021-02-18,-1,0.4774346,1
2021-02-19,1,0.9910217,1
2021-02-22,-1,0.9815485,1
2021-02-23,1,0.99944144,1
2021-02-24,1,0.99879396,1
2021-02-25,-1,0.022381827,-1
2021-02-26,-1,0.1715053,-1
2021-03-01,1,0.9968489,1
2021-03-02,-1,0.72790074,1
2021-03-03,1,0.9562726,1
2021-03-04,1,0.9904593,1
2021-03-05,1,0.98268455,1
2021-03-08,1,0.9909292,1
2021-03-09,-1,0.027666543,-1
2021-03-10,1,0.92878586,1
2021-03-11,1,0.8169023,1
2021-03-12,1,0.98626417,1
2021-03-15,-1,0.7735968,1
2021-03-16,-1,0.86713415,1
2021-03-17,1,0.94696873,1
2021-03-18,-1,0.60017294,1
2021-03-19,1,0.84541464,1
2021-03-22,-1,0.0022964606,-1
2021-03-23,1,0.87121356,1
2021-03-24,1,0.7300649,1
2021-03-25,1,0.8699188,1
2021-03-26,1,0.90086144,1
2021-03-29,-1,0.462954,-1
2021-03-30,1,0.7749098,1
2021-03-31,1,0.9922463,1
2021-04-01,-1,0.7356167,1
2021-04-02,-1,0.23549868,-1
2021-04-05,-1,0.13554586,-1
2021-04-06,-1,0.0022041437,-1
2021-04-07,-1,0.010910532,-1
2021-04-08,-1,0.03999413,-1
2021-04-09,1,0.6935254,1
2021-04-12,-1,0.027732681,-1
2021-04-13,1,0.32066447,-1
2021-04-14,1,0.97275406,1
2021-04-15,-1,0.25429466,-1
2021-04-16,1,0.81397617,1
2021-04-19,-1,0.027660662,-1
2021-04-20,-1,0.02552736,-1
2021-04-21,1,0.9980849,1
2021-04-22,-1,0.91595787,1
2021-04-23,-1,0.68074095,1
2021-04-26,1,0.99235076,1
2021-04-27,-1,0.39512694,-1
2021-04-28,1,0.5329797,1
2021-04-29,1,0.8088805,1
2021-04-30,1,0.9419957,1
2021-05-03,-1,0.7812727,1
2021-05-04,1,0.88987625,1
2021-05-05,1,0.9714425,1
2021-05-06,1,0.98481953,1
2021-05-07,-1,0.011877887,-1
2021-05-10,1,0.66414255,1
2021-05-11,1,0.85181487,1
2021-05-12,1,0.9369912,1
2021-05-13,-1,0.019198617,-1
2021-05-14,-1,0.40029925,-1
2021-05-17,1,0.9554653,1
2021-05-18,-1,0.037153102,-1
2021-05-19,1,0.57798725,1
2021-05-20,-1,0.66894436,1
2021-05-21,-1,0.645921,1
2021-05-24,1,0.8703217,1
2021-05-25,-1,0.09295967,-1
2021-05-26,-1,0.07103134,-1
2021-05-27,1,0.9926772,1
2021-05-28,1,0.9957064,1
2021-05-31,-1,0.95432824,1
2021-06-01,-1,0.32552466,-1
2021-06-02,1,0.9842944,1
2021-06-03,-1,0.8884881,1
2021-06-04,-1,0.10897802,-1
2021-06-07,-1,0.03348658,-1
2021-06-08,-1,0.023868501,-1
2021-06-09,-1,0.123812616,-1
2021-06-10,-1,0.22156858,-1
2021-06-11,-1,0.045702368,-1
2021-06-14,1,0.98760366,1
2021-06-15,-1,0.061585765,-1
2021-06-16,1,0.9752779,1
2021-06-17,1,0.99565876,1
2021-06-18,-1,0.38036275,-1
2021-06-21,1,0.9557,1
2021-06-22,1,0.9902788,1
2021-06-23,-1,0.8458532,1
2021-06-24,-1,0.20562723,-1
2021-06-25,1,0.7123648,1
2021-06-28,-1,0.7239204,1
2021-06-29,-1,0.011453745,-1
2021-06-30,1,0.90597075,1
2021-07-01,-1,0.04340654,-1
