,time,action,position,entry_price,close_price,profit,balance
0,2021-02-18,open,long,0.70673,,,9999.9998
1,2021-02-25,close,neutral,,0.71741,106.80000000000022,10106.7996
2,2021-02-25,open,short,0.71741,,,10106.7994
3,2021-03-01,close,neutral,,0.72363,-62.20000000000003,10044.5992
4,2021-03-01,open,long,0.72363,,,10044.599
5,2021-03-09,close,neutral,,0.73404,104.1000000000003,10148.6988
6,2021-03-09,open,short,0.73404,,,10148.6986
7,2021-03-10,close,neutral,,0.73683,-27.899999999999594,10120.7984
8,2021-03-10,open,long,0.73683,,,10120.7982
9,2021-03-22,close,neutral,,0.73716,3.3000000000005247,10124.098
10,2021-03-22,open,short,0.73716,,,10124.0978
11,2021-03-23,close,neutral,,0.74189,-47.30000000000012,10076.7976
12,2021-03-23,open,long,0.74189,,,10076.7974
13,2021-03-29,close,neutral,,0.74579,38.999999999999034,10115.797199999999
14,2021-03-29,open,short,0.74579,,,10115.796999999999
15,2021-03-30,close,neutral,,0.74601,-2.1999999999999797,10113.5968
16,2021-03-30,open,long,0.74601,,,10113.596599999999
17,2021-04-02,close,neutral,,0.74888,28.700000000000394,10142.2964
18,2021-04-02,open,short,0.74888,,,10142.296199999999
19,2021-04-09,close,neutral,,0.73768,111.99999999999987,10254.295999999998
20,2021-04-09,open,long,0.73768,,,10254.295799999998
21,2021-04-12,close,neutral,,0.73393,-37.50000000000031,10216.795599999998
22,2021-04-12,open,short,0.73393,,,10216.795399999997
23,2021-04-14,close,neutral,,0.73708,-31.49999999999986,10185.295199999997
24,2021-04-14,open,long,0.73708,,,10185.294999999996
25,2021-04-15,close,neutral,,0.73498,-20.999999999999908,10164.294799999996
26,2021-04-15,open,short,0.73498,,,10164.294599999996
27,2021-04-16,close,neutral,,0.73552,-5.399999999999849,10158.894399999996
28,2021-04-16,open,long,0.73552,,,10158.894199999995
29,2021-04-19,close,neutral,,0.73043,-50.89999999999928,10107.993999999995
30,2021-04-19,open,short,0.73043,,,10107.993799999995
31,2021-04-21,close,neutral,,0.7337,-32.69999999999995,10075.293599999995
32,2021-04-21,open,long,0.7337,,,10075.293399999995
33,2021-04-27,close,neutral,,0.73683,31.299999999999663,10106.593199999994
34,2021-04-27,open,short,0.73683,,,10106.592999999993
35,2021-04-28,close,neutral,,0.73833,-15.000000000000568,10091.592799999993
36,2021-04-28,open,long,0.73833,,,10091.592599999993
37,2021-05-07,close,neutral,,0.74248,41.49999999999987,10133.092399999992
38,2021-05-07,open,short,0.74248,,,10133.092199999992
39,2021-05-10,close,neutral,,0.74467,-21.900000000000254,10111.191999999992
40,2021-05-10,open,long,0.74467,,,10111.191799999991
41,2021-05-13,close,neutral,,0.74487,1.9999999999997797,10113.191599999991
42,2021-05-13,open,short,0.74487,,,10113.19139999999
43,2021-05-17,close,neutral,,0.74835,-34.79999999999927,10078.391199999991
44,2021-05-17,open,long,0.74835,,,10078.39099999999
45,2021-05-18,close,neutral,,0.74416,-41.89999999999916,10036.49079999999
46,2021-05-18,open,short,0.74416,,,10036.49059999999
47,2021-05-19,close,neutral,,0.74463,-4.699999999999704,10031.79039999999
48,2021-05-19,open,long,0.74463,,,10031.79019999999
49,2021-05-25,close,neutral,,0.74213,-25.000000000000576,10006.78999999999
50,2021-05-25,open,short,0.74213,,,10006.78979999999
51,2021-05-27,close,neutral,,0.74323,-10.999999999999899,9995.78959999999
52,2021-05-27,open,long,0.74323,,,9995.789399999989
53,2021-06-01,close,neutral,,0.74328,0.5000000000010552,9996.28919999999
54,2021-06-01,open,short,0.74328,,,9996.28899999999
55,2021-06-02,close,neutral,,0.74623,-29.49999999999897,9966.788799999991
56,2021-06-02,open,long,0.74623,,,9966.78859999999
57,2021-06-04,close,neutral,,0.74471,-15.199999999999658,9951.588399999991
58,2021-06-04,open,short,0.74471,,,9951.588199999991
59,2021-06-14,close,neutral,,0.74059,41.200000000000124,9992.787999999991
60,2021-06-14,open,long,0.74059,,,9992.787799999991
61,2021-06-15,close,neutral,,0.73728,-33.09999999999924,9959.687599999992
62,2021-06-15,open,short,0.73728,,,9959.687399999992
63,2021-06-16,close,neutral,,0.73973,-24.499999999999524,9935.187199999991
64,2021-06-16,open,long,0.73973,,,9935.18699999999
65,2021-06-18,close,neutral,,0.74049,7.599999999999829,9942.78679999999
66,2021-06-18,open,short,0.74049,,,9942.78659999999
67,2021-06-21,close,neutral,,0.74248,-19.900000000000475,9922.88639999999
68,2021-06-21,open,long,0.74248,,,9922.88619999999
69,2021-06-24,close,neutral,,0.74496,24.799999999999265,9947.685999999989
70,2021-06-24,open,short,0.74496,,,9947.685799999988
71,2021-06-25,close,neutral,,0.74537,-4.100000000000215,9943.585599999988
72,2021-06-25,open,long,0.74537,,,9943.585399999987
73,2021-06-29,close,neutral,,0.74268,-26.8999999999997,9916.685199999987
74,2021-06-29,open,short,0.74268,,,9916.684999999987
75,2021-06-30,close,neutral,,0.74628,-36.000000000000476,9880.684799999986
76,2021-06-30,open,long,0.74628,,,9880.684599999986
77,2021-07-01,close,neutral,,0.74408,-22.00000000000091,9858.684399999986
78,2021-07-01,open,short,0.74408,,,9858.684199999985
79,2021-07-02,close,neutral,,0.74674,-26.59999999999996,9832.083999999984
80,2021-07-02,open,long,0.74674,,,9832.083799999984
81,2021-07-05,close,neutral,,0.74694,2.00000000000089,9834.083599999985
82,2021-07-05,open,short,0.74694,,,9834.083399999985
83,2021-07-09,close,neutral,,0.7338,131.4000000000004,9965.483199999986
84,2021-07-09,open,long,0.7338,,,9965.482999999986
85,2021-07-12,close,neutral,,0.7349,10.999999999999899,9976.482799999985
86,2021-07-12,open,short,0.7349,,,9976.482599999985
87,2021-07-20,close,neutral,,0.72664,82.60000000000045,10059.082399999985
88,2021-07-20,open,long,0.72664,,,10059.082199999984
89,2021-07-26,close,neutral,,0.72979,31.500000000000973,10090.581999999986
90,2021-07-26,open,short,0.72979,,,10090.581799999985
91,2021-08-05,close,neutral,,0.72534,44.500000000000654,10135.081599999987
92,2021-08-05,open,long,0.72534,,,10135.081399999986
93,2021-08-13,close,neutral,,0.73129,59.50000000000011,10194.581199999986
94,2021-08-13,open,short,0.73129,,,10194.580999999986
95,2021-08-23,close,neutral,,0.72119,100.99999999999997,10295.580799999985
96,2021-08-23,open,long,0.72119,,,10295.580599999985
97,2021-08-26,close,neutral,,0.72374,25.500000000000522,10321.080399999986
98,2021-08-26,open,short,0.72374,,,10321.080199999986
99,2021-08-30,close,neutral,,0.72757,-38.3,10282.779999999986
100,2021-08-30,open,long,0.72757,,,10282.779799999986
101,2021-08-31,close,neutral,,0.72546,-21.100000000000563,10261.679599999985
102,2021-08-31,open,short,0.72546,,,10261.679399999985
103,2021-09-01,close,neutral,,0.72554,-0.7999999999996898,10260.879199999985
104,2021-09-01,open,long,0.72554,,,10260.878999999984
105,2021-09-07,close,neutral,,0.7271,15.600000000000058,10276.478799999984
106,2021-09-07,open,short,0.7271,,,10276.478599999984
107,2021-09-13,close,neutral,,0.72944,-23.400000000000087,10253.078399999984
108,2021-09-13,open,long,0.72944,,,10253.078199999984
109,2021-09-14,close,neutral,,0.72485,-45.89999999999983,10207.177999999984
110,2021-09-14,open,short,0.72485,,,10207.177799999983
111,2021-09-15,close,neutral,,0.72839,-35.39999999999988,10171.777599999983
112,2021-09-15,open,long,0.72839,,,10171.777399999983
113,2021-09-17,close,neutral,,0.72999,16.00000000000046,10187.777199999982
114,2021-09-17,open,short,0.72999,,,10187.776999999982
115,2021-09-22,close,neutral,,0.72499,50.00000000000004,10237.776799999981
116,2021-09-22,open,long,0.72499,,,10237.776599999981
117,2021-09-24,close,neutral,,0.73034,53.49999999999966,10291.27639999998
118,2021-09-24,open,short,0.73034,,,10291.27619999998
119,2021-09-27,close,neutral,,0.73304,-27.000000000000355,10264.27599999998
120,2021-09-27,open,long,0.73304,,,10264.27579999998
121,2021-10-04,close,neutral,,0.73434,12.999999999999678,10277.275599999979
122,2021-10-04,open,short,0.73434,,,10277.275399999979
123,2021-10-05,close,neutral,,0.73795,-36.10000000000002,10241.175199999978
124,2021-10-05,open,long,0.73795,,,10241.174999999977
125,2021-10-06,close,neutral,,0.73653,-14.199999999999768,10226.974799999978
126,2021-10-06,open,short,0.73653,,,10226.974599999978
127,2021-10-07,close,neutral,,0.74015,-36.19999999999956,10190.774399999978
128,2021-10-07,open,long,0.74015,,,10190.774199999978
129,2021-10-13,close,neutral,,0.74259,24.399999999999977,10215.173999999977
130,2021-10-13,open,short,0.74259,,,10215.173799999977
131,2021-10-14,close,neutral,,0.74663,-40.40000000000043,10174.773599999977
132,2021-10-14,open,long,0.74663,,,10174.773399999976
133,2021-10-21,close,neutral,,0.74231,-43.1999999999999,10131.573199999977
134,2021-10-21,open,short,0.74231,,,10131.572999999977
135,2021-10-25,close,neutral,,0.74278,-4.699999999999704,10126.872799999977
136,2021-10-25,open,long,0.74278,,,10126.872599999977
137,2021-10-26,close,neutral,,0.74233,-4.499999999999504,10122.372399999977
138,2021-10-26,open,short,0.74233,,,10122.372199999976
139,2021-11-02,close,neutral,,0.73694,53.90000000000006,10176.271999999975
140,2021-11-02,open,long,0.73694,,,10176.271799999975
141,2021-11-03,close,neutral,,0.73564,-13.000000000000789,10163.271599999975
142,2021-11-03,open,short,0.73564,,,10163.271399999974
143,2021-11-08,close,neutral,,0.73423,14.099999999999113,10177.371199999974
144,2021-11-08,open,long,0.73423,,,10177.370999999974
145,2021-11-09,close,neutral,,0.73246,-17.700000000000493,10159.670799999973
146,2021-11-09,open,short,0.73246,,,10159.670599999972
147,2021-11-10,close,neutral,,0.73468,-22.199999999999996,10137.470399999973
148,2021-11-10,open,long,0.73468,,,10137.470199999972
149,2021-11-11,close,neutral,,0.73191,-27.7000000000005,10109.769999999971
150,2021-11-11,open,short,0.73191,,,10109.769799999971
151,2021-11-12,close,neutral,,0.73396,-20.499999999999964,10089.26959999997
152,2021-11-12,open,long,0.73396,,,10089.26939999997
153,2021-11-17,close,neutral,,0.73611,21.500000000000963,10110.769199999972
154,2021-11-17,open,short,0.73611,,,10110.768999999971
155,2021-11-19,close,neutral,,0.73454,15.700000000000713,10126.468799999971
156,2021-11-19,open,long,0.73454,,,10126.468599999971
157,2021-11-26,close,neutral,,0.7216,-129.39999999999952,9997.068399999971
158,2021-11-26,open,short,0.7216,,,9997.06819999997
159,2021-11-29,close,neutral,,0.7244,-28.00000000000025,9969.06799999997
160,2021-11-29,open,long,0.7244,,,9969.06779999997
161,2021-11-30,close,neutral,,0.71843,-59.70000000000031,9909.367599999969
162,2021-11-30,open,short,0.71843,,,9909.367399999968
163,2021-12-06,close,neutral,,0.72549,-70.59999999999955,9838.76719999997
164,2021-12-06,open,long,0.72549,,,9838.766999999969
165,2021-12-08,close,neutral,,0.72755,20.60000000000062,9859.366799999969
166,2021-12-08,open,short,0.72755,,,9859.366599999968
167,2021-12-09,close,neutral,,0.72678,7.700000000000484,9867.066399999969
168,2021-12-09,open,long,0.72678,,,9867.066199999968
169,2021-12-10,close,neutral,,0.72348,-32.999999999999694,9834.065999999968
170,2021-12-10,open,short,0.72348,,,9834.065799999968
171,2021-12-15,close,neutral,,0.72036,31.200000000000117,9865.265599999968
172,2021-12-15,open,long,0.72036,,,9865.265399999967
173,2021-12-16,close,neutral,,0.71968,-6.800000000000139,9858.465199999968
174,2021-12-16,open,short,0.71968,,,9858.464999999967
175,2021-12-21,close,neutral,,0.71519,44.89999999999994,9903.364799999967
176,2021-12-21,open,long,0.71519,,,9903.364599999966
177,2021-12-24,close,neutral,,0.71565,4.6000000000001595,9907.964399999966
178,2021-12-24,open,short,0.71565,,,9907.964199999966
179,2021-12-27,close,neutral,,0.71767,-20.200000000000216,9887.763999999966
180,2021-12-27,open,long,0.71767,,,9887.763799999966
181,2021-12-28,close,neutral,,0.71565,-20.200000000000216,9867.563599999967
182,2021-12-28,open,short,0.71565,,,9867.563399999966
183,2021-12-30,close,neutral,,0.71739,-17.399999999999636,9850.163199999966
184,2021-12-30,open,long,0.71739,,,9850.162999999966
185,2022-01-05,close,neutral,,0.71888,14.899999999999913,9865.062799999965
186,2022-01-05,open,short,0.71888,,,9865.062599999965
187,2022-01-06,close,neutral,,0.72388,-50.00000000000004,9815.062399999964
188,2022-01-06,open,long,0.72388,,,9815.062199999964
189,2022-01-12,close,neutral,,0.73108,71.99999999999984,9887.061999999964
190,2022-01-12,open,short,0.73108,,,9887.061799999963
191,2022-01-14,close,neutral,,0.72833,27.49999999999919,9914.561599999963
192,2022-01-14,open,long,0.72833,,,9914.561399999962
193,2022-01-19,close,neutral,,0.73169,33.599999999999184,9948.161199999962
194,2022-01-19,open,short,0.73169,,,9948.160999999962
195,2022-01-20,close,neutral,,0.73363,-19.400000000000528,9928.760799999962
196,2022-01-20,open,long,0.73363,,,9928.760599999961
197,2022-01-21,close,neutral,,0.72467,-89.59999999999968,9839.160399999962
198,2022-01-21,open,short,0.72467,,,9839.160199999962
199,2022-01-25,close,neutral,,0.72688,-22.09999999999934,9817.059999999963
200,2022-01-25,open,long,0.72688,,,9817.059799999963
201,2022-01-28,close,neutral,,0.72923,23.500000000000743,9840.559599999964
202,2022-01-28,open,short,0.72923,,,9840.559399999964
203,2022-01-31,close,neutral,,0.72949,-2.5999999999992696,9837.959199999965
204,2022-01-31,open,long,0.72949,,,9837.958999999964
205,2022-02-01,close,neutral,,0.72618,-33.09999999999924,9804.858799999965
206,2022-02-01,open,short,0.72618,,,9804.858599999965
207,2022-02-07,close,neutral,,0.72901,-28.29999999999999,9776.558399999965
208,2022-02-07,open,long,0.72901,,,9776.558199999965
209,2022-02-10,close,neutral,,0.72729,-17.20000000000055,9759.357999999964
210,2022-02-10,open,short,0.72729,,,9759.357799999963
211,2022-02-14,close,neutral,,0.72643,8.599999999999719,9767.957599999963
212,2022-02-14,open,long,0.72643,,,9767.957399999963
213,2022-02-16,close,neutral,,0.72665,2.1999999999999797,9770.157199999963
214,2022-02-16,open,short,0.72665,,,9770.156999999963
215,2022-02-22,close,neutral,,0.72168,49.7000000000003,9819.856799999963
216,2022-02-22,open,long,0.72168,,,9819.856599999963
217,2022-02-23,close,neutral,,0.72106,-6.199999999999539,9813.656399999963
218,2022-02-23,open,short,0.72106,,,9813.656199999963
219,2022-02-24,close,neutral,,0.72193,-8.699999999999264,9804.955999999964
220,2022-02-24,open,long,0.72193,,,9804.955799999963
221,2022-02-28,close,neutral,,0.72343,15.000000000000568,9819.955599999965
222,2022-02-28,open,short,0.72343,,,9819.955399999964
223,2022-03-02,close,neutral,,0.72853,-50.999999999999936,9768.955199999964
224,2022-03-02,open,long,0.72853,,,9768.954999999964
225,2022-03-03,close,neutral,,0.7236,-49.2999999999999,9719.654799999964
226,2022-03-03,open,short,0.7236,,,9719.654599999963
227,2022-03-07,close,neutral,,0.72201,15.899999999999803,9735.554399999963
228,2022-03-07,open,long,0.72201,,,9735.554199999962
229,2022-03-14,close,neutral,,0.73183,98.19999999999939,9833.75399999996
230,2022-03-14,open,short,0.73183,,,9833.75379999996
231,2022-03-15,close,neutral,,0.73753,-57.000000000000384,9776.75359999996
232,2022-03-15,open,long,0.73753,,,9776.75339999996
233,2022-03-18,close,neutral,,0.73914,16.1,9792.85319999996
234,2022-03-18,open,short,0.73914,,,9792.85299999996
235,2022-03-21,close,neutral,,0.74134,-21.999999999999797,9770.852799999959
236,2022-03-21,open,long,0.74134,,,9770.852599999958
237,2022-03-23,close,neutral,,0.74067,-6.699999999999484,9764.152399999959
238,2022-03-23,open,short,0.74067,,,9764.152199999959
239,2022-03-24,close,neutral,,0.74223,-15.599999999998948,9748.55199999996
240,2022-03-24,open,long,0.74223,,,9748.55179999996
241,2022-03-29,close,neutral,,0.74436,21.300000000000765,9769.85159999996
242,2022-03-29,open,short,0.74436,,,9769.85139999996
