time,Actual Movement,Predictions,Predicted
2019-09-25,-1,0.12623067,-1
2019-09-26,-1,0.18286826,-1
2019-09-27,1,0.9766905,1
2019-09-30,-1,0.2969161,-1
2019-10-01,-1,0.7947114,1
2019-10-02,-1,0.121781036,-1
2019-10-03,-1,0.16443937,-1
2019-10-04,1,0.9200619,1
2019-10-07,1,0.98705924,1
2019-10-08,-1,0.37323925,-1
2019-10-09,1,0.9968375,1
2019-10-10,1,0.99676347,1
2019-10-11,1,0.99317205,1
2019-10-14,-1,0.75049865,1
2019-10-15,1,0.9872321,1
2019-10-16,1,0.96938133,1
2019-10-17,1,0.98043615,1
2019-10-18,1,0.9757488,1
2019-10-21,-1,0.97059554,1
2019-10-22,-1,0.3237084,-1
2019-10-23,1,0.9661778,1
2019-10-24,-1,0.062204238,-1
2019-10-25,-1,0.06869747,-1
2019-10-28,1,0.9631573,1
2019-10-29,1,0.59084207,1
2019-10-30,1,0.96158147,1
2019-10-31,-1,0.0035315072,-1
2019-11-01,1,0.87440145,1
2019-11-04,1,0.61393106,1
2019-11-05,1,0.7597316,1
2019-11-06,-1,0.2936812,-1
2019-11-07,1,0.955668,1
2019-11-08,-1,0.18361478,-1
2019-11-11,-1,0.71032536,1
2019-11-12,-1,0.21432999,-1
2019-11-13,-1,0.16472504,-1
2019-11-14,-1,0.06808074,-1
2019-11-15,1,0.99584705,1
2019-11-18,1,0.95152044,1
2019-11-19,-1,0.80283916,1
2019-11-20,1,0.9187114,1
2019-11-21,-1,0.5224938,-1
2019-11-22,-1,0.044786174,-1
2019-11-25,1,0.9588074,1
2019-11-26,1,0.9799472,1
2019-11-27,1,0.97895616,1
2019-11-28,1,0.93074065,1
2019-11-29,1,0.86073935,1
2019-12-02,1,0.9422494,1
2019-12-03,-1,0.048956756,-1
2019-12-04,1,0.93517536,1
2019-12-05,1,0.9469108,1
2019-12-06,-1,0.014074454,-1
2019-12-09,1,0.67769593,1
2019-12-10,1,0.9872556,1
2019-12-11,1,0.94136626,1
2019-12-12,1,0.9906707,1
2019-12-13,-1,0.7499992,1
2019-12-16,1,0.99003255,1
2019-12-17,1,0.9755475,1
2019-12-18,-1,0.8172811,1
2019-12-19,-1,0.6932224,1
2019-12-20,-1,0.11596766,-1
2019-12-23,1,0.82141936,1
2019-12-24,-1,0.41489157,-1
2019-12-26,1,0.9865545,1
2019-12-27,1,0.9923685,1
2019-12-30,-1,0.11558193,-1
2019-12-31,-1,0.7429664,1
2020-01-02,-1,0.035322104,-1
2020-01-03,-1,0.03781242,-1
2020-01-06,1,0.9923092,1
2020-01-07,-1,0.13105732,-1
2020-01-08,1,0.9594831,1
2020-01-09,1,0.97949666,1
2020-01-10,1,0.94497997,1
2020-01-13,1,0.9838464,1
2020-01-14,-1,0.82634634,1
2020-01-15,1,0.9479779,1
2020-01-16,1,0.95402217,1
2020-01-17,-1,0.040376965,-1
2020-01-20,1,0.76125467,1
2020-01-21,-1,0.01901713,-1
2020-01-22,1,0.57314533,1
2020-01-23,-1,0.0063015786,-1
2020-01-24,-1,0.023989279,-1
2020-01-27,-1,0.037531514,-1
2020-01-28,1,0.95884794,1
2020-01-29,-1,0.20669322,-1
2020-01-30,1,0.9374583,1
2020-01-31,1,0.85298246,1
2020-02-03,1,0.83703405,1
2020-02-04,1,0.9979519,1
2020-02-05,-1,0.95849323,1
2020-02-06,-1,0.9722826,1
2020-02-07,-1,0.08495318,-1
2020-02-10,-1,0.33845502,-1
2020-02-11,1,0.9400036,1
2020-02-12,-1,0.6297404,1
2020-02-13,-1,0.031217825,-1
2020-02-14,-1,0.3251887,-1
2020-02-17,1,0.91146034,1
2020-02-18,-1,0.06853953,-1
2020-02-19,1,0.9997596,1
2020-02-20,1,0.98239696,1
2020-02-21,1,0.9307675,1
2020-02-24,-1,0.028385127,-1
2020-02-25,-1,0.49560687,-1
2020-02-26,1,0.9262951,1
2020-02-27,1,0.97260374,1
2020-02-28,-1,0.0028612402,-1
2020-03-02,1,0.9973756,1
2020-03-03,-1,0.014672048,-1
2020-03-04,1,0.92441434,1
2020-03-05,-1,0.23495279,-1
2020-03-06,-1,0.31313354,-1
2020-03-09,-1,0.0027255516,-1
2020-03-10,1,0.99957496,1
2020-03-11,-1,0.0028562353,-1
2020-03-12,-1,0.13296603,-1
2020-03-13,1,0.9998723,1
2020-03-16,-1,0.0013662388,-1
2020-03-17,-1,0.89167315,1
2020-03-18,-1,0.17480007,-1
2020-03-19,1,0.9418896,1
2020-03-20,1,0.93236953,1
2020-03-23,1,0.9816902,1
2020-03-24,1,0.9737762,1
2020-03-25,1,0.9753796,1
2020-03-26,-1,0.3844686,-1
2020-03-27,-1,0.059733536,-1
2020-03-30,-1,0.008257524,-1
2020-03-31,-1,0.07303629,-1
2020-04-01,-1,0.011607812,-1
2020-04-02,-1,0.23072766,-1
2020-04-03,1,0.8603675,1
2020-04-06,1,0.97810614,1
2020-04-07,1,0.98615396,1
2020-04-08,-1,0.44509116,-1
2020-04-09,1,0.98665243,1
2020-04-10,-1,0.70145667,1
2020-04-13,-1,0.06038194,-1
2020-04-14,1,0.96748,1
2020-04-15,-1,0.12699427,-1
2020-04-16,-1,0.3290893,-1
2020-04-17,1,0.7920641,1
2020-04-20,-1,0.57701993,1
2020-04-21,1,0.70058006,1
2020-04-22,-1,0.043798253,-1
2020-04-23,-1,0.023936348,-1
2020-04-24,1,0.9766367,1
2020-04-27,-1,0.24452938,-1
2020-04-28,-1,0.06362053,-1
2020-04-29,1,0.9808337,1
2020-04-30,1,0.999464,1
2020-05-01,1,0.93320096,1
2020-05-04,-1,0.019311499,-1
2020-05-05,-1,0.07282983,-1
2020-05-06,-1,0.11773123,-1
2020-05-07,1,0.9932112,1
