,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-02-19,-1,0.0091805635,-1,1.66056,
1,2021-02-22,-1,0.036786318,-1,1.65901,1.66056
2,2021-02-23,-1,0.021573568,-1,1.65411,1.65901
3,2021-02-24,-1,0.005421405,-1,1.63469,1.65411
4,2021-02-25,1,0.9713894,1,1.65203,1.63469
5,2021-02-26,1,0.96613973,1,1.669,1.65203
6,2021-03-01,-1,0.064419575,-1,1.6582400000000002,1.669
7,2021-03-02,-1,0.2831975,1,1.65733,1.6582400000000002
8,2021-03-03,1,0.7951323,1,1.66467,1.65733
9,2021-03-04,1,0.48506132,1,1.66604,1.66467
10,2021-03-05,-1,0.1336651,-1,1.66269,1.66604
11,2021-03-08,1,0.25779808,1,1.66328,1.66269
12,2021-03-09,-1,0.050395846,-1,1.65849,1.66328
13,2021-03-10,-1,0.06775257,-1,1.65744,1.65849
14,2021-03-11,1,0.091577105,-1,1.65822,1.65744
15,2021-03-12,1,0.7870615,1,1.665,1.65822
16,2021-03-15,-1,0.022144537,-1,1.65638,1.665
17,2021-03-16,-1,0.052147582,-1,1.65528,1.65638
18,2021-03-17,-1,0.08034043,-1,1.65491,1.65528
19,2021-03-18,1,0.93453974,1,1.66288,1.65491
20,2021-03-19,-1,0.69431746,1,1.66117,1.66288
21,2021-03-22,1,0.94304097,1,1.66669,1.66117
22,2021-03-23,1,0.99258924,1,1.69298,1.66669
23,2021-03-24,1,0.9169119,1,1.69661,1.69298
24,2021-03-25,-1,0.6062908,1,1.6923,1.69661
25,2021-03-26,-1,0.103068344,-1,1.68466,1.6923
26,2021-03-29,-1,0.114934735,-1,1.68128,1.68466
27,2021-03-30,-1,0.07787735,-1,1.67778,1.68128
28,2021-03-31,1,0.28075528,1,1.6796799999999998,1.67778
29,2021-04-01,-1,0.07293865,-1,1.67642,1.6796799999999998
30,2021-04-02,-1,0.032507453,-1,1.67083,1.67642
31,2021-04-05,1,0.1342191,-1,1.6726,1.67083
32,2021-04-06,1,0.9180269,1,1.68248,1.6726
33,2021-04-07,1,0.94470495,1,1.69234,1.68248
34,2021-04-08,-1,0.20500319,-1,1.68769,1.69234
35,2021-04-09,1,0.78359014,1,1.69151,1.68769
