,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2023-02-05,-1,0.040044185,-1,95.51,
1,2023-02-06,1,0.74224305,1,97.05,95.51
2,2023-02-07,1,0.91285264,1,100.05,97.05
3,2023-02-08,-1,0.09841005,-1,98.69,100.05
4,2023-02-09,-1,0.0040836846,-1,90.87,98.69
5,2023-02-10,1,0.77947533,1,93.26,90.87
6,2023-02-11,1,0.6969404,1,94.53,93.26
7,2023-02-12,-1,0.12136942,-1,92.27,94.53
8,2023-02-13,-1,0.07214785,-1,89.27,92.27
9,2023-02-14,1,0.99095553,1,95.29,89.27
10,2023-02-15,1,0.98210835,1,101.46,95.29
11,2023-02-16,1,0.64177984,1,101.56,101.46
12,2023-02-17,-1,0.36954963,-1,100.62,101.56
13,2023-02-18,-1,0.30144042,-1,99.37,100.62
14,2023-02-19,-1,0.18382332,-1,98.31,99.37
15,2023-02-20,-1,0.036624696,-1,95.55,98.31
16,2023-02-21,-1,0.0313633,-1,92.62,95.55
17,2023-02-22,1,0.55071884,-1,93.74,92.62
18,2023-02-23,1,0.4865059,-1,94.15,93.74
19,2023-02-24,-1,0.048629683,-1,90.88,94.15
20,2023-02-25,1,0.80007464,1,91.72,90.88
21,2023-02-26,1,0.9765514,1,95.02,91.72
22,2023-02-27,-1,0.63047516,-1,93.58,95.02
23,2023-02-28,-1,0.89167875,1,93.49,93.58
24,2023-03-01,1,0.99081826,1,97.39,93.49
25,2023-03-02,-1,0.53453076,-1,95.19,97.39
26,2023-03-03,-1,0.03416188,-1,89.47,95.19
27,2023-03-04,-1,0.24693383,-1,88.11,89.47
28,2023-03-05,1,0.8964619,1,90.06,88.11
29,2023-03-06,-1,0.09941392,-1,87.48,90.06
30,2023-03-07,-1,0.15760136,-1,85.56,87.48
31,2023-03-08,-1,0.116052605,-1,83.14,85.56
32,2023-03-09,-1,0.015487484,-1,75.84,83.14
33,2023-03-10,-1,0.03646009,-1,71.03,75.84
34,2023-03-11,-1,0.06786111,-1,68.76,71.03
35,2023-03-12,1,0.959199,1,72.93,68.76
36,2023-03-13,1,0.99381644,1,81.41,72.93
37,2023-03-14,1,0.9090568,1,83.96,81.41
38,2023-03-15,-1,0.016069109,-1,76.18,83.96
39,2023-03-16,1,0.9551363,1,77.78,76.18
40,2023-03-17,1,0.9747108,1,82.62,77.78
41,2023-03-18,1,0.8995681,1,84.93,82.62
42,2023-03-19,-1,0.39506695,-1,84.31,84.93
43,2023-03-20,-1,0.030160869,-1,80.61,84.31
44,2023-03-21,1,0.64699465,1,82.07,80.61
45,2023-03-22,1,0.92191833,1,86.04,82.07
