time,Actual Movement,Predictions,Predicted
2023-02-05,-1,0.040044185,-1
2023-02-06,1,0.74224305,1
2023-02-07,1,0.91285264,1
2023-02-08,-1,0.09841005,-1
2023-02-09,-1,0.0040836846,-1
2023-02-10,1,0.77947533,1
2023-02-11,1,0.6969404,1
2023-02-12,-1,0.12136942,-1
2023-02-13,-1,0.07214785,-1
2023-02-14,1,0.99095553,1
2023-02-15,1,0.98210835,1
2023-02-16,1,0.64177984,1
2023-02-17,-1,0.36954963,-1
2023-02-18,-1,0.30144042,-1
2023-02-19,-1,0.18382332,-1
2023-02-20,-1,0.036624696,-1
2023-02-21,-1,0.0313633,-1
2023-02-22,1,0.55071884,-1
2023-02-23,1,0.4865059,-1
2023-02-24,-1,0.048629683,-1
2023-02-25,1,0.80007464,1
2023-02-26,1,0.9765514,1
2023-02-27,-1,0.63047516,-1
2023-02-28,-1,0.89167875,1
2023-03-01,1,0.99081826,1
2023-03-02,-1,0.53453076,-1
2023-03-03,-1,0.03416188,-1
2023-03-04,-1,0.24693383,-1
2023-03-05,1,0.8964619,1
2023-03-06,-1,0.09941392,-1
2023-03-07,-1,0.15760136,-1
2023-03-08,-1,0.116052605,-1
2023-03-09,-1,0.015487484,-1
2023-03-10,-1,0.03646009,-1
2023-03-11,-1,0.06786111,-1
2023-03-12,1,0.959199,1
2023-03-13,1,0.99381644,1
2023-03-14,1,0.9090568,1
2023-03-15,-1,0.016069109,-1
2023-03-16,1,0.9551363,1
2023-03-17,1,0.9747108,1
2023-03-18,1,0.8995681,1
2023-03-19,-1,0.39506695,-1
2023-03-20,-1,0.030160869,-1
2023-03-21,1,0.64699465,1
2023-03-22,1,0.92191833,1
2023-03-23,1,0.97072214,1
2023-03-24,-1,0.05067378,-1
2023-03-25,-1,0.6448267,1
2023-03-26,1,0.9152089,1
2023-03-27,-1,0.024732832,-1
2023-03-28,-1,0.21700852,-1
2023-03-29,1,0.94558924,1
2023-03-30,-1,0.03762292,-1
2023-03-31,1,0.48218265,-1
2023-04-01,1,0.9067089,1
2023-04-02,-1,0.10477076,-1
2023-04-03,1,0.41823217,-1
2023-04-04,1,0.83449686,1
2023-04-05,-1,0.20037971,-1
2023-04-06,-1,0.06377452,-1
2023-04-07,-1,0.1842189,-1
2023-04-08,-1,0.35383624,-1
2023-04-09,1,0.5447087,-1
2023-04-10,1,0.97239,1
2023-04-11,1,0.97450495,1
2023-04-12,-1,0.07199789,-1
2023-04-13,1,0.94121796,1
2023-04-14,1,0.95399904,1
2023-04-15,-1,0.89241374,1
2023-04-16,1,0.98947316,1
2023-04-17,-1,0.09035063,-1
2023-04-18,1,0.9488797,1
2023-04-19,-1,0.0065071112,-1
2023-04-20,-1,0.021411233,-1
2023-04-21,-1,0.06822553,-1
2023-04-22,1,0.9326035,1
2023-04-23,-1,0.48884895,-1
2023-04-24,1,0.9493365,1
2023-04-25,1,0.97871906,1
2023-04-26,-1,0.1506918,-1
2023-04-27,1,0.97728693,1
2023-04-28,-1,0.88428915,1
2023-04-29,1,0.9583386,1
2023-04-30,-1,0.51536894,-1
2023-05-01,-1,0.31401813,-1
2023-05-02,1,0.9627643,1
2023-05-03,-1,0.6441678,1
2023-05-04,1,0.9344134,1
2023-05-05,1,0.90582305,1
2023-05-06,-1,0.028377948,-1
2023-05-07,1,0.70790166,1
2023-05-08,-1,0.006948571,-1
2023-05-09,1,0.94261986,1
2023-05-10,1,0.905267,1
2023-05-11,-1,0.1804316,-1
2023-05-12,-1,0.4605239,-1
2023-05-13,1,0.8502903,1
2023-05-14,1,0.9527476,1
2023-05-15,1,0.9901724,1
2023-05-16,1,0.94309366,1
2023-05-17,1,0.9809996,1
2023-05-18,-1,0.041161064,-1
2023-05-19,1,0.8100248,1
2023-05-20,1,0.6873749,1
2023-05-21,-1,0.59167695,-1
2023-05-22,-1,0.20211793,-1
2023-05-23,1,0.39276245,-1
2023-05-24,-1,0.0062886775,-1
2023-05-25,-1,0.045382522,-1
2023-05-26,1,0.7797396,1
2023-05-27,1,0.6706196,1
2023-05-28,1,0.9347388,1
2023-05-29,1,0.91785157,1
2023-05-30,1,0.91827375,1
2023-05-31,-1,0.059926722,-1
2023-06-01,1,0.98043525,1
2023-06-02,1,0.7253325,1
2023-06-03,1,0.8600239,1
2023-06-04,1,0.81050426,1
2023-06-05,-1,0.0024709078,-1
2023-06-06,1,0.7743563,1
2023-06-07,-1,0.058633372,-1
2023-06-08,-1,0.16522266,-1
2023-06-09,1,0.60407627,-1
2023-06-10,-1,0.001594092,-1
2023-06-11,1,0.78156507,1
2023-06-12,-1,0.048736744,-1
2023-06-13,1,0.2951827,-1
2023-06-14,-1,0.019427853,-1
