time,Actual Movement,Predictions,Predicted
2021-02-19,-1,0.0086893365,-1
2021-02-22,-1,0.03565691,-1
2021-02-23,-1,0.021431006,-1
2021-02-24,-1,0.005248002,-1
2021-02-25,1,0.9678295,1
2021-02-26,1,0.9581375,1
2021-03-01,-1,0.061637033,-1
2021-03-02,-1,0.27211457,1
2021-03-03,1,0.7924006,1
2021-03-04,1,0.47487512,1
2021-03-05,-1,0.12084127,-1
2021-03-08,1,0.23869054,1
2021-03-09,-1,0.041822534,-1
2021-03-10,-1,0.057802558,-1
2021-03-11,1,0.08175554,-1
2021-03-12,1,0.7878297,1
2021-03-15,-1,0.01766191,-1
2021-03-16,-1,0.043851756,-1
2021-03-17,-1,0.06989607,-1
2021-03-18,1,0.9308509,1
2021-03-19,-1,0.6977469,1
2021-03-22,1,0.9372319,1
2021-03-23,1,0.9915025,1
2021-03-24,1,0.9091351,1
2021-03-25,-1,0.5691818,1
2021-03-26,-1,0.08228676,-1
2021-03-29,-1,0.09232501,-1
2021-03-30,-1,0.06329805,-1
2021-03-31,1,0.24914517,1
2021-04-01,-1,0.061267138,-1
2021-04-02,-1,0.027893793,-1
2021-04-05,1,0.115700595,-1
2021-04-06,1,0.9150926,1
2021-04-07,1,0.9395168,1
2021-04-08,-1,0.1814375,-1
2021-04-09,1,0.76507574,1
2021-04-12,1,0.73461354,1
2021-04-13,-1,0.41042462,1
2021-04-14,-1,0.0058976486,-1
2021-04-15,-1,0.016288452,-1
2021-04-16,1,0.82774365,1
2021-04-19,-1,0.45004845,1
2021-04-20,1,0.8125249,1
2021-04-21,-1,0.09245384,-1
2021-04-22,1,0.9358249,1
2021-04-23,1,0.92438763,1
2021-04-26,-1,0.11134924,-1
2021-04-27,1,0.93065614,1
2021-04-28,-1,0.26826516,1
2021-04-29,1,0.92842245,1
2021-04-30,1,0.9557663,1
2021-05-03,-1,0.72236454,1
2021-05-04,1,0.9339085,1
2021-05-05,-1,0.03209116,-1
2021-05-06,1,0.811968,1
2021-05-07,1,0.85619134,1
2021-05-10,1,0.75986296,1
2021-05-11,1,0.80078024,1
2021-05-12,1,0.9790452,1
2021-05-13,-1,0.19037142,-1
2021-05-14,-1,0.06411121,-1
2021-05-17,1,0.89431554,1
2021-05-18,1,0.68163157,1
2021-05-19,1,0.8968652,1
2021-05-20,-1,0.569563,1
2021-05-21,1,0.8002793,1
2021-05-24,-1,0.042281773,-1
2021-05-25,1,0.22245571,1
2021-05-26,-1,0.002835439,-1
2021-05-27,-1,0.036158577,-1
2021-05-28,1,0.85689074,1
2021-05-31,-1,0.30167672,1
2021-06-01,1,0.8387832,1
2021-06-02,1,0.88358086,1
2021-06-03,1,0.9500992,1
2021-06-04,-1,0.05114738,-1
2021-06-07,-1,0.18109013,-1
2021-06-08,1,0.777428,1
2021-06-09,1,0.79969776,1
2021-06-10,-1,0.10264383,-1
2021-06-11,1,0.64789546,1
2021-06-14,-1,0.09732436,-1
2021-06-15,1,0.5437577,1
2021-06-16,-1,0.20228523,-1
2021-06-17,-1,0.07304418,-1
2021-06-18,1,0.8892268,1
2021-06-21,-1,0.04363099,-1
2021-06-22,-1,0.036544055,-1
2021-06-23,-1,0.022264425,-1
2021-06-24,-1,0.043241452,-1
2021-06-25,-1,0.08943062,-1
2021-06-28,1,0.8447823,1
2021-06-29,1,0.9560501,1
2021-06-30,-1,0.43463638,1
2021-07-01,1,0.842935,1
2021-07-02,-1,0.031131221,-1
2021-07-05,1,0.32966807,1
2021-07-06,-1,0.1915919,-1
2021-07-07,-1,0.038892325,-1
2021-07-08,1,0.9829691,1
2021-07-09,-1,0.06599128,-1
2021-07-12,1,0.2876389,1
2021-07-13,-1,0.08349463,-1
2021-07-14,-1,0.011232956,-1
2021-07-15,1,0.7689961,1
2021-07-16,-1,0.0621342,-1
2021-07-19,1,0.9204071,1
2021-07-20,1,0.5480299,1
2021-07-21,-1,0.028578259,-1
2021-07-22,-1,0.049279843,-1
2021-07-23,-1,0.07893024,-1
2021-07-26,1,0.16560397,-1
2021-07-27,1,0.9405721,1
2021-07-28,1,0.8602403,1
2021-07-29,-1,0.0923578,-1
2021-07-30,1,0.7842038,1
2021-08-02,1,0.45863208,1
2021-08-03,-1,0.017100973,-1
2021-08-04,-1,0.023049228,-1
2021-08-05,-1,0.06828186,-1
2021-08-06,1,0.15482497,-1
2021-08-09,1,0.38478124,1
2021-08-10,-1,0.071741745,-1
2021-08-11,-1,0.07259896,-1
2021-08-12,1,0.9319197,1
2021-08-13,-1,0.6878815,1
2021-08-16,1,0.8467186,1
2021-08-17,1,0.9840072,1
2021-08-18,1,0.9646165,1
2021-08-19,1,0.9526676,1
2021-08-20,1,0.87282807,1
2021-08-23,-1,0.15406412,-1
2021-08-24,-1,0.016304573,-1
2021-08-25,-1,0.04672567,-1
2021-08-26,1,0.28305653,1
2021-08-27,-1,0.024589375,-1
2021-08-30,1,0.33069107,1
2021-08-31,-1,0.029229213,-1
2021-09-01,-1,0.1476677,-1
2021-09-02,-1,0.0731833,-1
2021-09-03,-1,0.05619197,-1
2021-09-06,1,0.50423133,1
2021-09-07,1,0.8335074,1
2021-09-08,-1,0.32281694,1
2021-09-09,-1,0.4069391,1
2021-09-10,-1,0.20655657,-1
2021-09-13,-1,0.1489326,-1
2021-09-14,1,0.869951,1
2021-09-15,-1,0.4683058,1
2021-09-16,1,0.86137974,1
2021-09-17,1,0.9264151,1
2021-09-20,1,0.90985614,1
2021-09-21,1,0.9522623,1
2021-09-22,-1,0.15601227,-1
2021-09-23,-1,0.013742152,-1
2021-09-24,1,0.86598796,1
2021-09-27,-1,0.08694413,-1
2021-09-28,1,0.89198065,1
2021-09-29,1,0.90848017,1
2021-09-30,-1,0.028200665,-1
2021-10-01,-1,0.042826213,-1
2021-10-04,-1,0.08768221,-1
2021-10-05,-1,0.12419075,-1
2021-10-06,1,0.82994485,1
2021-10-07,-1,0.16364737,-1
2021-10-08,1,0.81923383,1
2021-10-11,-1,0.15824626,-1
2021-10-12,-1,0.21097623,-1
2021-10-13,1,0.6573628,1
2021-10-14,-1,0.018266471,-1
2021-10-15,-1,0.050010074,-1
2021-10-18,-1,0.085890085,-1
2021-10-19,-1,0.015834218,-1
2021-10-20,-1,0.024913263,-1
2021-10-21,1,0.5497373,1
2021-10-22,1,0.6850633,1
2021-10-25,-1,0.07106792,-1
2021-10-26,-1,0.2788644,1
2021-10-27,-1,0.1965247,-1
2021-10-28,1,0.87310004,1
2021-10-29,-1,0.09467225,-1
2021-11-01,1,0.7093291,1
2021-11-02,1,0.98458534,1
2021-11-03,-1,0.4435733,1
2021-11-04,1,0.9448794,1
2021-11-05,-1,0.52259755,1
2021-11-08,-1,0.054748327,-1
2021-11-09,1,0.89413095,1
2021-11-10,1,0.2962529,1
2021-11-11,1,0.60619855,1
2021-11-12,-1,0.03853567,-1
2021-11-15,-1,0.011912328,-1
2021-11-16,1,0.52530366,1
2021-11-17,-1,0.20742026,-1
2021-11-18,-1,0.1077655,-1
2021-11-19,-1,0.15576422,-1
2021-11-22,1,0.7781416,1
2021-11-23,1,0.90197843,1
2021-11-24,1,0.97631174,1
2021-11-25,1,0.9407032,1
2021-11-26,1,0.9877508,1
2021-11-29,-1,0.4716533,1
2021-11-30,1,0.94766027,1
2021-12-01,1,0.8876932,1
2021-12-02,-1,0.36113513,1
2021-12-03,1,0.9692572,1
2021-12-06,-1,0.10829986,-1
2021-12-07,-1,0.030173935,-1
2021-12-08,1,0.47636828,1
2021-12-09,-1,0.038049795,-1
2021-12-10,1,0.181608,-1
2021-12-13,1,0.54463655,1
2021-12-14,-1,0.10329734,-1
2021-12-15,-1,0.03304951,-1
2021-12-16,1,0.16769332,-1
2021-12-17,1,0.4089649,1
2021-12-20,1,0.94734657,1
2021-12-21,-1,0.018208595,-1
2021-12-22,-1,0.120378144,-1
2021-12-23,-1,0.160814,-1
2021-12-24,-1,0.5000996,1
2021-12-27,1,0.863452,1
2021-12-28,1,0.829651,1
2021-12-29,1,0.8623234,1
2021-12-30,-1,0.15901892,-1
2021-12-31,1,0.93072873,1
2022-01-03,1,0.9466017,1
2022-01-04,-1,0.16482083,-1
2022-01-05,1,0.9566384,1
2022-01-06,1,0.97767705,1
2022-01-07,1,0.9280413,1
2022-01-10,-1,0.78973615,1
2022-01-11,-1,0.6297737,1
2022-01-12,-1,0.045507792,-1
2022-01-13,-1,0.045861296,-1
2022-01-14,1,0.8039361,1
2022-01-17,1,0.6071245,1
2022-01-18,-1,0.034849335,-1
2022-01-19,-1,0.05897244,-1
2022-01-20,1,0.28524956,1
2022-01-21,1,0.9682823,1
2022-01-24,1,0.8503023,1
2022-01-25,1,0.8846889,1
2022-01-26,-1,0.848118,1
2022-01-27,1,0.9410406,1
2022-01-28,1,0.97221214,1
2022-01-31,1,0.95503324,1
2022-02-01,-1,0.04445149,-1
2022-02-02,1,0.7246966,1
2022-02-03,1,0.9032032,1
2022-02-04,1,0.9347115,1
2022-02-07,-1,0.13298507,-1
2022-02-08,-1,0.08513824,-1
2022-02-09,-1,0.04044859,-1
2022-02-10,1,0.27203467,1
2022-02-11,-1,0.064009234,-1
2022-02-14,1,0.3991617,1
2022-02-15,1,0.5101007,1
2022-02-16,-1,0.04567826,-1
2022-02-17,-1,0.07401285,-1
2022-02-18,-1,0.057744455,-1
2022-02-21,-1,0.10065164,-1
2022-02-22,-1,0.05385674,-1
2022-02-23,-1,0.019427164,-1
2022-02-24,1,0.36258987,1
2022-02-25,-1,0.07702599,-1
2022-02-28,-1,0.01410271,-1
2022-03-01,-1,0.025641818,-1
2022-03-02,-1,0.023386613,-1
2022-03-03,-1,0.013640305,-1
2022-03-04,-1,0.0031801837,-1
2022-03-07,-1,0.05040665,-1
2022-03-08,1,0.35588235,1
2022-03-09,1,0.8907276,1
2022-03-10,-1,0.016914334,-1
2022-03-11,1,0.5934025,1
2022-03-14,1,0.9525951,1
2022-03-15,-1,0.17945284,-1
2022-03-16,-1,0.38869178,1
2022-03-17,-1,0.20294386,-1
2022-03-18,-1,0.029948438,-1
2022-03-21,-1,0.09395021,-1
2022-03-22,-1,0.007834388,-1
2022-03-23,-1,0.030802691,-1
2022-03-24,1,0.050594542,-1
2022-03-25,-1,0.054580413,-1
2022-03-28,1,0.9717972,1
2022-03-29,1,0.95198196,1
2022-03-30,1,0.93543625,1
2022-03-31,-1,0.77883786,1
2022-04-01,1,0.8672574,1
2022-04-04,-1,0.017351087,-1
2022-04-05,-1,0.05713202,-1
2022-04-06,1,0.7480722,1
2022-04-07,1,0.5523986,1
2022-04-08,1,0.94224286,1
2022-04-11,1,0.9374045,1
2022-04-12,-1,0.032396838,-1
2022-04-13,1,0.978959,1
2022-04-14,-1,0.0844992,-1
2022-04-15,1,0.56208926,1
2022-04-18,1,0.72305053,1
2022-04-19,1,0.24218868,1
2022-04-20,-1,0.0151661625,-1
2022-04-21,1,0.8568618,1
2022-04-22,1,0.90654284,1
2022-04-25,-1,0.023131214,-1
2022-04-26,1,0.56240726,1
2022-04-27,-1,0.053982046,-1
2022-04-28,1,0.6226741,1
2022-04-29,1,0.93052405,1
2022-05-02,-1,0.3523347,1
2022-05-03,1,0.67258525,1
2022-05-04,-1,0.012601806,-1
2022-05-05,1,0.9269472,1
2022-05-06,1,0.46578634,1
2022-05-09,1,0.9618044,1
2022-05-10,1,0.6197285,1
2022-05-11,-1,0.48210135,1
2022-05-12,-1,0.30443922,1
2022-05-13,-1,0.03310551,-1
2022-05-16,-1,0.14966598,-1
2022-05-17,1,0.6247171,1
2022-05-18,1,0.72285676,1
2022-05-19,-1,0.10460505,-1
2022-05-20,-1,0.017172934,-1
2022-05-23,1,0.6189259,1
2022-05-24,1,0.86631584,1
2022-05-25,-1,0.023966497,-1
2022-05-26,1,0.8961422,1
2022-05-27,-1,0.04773534,-1
2022-05-30,1,0.8093507,1
2022-05-31,1,0.9209592,1
2022-06-01,-1,0.4564524,1
2022-06-02,-1,0.60329795,1
2022-06-03,1,0.9652806,1
2022-06-06,1,0.9111085,1
2022-06-07,1,0.9253083,1
2022-06-08,1,0.98068774,1
2022-06-09,1,0.93132883,1
2022-06-10,-1,0.0995934,-1
2022-06-13,1,0.89629734,1
2022-06-14,1,0.9545833,1
2022-06-15,-1,0.023990702,-1
2022-06-16,-1,0.13670503,-1
2022-06-17,1,0.7376221,1
2022-06-20,-1,0.25445652,1
2022-06-21,1,0.812639,1
2022-06-22,1,0.9738816,1
2022-06-23,-1,0.21662381,-1
2022-06-24,-1,0.11819906,-1
2022-06-27,1,0.87034905,1
2022-06-28,1,0.8294529,1
2022-06-29,-1,0.04935062,-1
