,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2023-10-19,1,0.7120463,1,1865.83,
1,2023-10-20,1,0.66216534,1,1868.98,1865.83
2,2023-10-23,-1,0.123576395,-1,1848.76,1868.98
3,2023-10-24,1,0.7307446,1,1861.48,1848.76
4,2023-10-25,1,0.60957795,1,1872.92,1861.48
5,2023-10-26,1,0.5578301,1,1879.18,1872.92
6,2023-10-27,1,0.808926,1,1897.82,1879.18
7,2023-10-30,-1,0.07029433,-1,1880.48,1897.82
8,2023-10-31,-1,0.18192936,-1,1875.68,1880.48
9,2023-11-01,-1,0.14209713,-1,1873.23,1875.68
10,2023-11-02,-1,0.12068149,-1,1869.17,1873.23
11,2023-11-03,-1,0.058758542,-1,1856.48,1869.17
12,2023-11-06,-1,0.06856185,-1,1845.38,1856.48
13,2023-11-07,-1,0.08150374,-1,1839.88,1845.38
14,2023-11-08,-1,0.054211512,-1,1820.63,1839.88
15,2023-11-09,1,0.56663674,1,1835.58,1820.63
16,2023-11-10,-1,0.061094746,-1,1813.01,1835.58
17,2023-11-13,1,0.37355435,-1,1818.64,1813.01
18,2023-11-14,-1,0.07622132,-1,1804.3,1818.64
19,2023-11-15,1,0.1726569,-1,1806.33,1804.3
20,2023-11-16,1,0.71622205,1,1825.56,1806.33
21,2023-11-17,-1,0.11646256,-1,1814.44,1825.56
22,2023-11-20,-1,0.16557044,-1,1807.13,1814.44
23,2023-11-21,1,0.87011135,1,1831.19,1807.13
24,2023-11-22,-1,0.24197088,-1,1827.5,1831.19
25,2023-11-23,-1,0.47257847,-1,1826.48,1827.5
26,2023-11-24,1,0.46733177,-1,1828.78,1826.48
27,2023-11-27,1,0.6032529,1,1838.28,1828.78
28,2023-11-28,1,0.791049,1,1856.34,1838.28
29,2023-11-29,1,0.5730771,1,1863.38,1856.34
30,2023-11-30,1,0.66490114,1,1869.64,1863.38
31,2023-12-01,1,0.94285953,1,1903.58,1869.64
32,2023-12-04,-1,0.030143104,-1,1873.21,1903.58
33,2023-12-05,-1,0.3886722,-1,1870.3,1873.21
34,2023-12-06,1,0.92144036,1,1881.14,1870.3
35,2023-12-07,-1,0.7814993,1,1879.33,1881.14
36,2023-12-08,-1,0.27259403,-1,1861.2,1879.33
37,2023-12-11,-1,0.1766673,-1,1840.67,1861.2
38,2023-12-12,-1,0.3204734,-1,1833.69,1840.67
39,2023-12-13,1,0.965234,1,1863.33,1833.69
40,2023-12-14,-1,0.319132,-1,1851.74,1863.33
41,2023-12-15,1,0.80675375,1,1852.56,1851.74
42,2023-12-18,1,0.8534297,1,1855.88,1852.56
43,2023-12-19,1,0.85520655,1,1858.13,1855.88
44,2023-12-20,-1,0.7384814,1,1854.53,1858.13
45,2023-12-21,1,0.8806538,1,1857.83,1854.53
46,2023-12-22,1,0.9226263,1,1864.08,1857.83
47,2023-12-26,1,0.95954704,1,1871.82,1864.08
48,2023-12-27,-1,0.84433454,1,1870.13,1871.82
49,2023-12-28,-1,0.6353669,1,1866.48,1870.13
50,2023-12-29,1,0.72786003,1,1868.2,1866.48
51,2024-01-02,1,0.94673467,1,1881.54,1868.2
52,2024-01-03,-1,0.14980118,-1,1869.03,1881.54
53,2024-01-04,-1,0.42270544,-1,1866.38,1869.03
54,2024-01-05,1,0.6091354,1,1869.79,1866.38
55,2024-01-08,-1,0.09186202,-1,1851.78,1869.79
56,2024-01-09,1,0.5930125,1,1856.83,1851.78
57,2024-01-10,-1,0.13165246,-1,1844.28,1856.83
58,2024-01-11,1,0.51210696,-1,1848.18,1844.28
59,2024-01-12,1,0.95735997,1,1869.44,1848.18
60,2024-01-15,1,0.90455776,1,1875.43,1869.44
61,2024-01-16,-1,0.34772372,-1,1864.23,1875.43
62,2024-01-17,-1,0.10444164,-1,1843.22,1864.23
63,2024-01-18,1,0.89654833,1,1859.9,1843.22
64,2024-01-19,1,0.65277743,1,1862.25,1859.9
65,2024-01-22,-1,0.51864946,-1,1857.02,1862.25
66,2024-01-23,1,0.9065943,1,1869.13,1857.02
67,2024-01-24,-1,0.11442971,-1,1849.02,1869.13
68,2024-01-25,1,0.853256,1,1862.24,1849.02
69,2024-01-26,-1,0.45925164,-1,1859.88,1862.24
70,2024-01-29,1,0.91937417,1,1875.38,1859.88
71,2024-01-30,1,0.7310299,1,1877.48,1875.38
72,2024-01-31,1,0.836175,1,1883.93,1877.48
73,2024-02-01,1,0.84555215,1,1890.11,1883.93
74,2024-02-02,-1,0.7806253,1,1889.42,1890.11
