,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-09-25,-1,0.110951535,-1,117.916,
1,2019-09-26,-1,0.17991786,-1,117.762,117.916
2,2019-09-27,1,0.9742674,1,118.09,117.762
3,2019-09-30,-1,0.3274862,-1,117.798,118.09
4,2019-10-01,-1,0.8296283,1,117.791,117.798
5,2019-10-02,-1,0.13188188,-1,117.44,117.791
6,2019-10-03,-1,0.16405153,-1,117.204,117.44
7,2019-10-04,1,0.91242814,1,117.345,117.204
8,2019-10-07,1,0.9853194,1,117.656,117.345
9,2019-10-08,-1,0.3708728,-1,117.302,117.656
10,2019-10-09,1,0.99746335,1,117.922,117.302
11,2019-10-10,1,0.99725145,1,118.771,117.922
12,2019-10-11,1,0.9948259,1,119.629,118.771
13,2019-10-14,-1,0.77093494,1,119.512,119.629
14,2019-10-15,1,0.99291754,1,120.094,119.512
15,2019-10-16,1,0.97297126,1,120.427,120.094
16,2019-10-17,1,0.98740864,1,120.859,120.427
17,2019-10-18,1,0.9841595,1,121.095,120.859
18,2019-10-21,-1,0.97774374,1,121.076,121.095
19,2019-10-22,-1,0.31123102,-1,120.684,121.076
20,2019-10-23,1,0.97043264,1,120.975,120.684
21,2019-10-24,-1,0.057439104,-1,120.625,120.975
22,2019-10-25,-1,0.07678143,-1,120.398,120.625
23,2019-10-28,1,0.9669513,1,120.945,120.398
24,2019-10-29,1,0.54480964,1,120.983,120.945
25,2019-10-30,1,0.9644701,1,121.413,120.983
26,2019-10-31,-1,0.0030130553,-1,120.473,121.413
27,2019-11-01,1,0.8712621,1,120.789,120.473
28,2019-11-04,1,0.5424072,1,120.844,120.789
29,2019-11-05,1,0.72402835,1,120.879,120.844
30,2019-11-06,-1,0.28702626,-1,120.605,120.879
31,2019-11-07,1,0.95111847,1,120.741,120.605
32,2019-11-08,-1,0.18007721,-1,120.363,120.741
33,2019-11-11,-1,0.7742529,1,120.295,120.363
34,2019-11-12,-1,0.25142595,-1,120.0,120.295
35,2019-11-13,-1,0.2030277,-1,119.757,120.0
36,2019-11-14,-1,0.08687383,-1,119.47,119.757
37,2019-11-15,1,0.99686426,1,120.228,119.47
38,2019-11-18,1,0.9519471,1,120.325,120.228
39,2019-11-19,-1,0.85107714,1,120.224,120.325
40,2019-11-20,1,0.9227014,1,120.252,120.224
41,2019-11-21,-1,0.4859496,-1,120.105,120.252
42,2019-11-22,-1,0.043224018,-1,119.695,120.105
43,2019-11-25,1,0.9601837,1,119.924,119.695
44,2019-11-26,1,0.98156595,1,120.216,119.924
45,2019-11-27,1,0.9811567,1,120.482,120.216
46,2019-11-28,1,0.94343776,1,120.565,120.482
47,2019-11-29,1,0.86760205,1,120.593,120.565
48,2019-12-02,1,0.94036293,1,120.714,120.593
49,2019-12-03,-1,0.03474557,-1,120.362,120.714
50,2019-12-04,1,0.92272353,1,120.587,120.362
51,2019-12-05,1,0.9411539,1,120.752,120.587
52,2019-12-06,-1,0.009935016,-1,120.066,120.752
53,2019-12-09,1,0.6762112,1,120.104,120.066
54,2019-12-10,1,0.9915765,1,120.653,120.104
55,2019-12-11,1,0.9414345,1,120.809,120.653
56,2019-12-12,1,0.9951002,1,121.68,120.809
57,2019-12-13,-1,0.6623071,1,121.559,121.68
58,2019-12-16,1,0.99570626,1,122.071,121.559
59,2019-12-17,1,0.9834372,1,122.072,122.071
60,2019-12-18,-1,0.8013767,1,121.791,122.072
61,2019-12-19,-1,0.652485,1,121.584,121.791
62,2019-12-20,-1,0.098100774,-1,121.212,121.584
63,2019-12-23,1,0.829668,1,121.285,121.212
64,2019-12-24,-1,0.42375037,-1,121.194,121.285
65,2019-12-26,1,0.99146324,1,121.672,121.194
66,2019-12-27,1,0.9955368,1,122.39,121.672
67,2019-12-30,-1,0.09333215,-1,121.971,122.39
68,2019-12-31,-1,0.7319869,1,121.913,121.971
69,2020-01-02,-1,0.025442205,-1,121.268,121.913
70,2020-01-03,-1,0.027181026,-1,120.601,121.268
71,2020-01-06,1,0.99475914,1,121.355,120.601
72,2020-01-07,-1,0.11403357,-1,120.926,121.355
73,2020-01-08,1,0.9564378,1,121.196,120.926
74,2020-01-09,1,0.98196775,1,121.636,121.196
75,2020-01-10,1,0.9461458,1,121.784,121.636
76,2020-01-13,1,0.99024034,1,122.416,121.784
77,2020-01-14,-1,0.81561184,1,122.392,122.416
78,2020-01-15,1,0.9515839,1,122.543,122.392
79,2020-01-16,1,0.95927525,1,122.679,122.543
80,2020-01-17,-1,0.031810056,-1,122.166,122.679
81,2020-01-20,1,0.7535618,1,122.26,122.166
82,2020-01-21,-1,0.013395666,-1,121.742,122.26
83,2020-01-22,1,0.5140563,1,121.872,121.742
84,2020-01-23,-1,0.0047383364,-1,121.068,121.872
85,2020-01-24,-1,0.018394835,-1,120.501,121.068
86,2020-01-27,-1,0.030251866,-1,119.994,120.501
87,2020-01-28,1,0.95066684,1,120.31,119.994
88,2020-01-29,-1,0.18143648,-1,120.036,120.31
89,2020-01-30,1,0.9202503,1,120.2,120.036
90,2020-01-31,1,0.8192576,1,120.22,120.2
91,2020-02-03,1,0.8187458,1,120.221,120.22
92,2020-02-04,1,0.9986124,1,120.963,120.221
93,2020-02-05,-1,0.95106715,1,120.808,120.963
94,2020-02-06,-1,0.9724318,1,120.773,120.808
95,2020-02-07,-1,0.087856434,-1,120.131,120.773
96,2020-02-10,-1,0.35019964,-1,119.773,120.131
97,2020-02-11,1,0.93223846,1,119.857,119.773
98,2020-02-12,-1,0.6142172,1,119.711,119.857
99,2020-02-13,-1,0.0361511,-1,119.049,119.711
100,2020-02-14,-1,0.30763572,-1,118.891,119.049
101,2020-02-17,1,0.885151,1,119.062,118.891
102,2020-02-18,-1,0.06574913,-1,118.588,119.062
103,2020-02-19,1,0.9998448,1,120.336,118.588
104,2020-02-20,1,0.9809919,1,120.896,120.336
105,2020-02-21,1,0.9403557,1,121.035,120.896
106,2020-02-24,-1,0.023806999,-1,120.157,121.035
107,2020-02-25,-1,0.35573468,-1,119.902,120.157
108,2020-02-26,1,0.90778756,1,120.116,119.902
109,2020-02-27,1,0.97286576,1,120.624,120.116
110,2020-02-28,-1,0.0029685262,-1,119.184,120.624
111,2020-03-02,1,0.9983315,1,120.601,119.184
112,2020-03-03,-1,0.010419783,-1,119.627,120.601
113,2020-03-04,1,0.91919225,1,119.743,119.627
114,2020-03-05,-1,0.1582467,-1,119.33,119.743
115,2020-03-06,-1,0.23406023,-1,118.942,119.33
116,2020-03-09,-1,0.0035100454,-1,117.187,118.942
117,2020-03-10,1,0.99961483,1,119.153,117.187
118,2020-03-11,-1,0.003165657,-1,117.752,119.153
119,2020-03-12,-1,0.12616765,-1,116.94,117.752
120,2020-03-13,1,0.99989843,1,119.912,116.94
121,2020-03-16,-1,0.0015443586,-1,118.367,119.912
122,2020-03-17,-1,0.90941936,1,118.356,118.367
123,2020-03-18,-1,0.12929298,-1,117.925,118.356
124,2020-03-19,1,0.9292767,1,118.207,117.925
125,2020-03-20,1,0.9177866,1,118.574,118.207
126,2020-03-23,1,0.9823449,1,119.33,118.574
127,2020-03-24,1,0.97730416,1,120.102,119.33
128,2020-03-25,1,0.98128164,1,121.029,120.102
129,2020-03-26,-1,0.27733067,-1,120.919,121.029
130,2020-03-27,-1,0.044622228,-1,120.322,120.919
131,2020-03-30,-1,0.0065775462,-1,119.144,120.322
132,2020-03-31,-1,0.05330621,-1,118.639,119.144
133,2020-04-01,-1,0.008551346,-1,117.52,118.639
134,2020-04-02,-1,0.17711219,-1,117.127,117.52
135,2020-04-03,1,0.83144283,1,117.274,117.127
136,2020-04-06,1,0.9772589,1,117.839,117.274
137,2020-04-07,1,0.98765,1,118.487,117.839
138,2020-04-08,-1,0.41027993,-1,118.143,118.487
139,2020-04-09,1,0.9900469,1,118.601,118.143
140,2020-04-10,-1,0.7143908,1,118.34,118.601
141,2020-04-13,-1,0.05849342,-1,117.547,118.34
142,2020-04-14,1,0.96874756,1,117.742,117.547
143,2020-04-15,-1,0.12269797,-1,117.238,117.742
144,2020-04-16,-1,0.35961583,-1,116.909,117.238
145,2020-04-17,1,0.816779,1,116.946,116.909
146,2020-04-20,-1,0.63566583,1,116.937,116.946
147,2020-04-21,1,0.7379673,1,116.989,116.937
148,2020-04-22,-1,0.056630947,-1,116.565,116.989
149,2020-04-23,-1,0.02872549,-1,115.981,116.565
150,2020-04-24,1,0.9751092,1,116.36,115.981
151,2020-04-27,-1,0.24683556,-1,116.133,116.36
152,2020-04-28,-1,0.07673578,-1,115.613,116.133
153,2020-04-29,1,0.9803249,1,115.937,115.613
154,2020-04-30,1,0.9996599,1,117.388,115.937
155,2020-05-01,1,0.93612754,1,117.407,117.388
156,2020-05-04,-1,0.021374198,-1,116.316,117.407
157,2020-05-05,-1,0.06445136,-1,115.42,116.316
158,2020-05-06,-1,0.100964956,-1,114.532,115.42
159,2020-05-07,1,0.9945267,1,115.122,114.532
160,2020-05-08,1,0.98418564,1,115.633,115.122
161,2020-05-11,1,0.9941895,1,116.397,115.633
162,2020-05-12,-1,0.73335236,1,116.232,116.397
163,2020-05-13,-1,0.37275785,-1,115.798,116.232
164,2020-05-14,1,0.9405276,1,115.838,115.798
165,2020-05-15,1,0.9496196,1,115.943,115.838
166,2020-05-18,1,0.99892956,1,117.14,115.943
167,2020-05-19,1,0.9847857,1,117.663,117.14
168,2020-05-20,1,0.9829018,1,118.072,117.663
169,2020-05-21,-1,0.6176934,1,117.816,118.072
170,2020-05-22,-1,0.1098884,-1,117.32,117.816
171,2020-05-25,1,0.89000785,1,117.367,117.32
172,2020-05-26,1,0.9921475,1,118.118,117.367
173,2020-05-27,1,0.97159374,1,118.577,118.118
174,2020-05-28,1,0.9897613,1,119.234,118.577
175,2020-05-29,1,0.9851714,1,119.732,119.234
176,2020-06-01,1,0.9596944,1,119.768,119.732
177,2020-06-02,1,0.9994356,1,121.375,119.768
178,2020-06-03,1,0.9931364,1,122.349,121.375
179,2020-06-04,1,0.9982475,1,123.735,122.349
180,2020-06-05,-1,0.93417144,1,123.697,123.735
181,2020-06-08,-1,0.021124266,-1,122.452,123.697
182,2020-06-09,-1,0.73016024,1,122.149,122.452
183,2020-06-10,-1,0.2644343,-1,121.869,122.149
184,2020-06-11,-1,0.0056563835,-1,120.752,121.869
185,2020-06-12,1,0.6833125,1,120.882,120.752
186,2020-06-15,1,0.96595764,1,121.536,120.882
187,2020-06-16,-1,0.017930254,-1,120.823,121.536
188,2020-06-17,-1,0.09747395,-1,120.301,120.823
189,2020-06-18,-1,0.17376812,-1,119.877,120.301
190,2020-06-19,-1,0.21113679,-1,119.447,119.877
191,2020-06-22,1,0.99799263,1,120.385,119.447
192,2020-06-23,1,0.953255,1,120.45,120.385
193,2020-06-24,-1,0.9661651,1,120.428,120.45
194,2020-06-25,-1,0.9101454,1,120.227,120.428
195,2020-06-26,1,0.9681902,1,120.284,120.227
196,2020-06-29,1,0.99736196,1,120.938,120.284
197,2020-06-30,1,0.98851913,1,121.252,120.938
198,2020-07-01,-1,0.4914387,-1,120.902,121.252
199,2020-07-02,-1,0.8524134,1,120.818,120.902
200,2020-07-03,1,0.93526566,1,120.871,120.818
201,2020-07-06,1,0.9939418,1,121.438,120.871
202,2020-07-07,-1,0.5252754,1,121.219,121.438
203,2020-07-08,1,0.9751931,1,121.525,121.219
204,2020-07-09,-1,0.025556989,-1,120.959,121.525
205,2020-07-10,-1,0.20104116,-1,120.783,120.959
206,2020-07-13,1,0.995201,1,121.681,120.783
207,2020-07-14,1,0.97723854,1,122.228,121.681
208,2020-07-15,-1,0.3533204,-1,122.042,122.228
209,2020-07-16,1,0.9012706,1,122.114,122.042
210,2020-07-17,1,0.954976,1,122.283,122.114
211,2020-07-20,1,0.9904883,1,122.819,122.283
212,2020-07-21,1,0.9757278,1,123.076,122.819
213,2020-07-22,1,0.9975446,1,123.985,123.076
214,2020-07-23,-1,0.94246686,1,123.929,123.985
215,2020-07-24,-1,0.8547397,1,123.686,123.929
216,2020-07-27,1,0.9759005,1,123.828,123.686
217,2020-07-28,-1,0.017407445,-1,123.129,123.828
218,2020-07-29,1,0.9816774,1,123.752,123.129
219,2020-07-30,1,0.89719516,1,124.092,123.752
220,2020-07-31,1,0.98262286,1,124.708,124.092
221,2020-08-03,-1,0.8243804,1,124.657,124.708
222,2020-08-04,1,0.9743456,1,124.782,124.657
223,2020-08-05,1,0.99275815,1,125.282,124.782
224,2020-08-06,1,0.966604,1,125.344,125.282
225,2020-08-07,-1,0.0764441,-1,124.832,125.344
226,2020-08-10,-1,0.0488789,-1,124.366,124.832
227,2020-08-11,1,0.9850369,1,125.027,124.366
228,2020-08-12,1,0.99275136,1,125.972,125.027
229,2020-08-13,1,0.95366025,1,126.328,125.972
230,2020-08-14,-1,0.81792265,1,126.198,126.328
231,2020-08-17,-1,0.33602005,-1,125.845,126.198
232,2020-08-18,-1,0.74743855,1,125.79,125.845
233,2020-08-19,-1,0.39050695,-1,125.633,125.79
234,2020-08-20,-1,0.31266755,-1,125.476,125.633
235,2020-08-21,-1,0.018620912,-1,124.829,125.476
236,2020-08-24,1,0.85325956,1,124.936,124.829
237,2020-08-25,1,0.9981002,1,125.918,124.936
238,2020-08-26,-1,0.13658707,-1,125.382,125.918
239,2020-08-27,1,0.99185055,1,125.99,125.382
240,2020-08-28,-1,0.078396186,-1,125.424,125.99
241,2020-08-31,1,0.99639004,1,126.416,125.424
242,2020-09-01,-1,0.42050645,-1,126.218,126.416
243,2020-09-02,-1,0.32489407,-1,125.893,126.218
244,2020-09-03,-1,0.818861,1,125.853,125.893
245,2020-09-04,-1,0.740386,1,125.788,125.853
246,2020-09-07,-1,0.35861546,-1,125.564,125.788
247,2020-09-08,-1,0.02335054,-1,124.844,125.564
248,2020-09-09,1,0.9868947,1,125.346,124.844
249,2020-09-10,1,0.9174265,1,125.401,125.346
250,2020-09-11,1,0.9856543,1,125.74,125.401
251,2020-09-14,-1,0.6068653,1,125.433,125.74
252,2020-09-15,-1,0.16021204,-1,124.916,125.433
253,2020-09-16,-1,0.030226137,-1,124.035,124.916
254,2020-09-17,1,0.8044089,1,124.075,124.035
255,2020-09-18,-1,0.11225456,-1,123.825,124.075
256,2020-09-21,-1,0.022653721,-1,123.231,123.825
257,2020-09-22,-1,0.051323146,-1,122.893,123.231
258,2020-09-23,-1,0.08957261,-1,122.862,122.893
259,2020-09-24,1,0.52549285,1,123.005,122.862
260,2020-09-25,-1,0.087645136,-1,122.76,123.005
261,2020-09-28,1,0.9721657,1,123.086,122.76
262,2020-09-29,1,0.99919313,1,124.101,123.086
263,2020-09-30,-1,0.5990253,1,123.587,124.101
264,2020-10-01,1,0.9943474,1,123.985,123.587
265,2020-10-02,-1,0.34444824,-1,123.417,123.985
266,2020-10-05,1,0.99891555,1,124.617,123.417
267,2020-10-06,-1,0.048665266,-1,123.937,124.617
