,time,action,position,entry_price,close_price,profit,balance
0,2019-09-25,open,short,117.916,,,9999.9998
1,2019-09-27,close,neutral,,118.09,-17.40000000000066,9982.5996
2,2019-09-27,open,long,118.09,,,9982.5994
3,2019-09-30,close,neutral,,117.798,-29.20000000000016,9953.3992
4,2019-09-30,open,short,117.798,,,9953.399
5,2019-10-01,close,neutral,,117.791,0.7000000000005002,9954.0988
6,2019-10-01,open,long,117.791,,,9954.0986
7,2019-10-02,close,neutral,,117.44,-35.09999999999991,9918.998399999999
8,2019-10-02,open,short,117.44,,,9918.998199999998
9,2019-10-04,close,neutral,,117.345,9.499999999999886,9928.497999999998
10,2019-10-04,open,long,117.345,,,9928.497799999997
11,2019-10-08,close,neutral,,117.302,-4.299999999999216,9924.197599999998
12,2019-10-08,open,short,117.302,,,9924.197399999997
13,2019-10-09,close,neutral,,117.922,-61.999999999999034,9862.197199999999
14,2019-10-09,open,long,117.922,,,9862.196999999998
15,2019-10-22,close,neutral,,120.684,276.20000000000005,10138.396799999999
16,2019-10-22,open,short,120.684,,,10138.396599999998
17,2019-10-23,close,neutral,,120.975,-29.09999999999968,10109.2964
18,2019-10-23,open,long,120.975,,,10109.296199999999
19,2019-10-24,close,neutral,,120.625,-34.99999999999943,10074.296
20,2019-10-24,open,short,120.625,,,10074.2958
21,2019-10-28,close,neutral,,120.945,-31.999999999999318,10042.295600000001
22,2019-10-28,open,long,120.945,,,10042.2954
23,2019-10-31,close,neutral,,120.473,-47.19999999999942,9995.095200000002
24,2019-10-31,open,short,120.473,,,9995.095000000001
25,2019-11-01,close,neutral,,120.789,-31.60000000000025,9963.4948
26,2019-11-01,open,long,120.789,,,9963.4946
27,2019-11-06,close,neutral,,120.605,-18.39999999999975,9945.0944
28,2019-11-06,open,short,120.605,,,9945.0942
29,2019-11-07,close,neutral,,120.741,-13.599999999999568,9931.494
30,2019-11-07,open,long,120.741,,,9931.4938
31,2019-11-08,close,neutral,,120.363,-37.80000000000001,9893.6936
32,2019-11-08,open,short,120.363,,,9893.6934
33,2019-11-11,close,neutral,,120.295,6.799999999999784,9900.4932
34,2019-11-11,open,long,120.295,,,9900.493
35,2019-11-12,close,neutral,,120.0,-29.50000000000017,9870.9928
36,2019-11-12,open,short,120.0,,,9870.9926
37,2019-11-15,close,neutral,,120.228,-22.799999999999443,9848.1924
38,2019-11-15,open,long,120.228,,,9848.1922
39,2019-11-21,close,neutral,,120.105,-12.299999999999045,9835.892
40,2019-11-21,open,short,120.105,,,9835.8918
41,2019-11-25,close,neutral,,119.924,18.09999999999974,9853.9916
42,2019-11-25,open,long,119.924,,,9853.991399999999
43,2019-12-03,close,neutral,,120.362,43.79999999999882,9897.791199999998
44,2019-12-03,open,short,120.362,,,9897.790999999997
45,2019-12-04,close,neutral,,120.587,-22.500000000000853,9875.290799999997
46,2019-12-04,open,long,120.587,,,9875.290599999997
47,2019-12-06,close,neutral,,120.066,-52.10000000000008,9823.190399999996
48,2019-12-06,open,short,120.066,,,9823.190199999995
49,2019-12-09,close,neutral,,120.104,-3.7999999999996703,9819.389999999996
50,2019-12-09,open,long,120.104,,,9819.389799999995
51,2019-12-20,close,neutral,,121.212,110.80000000000041,9930.189599999996
52,2019-12-20,open,short,121.212,,,9930.189399999996
53,2019-12-23,close,neutral,,121.285,-7.299999999999329,9922.889199999996
54,2019-12-23,open,long,121.285,,,9922.888999999996
55,2019-12-24,close,neutral,,121.194,-9.099999999999397,9913.788799999997
56,2019-12-24,open,short,121.194,,,9913.788599999996
57,2019-12-26,close,neutral,,121.672,-47.79999999999944,9865.988399999997
58,2019-12-26,open,long,121.672,,,9865.988199999996
59,2019-12-30,close,neutral,,121.971,29.90000000000066,9895.887999999997
60,2019-12-30,open,short,121.971,,,9895.887799999997
61,2019-12-31,close,neutral,,121.913,5.8000000000006935,9901.687599999997
62,2019-12-31,open,long,121.913,,,9901.687399999997
63,2020-01-02,close,neutral,,121.268,-64.4999999999996,9837.187199999997
64,2020-01-02,open,short,121.268,,,9837.186999999996
65,2020-01-06,close,neutral,,121.355,-8.70000000000033,9828.486799999995
66,2020-01-06,open,long,121.355,,,9828.486599999995
67,2020-01-07,close,neutral,,120.926,-42.900000000000205,9785.586399999995
68,2020-01-07,open,short,120.926,,,9785.586199999994
69,2020-01-08,close,neutral,,121.196,-26.999999999999602,9758.585999999994
70,2020-01-08,open,long,121.196,,,9758.585799999993
71,2020-01-17,close,neutral,,122.166,96.99999999999989,9855.585599999993
72,2020-01-17,open,short,122.166,,,9855.585399999993
73,2020-01-20,close,neutral,,122.26,-9.40000000000083,9846.185199999993
74,2020-01-20,open,long,122.26,,,9846.184999999992
75,2020-01-21,close,neutral,,121.742,-51.80000000000007,9794.384799999993
76,2020-01-21,open,short,121.742,,,9794.384599999992
77,2020-01-22,close,neutral,,121.872,-12.999999999999545,9781.384399999992
78,2020-01-22,open,long,121.872,,,9781.384199999991
79,2020-01-23,close,neutral,,121.068,-80.4000000000002,9700.983999999991
80,2020-01-23,open,short,121.068,,,9700.98379999999
81,2020-01-28,close,neutral,,120.31,75.79999999999956,9776.78359999999
82,2020-01-28,open,long,120.31,,,9776.78339999999
83,2020-01-29,close,neutral,,120.036,-27.40000000000009,9749.38319999999
84,2020-01-29,open,short,120.036,,,9749.382999999989
85,2020-01-30,close,neutral,,120.2,-16.400000000000148,9732.982799999989
86,2020-01-30,open,long,120.2,,,9732.982599999988
87,2020-02-07,close,neutral,,120.131,-6.9000000000002615,9726.082399999988
88,2020-02-07,open,short,120.131,,,9726.082199999988
89,2020-02-11,close,neutral,,119.857,27.40000000000009,9753.481999999987
90,2020-02-11,open,long,119.857,,,9753.481799999987
91,2020-02-13,close,neutral,,119.049,-80.79999999999927,9672.681599999987
92,2020-02-13,open,short,119.049,,,9672.681399999987
93,2020-02-17,close,neutral,,119.062,-1.2999999999991019,9671.381199999987
94,2020-02-17,open,long,119.062,,,9671.380999999987
95,2020-02-18,close,neutral,,118.588,-47.400000000000375,9623.980799999987
96,2020-02-18,open,short,118.588,,,9623.980599999986
97,2020-02-19,close,neutral,,120.336,-174.80000000000047,9449.180399999987
98,2020-02-19,open,long,120.336,,,9449.180199999986
99,2020-02-24,close,neutral,,120.157,-17.900000000000205,9431.279999999986
100,2020-02-24,open,short,120.157,,,9431.279799999986
101,2020-02-26,close,neutral,,120.116,4.099999999999682,9435.379599999986
102,2020-02-26,open,long,120.116,,,9435.379399999985
103,2020-02-28,close,neutral,,119.184,-93.20000000000022,9342.179199999984
104,2020-02-28,open,short,119.184,,,9342.178999999984
105,2020-03-02,close,neutral,,120.601,-141.70000000000016,9200.478799999984
106,2020-03-02,open,long,120.601,,,9200.478599999984
107,2020-03-03,close,neutral,,119.627,-97.40000000000038,9103.078399999984
108,2020-03-03,open,short,119.627,,,9103.078199999984
109,2020-03-04,close,neutral,,119.743,-11.599999999999966,9091.477999999983
110,2020-03-04,open,long,119.743,,,9091.477799999982
111,2020-03-05,close,neutral,,119.33,-41.29999999999967,9050.177599999983
112,2020-03-05,open,short,119.33,,,9050.177399999982
113,2020-03-10,close,neutral,,119.153,17.69999999999925,9067.87719999998
114,2020-03-10,open,long,119.153,,,9067.87699999998
115,2020-03-11,close,neutral,,117.752,-140.10000000000105,8927.77679999998
116,2020-03-11,open,short,117.752,,,8927.77659999998
117,2020-03-13,close,neutral,,119.912,-216.00000000000108,8711.776399999979
118,2020-03-13,open,long,119.912,,,8711.776199999978
119,2020-03-16,close,neutral,,118.367,-154.50000000000017,8557.275999999978
120,2020-03-16,open,short,118.367,,,8557.275799999978
121,2020-03-17,close,neutral,,118.356,1.100000000000989,8558.37559999998
122,2020-03-17,open,long,118.356,,,8558.375399999979
123,2020-03-18,close,neutral,,117.925,-43.09999999999974,8515.27519999998
124,2020-03-18,open,short,117.925,,,8515.27499999998
125,2020-03-19,close,neutral,,118.207,-28.199999999999648,8487.07479999998
126,2020-03-19,open,long,118.207,,,8487.07459999998
127,2020-03-26,close,neutral,,120.919,271.20000000000033,8758.27439999998
128,2020-03-26,open,short,120.919,,,8758.27419999998
129,2020-04-03,close,neutral,,117.274,364.4999999999996,9122.77399999998
130,2020-04-03,open,long,117.274,,,9122.773799999979
131,2020-04-08,close,neutral,,118.143,86.89999999999998,9209.673599999978
132,2020-04-08,open,short,118.143,,,9209.673399999978
133,2020-04-09,close,neutral,,118.601,-45.79999999999984,9163.873199999978
134,2020-04-09,open,long,118.601,,,9163.872999999978
135,2020-04-13,close,neutral,,117.547,-105.4000000000002,9058.472799999978
136,2020-04-13,open,short,117.547,,,9058.472599999977
137,2020-04-14,close,neutral,,117.742,-19.50000000000074,9038.972399999977
138,2020-04-14,open,long,117.742,,,9038.972199999977
139,2020-04-15,close,neutral,,117.238,-50.40000000000049,8988.571999999976
140,2020-04-15,open,short,117.238,,,8988.571799999976
141,2020-04-17,close,neutral,,116.946,29.20000000000016,9017.771599999976
142,2020-04-17,open,long,116.946,,,9017.771399999976
143,2020-04-22,close,neutral,,116.565,-38.10000000000002,8979.671199999975
144,2020-04-22,open,short,116.565,,,8979.670999999975
145,2020-04-24,close,neutral,,116.36,20.49999999999983,9000.170799999974
146,2020-04-24,open,long,116.36,,,9000.170599999974
