,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2020-07-02,1,0.7299065,1,1775.04,
1,2020-07-03,-1,0.49416587,-1,1774.9,1775.04
2,2020-07-06,1,0.9257161,1,1785.76,1774.9
3,2020-07-07,1,0.9278354,1,1794.51,1785.76
4,2020-07-08,1,0.96290225,1,1808.76,1794.51
5,2020-07-09,-1,0.5431745,-1,1802.52,1808.76
6,2020-07-10,-1,0.61154044,1,1798.27,1802.52
7,2020-07-13,1,0.90463793,1,1802.47,1798.27
8,2020-07-14,1,0.94061,1,1809.21,1802.47
9,2020-07-15,1,0.8993206,1,1810.72,1809.21
10,2020-07-16,-1,0.031059498,-1,1796.5,1810.72
11,2020-07-17,1,0.8543793,1,1809.41,1796.5
12,2020-07-20,1,0.8023287,1,1817.96,1809.41
13,2020-07-21,1,0.96391606,1,1841.73,1817.96
14,2020-07-22,1,0.9749229,1,1871.82,1841.73
15,2020-07-23,1,0.9603462,1,1885.48,1871.82
16,2020-07-24,1,0.97738314,1,1901.55,1885.48
17,2020-07-27,1,0.992823,1,1942.26,1901.55
18,2020-07-28,1,0.972614,1,1956.47,1942.26
19,2020-07-29,1,0.9841213,1,1970.95,1956.47
20,2020-07-30,-1,0.68534255,1,1957.53,1970.95
21,2020-07-31,1,0.9740027,1,1974.15,1957.53
22,2020-08-03,1,0.8874287,1,1976.68,1974.15
23,2020-08-04,1,0.9880299,1,2017.7,1976.68
24,2020-08-05,1,0.9557769,1,2038.91,2017.7
25,2020-08-06,1,0.97818244,1,2066.11,2038.91
26,2020-08-07,-1,0.017410576,-1,2032.34,2066.11
27,2020-08-10,-1,0.36567527,-1,2025.69,2032.34
28,2020-08-11,-1,0.000558576,-1,1914.95,2025.69
29,2020-08-12,1,0.68895257,1,1916.08,1914.95
30,2020-08-13,1,0.94693035,1,1955.3,1916.08
31,2020-08-14,-1,0.041358374,-1,1943.65,1955.3
32,2020-08-17,1,0.9807553,1,1984.21,1943.65
33,2020-08-18,1,0.78035223,1,2000.67,1984.21
34,2020-08-19,-1,0.0050757583,-1,1924.65,2000.67
35,2020-08-20,1,0.97320074,1,1947.48,1924.65
36,2020-08-21,-1,0.17113712,-1,1937.19,1947.48
37,2020-08-24,-1,0.3672721,-1,1926.42,1937.19
38,2020-08-25,1,0.69091266,1,1926.92,1926.42
39,2020-08-26,1,0.9767626,1,1954.47,1926.92
40,2020-08-27,-1,0.06901928,-1,1927.47,1954.47
41,2020-08-28,1,0.98804176,1,1963.68,1927.47
42,2020-08-31,1,0.6101688,1,1966.5,1963.68
43,2020-09-01,1,0.84250647,1,1970.03,1966.5
44,2020-09-02,-1,0.067039005,-1,1944.38,1970.03
45,2020-09-03,-1,0.35308367,-1,1929.28,1944.38
46,2020-09-04,1,0.86924416,1,1932.75,1929.28
47,2020-09-07,-1,0.5867598,1,1928.29,1932.75
48,2020-09-08,1,0.88946795,1,1931.68,1928.29
49,2020-09-09,1,0.96987,1,1946.96,1931.68
50,2020-09-10,-1,0.8666216,1,1945.35,1946.96
51,2020-09-11,-1,0.75299245,1,1941.17,1945.35
52,2020-09-14,1,0.9734666,1,1957.0,1941.17
53,2020-09-15,-1,0.8497817,1,1953.82,1957.0
54,2020-09-16,1,0.9487631,1,1959.14,1953.82
55,2020-09-17,-1,0.17760561,-1,1944.4,1959.14
56,2020-09-18,1,0.8979556,1,1950.13,1944.4
57,2020-09-21,-1,0.01818768,-1,1912.59,1950.13
58,2020-09-22,-1,0.13342926,-1,1900.52,1912.59
59,2020-09-23,-1,0.025310595,-1,1862.03,1900.52
60,2020-09-24,1,0.7637565,1,1868.24,1862.03
61,2020-09-25,-1,0.14304325,-1,1860.22,1868.24
62,2020-09-28,1,0.9661755,1,1882.71,1860.22
63,2020-09-29,1,0.96171045,1,1898.32,1882.71
64,2020-09-30,-1,0.5343573,-1,1884.89,1898.32
65,2020-10-01,1,0.979871,1,1904.86,1884.89
66,2020-10-02,-1,0.8245779,1,1899.23,1904.86
67,2020-10-05,1,0.9739237,1,1914.59,1899.23
68,2020-10-06,-1,0.060159292,-1,1877.12,1914.59
69,2020-10-07,1,0.9490771,1,1887.5,1877.12
70,2020-10-08,1,0.91615695,1,1894.02,1887.5
71,2020-10-09,1,0.98380893,1,1930.23,1894.02
72,2020-10-12,-1,0.24683928,-1,1921.85,1930.23
73,2020-10-13,-1,0.03505156,-1,1891.1,1921.85
74,2020-10-14,1,0.73682916,1,1900.3,1891.1
75,2020-10-15,1,0.6792674,1,1908.71,1900.3
