,time,action,position,entry_price,close_price,profit,balance
0,2020-07-02,open,long,1775.04,,,9999.9998
1,2020-07-03,close,neutral,,1774.9,-1399.9999999987267,8599.999600001272
2,2020-07-03,open,short,1774.9,,,8599.999400001272
3,2020-07-06,close,neutral,,1785.76,-108599.999999999,-100000.00079999772
4,2020-07-06,open,long,1785.76,,,-100000.00099999772
5,2020-07-09,close,neutral,,1802.52,167599.9999999999,67599.99880000218
6,2020-07-09,open,short,1802.52,,,67599.99860000219
7,2020-07-10,close,neutral,,1798.27,42500.0,110099.9984000022
8,2020-07-10,open,long,1798.27,,,110099.9982000022
9,2020-07-16,close,neutral,,1796.5,-17699.999999999818,92399.99800000238
10,2020-07-16,open,short,1796.5,,,92399.99780000238
11,2020-07-17,close,neutral,,1809.41,-129100.00000000081,-36700.002399998426
12,2020-07-17,open,long,1809.41,,,-36700.00259999843
13,2020-08-07,close,neutral,,2032.34,2229299.999999998,2192599.9971999996
14,2020-08-07,open,short,2032.34,,,2192599.9969999995
15,2020-08-12,close,neutral,,1916.08,1162600.0,3355199.9968
16,2020-08-12,open,long,1916.08,,,3355199.9965999997
17,2020-08-14,close,neutral,,1943.65,275700.00000000163,3630899.9964000015
18,2020-08-14,open,short,1943.65,,,3630899.9962000013
19,2020-08-17,close,neutral,,1984.21,-405599.9999999995,3225299.9960000017
20,2020-08-17,open,long,1984.21,,,3225299.9958000015
21,2020-08-19,close,neutral,,1924.65,-595599.9999999994,2629699.995600002
22,2020-08-19,open,short,1924.65,,,2629699.9954000018
23,2020-08-20,close,neutral,,1947.48,-228299.99999999927,2401399.9952000026
24,2020-08-20,open,long,1947.48,,,2401399.9950000024
25,2020-08-21,close,neutral,,1937.19,-102899.99999999964,2298499.994800003
26,2020-08-21,open,short,1937.19,,,2298499.9946000027
27,2020-08-25,close,neutral,,1926.92,102699.99999999983,2401199.9944000025
28,2020-08-25,open,long,1926.92,,,2401199.9942000024
29,2020-08-27,close,neutral,,1927.47,5499.999999999545,2406699.994000002
30,2020-08-27,open,short,1927.47,,,2406699.9938000017
31,2020-08-28,close,neutral,,1963.68,-362100.00000000035,2044599.9936000013
32,2020-08-28,open,long,1963.68,,,2044599.9934000014
33,2020-09-02,close,neutral,,1944.38,-192999.99999999953,1851599.9932000018
34,2020-09-02,open,short,1944.38,,,1851599.9930000019
35,2020-09-04,close,neutral,,1932.75,116300.00000000109,1967899.992800003
36,2020-09-04,open,long,1932.75,,,1967899.992600003
37,2020-09-17,close,neutral,,1944.4,116500.0000000009,2084399.9924000038
38,2020-09-17,open,short,1944.4,,,2084399.992200004
39,2020-09-18,close,neutral,,1950.13,-57300.00000000018,2027099.9920000038
40,2020-09-18,open,long,1950.13,,,2027099.991800004
41,2020-09-21,close,neutral,,1912.59,-375400.0000000019,1651699.991600002
42,2020-09-21,open,short,1912.59,,,1651699.991400002
43,2020-09-24,close,neutral,,1868.24,443499.99999999907,2095199.991200001
44,2020-09-24,open,long,1868.24,,,2095199.991000001
45,2020-09-25,close,neutral,,1860.22,-80199.99999999983,2014999.9908000012
46,2020-09-25,open,short,1860.22,,,2014999.9906000013
47,2020-09-28,close,neutral,,1882.71,-224900.0000000001,1790099.9904000012
48,2020-09-28,open,long,1882.71,,,1790099.9902000013
49,2020-09-30,close,neutral,,1884.89,21800.000000000637,1811899.9900000019
50,2020-09-30,open,short,1884.89,,,1811899.989800002
51,2020-10-01,close,neutral,,1904.86,-199699.999999998,1612199.989600004
52,2020-10-01,open,long,1904.86,,,1612199.989400004
53,2020-10-06,close,neutral,,1877.12,-277400.0000000001,1334799.989200004
54,2020-10-06,open,short,1877.12,,,1334799.989000004
55,2020-10-07,close,neutral,,1887.5,-103800.00000000109,1230999.988800003
56,2020-10-07,open,long,1887.5,,,1230999.988600003
57,2020-10-12,close,neutral,,1921.85,343499.99999999907,1574499.988400002
58,2020-10-12,open,short,1921.85,,,1574499.9882000021
59,2020-10-14,close,neutral,,1900.3,215499.99999999953,1789999.9880000018
60,2020-10-14,open,long,1900.3,,,1789999.9878000019
61,2020-10-16,close,neutral,,1898.14,-21599.999999998545,1768399.9876000034
62,2020-10-16,open,short,1898.14,,,1768399.9874000035
63,2020-10-19,close,neutral,,1903.11,-49699.999999998,1718699.9872000054
64,2020-10-19,open,long,1903.11,,,1718699.9870000056
65,2020-10-22,close,neutral,,1904.34,12300.000000000182,1730999.9868000057
66,2020-10-22,open,short,1904.34,,,1730999.9866000058
67,2020-10-27,close,neutral,,1907.35,-30099.99999999991,1700899.9864000059
68,2020-10-27,open,long,1907.35,,,1700899.986200006
69,2020-10-28,close,neutral,,1876.81,-305399.99999999965,1395499.9860000063
70,2020-10-28,open,short,1876.81,,,1395499.9858000064
71,2020-10-30,close,neutral,,1878.37,-15599.999999999454,1379899.985600007
72,2020-10-30,open,long,1878.37,,,1379899.985400007
73,2020-11-09,close,neutral,,1862.03,-163399.99999999919,1216499.985200008
74,2020-11-09,open,short,1862.03,,,1216499.985000008
75,2020-11-10,close,neutral,,1877.5,-154700.00000000026,1061799.9848000077
76,2020-11-10,open,long,1877.5,,,1061799.9846000078
77,2020-11-11,close,neutral,,1865.1,-124000.0000000009,937799.9844000068
78,2020-11-11,open,short,1865.1,,,937799.9842000068
