,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-02-19,-1,0.008315393,-1,1.77974,
1,2021-02-22,-1,0.49322128,-1,1.7763,1.77974
2,2021-02-23,1,0.98969275,1,1.78395,1.7763
3,2021-02-24,-1,0.12870172,-1,1.77418,1.78395
4,2021-02-25,1,0.9833256,1,1.77996,1.77418
5,2021-02-26,1,0.99932456,1,1.80779,1.77996
6,2021-03-01,-1,0.012304153,-1,1.79175,1.80779
7,2021-03-02,-1,0.13440844,-1,1.78456,1.79175
8,2021-03-03,1,0.9613266,1,1.794,1.78456
9,2021-03-04,1,0.8393861,1,1.7996,1.794
10,2021-03-05,1,0.3636382,-1,1.80006,1.7996
11,2021-03-08,1,0.8612524,1,1.8074,1.80006
12,2021-03-09,-1,0.027122473,-1,1.79864,1.8074
13,2021-03-10,1,0.33305138,-1,1.80121,1.79864
14,2021-03-11,-1,0.054672796,-1,1.79707,1.80121
15,2021-03-12,-1,0.057905875,-1,1.79403,1.79707
16,2021-03-15,-1,0.05391292,-1,1.79156,1.79403
17,2021-03-16,1,0.2534808,-1,1.79375,1.79156
18,2021-03-17,-1,0.06079457,-1,1.7909000000000002,1.79375
19,2021-03-18,1,0.8575121,1,1.79506,1.7909000000000002
20,2021-03-19,-1,0.07374317,-1,1.78964,1.79506
21,2021-03-22,1,0.6769135,1,1.79051,1.78964
22,2021-03-23,1,0.9950831,1,1.80362,1.79051
23,2021-03-24,1,0.8857007,1,1.80482,1.80362
24,2021-03-25,1,0.9547301,1,1.81126,1.80482
25,2021-03-26,-1,0.07023847,-1,1.80479,1.81126
26,2021-03-29,-1,0.191523,-1,1.80312,1.80479
27,2021-03-30,1,0.8835265,1,1.8087,1.80312
28,2021-03-31,1,0.88896775,1,1.8149,1.8087
29,2021-04-01,1,0.736178,1,1.81601,1.8149
30,2021-04-02,-1,0.7614959,1,1.81554,1.81601
31,2021-04-05,1,0.92474794,1,1.81726,1.81554
32,2021-04-06,-1,0.0061959554,-1,1.80427,1.81726
33,2021-04-07,1,0.110677496,-1,1.80449,1.80427
34,2021-04-08,-1,0.0068031545,-1,1.79439,1.80449
35,2021-04-09,1,0.72936296,1,1.79843,1.79439
36,2021-04-12,1,0.9416208,1,1.80317,1.79843
37,2021-04-13,-1,0.25658363,-1,1.79887,1.80317
38,2021-04-14,-1,0.014300057,-1,1.78373,1.79887
39,2021-04-15,-1,0.15271798,-1,1.77755,1.78373
40,2021-04-16,1,0.9957386,1,1.78951,1.77755
41,2021-04-19,1,0.9940923,1,1.80289,1.78951
42,2021-04-20,1,0.8591463,1,1.80425,1.80289
43,2021-04-21,-1,0.11348426,-1,1.79676,1.80425
44,2021-04-22,-1,0.49573326,-1,1.79582,1.79676
45,2021-04-23,-1,0.123093076,-1,1.7917800000000002,1.79582
46,2021-04-26,-1,0.028602017,-1,1.7822,1.7917800000000002
47,2021-04-27,1,0.954792,1,1.79005,1.7822
48,2021-04-28,-1,0.24054708,-1,1.78906,1.79005
49,2021-04-29,1,0.92953223,1,1.79559,1.78906
50,2021-04-30,-1,0.09905112,-1,1.79095,1.79559
51,2021-05-03,1,0.45814234,-1,1.79157,1.79095
52,2021-05-04,1,0.9619531,1,1.80061,1.79157
53,2021-05-05,-1,0.06893717,-1,1.79507,1.80061
54,2021-05-06,-1,0.019527555,-1,1.78436,1.79507
55,2021-05-07,-1,0.25404787,-1,1.7829700000000002,1.78436
56,2021-05-10,1,0.9973429,1,1.80342,1.7829700000000002
57,2021-05-11,1,0.36461517,-1,1.80345,1.80342
58,2021-05-12,1,0.9701276,1,1.81869,1.80345
59,2021-05-13,-1,0.2809964,-1,1.8178,1.81869
60,2021-05-14,-1,0.09947417,-1,1.8112,1.8178
61,2021-05-17,1,0.91205853,1,1.81961,1.8112
62,2021-05-18,1,0.45560974,-1,1.82107,1.81961
63,2021-05-19,1,0.8452073,1,1.82709,1.82107
64,2021-05-20,-1,0.2063292,-1,1.82519,1.82709
65,2021-05-21,1,0.854529,1,1.8305,1.82519
66,2021-05-24,-1,0.06790417,-1,1.82558,1.8305
67,2021-05-25,-1,0.13807736,-1,1.82453,1.82558
68,2021-05-26,-1,0.12517492,-1,1.82398,1.82453
69,2021-05-27,1,0.93596566,1,1.83443,1.82398
70,2021-05-28,1,0.8688575,1,1.84057,1.83443
71,2021-05-31,-1,0.1457386,-1,1.83705,1.84057
72,2021-06-01,-1,0.010964716,-1,1.82504,1.83705
73,2021-06-02,1,0.5504259,1,1.82793,1.82504
74,2021-06-03,1,0.9735942,1,1.84149,1.82793
75,2021-06-04,-1,0.016957913,-1,1.82919,1.84149
76,2021-06-07,-1,0.25641513,-1,1.82769,1.82919
77,2021-06-08,1,0.7307001,1,1.82864,1.82769
78,2021-06-09,-1,0.22434117,-1,1.82526,1.82864
79,2021-06-10,1,0.917195,1,1.82865,1.82526
80,2021-06-11,1,0.9404964,1,1.83211,1.82865
81,2021-06-14,-1,0.2997687,-1,1.82892,1.83211
82,2021-06-15,1,0.9290294,1,1.83221,1.82892
83,2021-06-16,1,0.9676491,1,1.83758,1.83221
84,2021-06-17,1,0.96050876,1,1.84417,1.83758
85,2021-06-18,1,0.81357867,1,1.84452,1.84417
86,2021-06-21,1,0.896446,1,1.84712,1.84452
87,2021-06-22,-1,0.687455,1,1.84583,1.84712
88,2021-06-23,-1,0.16474235,-1,1.8428,1.84583
89,2021-06-24,-1,0.022569641,-1,1.83626,1.8428
90,2021-06-25,-1,0.010096823,-1,1.82812,1.83626
91,2021-06-28,1,0.8808776,1,1.83443,1.82812
92,2021-06-29,1,0.9619473,1,1.84299,1.83443
93,2021-06-30,1,0.72204757,1,1.84448,1.84299
94,2021-07-01,-1,0.19942906,-1,1.8421,1.84448
95,2021-07-02,-1,0.08752459,-1,1.83789,1.8421
96,2021-07-05,1,0.34532276,-1,1.83792,1.83789
97,2021-07-06,1,0.8948489,1,1.84161,1.83792
98,2021-07-07,1,0.89694095,1,1.84437,1.84161
99,2021-07-08,1,0.9843848,1,1.85573,1.84437
100,2021-07-09,-1,0.7749955,1,1.85556,1.85573
101,2021-07-12,1,0.8539214,1,1.8559,1.85556
