time,Actual Movement,Predictions,Predicted
2021-02-19,-1,0.008315393,-1
2021-02-22,-1,0.49322128,-1
2021-02-23,1,0.98969275,1
2021-02-24,-1,0.12870172,-1
2021-02-25,1,0.9833256,1
2021-02-26,1,0.99932456,1
2021-03-01,-1,0.012304153,-1
2021-03-02,-1,0.13440844,-1
2021-03-03,1,0.9613266,1
2021-03-04,1,0.8393861,1
2021-03-05,1,0.3636382,-1
2021-03-08,1,0.8612524,1
2021-03-09,-1,0.027122473,-1
2021-03-10,1,0.33305138,-1
2021-03-11,-1,0.054672796,-1
2021-03-12,-1,0.057905875,-1
2021-03-15,-1,0.05391292,-1
2021-03-16,1,0.2534808,-1
2021-03-17,-1,0.06079457,-1
2021-03-18,1,0.8575121,1
2021-03-19,-1,0.07374317,-1
2021-03-22,1,0.6769135,1
2021-03-23,1,0.9950831,1
2021-03-24,1,0.8857007,1
2021-03-25,1,0.9547301,1
2021-03-26,-1,0.07023847,-1
2021-03-29,-1,0.191523,-1
2021-03-30,1,0.8835265,1
2021-03-31,1,0.88896775,1
2021-04-01,1,0.736178,1
2021-04-02,-1,0.7614959,1
2021-04-05,1,0.92474794,1
2021-04-06,-1,0.0061959554,-1
2021-04-07,1,0.110677496,-1
2021-04-08,-1,0.0068031545,-1
2021-04-09,1,0.72936296,1
2021-04-12,1,0.9416208,1
2021-04-13,-1,0.25658363,-1
2021-04-14,-1,0.014300057,-1
2021-04-15,-1,0.15271798,-1
2021-04-16,1,0.9957386,1
2021-04-19,1,0.9940923,1
2021-04-20,1,0.8591463,1
2021-04-21,-1,0.11348426,-1
2021-04-22,-1,0.49573326,-1
2021-04-23,-1,0.123093076,-1
2021-04-26,-1,0.028602017,-1
2021-04-27,1,0.954792,1
2021-04-28,-1,0.24054708,-1
2021-04-29,1,0.92953223,1
2021-04-30,-1,0.09905112,-1
2021-05-03,1,0.45814234,-1
2021-05-04,1,0.9619531,1
2021-05-05,-1,0.06893717,-1
2021-05-06,-1,0.019527555,-1
2021-05-07,-1,0.25404787,-1
2021-05-10,1,0.9973429,1
2021-05-11,1,0.36461517,-1
2021-05-12,1,0.9701276,1
2021-05-13,-1,0.2809964,-1
2021-05-14,-1,0.09947417,-1
2021-05-17,1,0.91205853,1
2021-05-18,1,0.45560974,-1
2021-05-19,1,0.8452073,1
2021-05-20,-1,0.2063292,-1
2021-05-21,1,0.854529,1
2021-05-24,-1,0.06790417,-1
2021-05-25,-1,0.13807736,-1
2021-05-26,-1,0.12517492,-1
2021-05-27,1,0.93596566,1
2021-05-28,1,0.8688575,1
2021-05-31,-1,0.1457386,-1
2021-06-01,-1,0.010964716,-1
2021-06-02,1,0.5504259,1
2021-06-03,1,0.9735942,1
2021-06-04,-1,0.016957913,-1
2021-06-07,-1,0.25641513,-1
2021-06-08,1,0.7307001,1
2021-06-09,-1,0.22434117,-1
2021-06-10,1,0.917195,1
2021-06-11,1,0.9404964,1
2021-06-14,-1,0.2997687,-1
2021-06-15,1,0.9290294,1
2021-06-16,1,0.9676491,1
2021-06-17,1,0.96050876,1
2021-06-18,1,0.81357867,1
2021-06-21,1,0.896446,1
2021-06-22,-1,0.687455,1
2021-06-23,-1,0.16474235,-1
2021-06-24,-1,0.022569641,-1
2021-06-25,-1,0.010096823,-1
2021-06-28,1,0.8808776,1
2021-06-29,1,0.9619473,1
2021-06-30,1,0.72204757,1
2021-07-01,-1,0.19942906,-1
2021-07-02,-1,0.08752459,-1
2021-07-05,1,0.34532276,-1
2021-07-06,1,0.8948489,1
2021-07-07,1,0.89694095,1
2021-07-08,1,0.9843848,1
2021-07-09,-1,0.7749955,1
2021-07-12,1,0.8539214,1
2021-07-13,-1,0.8404203,1
2021-07-14,-1,0.19373052,-1
2021-07-15,1,0.9724196,1
2021-07-16,-1,0.32667205,-1
2021-07-19,1,0.69991684,1
2021-07-20,-1,0.16908574,-1
2021-07-21,1,0.88975996,1
2021-07-22,1,0.77199465,1
2021-07-23,1,0.85904086,1
2021-07-26,1,0.95214576,1
2021-07-27,1,0.9871459,1
2021-07-28,-1,0.90830123,1
2021-07-29,1,0.9747273,1
2021-07-30,1,0.9835171,1
2021-08-02,-1,0.15414909,-1
