,time,action,position,entry_price,close_price,profit,balance
0,2021-02-19,open,short,1.77974,,,9999.9998
1,2021-02-23,close,neutral,,1.78395,-42.099999999998246,9957.8996
2,2021-02-23,open,long,1.78395,,,9957.8994
3,2021-02-24,close,neutral,,1.77418,-97.69999999999834,9860.199200000003
4,2021-02-24,open,short,1.77418,,,9860.199000000002
5,2021-02-25,close,neutral,,1.77996,-57.79999999999896,9802.398800000003
6,2021-02-25,open,long,1.77996,,,9802.398600000002
7,2021-03-01,close,neutral,,1.79175,117.89999999999966,9920.298400000001
8,2021-03-01,open,short,1.79175,,,9920.298200000001
9,2021-03-03,close,neutral,,1.794,-22.500000000000853,9897.798
10,2021-03-03,open,long,1.794,,,9897.7978
11,2021-03-05,close,neutral,,1.80006,60.59999999999954,9958.3976
12,2021-03-05,open,short,1.80006,,,9958.3974
13,2021-03-08,close,neutral,,1.8074,-73.39999999999903,9884.997200000002
14,2021-03-08,open,long,1.8074,,,9884.997000000001
15,2021-03-09,close,neutral,,1.79864,-87.59999999999879,9797.396800000002
16,2021-03-09,open,short,1.79864,,,9797.396600000002
17,2021-03-18,close,neutral,,1.79506,35.799999999999166,9833.1964
18,2021-03-18,open,long,1.79506,,,9833.1962
19,2021-03-19,close,neutral,,1.78964,-54.20000000000202,9778.996
20,2021-03-19,open,short,1.78964,,,9778.995799999999
21,2021-03-22,close,neutral,,1.79051,-8.700000000001484,9770.295599999998
22,2021-03-22,open,long,1.79051,,,9770.295399999997
23,2021-03-26,close,neutral,,1.80479,142.79999999999848,9913.095199999996
24,2021-03-26,open,short,1.80479,,,9913.094999999996
25,2021-03-30,close,neutral,,1.8087,-39.100000000000804,9873.994799999995
26,2021-03-30,open,long,1.8087,,,9873.994599999995
27,2021-04-06,close,neutral,,1.80427,-44.29999999999934,9829.694399999995
28,2021-04-06,open,short,1.80427,,,9829.694199999994
29,2021-04-09,close,neutral,,1.79843,58.400000000000674,9888.093999999996
30,2021-04-09,open,long,1.79843,,,9888.093799999995
31,2021-04-13,close,neutral,,1.79887,4.3999999999999595,9892.493599999994
32,2021-04-13,open,short,1.79887,,,9892.493399999994
33,2021-04-16,close,neutral,,1.78951,93.60000000000035,9986.093199999994
34,2021-04-16,open,long,1.78951,,,9986.092999999993
35,2021-04-21,close,neutral,,1.79676,72.49999999999979,10058.592799999993
36,2021-04-21,open,short,1.79676,,,10058.592599999993
37,2021-04-27,close,neutral,,1.79005,67.09999999999994,10125.692399999993
38,2021-04-27,open,long,1.79005,,,10125.692199999992
39,2021-04-28,close,neutral,,1.78906,-9.899999999998244,10115.791999999994
40,2021-04-28,open,short,1.78906,,,10115.791799999994
41,2021-04-29,close,neutral,,1.79559,-65.29999999999924,10050.491599999994
42,2021-04-29,open,long,1.79559,,,10050.491399999994
