,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2022-03-31,1,0.9997775,1,9.73087,
1,2022-04-01,-1,0.010710175,-1,9.65977,9.73087
2,2022-04-04,-1,0.04364724,-1,9.5601,9.65977
3,2022-04-05,-1,0.89451283,1,9.55347,9.5601
4,2022-04-06,1,0.93061817,1,9.58957,9.55347
5,2022-04-07,-1,0.08332594,-1,9.57527,9.58957
6,2022-04-08,-1,0.0093005095,-1,9.46687,9.57527
7,2022-04-11,1,0.9991518,1,9.59157,9.46687
8,2022-04-12,-1,0.0078116115,-1,9.49897,9.59157
9,2022-04-13,1,0.97887963,1,9.53057,9.49897
10,2022-04-14,-1,0.15521847,-1,9.50617,9.53057
11,2022-04-15,1,0.90328634,1,9.51277,9.50617
12,2022-04-18,1,0.9616358,1,9.54083,9.51277
13,2022-04-19,-1,0.47410795,-1,9.53107,9.54083
14,2022-04-20,1,0.9714176,1,9.55827,9.53107
15,2022-04-21,1,0.99077976,1,9.62707,9.55827
16,2022-04-22,1,0.8924238,1,9.66047,9.62707
17,2022-04-25,1,0.99273807,1,9.76817,9.66047
18,2022-04-26,1,0.9235606,1,9.83387,9.76817
19,2022-04-27,1,0.8015241,1,9.84397,9.83387
20,2022-04-28,1,0.97735196,1,9.89237,9.84397
21,2022-04-29,-1,0.84356946,1,9.89127,9.89237
22,2022-05-02,1,0.97174287,1,9.91497,9.89127
23,2022-05-03,-1,0.12632523,-1,9.88037,9.91497
24,2022-05-04,-1,0.037221003,-1,9.82607,9.88037
25,2022-05-05,1,0.9985695,1,9.99567,9.82607
26,2022-05-06,-1,0.03699523,-1,9.98906,9.99567
27,2022-05-09,1,0.9992067,1,10.21143,9.98906
28,2022-05-10,1,0.10739962,-1,10.24996,10.21143
29,2022-05-11,-1,0.59001565,1,10.24777,10.24996
30,2022-05-12,-1,0.70407265,1,10.24077,10.24777
31,2022-05-13,-1,0.028565388,-1,10.16224,10.24077
32,2022-05-16,1,0.876449,1,10.19167,10.16224
33,2022-05-17,1,0.3420456,-1,10.20097,10.19167
34,2022-05-18,1,0.99429286,1,10.34907,10.20097
35,2022-05-19,-1,0.0046558524,-1,10.26197,10.34907
36,2022-05-20,1,0.72211826,1,10.28463,10.26197
37,2022-05-23,-1,0.026111668,-1,10.24897,10.28463
38,2022-05-24,1,0.23254983,-1,10.26037,10.24897
39,2022-05-25,-1,0.018343633,-1,10.22517,10.26037
40,2022-05-26,1,0.10739928,-1,10.23457,10.22517
41,2022-05-27,-1,0.0040169153,-1,10.15717,10.23457
42,2022-05-30,-1,0.017863272,-1,10.12876,10.15717
43,2022-05-31,-1,0.0034683757,-1,10.05897,10.12876
44,2022-06-01,1,0.029717483,-1,10.06927,10.05897
45,2022-06-02,-1,0.009550951,-1,10.06497,10.06927
46,2022-06-03,1,0.22944291,-1,10.10888,10.06497
47,2022-06-06,-1,0.009552779,-1,10.07727,10.10888
48,2022-06-07,1,0.637589,1,10.11707,10.07727
49,2022-06-08,1,0.6944446,1,10.15057,10.11707
50,2022-06-09,1,0.9202466,1,10.18637,10.15057
51,2022-06-10,1,0.92850333,1,10.2087,10.18637
52,2022-06-13,1,0.9961379,1,10.31727,10.2087
53,2022-06-14,1,0.98402035,1,10.43137,10.31727
54,2022-06-15,-1,0.04346077,-1,10.38567,10.43137
55,2022-06-16,1,0.9919326,1,10.49045,10.38567
56,2022-06-17,-1,0.22993466,-1,10.48767,10.49045
57,2022-06-20,-1,0.017660886,-1,10.40007,10.48767
58,2022-06-21,-1,0.081267625,-1,10.36731,10.40007
59,2022-06-22,1,0.9761924,1,10.47817,10.36731
60,2022-06-23,1,0.058105323,-1,10.48921,10.47817
61,2022-06-24,-1,0.006705997,-1,10.39543,10.48921
62,2022-06-27,-1,0.040677153,-1,10.36067,10.39543
63,2022-06-28,-1,0.03019834,-1,10.34347,10.36067
64,2022-06-29,-1,0.018019238,-1,10.32217,10.34347
65,2022-06-30,-1,0.025651822,-1,10.31824,10.32217
66,2022-07-01,1,0.20212029,-1,10.35157,10.31824
67,2022-07-04,-1,0.0016111602,-1,10.23647,10.35157
68,2022-07-05,1,0.9838282,1,10.32459,10.23647
69,2022-07-06,-1,0.03364366,-1,10.30807,10.32459
70,2022-07-07,-1,0.029146675,-1,10.24675,10.30807
71,2022-07-08,1,0.9117855,1,10.27235,10.24675
72,2022-07-11,-1,0.04378282,-1,10.23814,10.27235
73,2022-07-12,1,0.9797807,1,10.28697,10.23814
74,2022-07-13,-1,0.049280476,-1,10.25192,10.28697
75,2022-07-14,-1,0.5166321,1,10.24924,10.25192
76,2022-07-15,1,0.51723456,1,10.25317,10.24924
77,2022-07-18,-1,0.11512181,-1,10.23804,10.25317
78,2022-07-19,-1,0.005139484,-1,10.12867,10.23804
79,2022-07-20,1,0.63552076,1,10.14201,10.12867
80,2022-07-21,1,0.39186314,-1,10.16617,10.14201
81,2022-07-22,-1,0.038398407,-1,10.14677,10.16617
82,2022-07-25,-1,0.0064972728,-1,10.04737,10.14677
83,2022-07-26,-1,0.0459088,-1,10.01187,10.04737
84,2022-07-27,-1,0.006747114,-1,9.92826,10.01187
85,2022-07-28,-1,0.027934168,-1,9.91428,9.92826
86,2022-07-29,-1,0.006504113,-1,9.88527,9.91428
87,2022-08-01,1,0.012648104,-1,9.88797,9.88527
88,2022-08-02,1,0.5092218,1,9.93617,9.88797
