time,Actual Movement,Predictions,Predicted
2022-03-31,1,0.9997775,1
2022-04-01,-1,0.010710175,-1
2022-04-04,-1,0.04364724,-1
2022-04-05,-1,0.89451283,1
2022-04-06,1,0.93061817,1
2022-04-07,-1,0.08332594,-1
2022-04-08,-1,0.0093005095,-1
2022-04-11,1,0.9991518,1
2022-04-12,-1,0.0078116115,-1
2022-04-13,1,0.97887963,1
2022-04-14,-1,0.15521847,-1
2022-04-15,1,0.90328634,1
2022-04-18,1,0.9616358,1
2022-04-19,-1,0.47410795,-1
2022-04-20,1,0.9714176,1
2022-04-21,1,0.99077976,1
2022-04-22,1,0.8924238,1
2022-04-25,1,0.99273807,1
2022-04-26,1,0.9235606,1
2022-04-27,1,0.8015241,1
2022-04-28,1,0.97735196,1
2022-04-29,-1,0.84356946,1
2022-05-02,1,0.97174287,1
2022-05-03,-1,0.12632523,-1
2022-05-04,-1,0.037221003,-1
2022-05-05,1,0.9985695,1
2022-05-06,-1,0.03699523,-1
2022-05-09,1,0.9992067,1
2022-05-10,1,0.10739962,-1
2022-05-11,-1,0.59001565,1
2022-05-12,-1,0.70407265,1
2022-05-13,-1,0.028565388,-1
2022-05-16,1,0.876449,1
2022-05-17,1,0.3420456,-1
2022-05-18,1,0.99429286,1
2022-05-19,-1,0.0046558524,-1
2022-05-20,1,0.72211826,1
2022-05-23,-1,0.026111668,-1
2022-05-24,1,0.23254983,-1
2022-05-25,-1,0.018343633,-1
2022-05-26,1,0.10739928,-1
2022-05-27,-1,0.0040169153,-1
2022-05-30,-1,0.017863272,-1
2022-05-31,-1,0.0034683757,-1
2022-06-01,1,0.029717483,-1
2022-06-02,-1,0.009550951,-1
2022-06-03,1,0.22944291,-1
2022-06-06,-1,0.009552779,-1
2022-06-07,1,0.637589,1
2022-06-08,1,0.6944446,1
2022-06-09,1,0.9202466,1
2022-06-10,1,0.92850333,1
2022-06-13,1,0.9961379,1
2022-06-14,1,0.98402035,1
2022-06-15,-1,0.04346077,-1
2022-06-16,1,0.9919326,1
2022-06-17,-1,0.22993466,-1
2022-06-20,-1,0.017660886,-1
2022-06-21,-1,0.081267625,-1
2022-06-22,1,0.9761924,1
2022-06-23,1,0.058105323,-1
2022-06-24,-1,0.006705997,-1
2022-06-27,-1,0.040677153,-1
2022-06-28,-1,0.03019834,-1
