,time,action,position,entry_price,close_price,profit,balance
0,2022-03-31,open,long,9.73087,,,9999.9998
1,2022-04-01,close,neutral,,9.65977,-710.999999999995,9288.999600000005
2,2022-04-01,open,short,9.65977,,,9288.999400000004
3,2022-04-05,close,neutral,,9.55347,1062.9999999999918,10351.999199999997
4,2022-04-05,open,long,9.55347,,,10351.998999999996
5,2022-04-07,close,neutral,,9.57527,217.9999999999893,10569.998799999985
6,2022-04-07,open,short,9.57527,,,10569.998599999984
7,2022-04-11,close,neutral,,9.59157,-163.0000000000109,10406.998399999973
8,2022-04-11,open,long,9.59157,,,10406.998199999973
9,2022-04-12,close,neutral,,9.49897,-926.0000000000091,9480.997999999963
10,2022-04-12,open,short,9.49897,,,9480.997799999963
11,2022-04-13,close,neutral,,9.53057,-316.0000000000096,9164.997599999953
12,2022-04-13,open,long,9.53057,,,9164.997399999953
13,2022-04-14,close,neutral,,9.50617,-244.00000000001754,8920.997199999936
14,2022-04-14,open,short,9.50617,,,8920.996999999936
15,2022-04-15,close,neutral,,9.51277,-66.00000000000605,8854.99679999993
16,2022-04-15,open,long,9.51277,,,8854.99659999993
17,2022-04-19,close,neutral,,9.53107,182.99999999999983,9037.996399999929
18,2022-04-19,open,short,9.53107,,,9037.996199999929
19,2022-04-20,close,neutral,,9.55827,-272.00000000000557,8765.995999999923
20,2022-04-20,open,long,9.55827,,,8765.995799999922
21,2022-05-03,close,neutral,,9.88037,3220.9999999999895,11986.995599999911
22,2022-05-03,open,short,9.88037,,,11986.99539999991
23,2022-05-05,close,neutral,,9.99567,-1153.000000000013,10833.995199999898
24,2022-05-05,open,long,9.99567,,,10833.994999999897
25,2022-05-06,close,neutral,,9.98906,-66.10000000000227,10767.894799999895
26,2022-05-06,open,short,9.98906,,,10767.894599999894
27,2022-05-09,close,neutral,,10.21143,-2223.6999999999975,8544.194399999897
28,2022-05-09,open,long,10.21143,,,8544.194199999896
29,2022-05-10,close,neutral,,10.24996,385.29999999999734,8929.493999999893
30,2022-05-10,open,short,10.24996,,,8929.493799999893
31,2022-05-11,close,neutral,,10.24777,21.900000000005804,8951.3935999999
32,2022-05-11,open,long,10.24777,,,8951.393399999899
33,2022-05-13,close,neutral,,10.16224,-855.2999999999855,8096.093199999914
34,2022-05-13,open,short,10.16224,,,8096.092999999913
