,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-01-07,-1,0.10099907,-1,0.98547,
1,2021-01-08,1,0.910146,1,0.9856,0.98547
2,2021-01-11,-1,0.3943815,-1,0.98399,0.9856
3,2021-01-12,1,0.98167795,1,0.98837,0.98399
4,2021-01-13,-1,0.013600165,-1,0.98248,0.98837
5,2021-01-14,1,0.6638375,-1,0.98347,0.98248
6,2021-01-15,-1,0.079562806,-1,0.9814,0.98347
7,2021-01-18,-1,0.062051233,-1,0.9792,0.9814
8,2021-01-19,1,0.66392666,-1,0.9801,0.9792
9,2021-01-20,-1,0.2564128,-1,0.97849,0.9801
10,2021-01-21,1,0.9818102,1,0.98132,0.97849
11,2021-01-22,1,0.97584116,1,0.98239,0.98132
12,2021-01-25,1,0.9679893,1,0.98275,0.98239
13,2021-01-26,1,0.9759571,1,0.9834,0.98275
14,2021-01-27,-1,0.37098017,-1,0.98103,0.9834
15,2021-01-28,1,0.99260795,1,0.98488,0.98103
16,2021-01-29,-1,0.013891603,-1,0.97664,0.98488
17,2021-02-01,1,0.97604126,1,0.97983,0.97664
18,2021-02-02,-1,0.038007196,-1,0.97283,0.97983
19,2021-02-03,1,0.9421811,1,0.97452,0.97283
20,2021-02-04,1,0.74399453,-1,0.97455,0.97452
21,2021-02-05,1,0.9896169,1,0.97963,0.97455
22,2021-02-08,1,0.9400692,1,0.98113,0.97963
23,2021-02-09,1,0.9265479,1,0.9824,0.98113
24,2021-02-10,-1,0.22429712,-1,0.98043,0.9824
25,2021-02-11,1,0.97714794,1,0.98503,0.98043
26,2021-02-12,-1,0.71536356,-1,0.98497,0.98503
27,2021-02-15,-1,0.14159137,-1,0.98339,0.98497
28,2021-02-16,1,0.75273323,-1,0.98433,0.98339
29,2021-02-17,1,0.64204115,-1,0.98442,0.98433
30,2021-02-18,1,0.8172726,-1,0.98496,0.98442
31,2021-02-19,1,0.99696463,1,0.99267,0.98496
32,2021-02-22,1,0.99368864,1,0.99866,0.99267
33,2021-02-23,-1,0.6012387,-1,0.99602,0.99866
34,2021-02-24,1,0.97254884,1,0.99726,0.99602
35,2021-02-25,-1,0.048517276,-1,0.99278,0.99726
36,2021-02-26,-1,0.0032478604,-1,0.98077,0.99278
37,2021-03-01,1,0.9378601,1,0.9826,0.98077
38,2021-03-02,1,0.9877699,1,0.98857,0.9826
39,2021-03-03,-1,0.11121413,-1,0.98401,0.98857
40,2021-03-04,-1,0.11260953,-1,0.97781,0.98401
41,2021-03-05,-1,0.18975107,-1,0.97182,0.97781
42,2021-03-08,-1,0.40150404,-1,0.9683,0.97182
43,2021-03-09,1,0.9946148,1,0.97596,0.9683
44,2021-03-10,1,0.830475,1,0.97629,0.97596
45,2021-03-11,-1,0.86196285,1,0.97609,0.97629
46,2021-03-12,-1,0.03832382,-1,0.96827,0.97609
47,2021-03-15,-1,0.80390906,-1,0.96754,0.96827
48,2021-03-16,-1,0.13300726,-1,0.96387,0.96754
49,2021-03-17,1,0.9734247,1,0.96719,0.96387
50,2021-03-18,1,0.95667005,1,0.96929,0.96719
51,2021-03-19,-1,0.8251389,-1,0.96868,0.96929
52,2021-03-22,1,0.9575319,1,0.96972,0.96868
53,2021-03-23,-1,0.011954799,-1,0.95957,0.96972
54,2021-03-24,-1,0.106279954,-1,0.95379,0.95957
55,2021-03-25,1,0.95082223,1,0.95605,0.95379
56,2021-03-26,1,0.9798498,1,0.96046,0.95605
57,2021-03-29,1,0.914437,1,0.96112,0.96046
58,2021-03-30,-1,0.5905185,-1,0.95909,0.96112
59,2021-03-31,-1,0.10177094,-1,0.9539,0.95909
60,2021-04-01,1,0.9641966,1,0.95603,0.9539
61,2021-04-02,1,0.88053596,1,0.95677,0.95603
62,2021-04-05,1,0.92970705,1,0.95816,0.95677
63,2021-04-06,1,0.9934649,1,0.96322,0.95816
64,2021-04-07,-1,0.22350258,-1,0.95977,0.96322
65,2021-04-08,1,0.96233445,1,0.96154,0.95977
66,2021-04-09,-1,0.023842214,-1,0.9548,0.96154
67,2021-04-12,1,0.95940936,1,0.95776,0.9548
68,2021-04-13,1,0.6719072,-1,0.95813,0.95776
69,2021-04-14,1,0.9951094,1,0.96697,0.95813
70,2021-04-15,1,0.9755736,1,0.9725,0.96697
71,2021-04-16,-1,0.031144597,-1,0.96718,0.9725
72,2021-04-19,1,0.96912247,1,0.97203,0.96718
73,2021-04-20,1,0.87838256,1,0.97442,0.97203
74,2021-04-21,-1,0.017775202,-1,0.96858,0.97442
75,2021-04-22,-1,0.03323865,-1,0.96353,0.96858
76,2021-04-23,1,0.9382693,1,0.96681,0.96353
77,2021-04-26,-1,0.46789375,-1,0.96678,0.96681
78,2021-04-27,-1,0.053482484,-1,0.96343,0.96678
79,2021-04-28,-1,0.04602114,-1,0.95963,0.96343
80,2021-04-29,-1,0.03014436,-1,0.95351,0.95963
81,2021-04-30,-1,0.048847675,-1,0.94815,0.95351
82,2021-05-03,1,0.98308706,1,0.95316,0.94815
83,2021-05-04,-1,0.05856598,-1,0.94874,0.95316
84,2021-05-05,1,0.92688656,1,0.95011,0.94874
85,2021-05-06,-1,0.11512946,-1,0.94578,0.95011
86,2021-05-07,1,0.9938612,1,0.95133,0.94578
87,2021-05-10,-1,0.40195024,-1,0.94743,0.95133
88,2021-05-11,1,0.97071564,1,0.94858,0.94743
89,2021-05-12,-1,0.018494135,-1,0.9374,0.94858
90,2021-05-13,1,0.97622585,1,0.93979,0.9374
91,2021-05-14,1,0.9402811,1,0.94215,0.93979
92,2021-05-17,-1,0.09805948,-1,0.93759,0.94215
93,2021-05-18,1,0.963899,1,0.93969,0.93759
94,2021-05-19,-1,0.34814033,-1,0.93731,0.93969
95,2021-05-20,-1,0.7983448,-1,0.93728,0.93731
96,2021-05-21,-1,0.05760427,-1,0.93263,0.93728
97,2021-05-24,1,0.9222436,1,0.93392,0.93263
98,2021-05-25,1,0.9369711,1,0.93531,0.93392
99,2021-05-26,1,0.9887467,1,0.93858,0.93531
100,2021-05-27,-1,0.19859526,-1,0.93418,0.93858
101,2021-05-28,-1,0.3911848,-1,0.93098,0.93418
102,2021-05-31,1,0.969159,1,0.93281,0.93098
103,2021-06-01,1,0.9834524,1,0.93588,0.93281
104,2021-06-02,-1,0.29971758,-1,0.9329,0.93588
105,2021-06-03,-1,0.055129483,-1,0.92753,0.9329
106,2021-06-04,1,0.9961444,1,0.93481,0.92753
107,2021-06-07,1,0.93537444,1,0.93715,0.93481
108,2021-06-08,1,0.66858494,-1,0.93733,0.93715
109,2021-06-09,-1,0.42443666,-1,0.93658,0.93733
110,2021-06-10,1,0.84393877,1,0.93771,0.93658
111,2021-06-11,-1,0.38499668,-1,0.93709,0.93771
112,2021-06-14,-1,0.37019506,-1,0.9368,0.93709
113,2021-06-15,-1,0.22512315,-1,0.93652,0.9368
114,2021-06-16,-1,0.018518437,-1,0.93463,0.93652
115,2021-06-17,-1,0.0118047185,-1,0.93298,0.93463
116,2021-06-18,-1,0.020759823,-1,0.93249,0.93298
117,2021-06-21,1,0.030978335,-1,0.93256,0.93249
118,2021-06-22,-1,0.0057781395,-1,0.92975,0.93256
119,2021-06-23,1,0.90044504,1,0.93229,0.92975
120,2021-06-24,1,0.96007377,1,0.93428,0.93229
121,2021-06-25,-1,0.7634935,-1,0.93383,0.93428
122,2021-06-28,-1,0.8145371,-1,0.93366,0.93383
123,2021-06-29,-1,0.06931555,-1,0.93148,0.93366
124,2021-06-30,-1,0.051304173,-1,0.92959,0.93148
125,2021-07-01,-1,0.092655405,-1,0.92917,0.92959
126,2021-07-02,-1,0.03056906,-1,0.92777,0.92917
127,2021-07-05,1,0.4990938,-1,0.92882,0.92777
128,2021-07-06,1,0.9960045,1,0.93372,0.92882
129,2021-07-07,1,0.9576813,1,0.93403,0.93372
130,2021-07-08,-1,0.059863813,-1,0.93103,0.93403
131,2021-07-09,1,0.9180783,1,0.93258,0.93103
132,2021-07-12,-1,0.26440594,-1,0.93136,0.93258
133,2021-07-13,1,0.6603065,-1,0.93167,0.93136
134,2021-07-14,1,0.99229664,1,0.93621,0.93167
135,2021-07-15,-1,0.31550193,-1,0.93469,0.93621
136,2021-07-16,-1,0.08932527,-1,0.93314,0.93469
137,2021-07-19,1,0.969479,1,0.93619,0.93314
138,2021-07-20,-1,0.009536609,-1,0.92928,0.93619
139,2021-07-21,-1,0.033296335,-1,0.92426,0.92928
140,2021-07-22,1,0.96390843,1,0.92739,0.92426
141,2021-07-23,-1,0.16236813,-1,0.92523,0.92739
142,2021-07-26,1,0.8294111,1,0.92594,0.92523
143,2021-07-27,1,0.9394472,1,0.92738,0.92594
144,2021-07-28,-1,0.07889982,-1,0.92334,0.92738
145,2021-07-29,-1,0.14776604,-1,0.92034,0.92334
146,2021-07-30,-1,0.046029065,-1,0.91574,0.92034
147,2021-08-02,1,0.98781514,1,0.9206,0.91574
148,2021-08-03,1,0.99438816,1,0.92674,0.9206
149,2021-08-04,-1,0.861154,1,0.92585,0.92674
150,2021-08-05,-1,0.9092503,1,0.92516,0.92585
151,2021-08-06,-1,0.5372442,-1,0.9233,0.92516
152,2021-08-09,-1,0.30379218,-1,0.92194,0.9233
153,2021-08-10,-1,0.07495217,-1,0.92004,0.92194
154,2021-08-11,1,0.89703065,1,0.92214,0.92004
155,2021-08-12,-1,0.042170893,-1,0.91876,0.92214
156,2021-08-13,1,0.97220844,1,0.92224,0.91876
157,2021-08-16,1,0.8356882,1,0.92244,0.92224
158,2021-08-17,-1,0.017717268,-1,0.91579,0.92244
159,2021-08-18,1,0.7078246,-1,0.91609,0.91579
160,2021-08-19,1,0.8732928,1,0.91714,0.91609
161,2021-08-20,-1,0.16008066,-1,0.91564,0.91714
162,2021-08-23,-1,0.051465865,-1,0.91247,0.91564
163,2021-08-24,1,0.85911196,1,0.91366,0.91247
164,2021-08-25,1,0.97309023,1,0.91609,0.91366
165,2021-08-26,1,0.9748925,1,0.91794,0.91609
166,2021-08-27,1,0.99261874,1,0.92219,0.91794
167,2021-08-30,-1,0.14182733,-1,0.91974,0.92219
168,2021-08-31,1,0.953004,1,0.92274,0.91974
169,2021-09-01,1,0.99260736,1,0.92969,0.92274
170,2021-09-02,-1,0.79984623,-1,0.92906,0.92969
171,2021-09-03,1,0.9914916,1,0.93334,0.92906
172,2021-09-06,-1,0.7492344,-1,0.93185,0.93334
173,2021-09-07,1,0.97591114,1,0.93429,0.93185
174,2021-09-08,1,0.95376194,1,0.9349,0.93429
175,2021-09-09,-1,0.3708202,-1,0.933,0.9349
176,2021-09-10,-1,0.8113293,-1,0.93294,0.933
177,2021-09-13,-1,0.26337257,-1,0.93196,0.93294
178,2021-09-14,-1,0.016776875,-1,0.92919,0.93196
179,2021-09-15,-1,0.008284599,-1,0.92594,0.92919
180,2021-09-16,-1,0.024450213,-1,0.92505,0.92594
181,2021-09-17,1,0.86851305,1,0.92769,0.92505
182,2021-09-20,1,0.9451002,1,0.92963,0.92769
183,2021-09-21,-1,0.08291594,-1,0.92665,0.92963
184,2021-09-22,-1,0.23533018,-1,0.92485,0.92665
185,2021-09-23,-1,0.2082187,-1,0.92344,0.92485
186,2021-09-24,-1,0.024609692,-1,0.91899,0.92344
187,2021-09-27,1,0.61253494,-1,0.92019,0.91899
188,2021-09-28,-1,0.052881643,-1,0.91834,0.92019
189,2021-09-29,-1,0.029232403,-1,0.91539,0.91834
190,2021-09-30,1,0.40514213,-1,0.91625,0.91539
191,2021-10-01,1,0.8923309,1,0.91788,0.91625
192,2021-10-04,-1,0.49935454,-1,0.91756,0.91788
193,2021-10-05,-1,0.30467188,-1,0.91688,0.91756
194,2021-10-06,-1,0.12825735,-1,0.91574,0.91688
195,2021-10-07,1,0.96567285,1,0.91753,0.91574
196,2021-10-08,-1,0.018221535,-1,0.91168,0.91753
197,2021-10-11,1,0.99481565,1,0.91693,0.91168
198,2021-10-12,-1,0.7848562,-1,0.91635,0.91693
199,2021-10-13,1,0.9699939,1,0.9182,0.91635
200,2021-10-14,-1,0.43240416,-1,0.91726,0.9182
201,2021-10-15,-1,0.49897072,-1,0.91723,0.91726
202,2021-10-18,1,0.46232674,-1,0.91745,0.91723
203,2021-10-19,1,0.9966323,1,0.92407,0.91745
204,2021-10-20,1,0.9736604,1,0.92568,0.92407
205,2021-10-21,-1,0.26127276,-1,0.92338,0.92568
206,2021-10-22,1,0.88769567,1,0.92353,0.92338
207,2021-10-25,1,0.9906556,1,0.92763,0.92353
208,2021-10-26,1,0.97732484,1,0.92939,0.92763
209,2021-10-27,1,0.9722096,1,0.92941,0.92939
210,2021-10-28,1,0.99222296,1,0.93123,0.92941
211,2021-10-29,1,0.9877225,1,0.93129,0.93123
212,2021-11-01,-1,0.92369884,1,0.93037,0.93129
213,2021-11-02,-1,0.0015299794,-1,0.92179,0.93037
214,2021-11-03,1,0.33783504,-1,0.92314,0.92179
215,2021-11-04,-1,0.050760467,-1,0.92199,0.92314
216,2021-11-05,0,0.10757578,-1,0.92199,0.92199
217,2021-11-08,1,0.8758866,1,0.92361,0.92199
218,2021-11-09,-1,0.01578722,-1,0.91776,0.92361
219,2021-11-10,-1,0.077405974,-1,0.91551,0.91776
220,2021-11-11,1,0.8351985,1,0.91711,0.91551
221,2021-11-12,1,0.96676004,1,0.91992,0.91711
222,2021-11-15,-1,0.5338389,-1,0.91908,0.91992
223,2021-11-16,-1,0.16786584,-1,0.91717,0.91908
224,2021-11-17,-1,0.21240102,-1,0.91598,0.91717
225,2021-11-18,1,0.8026273,-1,0.91671,0.91598
226,2021-11-19,-1,0.10653154,-1,0.91473,0.91671
227,2021-11-22,1,0.9823077,1,0.91749,0.91473
228,2021-11-23,-1,0.2557104,-1,0.91552,0.91749
229,2021-11-24,-1,0.031488806,-1,0.91108,0.91552
230,2021-11-25,-1,0.11143445,-1,0.90918,0.91108
231,2021-11-26,1,0.8054409,-1,0.91047,0.90918
232,2021-11-29,-1,0.16951753,-1,0.90983,0.91047
233,2021-11-30,1,0.8708447,1,0.91111,0.90983
234,2021-12-01,-1,0.49585047,-1,0.91089,0.91111
235,2021-12-02,-1,0.042247944,-1,0.90814,0.91089
236,2021-12-03,-1,0.0047604633,-1,0.89939,0.90814
237,2021-12-06,-1,0.0989932,-1,0.89933,0.89939
238,2021-12-07,1,0.040064935,-1,0.89973,0.89933
239,2021-12-08,1,0.99731016,1,0.90716,0.89973
240,2021-12-09,1,0.96849203,1,0.90843,0.90716
241,2021-12-10,1,0.99537957,1,0.9126,0.90843
242,2021-12-13,1,0.9776285,1,0.91371,0.9126
243,2021-12-14,1,0.9591637,1,0.91413,0.91371
244,2021-12-15,1,0.99639904,1,0.92055,0.91413
245,2021-12-16,-1,0.15640831,-1,0.91769,0.92055
246,2021-12-17,1,0.9622786,1,0.91893,0.91769
247,2021-12-20,1,0.96740294,1,0.92026,0.91893
248,2021-12-21,1,0.9882097,1,0.92359,0.92026
249,2021-12-22,1,0.9868776,1,0.92603,0.92359
250,2021-12-23,1,0.9877588,1,0.92765,0.92603
251,2021-12-24,-1,0.69286317,-1,0.92576,0.92765
252,2021-12-27,-1,0.9083831,1,0.92563,0.92576
253,2021-12-28,1,0.95058805,1,0.92638,0.92563
254,2021-12-29,1,0.9721968,1,0.92737,0.92638
255,2021-12-30,-1,0.01653078,-1,0.92354,0.92737
256,2021-12-31,-1,0.007288505,-1,0.91937,0.92354
257,2022-01-03,-1,0.015860872,-1,0.91641,0.91937
258,2022-01-04,1,0.95521885,1,0.91978,0.91641
259,2022-01-05,1,0.9571074,1,0.92153,0.91978
260,2022-01-06,-1,0.0089677265,-1,0.91158,0.92153
261,2022-01-07,-1,0.15687943,-1,0.90794,0.91158
262,2022-01-10,1,0.85683787,1,0.90928,0.90794
263,2022-01-11,-1,0.067613006,-1,0.90645,0.90928
264,2022-01-12,1,0.9873826,1,0.91093,0.90645
265,2022-01-13,1,0.877325,1,0.91133,0.91093
266,2022-01-14,-1,0.03737041,-1,0.90538,0.91133
267,2022-01-17,-1,0.24900684,-1,0.90249,0.90538
268,2022-01-18,-1,0.10321847,-1,0.89914,0.90249
269,2022-01-19,1,0.9771061,1,0.90253,0.89914
270,2022-01-20,1,0.8822183,1,0.90334,0.90253
271,2022-01-21,-1,0.7622834,-1,0.90299,0.90334
272,2022-01-24,-1,0.79913896,-1,0.90288,0.90299
273,2022-01-25,1,0.8751445,1,0.90314,0.90288
274,2022-01-26,-1,0.100495875,-1,0.90103,0.90314
275,2022-01-27,-1,0.017899944,-1,0.89624,0.90103
276,2022-01-28,-1,0.025542727,-1,0.89309,0.89624
277,2022-01-31,1,0.98671395,1,0.89789,0.89309
278,2022-02-01,1,0.99575764,1,0.9041,0.89789
279,2022-02-02,1,0.93020374,1,0.90428,0.9041
280,2022-02-03,1,0.94689554,1,0.90508,0.90428
281,2022-02-04,-1,0.1294793,-1,0.90315,0.90508
282,2022-02-07,-1,0.12437287,-1,0.9023,0.90315
283,2022-02-08,1,0.9873581,1,0.90783,0.9023
284,2022-02-09,1,0.9521663,1,0.90989,0.90783
285,2022-02-10,1,0.9777625,1,0.91189,0.90989
286,2022-02-11,-1,0.11634019,-1,0.9086,0.91189
287,2022-02-14,-1,0.26435187,-1,0.907,0.9086
288,2022-02-15,1,0.96175146,1,0.90953,0.907
289,2022-02-16,1,0.9842769,1,0.91313,0.90953
290,2022-02-17,1,0.94025856,1,0.91348,0.91313
291,2022-02-18,1,0.98066884,1,0.9154,0.91348
292,2022-02-21,1,0.98312795,1,0.91678,0.9154
293,2022-02-22,1,0.9968708,1,0.92178,0.91678
294,2022-02-23,-1,0.9594878,1,0.92097,0.92178
295,2022-02-24,-1,0.2347584,-1,0.91802,0.92097
296,2022-02-25,1,0.91750854,1,0.91849,0.91802
297,2022-02-28,1,0.9804536,1,0.9206,0.91849
298,2022-03-01,1,0.99185926,1,0.92419,0.9206
299,2022-03-02,-1,0.16911218,-1,0.9217,0.92419
300,2022-03-03,1,0.9962741,1,0.92912,0.9217
301,2022-03-04,1,0.9972812,1,0.93906,0.92912
302,2022-03-07,-1,0.76870936,-1,0.93747,0.93906
303,2022-03-08,-1,0.985025,1,0.93725,0.93747
304,2022-03-09,1,0.99008596,1,0.93752,0.93725
305,2022-03-10,1,0.9951899,1,0.93977,0.93752
306,2022-03-11,-1,0.0058962787,-1,0.92987,0.93977
307,2022-03-14,-1,0.0155869685,-1,0.92218,0.92987
308,2022-03-15,-1,0.059283018,-1,0.91844,0.92218
309,2022-03-16,1,0.98522854,1,0.92423,0.91844
310,2022-03-17,1,0.99086213,1,0.93109,0.92423
311,2022-03-18,1,0.9701634,1,0.93419,0.93109
312,2022-03-21,-1,0.52870893,-1,0.93179,0.93419
313,2022-03-22,1,0.9960794,1,0.93884,0.93179
314,2022-03-23,1,0.9704207,1,0.9421,0.93884
315,2022-03-24,-1,0.8114482,-1,0.94146,0.9421
316,2022-03-25,-1,0.06211597,-1,0.93761,0.94146
317,2022-03-28,1,0.6426539,-1,0.93813,0.93761
318,2022-03-29,1,0.5994021,-1,0.93882,0.93813
319,2022-03-30,-1,0.09529137,-1,0.9375,0.93882
320,2022-03-31,-1,0.03956568,-1,0.9358,0.9375
321,2022-04-01,1,0.80448455,-1,0.93811,0.9358
322,2022-04-04,1,0.96895134,1,0.9421,0.93811
323,2022-04-05,1,0.98596257,1,0.94628,0.9421
324,2022-04-06,-1,0.0647169,-1,0.94219,0.94628
325,2022-04-07,-1,0.84646887,1,0.94165,0.94219
326,2022-04-08,-1,0.06747888,-1,0.93799,0.94165
327,2022-04-11,-1,0.5338821,-1,0.93729,0.93799
328,2022-04-12,1,0.9948258,1,0.94224,0.93729
329,2022-04-13,-1,0.061632592,-1,0.93631,0.94224
330,2022-04-14,-1,0.7533199,-1,0.93484,0.93631
331,2022-04-15,-1,0.4203981,-1,0.93232,0.93484
332,2022-04-18,-1,0.05376604,-1,0.927,0.93232
333,2022-04-19,1,0.9858965,1,0.93068,0.927
334,2022-04-20,1,0.8726636,1,0.93113,0.93068
335,2022-04-21,-1,0.10328134,-1,0.92743,0.93113
336,2022-04-22,-1,0.028542684,-1,0.92093,0.92743
337,2022-04-25,-1,0.02870838,-1,0.91466,0.92093
338,2022-04-26,-1,0.10700226,-1,0.91339,0.91466
339,2022-04-27,1,0.061169323,-1,0.91352,0.91339
340,2022-04-28,-1,0.014009448,-1,0.90918,0.91352
341,2022-04-29,-1,0.04094666,-1,0.90761,0.90918
342,2022-05-02,1,0.09832327,-1,0.90821,0.90761
343,2022-05-03,1,0.91211563,1,0.91078,0.90821
344,2022-05-04,1,0.9998041,1,0.9241,0.91078
345,2022-05-05,-1,0.014041634,-1,0.91318,0.9241
346,2022-05-06,-1,0.96434027,1,0.9125,0.91318
347,2022-05-09,-1,0.058962014,-1,0.90434,0.9125
348,2022-05-10,-1,0.9365844,1,0.90403,0.90434
349,2022-05-11,-1,0.4855186,-1,0.90176,0.90403
350,2022-05-12,-1,0.033851538,-1,0.89431,0.90176
351,2022-05-13,1,0.9381416,1,0.89584,0.89431
352,2022-05-16,-1,0.30320176,-1,0.89544,0.89584
353,2022-05-17,1,0.9918767,1,0.90034,0.89544
354,2022-05-18,-1,0.16566725,-1,0.89612,0.90034
355,2022-05-19,1,0.9989065,1,0.90363,0.89612
356,2022-05-20,1,0.9811458,1,0.90429,0.90363
357,2022-05-23,1,0.99665844,1,0.9079,0.90429
358,2022-05-24,1,0.9965495,1,0.91124,0.9079
359,2022-05-25,-1,0.7419416,-1,0.90839,0.91124
360,2022-05-26,-1,0.5161908,-1,0.90656,0.90839
361,2022-05-27,1,0.9744377,1,0.91058,0.90656
362,2022-05-30,1,0.5956353,-1,0.91071,0.91058
363,2022-05-31,-1,0.038781036,-1,0.90807,0.91071
364,2022-06-01,-1,0.17149128,-1,0.90781,0.90807
365,2022-06-02,1,0.98515135,1,0.91336,0.90781
366,2022-06-03,-1,0.008327536,-1,0.90782,0.91336
367,2022-06-06,-1,0.03232857,-1,0.90515,0.90782
368,2022-06-07,1,0.591659,-1,0.90649,0.90515
369,2022-06-08,-1,0.031845056,-1,0.90304,0.90649
370,2022-06-09,-1,0.118931815,-1,0.90129,0.90304
371,2022-06-10,-1,0.275083,-1,0.90034,0.90129
372,2022-06-13,-1,0.013586341,-1,0.89316,0.90034
373,2022-06-14,-1,0.058945242,-1,0.89035,0.89316
374,2022-06-15,1,0.9995431,1,0.90278,0.89035
375,2022-06-16,1,0.99638677,1,0.91241,0.90278
376,2022-06-17,-1,0.00999695,-1,0.90364,0.91241
377,2022-06-20,-1,0.6496696,-1,0.90244,0.90364
378,2022-06-21,-1,0.3113734,-1,0.90059,0.90244
379,2022-06-22,-1,0.08368512,-1,0.8967,0.90059
380,2022-06-23,-1,0.4758929,-1,0.89583,0.8967
