,time,action,position,entry_price,close_price,profit,balance
0,2020-06-30,open,short,1.62678,,,9999.9998
1,2020-07-01,close,neutral,,1.62704,-2.60000000000149,9997.399599999999
2,2020-07-01,open,long,1.62704,,,9997.399399999998
3,2020-07-02,close,neutral,,1.62284,-41.999999999999815,9955.399199999998
4,2020-07-02,open,short,1.62284,,,9955.398999999998
5,2020-07-06,close,neutral,,1.62174,11.000000000001009,9966.398799999999
6,2020-07-06,open,long,1.62174,,,9966.398599999999
7,2020-07-09,close,neutral,,1.62026,-14.799999999999258,9951.598399999999
8,2020-07-09,open,short,1.62026,,,9951.598199999999
9,2020-07-10,close,neutral,,1.626,-57.39999999999856,9894.198
10,2020-07-10,open,long,1.626,,,9894.1978
11,2020-07-15,close,neutral,,1.62864,26.400000000001977,9920.597600000003
12,2020-07-15,open,short,1.62864,,,9920.597400000002
13,2020-07-16,close,neutral,,1.63254,-39.00000000000014,9881.597200000002
14,2020-07-16,open,long,1.63254,,,9881.597000000002
15,2020-07-20,close,neutral,,1.63144,-11.000000000001009,9870.596800000001
16,2020-07-20,open,short,1.63144,,,9870.5966
17,2020-07-23,close,neutral,,1.63412,-26.800000000000157,9843.796400000001
18,2020-07-23,open,long,1.63412,,,9843.7962
19,2020-07-28,close,neutral,,1.63698,28.600000000000847,9872.396
20,2020-07-28,open,short,1.63698,,,9872.3958
21,2020-07-29,close,neutral,,1.6408,-38.19999999999935,9834.195600000001
22,2020-07-29,open,long,1.6408,,,9834.1954
23,2020-08-04,close,neutral,,1.64743,66.29999999999913,9900.4952
24,2020-08-04,open,short,1.64743,,,9900.494999999999
25,2020-08-05,close,neutral,,1.64974,-23.100000000000342,9877.394799999998
26,2020-08-05,open,long,1.64974,,,9877.394599999998
27,2020-08-06,close,neutral,,1.64107,-86.69999999999956,9790.694399999998
28,2020-08-06,open,short,1.64107,,,9790.694199999998
29,2020-08-13,close,neutral,,1.65242,-113.49999999999972,9677.193999999998
30,2020-08-13,open,long,1.65242,,,9677.193799999997
31,2020-08-14,close,neutral,,1.65075,-16.700000000000603,9660.493599999996
32,2020-08-14,open,short,1.65075,,,9660.493399999996
33,2020-08-20,close,neutral,,1.64865,20.999999999999908,9681.493199999995
34,2020-08-20,open,long,1.64865,,,9681.492999999995
35,2020-08-21,close,neutral,,1.64738,-12.699999999998823,9668.792799999996
36,2020-08-21,open,short,1.64738,,,9668.792599999995
37,2020-09-03,close,neutral,,1.62957,178.10000000000105,9846.892399999997
38,2020-09-03,open,long,1.62957,,,9846.892199999997
39,2020-09-09,close,neutral,,1.62073,-88.3999999999996,9758.491999999997
40,2020-09-09,open,short,1.62073,,,9758.491799999996
41,2020-09-10,close,neutral,,1.62779,-70.60000000000066,9687.891599999995
42,2020-09-10,open,long,1.62779,,,9687.891399999995
43,2020-09-15,close,neutral,,1.62229,-55.000000000000604,9632.891199999995
44,2020-09-15,open,short,1.62229,,,9632.890999999994
45,2020-09-17,close,neutral,,1.62058,17.100000000001003,9649.990799999996
46,2020-09-17,open,long,1.62058,,,9649.990599999996
47,2020-09-28,close,neutral,,1.64953,289.50000000000034,9939.490399999995
48,2020-09-28,open,short,1.64953,,,9939.490199999995
49,2020-10-05,close,neutral,,1.64092,86.10000000000007,10025.589999999995
50,2020-10-05,open,long,1.64092,,,10025.589799999994
51,2020-10-07,close,neutral,,1.64768,67.60000000000099,10093.189599999996
52,2020-10-07,open,short,1.64768,,,10093.189399999996
53,2020-10-12,close,neutral,,1.63825,94.3000000000005,10187.489199999996
54,2020-10-12,open,long,1.63825,,,10187.488999999996
55,2020-10-21,close,neutral,,1.66633,280.80000000000103,10468.288799999997
56,2020-10-21,open,short,1.66633,,,10468.288599999996
57,2020-10-23,close,neutral,,1.66159,47.40000000000188,10515.688399999997
58,2020-10-23,open,long,1.66159,,,10515.688199999997
59,2020-10-26,close,neutral,,1.65794,-36.49999999999931,10479.187999999998
60,2020-10-26,open,short,1.65794,,,10479.187799999998
61,2020-10-28,close,neutral,,1.66787,-99.29999999999994,10379.887599999998
62,2020-10-28,open,long,1.66787,,,10379.887399999998
63,2020-10-29,close,neutral,,1.66111,-67.59999999999877,10312.287199999999
64,2020-10-29,open,short,1.66111,,,10312.286999999998
65,2020-11-06,close,neutral,,1.63566,254.50000000000193,10566.7868
66,2020-11-06,open,long,1.63566,,,10566.7866
67,2020-11-09,close,neutral,,1.62262,-130.3999999999994,10436.3864
68,2020-11-09,open,short,1.62262,,,10436.386199999999
69,2020-11-10,close,neutral,,1.62187,7.500000000000284,10443.885999999999
70,2020-11-10,open,long,1.62187,,,10443.885799999998
71,2020-11-11,close,neutral,,1.61817,-36.999999999998145,10406.8856
72,2020-11-11,open,short,1.61817,,,10406.8854
73,2020-11-12,close,neutral,,1.63252,-143.49999999999864,10263.3852
74,2020-11-12,open,long,1.63252,,,10263.385
75,2020-11-16,close,neutral,,1.61923,-132.90000000000023,10130.4848
76,2020-11-16,open,short,1.61923,,,10130.4846
77,2020-11-17,close,neutral,,1.62446,-52.30000000000068,10078.184399999998
78,2020-11-17,open,long,1.62446,,,10078.184199999998
79,2020-11-24,close,neutral,,1.61516,-93.00000000000085,9985.183999999997
80,2020-11-24,open,short,1.61516,,,9985.183799999997
81,2020-11-25,close,neutral,,1.6175000000000002,-23.400000000002308,9961.783599999995
82,2020-11-25,open,long,1.6175000000000002,,,9961.783399999995
83,2020-12-09,close,neutral,,1.62363,61.29999999999747,10023.083199999992
84,2020-12-09,open,short,1.62363,,,10023.082999999991
85,2020-12-14,close,neutral,,1.61232,113.09999999999931,10136.182799999991
86,2020-12-14,open,long,1.61232,,,10136.182599999991
87,2020-12-15,close,neutral,,1.6085,-38.19999999999935,10097.982399999992
88,2020-12-15,open,short,1.6085,,,10097.982199999991
89,2020-12-16,close,neutral,,1.60992,-14.199999999999768,10083.781999999992
90,2020-12-16,open,long,1.60992,,,10083.781799999992
91,2020-12-17,close,neutral,,1.60859,-13.300000000000534,10070.481599999992
92,2020-12-17,open,short,1.60859,,,10070.481399999991
93,2020-12-21,close,neutral,,1.61339,-48.00000000000138,10022.48119999999
94,2020-12-21,open,long,1.61339,,,10022.480999999989
95,2020-12-23,close,neutral,,1.60757,-58.20000000000158,9964.280799999988
96,2020-12-23,open,short,1.60757,,,9964.280599999987
97,2020-12-28,close,neutral,,1.61102,-34.49999999999953,9929.780399999987
98,2020-12-28,open,long,1.61102,,,9929.780199999987
99,2020-12-30,close,neutral,,1.6002999999999998,-107.20000000000063,9822.579999999985
100,2020-12-30,open,short,1.6002999999999998,,,9822.579799999985
101,2021-01-04,close,neutral,,1.59797,23.299999999999432,9845.879599999984
102,2021-01-04,open,long,1.59797,,,9845.879399999983
103,2021-01-05,close,neutral,,1.58425,-137.19999999999953,9708.679199999984
104,2021-01-05,open,short,1.58425,,,9708.678999999984
105,2021-01-11,close,neutral,,1.57864,56.09999999999893,9764.778799999982
106,2021-01-11,open,long,1.57864,,,9764.778599999981
107,2021-01-12,close,neutral,,1.57019,-84.50000000000068,9680.278399999981
108,2021-01-12,open,short,1.57019,,,9680.27819999998
109,2021-01-13,close,neutral,,1.57171,-15.199999999999658,9665.077999999981
110,2021-01-13,open,long,1.57171,,,9665.077799999981
111,2021-01-14,close,neutral,,1.56247,-92.39999999999915,9572.67759999998
112,2021-01-14,open,short,1.56247,,,9572.67739999998
113,2021-01-15,close,neutral,,1.56774,-52.69999999999886,9519.977199999981
114,2021-01-15,open,long,1.56774,,,9519.97699999998
115,2021-01-20,close,neutral,,1.56275,-49.89999999999828,9470.076799999983
116,2021-01-20,open,short,1.56275,,,9470.076599999982
117,2021-01-21,close,neutral,,1.56704,-42.899999999999054,9427.176399999984
118,2021-01-21,open,long,1.56704,,,9427.176199999984
119,2021-01-26,close,neutral,,1.5697100000000002,26.700000000001722,9453.875999999986
120,2021-01-26,open,short,1.5697100000000002,,,9453.875799999985
121,2021-01-27,close,neutral,,1.58068,-109.69999999999925,9344.175599999986
122,2021-01-27,open,long,1.58068,,,9344.175399999986
123,2021-01-28,close,neutral,,1.57875,-19.299999999999873,9324.875199999986
124,2021-01-28,open,short,1.57875,,,9324.874999999985
125,2021-01-29,close,neutral,,1.58809,-93.39999999999904,9231.474799999987
126,2021-01-29,open,long,1.58809,,,9231.474599999987
127,2021-02-01,close,neutral,,1.5819299999999998,-61.60000000000166,9169.874399999986
128,2021-02-01,open,short,1.5819299999999998,,,9169.874199999986
129,2021-02-02,close,neutral,,1.58253,-6.00000000000156,9163.873999999983
130,2021-02-02,open,long,1.58253,,,9163.873799999983
131,2021-02-03,close,neutral,,1.57904,-34.899999999999935,9128.973599999983
132,2021-02-03,open,short,1.57904,,,9128.973399999983
133,2021-02-10,close,neutral,,1.56944,96.00000000000053,9224.973199999984
134,2021-02-10,open,long,1.56944,,,9224.972999999984
135,2021-02-11,close,neutral,,1.56455,-48.899999999998386,9176.072799999985
136,2021-02-11,open,short,1.56455,,,9176.072599999985
137,2021-02-16,close,neutral,,1.56063,39.20000000000145,9215.272399999987
138,2021-02-16,open,long,1.56063,,,9215.272199999987
139,2021-02-17,close,neutral,,1.5534400000000002,-71.89999999999807,9143.371999999988
140,2021-02-17,open,short,1.5534400000000002,,,9143.371799999988
141,2021-02-18,close,neutral,,1.55626,-28.199999999998226,9115.17159999999
142,2021-02-18,open,long,1.55626,,,9115.17139999999
143,2021-02-19,close,neutral,,1.5399,-163.5999999999993,8951.571199999991
144,2021-02-19,open,short,1.5399,,,8951.57099999999
145,2021-02-25,close,neutral,,1.54633,-64.29999999999936,8887.270799999991
