,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-09-05,-1,0.7838989,1,108.447,
1,2019-09-06,-1,0.10911361,-1,108.228,108.447
2,2019-09-09,-1,0.104057275,-1,108.072,108.228
3,2019-09-10,1,0.9088437,1,108.408,108.072
4,2019-09-11,1,0.8128088,1,108.616,108.408
5,2019-09-12,1,0.9642424,1,109.14,108.616
6,2019-09-13,1,0.84337884,1,109.17,109.14
7,2019-09-16,-1,0.16339622,-1,108.929,109.17
8,2019-09-17,-1,0.25963417,1,108.853,108.929
9,2019-09-18,-1,0.055418648,-1,108.709,108.853
10,2019-09-19,1,0.35372594,1,108.805,108.709
11,2019-09-20,-1,0.008764801,-1,108.515,108.805
12,2019-09-23,1,0.08432989,-1,108.596,108.515
13,2019-09-24,1,0.25417006,1,108.64,108.596
14,2019-09-25,-1,0.16345854,-1,108.586,108.64
15,2019-09-26,-1,0.111254334,-1,108.51,108.586
16,2019-09-27,1,0.99350995,1,108.876,108.51
17,2019-09-30,-1,0.026503881,-1,108.273,108.876
18,2019-10-01,1,0.9662823,1,108.498,108.273
19,2019-10-02,-1,0.010932073,-1,107.493,108.498
20,2019-10-03,-1,0.037554488,-1,106.997,107.493
21,2019-10-04,1,0.94082445,1,107.412,106.997
22,2019-10-07,1,0.94166964,1,107.807,107.412
23,2019-10-08,-1,0.3886653,1,107.792,107.807
24,2019-10-09,1,0.7765965,1,107.918,107.792
25,2019-10-10,1,0.97520024,1,108.266,107.918
26,2019-10-11,1,0.9850578,1,108.748,108.266
27,2019-10-14,-1,0.5506593,1,108.66,108.748
28,2019-10-15,1,0.94027174,1,108.986,108.66
29,2019-10-16,1,0.9316001,1,109.311,108.986
30,2019-10-17,1,0.97172326,1,109.974,109.311
31,2019-10-18,1,0.90390295,1,110.136,109.974
32,2019-10-21,1,0.93924254,1,110.161,110.136
33,2019-10-22,-1,0.01579974,-1,109.627,110.161
34,2019-10-23,1,0.3128407,1,109.691,109.627
35,2019-10-24,-1,0.022545146,-1,109.464,109.691
36,2019-10-25,-1,0.0130764935,-1,109.254,109.464
37,2019-10-28,1,0.53917277,1,109.522,109.254
38,2019-10-29,1,0.1895185,-1,109.524,109.522
39,2019-10-30,1,0.97323036,1,109.996,109.524
40,2019-10-31,-1,0.013322089,-1,109.504,109.996
41,2019-11-01,1,0.7110745,1,109.736,109.504
42,2019-11-04,1,0.87456465,1,109.928,109.736
43,2019-11-05,1,0.81607836,1,109.971,109.928
44,2019-11-06,-1,0.11654561,-1,109.766,109.971
45,2019-11-07,1,0.80792934,1,109.83,109.766
46,2019-11-08,-1,0.032780804,-1,109.492,109.83
47,2019-11-11,1,0.8992775,1,109.75,109.492
