time,Actual Movement,Predictions,Predicted
2019-09-05,-1,0.7838989,1
2019-09-06,-1,0.10911361,-1
2019-09-09,-1,0.104057275,-1
2019-09-10,1,0.9088437,1
2019-09-11,1,0.8128088,1
2019-09-12,1,0.9642424,1
2019-09-13,1,0.84337884,1
2019-09-16,-1,0.16339622,-1
2019-09-17,-1,0.25963417,1
2019-09-18,-1,0.055418648,-1
2019-09-19,1,0.35372594,1
2019-09-20,-1,0.008764801,-1
2019-09-23,1,0.08432989,-1
2019-09-24,1,0.25417006,1
2019-09-25,-1,0.16345854,-1
2019-09-26,-1,0.111254334,-1
2019-09-27,1,0.99350995,1
2019-09-30,-1,0.026503881,-1
2019-10-01,1,0.9662823,1
2019-10-02,-1,0.010932073,-1
2019-10-03,-1,0.037554488,-1
2019-10-04,1,0.94082445,1
2019-10-07,1,0.94166964,1
2019-10-08,-1,0.3886653,1
2019-10-09,1,0.7765965,1
2019-10-10,1,0.97520024,1
2019-10-11,1,0.9850578,1
2019-10-14,-1,0.5506593,1
2019-10-15,1,0.94027174,1
2019-10-16,1,0.9316001,1
2019-10-17,1,0.97172326,1
2019-10-18,1,0.90390295,1
2019-10-21,1,0.93924254,1
2019-10-22,-1,0.01579974,-1
2019-10-23,1,0.3128407,1
2019-10-24,-1,0.022545146,-1
2019-10-25,-1,0.0130764935,-1
2019-10-28,1,0.53917277,1
2019-10-29,1,0.1895185,-1
2019-10-30,1,0.97323036,1
2019-10-31,-1,0.013322089,-1
2019-11-01,1,0.7110745,1
2019-11-04,1,0.87456465,1
2019-11-05,1,0.81607836,1
2019-11-06,-1,0.11654561,-1
2019-11-07,1,0.80792934,1
2019-11-08,-1,0.032780804,-1
2019-11-11,1,0.8992775,1
2019-11-12,1,0.6196976,1
2019-11-13,1,0.7863511,1
2019-11-14,-1,0.036277317,-1
2019-11-15,1,0.8350641,1
2019-11-18,-1,0.1861838,-1
2019-11-19,-1,0.01727163,-1
2019-11-20,1,0.11545292,-1
2019-11-21,-1,0.0361584,-1
2019-11-22,-1,0.010315785,-1
2019-11-25,1,0.96997213,1
2019-11-26,1,0.8346197,1
2019-11-27,1,0.956558,1
2019-11-28,1,0.89939886,1
2019-11-29,-1,0.0745848,-1
2019-12-02,1,0.98501474,1
2019-12-03,1,0.92078197,1
2019-12-04,1,0.80029947,1
2019-12-05,1,0.8400643,1
2019-12-06,-1,0.0033132916,-1
2019-12-09,1,0.32925254,1
2019-12-10,1,0.9636126,1
2019-12-11,-1,0.16896479,-1
2019-12-12,1,0.9485236,1
2019-12-13,1,0.9002162,1
2019-12-16,1,0.9818226,1
2019-12-17,1,0.9763174,1
2019-12-18,1,0.95380867,1
2019-12-19,-1,0.9115,1
2019-12-20,-1,0.013691898,-1
2019-12-23,1,0.13154969,-1
2019-12-24,1,0.25964817,1
2019-12-26,1,0.8549285,1
2019-12-27,1,0.97935885,1
2019-12-30,-1,0.8598684,1
2019-12-31,-1,0.87018603,1
2020-01-02,-1,0.00634682,-1
2020-01-03,-1,0.004549032,-1
2020-01-06,1,0.9876116,1
2020-01-07,-1,0.18704885,-1
2020-01-08,1,0.8698521,1
2020-01-09,1,0.94422287,1
2020-01-10,1,0.36613294,1
2020-01-13,1,0.9647179,1
2020-01-14,1,0.9360635,1
2020-01-15,1,0.93997586,1
2020-01-16,1,0.9426411,1
2020-01-17,-1,0.14440164,-1
2020-01-20,-1,0.6122488,1
2020-01-21,-1,0.013158946,-1
2020-01-22,1,0.10603762,-1
2020-01-23,-1,0.0030919223,-1
2020-01-24,-1,0.0032610511,-1
2020-01-27,-1,0.0074902917,-1
2020-01-28,-1,0.01774421,-1
2020-01-29,-1,0.021071484,-1
2020-01-30,1,0.96856344,1
2020-01-31,1,0.9015898,1
2020-02-03,1,0.85513824,1
2020-02-04,1,0.99759114,1
2020-02-05,-1,0.8918245,1
2020-02-06,1,0.94796044,1
2020-02-07,-1,0.019537052,-1
2020-02-10,1,0.1890108,-1
2020-02-11,1,0.90156597,1
2020-02-12,1,0.5316616,1
2020-02-13,-1,0.010211194,-1
2020-02-14,-1,0.013772288,-1
2020-02-17,1,0.9282714,1
2020-02-18,-1,0.2202225,-1
2020-02-19,1,0.9995479,1
2020-02-20,1,0.9877893,1
2020-02-21,1,0.836906,1
2020-02-24,-1,0.008627595,-1
2020-02-25,-1,0.21250832,-1
2020-02-26,1,0.7779569,1
2020-02-27,1,0.91102797,1
2020-02-28,-1,0.0031021084,-1
2020-03-02,1,0.99264306,1
2020-03-03,-1,0.026494963,-1
2020-03-04,1,0.95387894,1
2020-03-05,-1,0.6732767,1
2020-03-06,1,0.86778575,1
2020-03-09,-1,0.0029384592,-1
2020-03-10,1,0.99883157,1
2020-03-11,-1,0.0111971,-1
2020-03-12,-1,0.09576737,-1
2020-03-13,1,0.9996408,1
2020-03-16,-1,0.0016039785,-1
2020-03-17,1,0.5138102,1
2020-03-18,-1,0.09387405,-1
2020-03-19,1,0.91245484,1
2020-03-20,1,0.51393884,1
2020-03-23,1,0.8955587,1
2020-03-24,1,0.6428752,1
2020-03-25,1,0.7214211,1
2020-03-26,-1,0.13247469,-1
2020-03-27,-1,0.053940993,-1
2020-03-30,-1,0.0017348719,-1
2020-03-31,-1,0.004705194,-1
2020-04-01,-1,0.007992281,-1
2020-04-02,-1,0.066232294,-1
2020-04-03,1,0.67500174,1
2020-04-06,1,0.97101575,1
2020-04-07,1,0.9866518,1
2020-04-08,-1,0.31986967,1
2020-04-09,1,0.97473484,1
2020-04-10,-1,0.19264239,-1
2020-04-13,-1,0.027526021,-1
2020-04-14,1,0.912985,1
2020-04-15,-1,0.16340387,-1
2020-04-16,-1,0.09633818,-1
2020-04-17,1,0.24168004,1
2020-04-20,1,0.15163855,-1
2020-04-21,-1,0.050441507,-1
2020-04-22,-1,0.015234165,-1
2020-04-23,-1,0.0056961714,-1
2020-04-24,1,0.47807744,1
2020-04-27,-1,0.012658315,-1
2020-04-28,-1,0.021515373,-1
2020-04-29,-1,0.025348227,-1
2020-04-30,1,0.9997054,1
2020-05-01,1,0.9202802,1
2020-05-04,-1,0.015731534,-1
2020-05-05,-1,0.008789131,-1
2020-05-06,-1,0.08756531,-1
2020-05-07,1,0.9770493,1
2020-05-08,1,0.9874319,1
2020-05-11,1,0.98949057,1
2020-05-12,-1,0.18742195,-1
2020-05-13,-1,0.057849623,-1
2020-05-14,1,0.6693163,1
2020-05-15,1,0.7077366,1
2020-05-18,1,0.9072777,1
2020-05-19,1,0.9687035,1
2020-05-20,1,0.9804658,1
2020-05-21,-1,0.010404665,-1
2020-05-22,-1,0.08108837,-1
2020-05-25,1,0.24675158,1
2020-05-26,1,0.94482094,1
2020-05-27,-1,0.09659845,-1
2020-05-28,1,0.8711077,1
2020-05-29,1,0.94211394,1
2020-06-01,-1,0.10317045,-1
2020-06-02,1,0.98692095,1
2020-06-03,1,0.91755307,1
2020-06-04,1,0.9812282,1
2020-06-05,-1,0.113920316,-1
2020-06-08,-1,0.025616491,-1
2020-06-09,1,0.68082243,1
2020-06-10,1,0.8454666,1
2020-06-11,-1,0.031431,-1
2020-06-12,-1,0.014316654,-1
2020-06-15,1,0.7345582,1
2020-06-16,-1,0.026138559,-1
2020-06-17,-1,0.09038375,-1
2020-06-18,-1,0.024274787,-1
2020-06-19,-1,0.053848457,-1
2020-06-22,1,0.9948881,1
2020-06-23,-1,0.92933613,1
2020-06-24,1,0.985407,1
2020-06-25,1,0.9782536,1
2020-06-26,1,0.967245,1
2020-06-29,1,0.94258153,1
2020-06-30,1,0.99784267,1
2020-07-01,-1,0.11162602,-1
2020-07-02,1,0.7889725,1
2020-07-03,-1,0.7066189,1
2020-07-06,1,0.9690212,1
2020-07-07,1,0.9610145,1
2020-07-08,1,0.9796016,1
2020-07-09,-1,0.048717737,-1
2020-07-10,-1,0.007676604,-1
2020-07-13,1,0.8091235,1
2020-07-14,1,0.76261723,1
2020-07-15,-1,0.0031655997,-1
2020-07-16,1,0.6458784,1
2020-07-17,1,0.9843849,1
2020-07-20,1,0.9400492,1
2020-07-21,1,0.7651263,1
2020-07-22,1,0.98443884,1
2020-07-23,1,0.8811088,1
2020-07-24,-1,0.33235303,1
2020-07-27,-1,0.008134598,-1
2020-07-28,-1,0.08969373,-1
2020-07-29,1,0.9389035,1
2020-07-30,1,0.7737776,1
2020-07-31,1,0.9780977,1
2020-08-03,-1,0.025511397,-1
2020-08-04,1,0.8383743,1
2020-08-05,1,0.9325224,1
2020-08-06,-1,0.058925834,-1
2020-08-07,1,0.49795985,1
2020-08-10,-1,0.022516424,-1
2020-08-11,1,0.841619,1
2020-08-12,1,0.9876208,1
2020-08-13,1,0.8727286,1
2020-08-14,-1,0.06628057,-1
2020-08-17,-1,0.045335006,-1
2020-08-18,-1,0.035605054,-1
2020-08-19,-1,0.004399478,-1
2020-08-20,1,0.9240327,1
2020-08-21,-1,0.027531113,-1
2020-08-24,1,0.7444826,1
2020-08-25,1,0.994724,1
2020-08-26,-1,0.031336088,-1
2020-08-27,1,0.90574765,1
2020-08-28,-1,0.016289644,-1
2020-08-31,1,0.9602845,1
2020-09-01,-1,0.034067404,-1
2020-09-02,1,0.7107666,1
2020-09-03,1,0.8590416,1
2020-09-04,-1,0.07024953,-1
2020-09-07,-1,0.13014852,-1
2020-09-08,-1,0.06934222,-1
2020-09-09,1,0.9969952,1
2020-09-10,1,0.8947235,1
2020-09-11,1,0.9070926,1
2020-09-14,-1,0.07251261,-1
2020-09-15,-1,0.089021556,-1
2020-09-16,-1,0.020894246,-1
2020-09-17,-1,0.14569807,-1
2020-09-18,-1,0.024389863,-1
