,time,action,position,entry_price,close_price,profit,balance
0,2019-09-05,open,long,108.447,,,9999.9998
1,2019-09-06,close,neutral,,108.228,-21.90000000000083,9978.0996
2,2019-09-06,open,short,108.228,,,9978.0994
3,2019-09-10,close,neutral,,108.408,-18.000000000000682,9960.099199999999
4,2019-09-10,open,long,108.408,,,9960.098999999998
5,2019-09-16,close,neutral,,108.929,52.10000000000008,10012.198799999998
6,2019-09-16,open,short,108.929,,,10012.198599999998
7,2019-09-17,close,neutral,,108.853,7.600000000000762,10019.798399999998
8,2019-09-17,open,long,108.853,,,10019.798199999997
9,2019-09-18,close,neutral,,108.709,-14.399999999999125,10005.398
10,2019-09-18,open,short,108.709,,,10005.397799999999
11,2019-09-19,close,neutral,,108.805,-9.600000000000364,9995.797599999998
12,2019-09-19,open,long,108.805,,,9995.797399999998
13,2019-09-20,close,neutral,,108.515,-29.000000000000625,9966.797199999997
14,2019-09-20,open,short,108.515,,,9966.796999999997
15,2019-09-24,close,neutral,,108.64,-12.5,9954.296799999996
16,2019-09-24,open,long,108.64,,,9954.296599999996
17,2019-09-25,close,neutral,,108.586,-5.400000000000205,9948.896399999996
18,2019-09-25,open,short,108.586,,,9948.896199999996
19,2019-09-27,close,neutral,,108.876,-29.000000000000625,9919.895999999995
20,2019-09-27,open,long,108.876,,,9919.895799999995
21,2019-09-30,close,neutral,,108.273,-60.300000000000864,9859.595599999993
22,2019-09-30,open,short,108.273,,,9859.595399999993
23,2019-10-01,close,neutral,,108.498,-22.500000000000853,9837.095199999992
24,2019-10-01,open,long,108.498,,,9837.094999999992
25,2019-10-02,close,neutral,,107.493,-100.50000000000097,9736.594799999992
26,2019-10-02,open,short,107.493,,,9736.594599999991
27,2019-10-04,close,neutral,,107.412,8.099999999998886,9744.69439999999
28,2019-10-04,open,long,107.412,,,9744.694199999989
29,2019-10-22,close,neutral,,109.627,221.49999999999892,9966.193999999989
30,2019-10-22,open,short,109.627,,,9966.193799999988
31,2019-10-23,close,neutral,,109.691,-6.400000000000716,9959.793599999988
32,2019-10-23,open,long,109.691,,,9959.793399999988
33,2019-10-24,close,neutral,,109.464,-22.700000000000387,9937.093199999987
34,2019-10-24,open,short,109.464,,,9937.092999999986
35,2019-10-28,close,neutral,,109.522,-5.8000000000006935,9931.292799999985
36,2019-10-28,open,long,109.522,,,9931.292599999984
37,2019-10-29,close,neutral,,109.524,0.19999999999953388,9931.492399999985
38,2019-10-29,open,short,109.524,,,9931.492199999984
39,2019-10-30,close,neutral,,109.996,-47.19999999999942,9884.291999999985
40,2019-10-30,open,long,109.996,,,9884.291799999985
41,2019-10-31,close,neutral,,109.504,-49.19999999999902,9835.091599999985
42,2019-10-31,open,short,109.504,,,9835.091399999985
43,2019-11-01,close,neutral,,109.736,-23.199999999999932,9811.891199999985
44,2019-11-01,open,long,109.736,,,9811.890999999985
45,2019-11-06,close,neutral,,109.766,3.0000000000001137,9814.890799999985
46,2019-11-06,open,short,109.766,,,9814.890599999984
47,2019-11-07,close,neutral,,109.83,-6.399999999999295,9808.490399999984
48,2019-11-07,open,long,109.83,,,9808.490199999984
49,2019-11-08,close,neutral,,109.492,-33.799999999999386,9774.689999999984
