time,Actual Movement,Predictions,Predicted
2021-01-07,-1,0.049722593,-1
2021-01-08,1,0.83243984,1
2021-01-11,-1,0.18683274,-1
2021-01-12,1,0.9778537,1
2021-01-13,-1,0.010298128,-1
2021-01-14,1,0.42910525,-1
2021-01-15,-1,0.04107033,-1
2021-01-18,-1,0.036336396,-1
2021-01-19,1,0.4455398,-1
2021-01-20,-1,0.12464221,-1
2021-01-21,1,0.9778504,1
2021-01-22,1,0.9749986,1
2021-01-25,1,0.9691506,1
2021-01-26,1,0.97690934,1
2021-01-27,-1,0.27117223,-1
2021-01-28,1,0.99129,1
2021-01-29,-1,0.012708012,-1
2021-02-01,1,0.96702474,1
2021-02-02,-1,0.027993444,-1
2021-02-03,1,0.90095806,1
2021-02-04,1,0.569739,-1
2021-02-05,1,0.9879148,1
2021-02-08,1,0.9366347,1
2021-02-09,1,0.91267186,1
2021-02-10,-1,0.1187073,-1
2021-02-11,1,0.9713359,1
2021-02-12,-1,0.52297187,-1
2021-02-15,-1,0.06941791,-1
2021-02-16,1,0.49545434,-1
2021-02-17,1,0.36373645,-1
2021-02-18,1,0.6138599,-1
2021-02-19,1,0.99542725,1
2021-02-22,1,0.9920735,1
2021-02-23,-1,0.39139077,-1
2021-02-24,1,0.96540356,1
2021-02-25,-1,0.029889734,-1
2021-02-26,-1,0.004058366,-1
2021-03-01,1,0.79622275,1
2021-03-02,1,0.9804427,1
2021-03-03,-1,0.06929947,-1
2021-03-04,-1,0.06503059,-1
2021-03-05,-1,0.081780836,-1
2021-03-08,-1,0.17492323,-1
2021-03-09,1,0.9916612,1
2021-03-10,1,0.7423436,1
2021-03-11,-1,0.7774844,1
2021-03-12,-1,0.029775746,-1
2021-03-15,-1,0.56056076,-1
2021-03-16,-1,0.070115834,-1
2021-03-17,1,0.95755106,1
2021-03-18,1,0.9366593,1
2021-03-19,-1,0.695886,-1
2021-03-22,1,0.9341441,1
2021-03-23,-1,0.012452926,-1
2021-03-24,-1,0.06389458,-1
2021-03-25,1,0.87982744,1
2021-03-26,1,0.9701122,1
2021-03-29,1,0.8569253,1
2021-03-30,-1,0.42447373,-1
2021-03-31,-1,0.06509076,-1
2021-04-01,1,0.9403125,1
2021-04-02,1,0.7633319,1
2021-04-05,1,0.88572335,1
2021-04-06,1,0.9912389,1
2021-04-07,-1,0.13280438,-1
2021-04-08,1,0.94973356,1
2021-04-09,-1,0.020528646,-1
2021-04-12,1,0.9375512,1
2021-04-13,1,0.48665318,-1
2021-04-14,1,0.9939074,1
2021-04-15,1,0.9767246,1
2021-04-16,-1,0.023869036,-1
2021-04-19,1,0.9579918,1
2021-04-20,1,0.76669663,1
2021-04-21,-1,0.015454395,-1
2021-04-22,-1,0.026749574,-1
2021-04-23,1,0.8642177,1
2021-04-26,-1,0.2533172,-1
2021-04-27,-1,0.03551464,-1
2021-04-28,-1,0.03219774,-1
2021-04-29,-1,0.02401192,-1
2021-04-30,-1,0.035803553,-1
2021-05-03,1,0.97238714,1
2021-05-04,-1,0.04660205,-1
2021-05-05,1,0.87448484,1
2021-05-06,-1,0.07643859,-1
2021-05-07,1,0.99083287,1
2021-05-10,-1,0.28205165,-1
2021-05-11,1,0.96332586,1
2021-05-12,-1,0.01783181,-1
2021-05-13,1,0.9645515,1
2021-05-14,1,0.9073899,1
2021-05-17,-1,0.070338435,-1
2021-05-18,1,0.9486729,1
2021-05-19,-1,0.21182771,-1
2021-05-20,-1,0.6430461,-1
2021-05-21,-1,0.045599036,-1
2021-05-24,1,0.8504125,1
2021-05-25,1,0.89514863,1
2021-05-26,1,0.9854903,1
2021-05-27,-1,0.1508525,-1
2021-05-28,-1,0.2604819,-1
2021-05-31,1,0.95662314,1
2021-06-01,1,0.9806692,1
2021-06-02,-1,0.26043922,-1
2021-06-03,-1,0.044420138,-1
2021-06-04,1,0.99455136,1
2021-06-07,1,0.9322933,1
2021-06-08,1,0.6478954,-1
2021-06-09,-1,0.2786721,-1
2021-06-10,1,0.70461863,-1
2021-06-11,-1,0.21908902,-1
2021-06-14,-1,0.20978859,-1
2021-06-15,-1,0.12876573,-1
2021-06-16,-1,0.016633695,-1
2021-06-17,-1,0.011987647,-1
2021-06-18,-1,0.01908214,-1
2021-06-21,1,0.026601095,-1
2021-06-22,-1,0.0065385373,-1
2021-06-23,1,0.8230119,1
2021-06-24,1,0.9532107,1
2021-06-25,-1,0.68201184,-1
2021-06-28,-1,0.7271245,-1
2021-06-29,-1,0.048536584,-1
2021-06-30,-1,0.03787173,-1
2021-07-01,-1,0.06288156,-1
2021-07-02,-1,0.026561279,-1
2021-07-05,1,0.40218458,-1
2021-07-06,1,0.9949886,1
2021-07-07,1,0.9624822,1
2021-07-08,-1,0.05096547,-1
2021-07-09,1,0.8830572,1
2021-07-12,-1,0.15379342,-1
2021-07-13,1,0.5034309,-1
2021-07-14,1,0.99100506,1
2021-07-15,-1,0.25025702,-1
2021-07-16,-1,0.068431996,-1
2021-07-19,1,0.9629955,1
2021-07-20,-1,0.00842445,-1
2021-07-21,-1,0.023361228,-1
2021-07-22,1,0.9435932,1
2021-07-23,-1,0.1059851,-1
2021-07-26,1,0.7736774,1
2021-07-27,1,0.9296839,1
2021-07-28,-1,0.060505748,-1
2021-07-29,-1,0.09938947,-1
2021-07-30,-1,0.035771284,-1
2021-08-02,1,0.984571,1
2021-08-03,1,0.9933351,1
2021-08-04,-1,0.8618228,1
2021-08-05,-1,0.8967601,1
2021-08-06,-1,0.44105357,-1
2021-08-09,-1,0.21470411,-1
2021-08-10,-1,0.05335384,-1
2021-08-11,1,0.84505945,1
2021-08-12,-1,0.03231009,-1
2021-08-13,1,0.96927756,1
2021-08-16,1,0.7793936,1
2021-08-17,-1,0.015504245,-1
2021-08-18,1,0.5337288,-1
2021-08-19,1,0.7944138,1
2021-08-20,-1,0.13418396,-1
2021-08-23,-1,0.04224483,-1
2021-08-24,1,0.7762537,1
2021-08-25,1,0.97047305,1
2021-08-26,1,0.97582346,1
2021-08-27,1,0.99275875,1
2021-08-30,-1,0.1254818,-1
2021-08-31,1,0.95306736,1
2021-09-01,1,0.99118197,1
2021-09-02,-1,0.7143006,-1
2021-09-03,1,0.9902298,1
2021-09-06,-1,0.64210093,-1
2021-09-07,1,0.97602737,1
2021-09-08,1,0.94532895,1
2021-09-09,-1,0.24253137,-1
2021-09-10,-1,0.6861762,-1
2021-09-13,-1,0.15554707,-1
2021-09-14,-1,0.012827613,-1
2021-09-15,-1,0.0069899764,-1
2021-09-16,-1,0.016912019,-1
2021-09-17,1,0.7738487,1
2021-09-20,1,0.9330544,1
2021-09-21,-1,0.0619632,-1
2021-09-22,-1,0.15503663,-1
2021-09-23,-1,0.13801542,-1
2021-09-24,-1,0.020861803,-1
2021-09-27,1,0.5403294,-1
2021-09-28,-1,0.044773854,-1
2021-09-29,-1,0.025255533,-1
2021-09-30,1,0.30955622,-1
2021-10-01,1,0.8320485,1
2021-10-04,-1,0.4509497,-1
2021-10-05,-1,0.25874233,-1
2021-10-06,-1,0.09781575,-1
2021-10-07,1,0.95773625,1
2021-10-08,-1,0.016436417,-1
2021-10-11,1,0.9932567,1
2021-10-12,-1,0.7322595,-1
2021-10-13,1,0.970372,1
2021-10-14,-1,0.40268084,-1
2021-10-15,-1,0.39221418,-1
2021-10-18,1,0.31993565,-1
2021-10-19,1,0.99524903,1
2021-10-20,1,0.9716833,1
2021-10-21,-1,0.20740081,-1
2021-10-22,1,0.80944264,1
2021-10-25,1,0.9878186,1
2021-10-26,1,0.97535604,1
2021-10-27,1,0.968776,1
2021-10-28,1,0.98994374,1
2021-10-29,1,0.98478276,1
2021-11-01,-1,0.8928162,1
2021-11-02,-1,0.0015458417,-1
2021-11-03,1,0.17969851,-1
2021-11-04,-1,0.032712393,-1
2021-11-05,0,0.07569016,-1
2021-11-08,1,0.8313276,1
2021-11-09,-1,0.013079486,-1
2021-11-10,-1,0.053562634,-1
2021-11-11,1,0.74596894,1
2021-11-12,1,0.9657728,1
2021-11-15,-1,0.5460457,-1
2021-11-16,-1,0.13540903,-1
2021-11-17,-1,0.14190261,-1
2021-11-18,1,0.7106108,-1
2021-11-19,-1,0.08067337,-1
2021-11-22,1,0.97917444,1
2021-11-23,-1,0.23674114,-1
2021-11-24,-1,0.02737282,-1
2021-11-25,-1,0.07052969,-1
2021-11-26,1,0.68363017,-1
2021-11-29,-1,0.14311853,-1
2021-11-30,1,0.8024092,1
2021-12-01,-1,0.4186182,-1
2021-12-02,-1,0.036189325,-1
2021-12-03,-1,0.0048034163,-1
2021-12-06,-1,0.056349352,-1
2021-12-07,1,0.031709474,-1
2021-12-08,1,0.99561393,1
2021-12-09,1,0.96176285,1
2021-12-10,1,0.99426705,1
2021-12-13,1,0.97554874,1
2021-12-14,1,0.9502186,1
2021-12-15,1,0.9949567,1
2021-12-16,-1,0.115534194,-1
2021-12-17,1,0.9516967,1
2021-12-20,1,0.9572923,1
2021-12-21,1,0.9854371,1
2021-12-22,1,0.9842383,1
2021-12-23,1,0.9852095,1
2021-12-24,-1,0.5308775,-1
2021-12-27,-1,0.8379526,1
2021-12-28,1,0.92306244,1
2021-12-29,1,0.96188974,1
2021-12-30,-1,0.0116738705,-1
2021-12-31,-1,0.0059665553,-1
2022-01-03,-1,0.010902482,-1
2022-01-04,1,0.92376536,1
2022-01-05,1,0.94355494,1
2022-01-06,-1,0.007330075,-1
2022-01-07,-1,0.09459137,-1
2022-01-10,1,0.73365736,-1
2022-01-11,-1,0.05351556,-1
2022-01-12,1,0.9842445,1
2022-01-13,1,0.8289754,1
2022-01-14,-1,0.03288275,-1
2022-01-17,-1,0.15569304,-1
2022-01-18,-1,0.06955019,-1
2022-01-19,1,0.9689934,1
2022-01-20,1,0.80729914,1
2022-01-21,-1,0.65894413,-1
2022-01-24,-1,0.68293947,-1
2022-01-25,1,0.7679053,1
2022-01-26,-1,0.08117478,-1
2022-01-27,-1,0.0171398,-1
2022-01-28,-1,0.023110816,-1
2022-01-31,1,0.9800371,1
2022-02-01,1,0.99382025,1
2022-02-02,1,0.90031594,1
2022-02-03,1,0.92474794,1
2022-02-04,-1,0.107148126,-1
2022-02-07,-1,0.09425284,-1
2022-02-08,1,0.9813141,1
2022-02-09,1,0.9202616,1
2022-02-10,1,0.96901244,1
2022-02-11,-1,0.0897835,-1
2022-02-14,-1,0.18251514,-1
2022-02-15,1,0.9431674,1
2022-02-16,1,0.9791135,1
