,time,action,position,entry_price,close_price,profit,balance
0,2019-08-21,open,short,1.32911,,,9999.9998
1,2019-08-27,close,neutral,,1.3291,0.10000000000065512,10000.0996
2,2019-08-27,open,long,1.3291,,,10000.0994
3,2019-08-29,close,neutral,,1.32911,0.10000000000065512,10000.1992
4,2019-08-29,open,short,1.32911,,,10000.198999999999
5,2019-08-30,close,neutral,,1.33104,-19.299999999999873,9980.898799999999
6,2019-08-30,open,long,1.33104,,,9980.898599999999
7,2019-09-04,close,neutral,,1.32243,-86.10000000000007,9894.798399999998
8,2019-09-04,open,short,1.32243,,,9894.798199999997
9,2019-09-11,close,neutral,,1.31945,29.799999999999827,9924.597999999998
10,2019-09-11,open,long,1.31945,,,9924.597799999998
11,2019-09-16,close,neutral,,1.32423,47.80000000000007,9972.397599999998
12,2019-09-16,open,short,1.32423,,,9972.397399999998
13,2019-09-17,close,neutral,,1.32445,-2.1999999999988695,9970.197199999999
14,2019-09-17,open,long,1.32445,,,9970.196999999998
15,2019-09-19,close,neutral,,1.32695,25.000000000001688,9995.1968
16,2019-09-19,open,short,1.32695,,,9995.1966
17,2019-09-20,close,neutral,,1.32634,6.099999999999994,10001.2964
18,2019-09-20,open,long,1.32634,,,10001.296199999999
19,2019-09-23,close,neutral,,1.32586,-4.8000000000003595,9996.496
20,2019-09-23,open,short,1.32586,,,9996.495799999999
21,2019-09-25,close,neutral,,1.32665,-7.900000000000684,9988.595599999999
22,2019-09-25,open,long,1.32665,,,9988.595399999998
23,2019-09-26,close,neutral,,1.32696,3.0999999999981043,9991.695199999996
24,2019-09-26,open,short,1.32696,,,9991.694999999996
25,2019-10-02,close,neutral,,1.33248,-55.200000000001914,9936.494799999995
26,2019-10-02,open,long,1.33248,,,9936.494599999995
27,2019-10-04,close,neutral,,1.33077,-17.100000000001003,9919.394399999994
28,2019-10-04,open,short,1.33077,,,9919.394199999993
29,2019-10-08,close,neutral,,1.33216,-13.900000000000023,9905.493999999993
30,2019-10-08,open,long,1.33216,,,9905.493799999993
