,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2021-02-23,1,0.8445982,1,0.92448,
1,2021-02-24,1,0.988528,1,0.93153,0.92448
2,2021-02-25,-1,0.23141892,-1,0.9292,0.93153
3,2021-02-26,-1,0.0075814733,-1,0.92083,0.9292
4,2021-03-01,-1,0.07470411,-1,0.91838,0.92083
5,2021-03-02,1,0.8531226,1,0.92183,0.91838
6,2021-03-03,-1,0.026725229,-1,0.91696,0.92183
7,2021-03-04,-1,0.020785842,-1,0.91019,0.91696
8,2021-03-05,-1,0.057389703,-1,0.90618,0.91019
9,2021-03-08,-1,0.0443902,-1,0.90198,0.90618
10,2021-03-09,1,0.919365,1,0.90688,0.90198
11,2021-03-10,1,0.60319835,-1,0.9081,0.90688
12,2021-03-11,-1,0.1535163,-1,0.90601,0.9081
13,2021-03-12,-1,0.009007914,-1,0.89579,0.90601
14,2021-03-15,1,0.8577348,1,0.89826,0.89579
15,2021-03-16,-1,0.05663296,-1,0.89478,0.89826
16,2021-03-17,1,0.8961914,1,0.89778,0.89478
17,2021-03-18,-1,0.11281316,-1,0.89486,0.89778
18,2021-03-19,1,0.830365,1,0.8961,0.89486
19,2021-03-22,1,0.777499,1,0.89668,0.8961
20,2021-03-23,-1,0.0029034186,-1,0.88083,0.89668
21,2021-03-24,-1,0.10938662,-1,0.87592,0.88083
22,2021-03-25,1,0.23892982,-1,0.87668,0.87592
23,2021-03-26,1,0.7298416,1,0.87982,0.87668
24,2021-03-29,1,0.6106463,-1,0.88117,0.87982
25,2021-03-30,1,0.6453252,-1,0.88183,0.88117
26,2021-03-31,-1,0.042221278,-1,0.877,0.88183
27,2021-04-01,1,0.96215314,1,0.88159,0.877
28,2021-04-02,1,0.89967495,1,0.88316,0.88159
29,2021-04-05,1,0.9124353,1,0.88428,0.88316
30,2021-04-06,1,0.96214217,1,0.88688,0.88428
31,2021-04-07,-1,0.32931608,-1,0.88423,0.88688
32,2021-04-08,1,0.95368886,1,0.88684,0.88423
33,2021-04-09,-1,0.03743666,-1,0.88157,0.88684
34,2021-04-12,1,0.8299653,1,0.88323,0.88157
35,2021-04-13,1,0.5987997,-1,0.88429,0.88323
36,2021-04-14,1,0.98996407,1,0.89374,0.88429
37,2021-04-15,1,0.9668359,1,0.8997,0.89374
38,2021-04-16,-1,0.020018185,-1,0.89349,0.8997
39,2021-04-19,1,0.9688965,1,0.89985,0.89349
40,2021-04-20,1,0.91631067,1,0.90467,0.89985
41,2021-04-21,-1,0.041430134,-1,0.90073,0.90467
42,2021-04-22,-1,0.035421327,-1,0.89563,0.90073
43,2021-04-23,1,0.82674915,1,0.89787,0.89563
44,2021-04-26,-1,0.16941473,-1,0.89677,0.89787
45,2021-04-27,-1,0.058794156,-1,0.89403,0.89677
46,2021-04-28,1,0.33797973,-1,0.89437,0.89403
47,2021-04-29,-1,0.013695428,-1,0.88921,0.89437
48,2021-04-30,-1,0.0066987113,-1,0.88011,0.88921
49,2021-05-03,1,0.90608037,1,0.88419,0.88011
50,2021-05-04,-1,0.03351789,-1,0.87957,0.88419
51,2021-05-05,1,0.9654178,1,0.88497,0.87957
52,2021-05-06,-1,0.039851528,-1,0.87892,0.88497
53,2021-05-07,1,0.96525705,1,0.88317,0.87892
54,2021-05-10,-1,0.14435592,-1,0.87882,0.88317
55,2021-05-11,1,0.88196796,1,0.87956,0.87882
56,2021-05-12,-1,0.010787508,-1,0.86847,0.87956
57,2021-05-13,1,0.97176075,1,0.87392,0.86847
58,2021-05-14,1,0.92300284,1,0.87807,0.87392
59,2021-05-17,-1,0.024384804,-1,0.87059,0.87807
60,2021-05-18,1,0.93098164,1,0.87322,0.87059
61,2021-05-19,-1,0.14363326,-1,0.86997,0.87322
62,2021-05-20,-1,0.43951076,-1,0.86807,0.86997
63,2021-05-21,-1,0.110019505,-1,0.86412,0.86807
64,2021-05-24,1,0.9713742,1,0.86925,0.86412
65,2021-05-25,1,0.9234252,1,0.87177,0.86925
66,2021-05-26,1,0.9956721,1,0.88294,0.87177
67,2021-05-27,-1,0.103853,-1,0.88017,0.88294
68,2021-05-28,-1,0.05074364,-1,0.87542,0.88017
69,2021-05-31,1,0.8297684,1,0.87717,0.87542
70,2021-06-01,-1,0.13844302,-1,0.87559,0.87717
71,2021-06-02,-1,0.026457833,-1,0.87067,0.87559
72,2021-06-03,-1,0.0269581,-1,0.86507,0.87067
73,2021-06-04,1,0.962755,1,0.87053,0.86507
74,2021-06-07,1,0.90735996,1,0.87342,0.87053
75,2021-06-08,-1,0.3277567,-1,0.87167,0.87342
76,2021-06-09,-1,0.24886996,-1,0.86947,0.87167
77,2021-06-10,1,0.7773917,1,0.87015,0.86947
78,2021-06-11,-1,0.08918069,-1,0.8671,0.87015
79,2021-06-14,1,0.68518925,-1,0.86747,0.8671
80,2021-06-15,1,0.6480083,-1,0.86774,0.86747
81,2021-06-16,-1,0.12310218,-1,0.86567,0.86774
82,2021-06-17,-1,0.3216796,-1,0.86547,0.86567
83,2021-06-18,-1,0.08012954,-1,0.86417,0.86547
84,2021-06-21,1,0.13906999,-1,0.86425,0.86417
85,2021-06-22,1,0.14816463,-1,0.86452,0.86425
86,2021-06-23,1,0.93754613,1,0.86701,0.86452
87,2021-06-24,1,0.97577703,1,0.87002,0.86701
88,2021-06-25,-1,0.784447,1,0.86935,0.87002
89,2021-06-28,-1,0.6362264,-1,0.86897,0.86935
90,2021-06-29,-1,0.04895818,-1,0.86723,0.86897
91,2021-06-30,-1,0.040573016,-1,0.86626,0.86723
92,2021-07-01,1,0.16897923,-1,0.86673,0.86626
93,2021-07-02,-1,0.11040801,-1,0.86668,0.86673
94,2021-07-05,-1,0.040750146,-1,0.86587,0.86668
95,2021-07-06,1,0.99499303,1,0.87332,0.86587
96,2021-07-07,1,0.9728204,1,0.87574,0.87332
97,2021-07-08,-1,0.025500726,-1,0.87042,0.87574
98,2021-07-09,1,0.82988673,1,0.87153,0.87042
99,2021-07-12,-1,0.11866864,-1,0.86963,0.87153
100,2021-07-13,-1,0.3317427,-1,0.86918,0.86963
101,2021-07-14,1,0.9970643,1,0.88053,0.86918
102,2021-07-15,-1,0.29593602,-1,0.87921,0.88053
103,2021-07-16,1,0.96269274,1,0.88346,0.87921
104,2021-07-19,1,0.9084697,1,0.88479,0.88346
105,2021-07-20,-1,0.009559598,-1,0.87716,0.88479
106,2021-07-21,-1,0.23096204,-1,0.87554,0.87716
107,2021-07-22,1,0.5894894,-1,0.87624,0.87554
108,2021-07-23,1,0.66373914,-1,0.87684,0.87624
109,2021-07-26,1,0.8353848,1,0.87782,0.87684
110,2021-07-27,-1,0.3800688,-1,0.87674,0.87782
111,2021-07-28,-1,0.015870536,-1,0.87129,0.87674
112,2021-07-29,1,0.69535637,-1,0.87254,0.87129
113,2021-07-30,-1,0.045453817,-1,0.86949,0.87254
114,2021-08-02,1,0.8855578,1,0.87173,0.86949
115,2021-08-03,1,0.9942046,1,0.87963,0.87173
116,2021-08-04,1,0.97721285,1,0.8833,0.87963
117,2021-08-05,-1,0.76266825,1,0.88168,0.8833
118,2021-08-06,-1,0.6702404,-1,0.8803,0.88168
119,2021-08-09,-1,0.51670945,-1,0.87934,0.8803
120,2021-08-10,-1,0.119489685,-1,0.87753,0.87934
121,2021-08-11,1,0.9249786,1,0.88053,0.87753
122,2021-08-12,-1,0.030866446,-1,0.87668,0.88053
123,2021-08-13,1,0.9480447,1,0.88083,0.87668
124,2021-08-16,1,0.86433125,1,0.88263,0.88083
125,2021-08-17,-1,0.00483783,-1,0.87338,0.88263
126,2021-08-18,-1,0.09317099,-1,0.87109,0.87338
127,2021-08-19,1,0.9391534,1,0.87568,0.87109
128,2021-08-20,1,0.7509617,1,0.87673,0.87568
129,2021-08-23,-1,0.03932257,-1,0.87168,0.87673
130,2021-08-24,1,0.9388341,1,0.87515,0.87168
131,2021-08-25,1,0.9186594,1,0.87818,0.87515
132,2021-08-26,1,0.9092164,1,0.88093,0.87818
133,2021-08-27,1,0.93024355,1,0.88448,0.88093
134,2021-08-30,-1,0.08183247,-1,0.88233,0.88448
135,2021-08-31,1,0.97302926,1,0.88903,0.88233
136,2021-09-01,1,0.89231265,1,0.89213,0.88903
137,2021-09-02,1,0.87065,1,0.8929,0.89213
138,2021-09-03,1,0.95952827,1,0.89588,0.8929
139,2021-09-06,-1,0.41448042,-1,0.89404,0.89588
140,2021-09-07,1,0.95983285,1,0.89797,0.89404
141,2021-09-08,1,0.9447579,1,0.90108,0.89797
142,2021-09-09,-1,0.6689665,-1,0.90014,0.90108
143,2021-09-10,1,0.95034814,1,0.90238,0.90014
144,2021-09-13,-1,0.118657865,-1,0.89993,0.90238
145,2021-09-14,1,0.73899376,1,0.90074,0.89993
146,2021-09-15,-1,0.025718236,-1,0.89778,0.90074
147,2021-09-16,-1,0.0683679,-1,0.89714,0.89778
148,2021-09-17,1,0.38073134,-1,0.89839,0.89714
149,2021-09-20,1,0.8678642,1,0.90121,0.89839
150,2021-09-21,-1,0.019970547,-1,0.89769,0.90121
151,2021-09-22,-1,0.026590213,-1,0.89466,0.89769
152,2021-09-23,-1,0.16599202,-1,0.89463,0.89466
153,2021-09-24,-1,0.0071382965,-1,0.88764,0.89463
154,2021-09-27,-1,0.053472977,-1,0.88565,0.88764
155,2021-09-28,-1,0.023088973,-1,0.88269,0.88565
156,2021-09-29,-1,0.007344154,-1,0.87579,0.88269
157,2021-09-30,-1,0.037753828,-1,0.87471,0.87579
158,2021-10-01,1,0.26303166,-1,0.87693,0.87471
159,2021-10-04,-1,0.054249287,-1,0.87666,0.87693
160,2021-10-05,-1,0.04023135,-1,0.87527,0.87666
161,2021-10-06,-1,0.011793198,-1,0.87048,0.87527
162,2021-10-07,-1,0.05342346,-1,0.86968,0.87048
163,2021-10-08,-1,0.009129566,-1,0.86427,0.86968
164,2021-10-11,1,0.3398513,-1,0.86568,0.86427
165,2021-10-12,-1,0.03109237,-1,0.86398,0.86568
166,2021-10-13,1,0.8434332,1,0.86677,0.86398
167,2021-10-14,1,0.95468545,1,0.87033,0.86677
168,2021-10-15,1,0.9796765,1,0.87458,0.87033
169,2021-10-18,1,0.9661344,1,0.87718,0.87458
170,2021-10-19,1,0.99167585,1,0.88428,0.87718
171,2021-10-20,1,0.9565626,1,0.88683,0.88428
172,2021-10-21,-1,0.69996154,-1,0.88527,0.88683
173,2021-10-22,-1,0.67187256,-1,0.88417,0.88527
174,2021-10-25,1,0.95186365,1,0.88748,0.88417
175,2021-10-26,-1,0.7563936,1,0.88732,0.88748
176,2021-10-27,-1,0.46137795,-1,0.88632,0.88732
177,2021-10-28,1,0.9337483,1,0.88897,0.88632
178,2021-10-29,-1,0.15037745,-1,0.88732,0.88897
179,2021-11-01,1,0.8591691,1,0.88903,0.88732
180,2021-11-02,-1,0.0037130693,-1,0.88223,0.88903
181,2021-11-03,1,0.90241927,1,0.88777,0.88223
182,2021-11-04,-1,0.017396625,-1,0.88493,0.88777
183,2021-11-05,1,0.523819,-1,0.88683,0.88493
184,2021-11-08,1,0.936758,1,0.89162,0.88683
185,2021-11-09,-1,0.019250354,-1,0.88687,0.89162
186,2021-11-10,-1,0.036362235,-1,0.88202,0.88687
187,2021-11-11,1,0.80555326,1,0.88322,0.88202
188,2021-11-12,1,0.7013364,-1,0.88357,0.88322
189,2021-11-15,-1,0.13717037,-1,0.88093,0.88357
190,2021-11-16,-1,0.108678125,-1,0.87803,0.88093
191,2021-11-17,1,0.96640265,1,0.88232,0.87803
192,2021-11-18,1,0.9810277,1,0.88754,0.88232
193,2021-11-19,-1,0.17836475,-1,0.88458,0.88754
194,2021-11-22,-1,0.50494283,-1,0.88333,0.88458
195,2021-11-23,-1,0.109971054,-1,0.88048,0.88333
196,2021-11-24,-1,0.0072647515,-1,0.87035,0.88048
197,2021-11-25,-1,0.09311603,-1,0.86682,0.87035
198,2021-11-26,1,0.913418,1,0.8714,0.86682
199,2021-11-29,-1,0.09439091,-1,0.86933,0.8714
200,2021-11-30,1,0.88521343,1,0.87211,0.86933
201,2021-12-01,1,0.70089346,-1,0.87293,0.87211
202,2021-12-02,1,0.6257133,-1,0.87297,0.87293
203,2021-12-03,-1,0.019597987,-1,0.86683,0.87297
204,2021-12-06,-1,0.033423282,-1,0.86153,0.86683
205,2021-12-07,-1,0.049439814,-1,0.85786,0.86153
206,2021-12-08,1,0.8769215,1,0.86119,0.85786
207,2021-12-09,1,0.85904986,1,0.86363,0.86119
208,2021-12-10,1,0.85149235,1,0.86492,0.86363
209,2021-12-13,-1,0.7329571,1,0.86488,0.86492
210,2021-12-14,1,0.93935126,1,0.86732,0.86488
211,2021-12-15,1,0.96370703,1,0.87068,0.86732
212,2021-12-16,-1,0.18508755,-1,0.86869,0.87068
213,2021-12-17,-1,0.59295166,-1,0.86858,0.86869
214,2021-12-20,1,0.6912769,-1,0.86905,0.86858
215,2021-12-21,1,0.9827359,1,0.87449,0.86905
216,2021-12-22,-1,0.83352095,1,0.87433,0.87449
217,2021-12-23,-1,0.8721974,1,0.87418,0.87433
218,2021-12-24,-1,0.07152366,-1,0.87211,0.87418
219,2021-12-27,-1,0.16220401,-1,0.8715,0.87211
220,2021-12-28,1,0.48288235,-1,0.87201,0.8715
221,2021-12-29,1,0.8555069,1,0.87337,0.87201
222,2021-12-30,-1,0.023502234,-1,0.87029,0.87337
223,2021-12-31,-1,0.010191487,-1,0.86547,0.87029
224,2022-01-03,-1,0.0794531,-1,0.86484,0.86547
225,2022-01-04,1,0.17826068,-1,0.86508,0.86484
226,2022-01-05,1,0.9009456,1,0.86738,0.86508
227,2022-01-06,-1,0.006736172,-1,0.85869,0.86738
228,2022-01-07,-1,0.09097023,-1,0.85662,0.85869
229,2022-01-10,1,0.1282464,-1,0.85677,0.85662
230,2022-01-11,-1,0.017491471,-1,0.85298,0.85677
231,2022-01-12,1,0.87593293,1,0.85623,0.85298
232,2022-01-13,1,0.92151946,1,0.85927,0.85623
233,2022-01-14,-1,0.033618834,-1,0.85447,0.85927
234,2022-01-17,-1,0.072150484,-1,0.85053,0.85447
235,2022-01-18,-1,0.06304314,-1,0.84714,0.85053
236,2022-01-19,1,0.8260847,1,0.84903,0.84714
237,2022-01-20,-1,0.037636753,-1,0.84462,0.84903
238,2022-01-21,1,0.32364166,-1,0.84473,0.84462
239,2022-01-24,1,0.76509154,1,0.84655,0.84473
240,2022-01-25,-1,0.068746954,-1,0.84423,0.84655
241,2022-01-26,-1,0.0956975,-1,0.84258,0.84423
242,2022-01-27,-1,0.022871254,-1,0.83851,0.84258
243,2022-01-28,-1,0.03838371,-1,0.83572,0.83851
244,2022-01-31,-1,0.08219043,-1,0.83547,0.83572
245,2022-02-01,1,0.98450756,1,0.84183,0.83547
246,2022-02-02,-1,0.5593777,-1,0.84035,0.84183
247,2022-02-03,1,0.98388714,1,0.84479,0.84035
248,2022-02-04,-1,0.7701423,1,0.84406,0.84479
249,2022-02-07,-1,0.072480224,-1,0.84026,0.84406
250,2022-02-08,1,0.9648989,1,0.84443,0.84026
251,2022-02-09,1,0.9163274,1,0.84658,0.84443
252,2022-02-10,1,0.9375755,1,0.84925,0.84658
253,2022-02-11,-1,0.055818275,-1,0.84613,0.84925
254,2022-02-14,-1,0.02932543,-1,0.84193,0.84613
255,2022-02-15,1,0.8814878,1,0.84448,0.84193
256,2022-02-16,1,0.9327638,1,0.84785,0.84448
257,2022-02-17,1,0.91727114,1,0.85046,0.84785
258,2022-02-18,1,0.94917667,1,0.85383,0.85046
259,2022-02-21,1,0.8919063,1,0.85448,0.85383
260,2022-02-22,1,0.9858671,1,0.85985,0.85448
261,2022-02-23,1,0.96971,1,0.86239,0.85985
262,2022-02-24,-1,0.045600645,-1,0.85778,0.86239
263,2022-02-25,-1,0.43456933,-1,0.85653,0.85778
264,2022-02-28,1,0.886326,1,0.85851,0.85653
265,2022-03-01,1,0.9237905,1,0.86096,0.85851
266,2022-03-02,-1,0.03669619,-1,0.85747,0.86096
267,2022-03-03,1,0.95223266,1,0.86206,0.85747
268,2022-03-04,1,0.9948442,1,0.87367,0.86206
269,2022-03-07,1,0.82808286,1,0.87455,0.87367
270,2022-03-08,1,0.97434694,1,0.8771,0.87455
271,2022-03-09,-1,0.87966615,1,0.87593,0.8771
272,2022-03-10,1,0.95608246,1,0.87677,0.87593
273,2022-03-11,-1,0.005567617,-1,0.86774,0.87677
274,2022-03-14,-1,0.068849094,-1,0.86518,0.86774
275,2022-03-15,-1,0.08439507,-1,0.86436,0.86518
276,2022-03-16,1,0.76124984,1,0.8669,0.86436
277,2022-03-17,1,0.7979707,1,0.86877,0.8669
278,2022-03-18,1,0.87597424,1,0.87033,0.86877
279,2022-03-21,-1,0.06472261,-1,0.86723,0.87033
280,2022-03-22,1,0.9911327,1,0.87527,0.86723
281,2022-03-23,1,0.83605033,1,0.87615,0.87527
282,2022-03-24,-1,0.09752655,-1,0.87285,0.87615
283,2022-03-25,-1,0.029681293,-1,0.86797,0.87285
284,2022-03-28,-1,0.034019336,-1,0.86324,0.86797
285,2022-03-29,1,0.9348883,1,0.86721,0.86324
286,2022-03-30,1,0.9329699,1,0.87077,0.86721
287,2022-03-31,-1,0.06498939,-1,0.86708,0.87077
288,2022-04-01,-1,0.33840737,-1,0.86581,0.86708
289,2022-04-04,1,0.88642615,1,0.86774,0.86581
290,2022-04-05,-1,0.52794945,-1,0.86718,0.86774
291,2022-04-06,1,0.73283124,1,0.86745,0.86718
292,2022-04-07,1,0.7362235,1,0.8676,0.86745
293,2022-04-08,-1,0.012366651,-1,0.86097,0.8676
294,2022-04-11,1,0.78166234,1,0.86221,0.86097
295,2022-04-12,1,0.96397334,1,0.86598,0.86221
296,2022-04-13,-1,0.004338786,-1,0.8539,0.86598
297,2022-04-14,1,0.8570561,1,0.85539,0.8539
298,2022-04-15,-1,0.10158679,-1,0.85299,0.85539
299,2022-04-18,-1,0.050131682,-1,0.84841,0.85299
300,2022-04-19,1,0.7082185,-1,0.84946,0.84841
301,2022-04-20,1,0.65419257,-1,0.8506,0.84946
302,2022-04-21,-1,0.053312976,-1,0.84729,0.8506
303,2022-04-22,-1,0.04311008,-1,0.84353,0.84729
304,2022-04-25,-1,0.14428984,-1,0.84337,0.84353
305,2022-04-26,-1,0.041893933,-1,0.84169,0.84337
306,2022-04-27,-1,0.023990138,-1,0.83863,0.84169
307,2022-04-28,-1,0.008075391,-1,0.83072,0.83863
308,2022-04-29,-1,0.08251359,-1,0.83001,0.83072
309,2022-05-02,-1,0.023457535,-1,0.82863,0.83001
310,2022-05-03,-1,0.018234886,-1,0.82607,0.82863
311,2022-05-04,1,0.9876665,1,0.83378,0.82607
312,2022-05-05,-1,0.011088327,-1,0.82467,0.83378
313,2022-05-06,1,0.9166283,1,0.82662,0.82467
314,2022-05-09,-1,0.06919727,-1,0.82258,0.82662
315,2022-05-10,-1,0.15511557,-1,0.81947,0.82258
316,2022-05-11,-1,0.21095751,-1,0.81783,0.81947
317,2022-05-12,-1,0.03535643,-1,0.81311,0.81783
318,2022-05-13,-1,0.15593834,-1,0.81185,0.81311
319,2022-05-16,-1,0.064168796,-1,0.81063,0.81185
320,2022-05-17,1,0.9348977,1,0.81473,0.81063
321,2022-05-18,-1,0.059906114,-1,0.81133,0.81473
322,2022-05-19,1,0.99173355,1,0.81834,0.81133
323,2022-05-20,1,0.9785519,1,0.82255,0.81834
324,2022-05-23,1,0.98025984,1,0.82575,0.82255
325,2022-05-24,1,0.976353,1,0.82818,0.82575
326,2022-05-25,1,0.9749347,1,0.83038,0.82818
327,2022-05-26,-1,0.45113364,-1,0.82758,0.83038
328,2022-05-27,1,0.9762561,1,0.83122,0.82758
329,2022-05-30,-1,0.5893695,-1,0.82995,0.83122
330,2022-05-31,-1,0.02068799,-1,0.82433,0.82995
331,2022-06-01,-1,0.024660932,-1,0.81983,0.82433
332,2022-06-02,1,0.94405866,1,0.82449,0.81983
333,2022-06-03,-1,0.017757695,-1,0.81933,0.82449
334,2022-06-06,-1,0.08928603,-1,0.81642,0.81933
335,2022-06-07,-1,0.069613546,-1,0.81349,0.81642
336,2022-06-08,-1,0.05486482,-1,0.80975,0.81349
337,2022-06-09,1,0.6766525,-1,0.81051,0.80975
338,2022-06-10,1,0.83069456,1,0.81208,0.81051
339,2022-06-13,-1,0.041949827,-1,0.80751,0.81208
340,2022-06-14,-1,0.17532074,-1,0.80558,0.80751
341,2022-06-15,1,0.9747756,1,0.81037,0.80558
342,2022-06-16,1,0.9992774,1,0.82374,0.81037
343,2022-06-17,-1,0.6733369,-1,0.82241,0.82374
344,2022-06-20,-1,0.9147973,1,0.82186,0.82241
345,2022-06-21,-1,0.10286383,-1,0.81802,0.82186
346,2022-06-22,-1,0.04956567,-1,0.81391,0.81802
347,2022-06-23,1,0.8293734,1,0.81547,0.81391
348,2022-06-24,-1,0.16086888,-1,0.81401,0.81547
349,2022-06-27,-1,0.06023967,-1,0.81115,0.81401
350,2022-06-28,-1,0.010561779,-1,0.80326,0.81115
351,2022-06-29,-1,0.26790762,-1,0.80228,0.80326
352,2022-06-30,1,0.74569315,1,0.8039,0.80228
353,2022-07-01,-1,0.026581002,-1,0.79917,0.8039
354,2022-07-04,-1,0.3263223,-1,0.79839,0.79917
355,2022-07-05,1,0.9812145,1,0.80388,0.79839
356,2022-07-06,-1,0.23978117,-1,0.80142,0.80388
357,2022-07-07,1,0.88916117,1,0.80189,0.80142
358,2022-07-08,-1,0.5214943,-1,0.80062,0.80189
359,2022-07-11,-1,0.0331312,-1,0.79473,0.80062
360,2022-07-12,1,0.9652587,1,0.79792,0.79473
361,2022-07-13,-1,0.29867724,-1,0.79582,0.79792
362,2022-07-14,1,0.99585587,1,0.8032,0.79582
363,2022-07-15,-1,0.7082528,-1,0.80203,0.8032
364,2022-07-18,-1,0.19212791,-1,0.79888,0.80203
365,2022-07-19,1,0.9307816,1,0.80113,0.79888
366,2022-07-20,1,0.8912087,1,0.80285,0.80113
367,2022-07-21,1,0.9126443,1,0.80454,0.80285
368,2022-07-22,1,0.95217735,1,0.80695,0.80454
369,2022-07-25,-1,0.12488795,-1,0.80455,0.80695
370,2022-07-26,-1,0.15299816,-1,0.80284,0.80455
371,2022-07-27,1,0.5734602,-1,0.80325,0.80284
372,2022-07-28,1,0.9438404,1,0.80599,0.80325
373,2022-07-29,-1,0.38804156,-1,0.80515,0.80599
374,2022-08-01,1,0.9958609,1,0.81304,0.80515
375,2022-08-02,-1,0.007531948,-1,0.80556,0.81304
376,2022-08-03,-1,0.78605056,1,0.80549,0.80556
377,2022-08-04,1,0.98122954,1,0.8104,0.80549
378,2022-08-05,-1,0.134346,-1,0.8075,0.8104
379,2022-08-08,1,0.8667569,1,0.80799,0.8075
380,2022-08-09,1,0.9451879,1,0.81006,0.80799
381,2022-08-10,1,0.9959234,1,0.81797,0.81006
382,2022-08-11,1,0.97207063,1,0.82054,0.81797
383,2022-08-12,1,0.98972005,1,0.82439,0.82054
384,2022-08-15,-1,0.45790803,-1,0.82135,0.82439
385,2022-08-16,-1,0.026275806,-1,0.81506,0.82135
386,2022-08-17,-1,0.052620724,-1,0.81112,0.81506
387,2022-08-18,-1,0.21400742,-1,0.80997,0.81112
388,2022-08-19,-1,0.010807488,-1,0.80223,0.80997
389,2022-08-22,1,0.95011026,1,0.80543,0.80223
390,2022-08-23,-1,0.57704175,-1,0.80492,0.80543
391,2022-08-24,-1,0.4016294,-1,0.80273,0.80492
392,2022-08-25,1,0.9434347,1,0.80447,0.80273
393,2022-08-26,-1,0.1298927,-1,0.80007,0.80447
394,2022-08-29,1,0.89187974,1,0.80072,0.80007
395,2022-08-30,1,0.9447647,1,0.80247,0.80072
396,2022-08-31,1,0.9586878,1,0.80387,0.80247
